Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:00.825000,PER,11,0 days 00:01:35.251000,1.0,1.0,,,,0 days 00:00:41.233000,0 days 00:00:22.412000,,0 days 00:33:58.676000,0 days 00:34:21.140000,151.0,177.0,258.0,272.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,16.0,False,,False,False,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:35:00.855000,PER,11,0 days 00:01:21.483000,2.0,1.0,,,0 days 00:00:21.709000,0 days 00:00:37.847000,0 days 00:00:21.927000,0 days 00:34:42.665000,0 days 00:35:20.512000,0 days 00:35:42.439000,177.0,171.0,259.0,284.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:20.966000,2019-05-26 13:14:21.426,1,16.0,False,,False,True,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:36:00.866000,PER,11,0 days 00:01:20.195000,3.0,1.0,,,0 days 00:00:21.299000,0 days 00:00:37.301000,0 days 00:00:21.595000,0 days 00:36:03.738000,0 days 00:36:41.039000,0 days 00:37:02.634000,180.0,177.0,258.0,284.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:35:42.449000,2019-05-26 13:15:42.909,1,16.0,False,,False,True,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:38:00.899000,PER,11,0 days 00:01:19.139000,4.0,1.0,,,0 days 00:00:21.055000,0 days 00:00:36.752000,0 days 00:00:21.332000,0 days 00:37:23.689000,0 days 00:38:00.441000,0 days 00:38:21.773000,190.0,184.0,266.0,285.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:37:02.644000,2019-05-26 13:17:03.104,1,16.0,False,,False,True,22.3,52.8,1011.0,True,34.0,358,0.5
0 days 00:39:01.015000,PER,11,0 days 00:01:19.238000,5.0,1.0,,,0 days 00:00:21.015000,0 days 00:00:36.923000,0 days 00:00:21.300000,0 days 00:38:42.788000,0 days 00:39:19.711000,0 days 00:39:41.011000,188.0,182.0,269.0,285.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:38:21.783000,2019-05-26 13:18:22.243,1,16.0,False,,False,True,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:40:00.926000,PER,11,0 days 00:01:19.962000,6.0,1.0,,,0 days 00:00:21.298000,0 days 00:00:37.187000,0 days 00:00:21.477000,0 days 00:40:02.309000,0 days 00:40:39.496000,0 days 00:41:00.973000,185.0,180.0,266.0,291.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:39:41.021000,2019-05-26 13:19:41.481,2,16.0,False,,False,True,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:42:00.953000,PER,11,0 days 00:01:19.698000,7.0,1.0,,,0 days 00:00:20.830000,0 days 00:00:37.087000,0 days 00:00:21.781000,0 days 00:41:21.803000,0 days 00:41:58.890000,0 days 00:42:20.671000,189.0,178.0,268.0,290.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:41:00.983000,2019-05-26 13:21:01.443,1,16.0,False,,False,True,22.9,51.7,1011.1,True,34.3,195,0.7
0 days 00:43:00.969000,PER,11,0 days 00:01:19.828000,8.0,1.0,,,0 days 00:00:21.296000,0 days 00:00:37.116000,0 days 00:00:21.416000,0 days 00:42:41.967000,0 days 00:43:19.083000,0 days 00:43:40.499000,185.0,181.0,269.0,285.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:42:20.681000,2019-05-26 13:22:21.141,2,16.0,False,,False,True,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:44:00.983000,PER,11,0 days 00:01:26.055000,9.0,1.0,,,0 days 00:00:23.243000,0 days 00:00:40.198000,0 days 00:00:22.614000,0 days 00:44:03.742000,0 days 00:44:43.940000,0 days 00:45:06.554000,167.0,182.0,268.0,274.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:43:40.509000,2019-05-26 13:23:40.969,2,14.0,False,,False,True,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:46:01.014000,PER,11,0 days 00:01:27.824000,10.0,1.0,,,0 days 00:00:21.265000,0 days 00:00:36.981000,0 days 00:00:29.578000,0 days 00:45:27.819000,0 days 00:46:04.800000,0 days 00:46:34.378000,186.0,178.0,201.0,284.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:45:06.564000,2019-05-26 13:25:07.024,24,14.0,False,,False,False,22.6,52.4,1010.9,True,34.0,72,0.4
0 days 00:47:01.027000,PER,11,0 days 00:02:03.212000,11.0,1.0,,0 days 00:48:11.099000,0 days 00:00:29.037000,0 days 00:00:48.046000,0 days 00:00:46.129000,0 days 00:47:03.415000,0 days 00:47:51.461000,0 days 00:48:37.590000,134.0,132.0,,228.0,False,MEDIUM,11.0,True,Racing Point,0 days 00:46:34.388000,2019-05-26 13:26:34.848,4,17.0,False,,False,False,22.7,51.7,1010.9,True,34.0,0,0.5
0 days 00:49:01.057000,PER,11,0 days 00:01:33.154000,12.0,2.0,0 days 00:48:38.316000,,0 days 00:00:29.676000,0 days 00:00:40.798000,0 days 00:00:22.680000,0 days 00:49:07.266000,0 days 00:49:48.064000,0 days 00:50:10.744000,144.0,168.0,244.0,239.0,False,HARD,1.0,True,Racing Point,0 days 00:48:37.600000,2019-05-26 13:28:38.060,4,17.0,False,,False,False,23.0,51.4,1011.0,True,34.3,149,0.6
0 days 00:51:01.093000,PER,11,0 days 00:01:28.950000,13.0,2.0,,,0 days 00:00:23.747000,0 days 00:00:40.520000,0 days 00:00:24.683000,0 days 00:50:34.491000,0 days 00:51:15.011000,0 days 00:51:39.694000,167.0,164.0,244.0,238.0,False,HARD,2.0,True,Racing Point,0 days 00:50:10.754000,2019-05-26 13:30:11.214,4,17.0,False,,False,False,22.9,51.9,1010.9,True,34.1,173,0.6
0 days 00:52:01.098000,PER,11,0 days 00:01:48.548000,14.0,2.0,,,0 days 00:00:29.763000,0 days 00:00:51.734000,0 days 00:00:27.051000,0 days 00:52:09.457000,0 days 00:53:01.191000,0 days 00:53:28.242000,128.0,111.0,258.0,133.0,False,HARD,3.0,True,Racing Point,0 days 00:51:39.704000,2019-05-26 13:31:40.164,4,17.0,False,,False,False,23.0,51.4,1010.9,True,34.4,155,0.8
0 days 00:54:01.208000,PER,11,0 days 00:01:29.156000,15.0,2.0,,,0 days 00:00:21.939000,0 days 00:00:38.170000,0 days 00:00:29.047000,0 days 00:53:50.181000,0 days 00:54:28.351000,0 days 00:54:57.398000,171.0,176.0,256.0,288.0,False,HARD,4.0,True,Racing Point,0 days 00:53:28.252000,2019-05-26 13:33:28.712,2,15.0,False,,False,False,22.9,52.1,1011.0,True,34.2,140,1.4
0 days 00:55:01.144000,PER,11,0 days 00:01:17.818000,16.0,2.0,,,0 days 00:00:20.891000,0 days 00:00:36.231000,0 days 00:00:20.696000,0 days 00:55:18.289000,0 days 00:55:54.520000,0 days 00:56:15.216000,198.0,185.0,258.0,282.0,True,HARD,5.0,True,Racing Point,0 days 00:54:57.408000,2019-05-26 13:34:57.868,2,15.0,False,,False,True,22.8,51.7,1010.9,True,34.2,0,1.2
0 days 00:57:01.170000,PER,11,0 days 00:01:17.225000,17.0,2.0,,,0 days 00:00:20.494000,0 days 00:00:36.055000,0 days 00:00:20.676000,0 days 00:56:35.710000,0 days 00:57:11.765000,0 days 00:57:32.441000,207.0,187.0,259.0,284.0,True,HARD,6.0,True,Racing Point,0 days 00:56:15.226000,2019-05-26 13:36:15.686,1,15.0,False,,False,True,22.7,51.9,1011.0,True,33.6,58,0.7
0 days 00:58:01.187000,PER,11,0 days 00:01:18.163000,18.0,2.0,,,0 days 00:00:20.628000,0 days 00:00:36.429000,0 days 00:00:21.106000,0 days 00:57:53.069000,0 days 00:58:29.498000,0 days 00:58:50.604000,196.0,184.0,262.0,285.0,False,HARD,7.0,True,Racing Point,0 days 00:57:32.451000,2019-05-26 13:37:32.911,1,15.0,False,,False,True,22.5,52.6,1010.9,True,33.5,127,0.6
