Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:31.669000,LEC,16,0 days 00:01:28.951000,1.0,1.0,,,,0 days 00:00:30.756000,0 days 00:00:23.386000,,0 days 00:33:54.972000,0 days 00:34:18.482000,274.0,237.0,251.0,262.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,3.0,False,,False,False,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:34:31.696000,LEC,16,0 days 00:01:22.767000,2.0,1.0,,,0 days 00:00:29.441000,0 days 00:00:29.827000,0 days 00:00:23.499000,0 days 00:34:47.749000,0 days 00:35:17.576000,0 days 00:35:41.075000,281.0,239.0,250.0,290.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:34:18.251000,2019-08-04 13:14:18.280,2,3.0,False,,False,True,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:36:31.885000,LEC,16,0 days 00:01:22.880000,3.0,1.0,,,0 days 00:00:29.669000,0 days 00:00:29.652000,0 days 00:00:23.559000,0 days 00:36:10.744000,0 days 00:36:40.396000,0 days 00:37:03.955000,280.0,237.0,247.0,,False,MEDIUM,6.0,False,Ferrari,0 days 00:35:41.018000,2019-08-04 13:15:41.047,1,3.0,False,,False,True,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:37:32.041000,LEC,16,0 days 00:01:22.269000,4.0,1.0,,,0 days 00:00:29.499000,0 days 00:00:29.374000,0 days 00:00:23.396000,0 days 00:37:33.454000,0 days 00:38:02.828000,0 days 00:38:26.224000,281.0,239.0,248.0,289.0,True,MEDIUM,7.0,False,Ferrari,0 days 00:37:03.898000,2019-08-04 13:17:03.927,1,3.0,False,,False,True,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:38:31.738000,LEC,16,0 days 00:01:22.603000,5.0,1.0,,,0 days 00:00:29.425000,0 days 00:00:29.709000,0 days 00:00:23.469000,0 days 00:38:55.649000,0 days 00:39:25.358000,0 days 00:39:48.827000,280.0,238.0,249.0,287.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:38:26.167000,2019-08-04 13:18:26.196,1,3.0,False,,False,True,25.8,35.2,986.6,False,41.3,337,1.2
0 days 00:40:31.812000,LEC,16,0 days 00:01:22.344000,6.0,1.0,,,0 days 00:00:29.523000,0 days 00:00:29.402000,0 days 00:00:23.419000,0 days 00:40:18.350000,0 days 00:40:47.752000,0 days 00:41:11.171000,281.0,241.0,248.0,288.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:39:48.770000,2019-08-04 13:19:48.799,1,3.0,False,,False,True,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:41:31.780000,LEC,16,0 days 00:01:22.239000,7.0,1.0,,,0 days 00:00:29.449000,0 days 00:00:29.350000,0 days 00:00:23.440000,0 days 00:41:40.620000,0 days 00:42:09.970000,0 days 00:42:33.410000,280.0,241.0,249.0,,True,MEDIUM,10.0,False,Ferrari,0 days 00:41:11.114000,2019-08-04 13:21:11.143,1,3.0,False,,False,True,25.4,36.0,986.6,False,40.7,257,0.8
0 days 00:43:31.805000,LEC,16,0 days 00:01:22.421000,8.0,1.0,,,0 days 00:00:29.467000,0 days 00:00:29.575000,0 days 00:00:23.379000,0 days 00:43:02.877000,0 days 00:43:32.452000,0 days 00:43:55.831000,281.0,241.0,249.0,,False,MEDIUM,11.0,False,Ferrari,0 days 00:42:33.353000,2019-08-04 13:22:33.382,1,3.0,False,,False,True,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:44:31.818000,LEC,16,0 days 00:01:22.211000,9.0,1.0,,,0 days 00:00:29.488000,0 days 00:00:29.405000,0 days 00:00:23.318000,0 days 00:44:25.319000,0 days 00:44:54.724000,0 days 00:45:18.042000,,241.0,250.0,,True,MEDIUM,12.0,False,Ferrari,0 days 00:43:55.774000,2019-08-04 13:23:55.803,1,3.0,False,,False,True,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:45:31.834000,LEC,16,0 days 00:01:22.117000,10.0,1.0,,,0 days 00:00:29.432000,0 days 00:00:29.327000,0 days 00:00:23.358000,0 days 00:45:47.474000,0 days 00:46:16.801000,0 days 00:46:40.159000,280.0,242.0,249.0,289.0,True,MEDIUM,13.0,False,Ferrari,0 days 00:45:17.985000,2019-08-04 13:25:18.014,1,3.0,False,,False,True,25.0,37.1,986.6,False,39.3,256,0.7
0 days 00:47:32.045000,LEC,16,0 days 00:01:22.228000,11.0,1.0,,,0 days 00:00:29.553000,0 days 00:00:29.366000,0 days 00:00:23.309000,0 days 00:47:09.712000,0 days 00:47:39.078000,0 days 00:48:02.387000,279.0,241.0,250.0,288.0,False,MEDIUM,14.0,False,Ferrari,0 days 00:46:40.102000,2019-08-04 13:26:40.131,1,3.0,False,,False,True,25.0,37.1,986.5,False,38.9,15,0.6
0 days 00:48:32.192000,LEC,16,0 days 00:01:22.700000,12.0,1.0,,,0 days 00:00:29.461000,0 days 00:00:29.792000,0 days 00:00:23.447000,0 days 00:48:31.848000,0 days 00:49:01.640000,0 days 00:49:25.087000,280.0,237.0,251.0,290.0,False,MEDIUM,15.0,False,Ferrari,0 days 00:48:02.330000,2019-08-04 13:28:02.359,1,3.0,False,,False,True,25.3,36.4,986.5,False,40.0,0,0.7
0 days 00:49:31.886000,LEC,16,0 days 00:01:22.703000,13.0,1.0,,,0 days 00:00:29.544000,0 days 00:00:29.649000,0 days 00:00:23.510000,0 days 00:49:54.631000,0 days 00:50:24.280000,0 days 00:50:47.790000,281.0,239.0,249.0,,False,MEDIUM,16.0,False,Ferrari,0 days 00:49:25.030000,2019-08-04 13:29:25.059,1,3.0,False,,False,True,25.6,35.9,986.5,False,41.5,135,0.6
0 days 00:51:31.913000,LEC,16,0 days 00:01:22.722000,14.0,1.0,,,0 days 00:00:29.624000,0 days 00:00:29.699000,0 days 00:00:23.399000,0 days 00:51:17.414000,0 days 00:51:47.113000,0 days 00:52:10.512000,280.0,240.0,250.0,,False,MEDIUM,17.0,False,Ferrari,0 days 00:50:47.733000,2019-08-04 13:30:47.762,1,3.0,False,,False,True,25.5,35.1,986.5,False,42.7,148,1.7
0 days 00:52:31.979000,LEC,16,0 days 00:01:22.589000,15.0,1.0,,,0 days 00:00:29.451000,0 days 00:00:29.679000,0 days 00:00:23.459000,0 days 00:52:39.963000,0 days 00:53:09.642000,0 days 00:53:33.101000,279.0,240.0,249.0,289.0,False,MEDIUM,18.0,False,Ferrari,0 days 00:52:10.455000,2019-08-04 13:32:10.484,1,3.0,False,,False,True,25.1,35.4,986.4,False,42.9,118,1.7
0 days 00:54:31.956000,LEC,16,0 days 00:01:22.242000,16.0,1.0,,,0 days 00:00:29.378000,0 days 00:00:29.384000,0 days 00:00:23.480000,0 days 00:54:02.479000,0 days 00:54:31.863000,0 days 00:54:55.343000,281.0,237.0,250.0,288.0,False,MEDIUM,19.0,False,Ferrari,0 days 00:53:33.044000,2019-08-04 13:33:33.073,1,3.0,False,,False,True,24.8,36.6,986.4,False,43.5,0,1.1
0 days 00:55:31.968000,LEC,16,0 days 00:01:22.624000,17.0,1.0,,,0 days 00:00:29.563000,0 days 00:00:29.564000,0 days 00:00:23.497000,0 days 00:55:24.906000,0 days 00:55:54.470000,0 days 00:56:17.967000,280.0,241.0,249.0,286.0,False,MEDIUM,20.0,False,Ferrari,0 days 00:54:55.286000,2019-08-04 13:34:55.315,1,3.0,False,,False,True,25.1,36.2,986.5,False,43.7,216,1.6
0 days 00:56:31.988000,LEC,16,0 days 00:01:22.625000,18.0,1.0,,,0 days 00:00:29.607000,0 days 00:00:29.632000,0 days 00:00:23.386000,0 days 00:56:47.574000,0 days 00:57:17.206000,0 days 00:57:40.592000,281.0,241.0,249.0,288.0,False,MEDIUM,21.0,False,Ferrari,0 days 00:56:17.910000,2019-08-04 13:36:17.939,1,3.0,False,,False,True,25.2,36.2,986.5,False,44.1,134,1.7
0 days 00:58:32.009000,LEC,16,0 days 00:01:22.617000,19.0,1.0,,,0 days 00:00:29.574000,0 days 00:00:29.572000,0 days 00:00:23.471000,0 days 00:58:10.166000,0 days 00:58:39.738000,0 days 00:59:03.209000,,242.0,250.0,,False,MEDIUM,22.0,False,Ferrari,0 days 00:57:40.535000,2019-08-04 13:37:40.564,1,3.0,False,,False,True,25.8,34.6,986.5,False,44.6,308,1.4
0 days 00:59:32.048000,LEC,16,0 days 00:01:22.850000,20.0,1.0,,,0 days 00:00:29.743000,0 days 00:00:29.665000,0 days 00:00:23.442000,0 days 00:59:32.952000,0 days 01:00:02.617000,0 days 01:00:26.059000,280.0,241.0,249.0,,False,MEDIUM,23.0,False,Ferrari,0 days 00:59:03.152000,2019-08-04 13:39:03.181,1,3.0,False,,False,True,25.5,35.0,986.5,False,44.7,160,1.4
0 days 01:00:32.035000,LEC,16,0 days 00:01:22.786000,21.0,1.0,,,0 days 00:00:29.620000,0 days 00:00:29.615000,0 days 00:00:23.551000,0 days 01:00:55.679000,0 days 01:01:25.294000,0 days 01:01:48.845000,281.0,240.0,251.0,290.0,False,MEDIUM,24.0,False,Ferrari,0 days 01:00:26.002000,2019-08-04 13:40:26.031,1,3.0,False,,False,True,25.4,34.8,986.5,False,44.8,296,1.2
0 days 01:02:32.063000,LEC,16,0 days 00:01:22.850000,22.0,1.0,,,0 days 00:00:29.541000,0 days 00:00:29.849000,0 days 00:00:23.460000,0 days 01:02:18.386000,0 days 01:02:48.235000,0 days 01:03:11.695000,282.0,241.0,250.0,,False,MEDIUM,25.0,False,Ferrari,0 days 01:01:48.788000,2019-08-04 13:41:48.817,1,3.0,False,,False,True,25.3,34.8,986.5,False,44.9,259,1.1
0 days 01:03:32.078000,LEC,16,0 days 00:01:23.071000,23.0,1.0,,,0 days 00:00:29.776000,0 days 00:00:29.751000,0 days 00:00:23.544000,0 days 01:03:41.471000,0 days 01:04:11.222000,0 days 01:04:34.766000,281.0,240.0,251.0,289.0,False,MEDIUM,26.0,False,Ferrari,0 days 01:03:11.638000,2019-08-04 13:43:11.667,1,3.0,False,,False,True,25.2,35.0,986.5,False,44.9,49,0.9
0 days 01:05:32.292000,LEC,16,0 days 00:01:23.217000,24.0,1.0,,,0 days 00:00:29.681000,0 days 00:00:29.949000,0 days 00:00:23.587000,0 days 01:05:04.447000,0 days 01:05:34.396000,0 days 01:05:57.983000,282.0,238.0,251.0,291.0,False,MEDIUM,27.0,False,Ferrari,0 days 01:04:34.709000,2019-08-04 13:44:34.738,1,3.0,False,,False,True,25.7,34.7,986.4,False,45.8,347,0.7
0 days 01:06:32.373000,LEC,16,0 days 00:01:23.421000,25.0,1.0,,,0 days 00:00:29.728000,0 days 00:00:30.051000,0 days 00:00:23.642000,0 days 01:06:27.711000,0 days 01:06:57.762000,0 days 01:07:21.404000,,241.0,251.0,292.0,False,MEDIUM,28.0,False,Ferrari,0 days 01:05:57.926000,2019-08-04 13:45:57.955,1,3.0,False,,False,True,25.7,33.8,986.4,False,45.8,305,1.4
0 days 01:07:32.130000,LEC,16,0 days 00:01:24.586000,26.0,1.0,,,0 days 00:00:29.954000,0 days 00:00:30.625000,0 days 00:00:24.007000,0 days 01:07:51.358000,0 days 01:08:21.983000,0 days 01:08:45.990000,283.0,237.0,257.0,293.0,False,MEDIUM,29.0,False,Ferrari,0 days 01:07:21.347000,2019-08-04 13:47:21.376,1,3.0,False,,False,True,25.5,34.7,986.4,False,45.8,253,1.3
0 days 01:09:32.242000,LEC,16,0 days 00:01:25.952000,27.0,1.0,,0 days 01:10:10.258000,0 days 00:00:29.690000,0 days 00:00:30.259000,0 days 00:00:26.003000,0 days 01:09:15.680000,0 days 01:09:45.939000,0 days 01:10:11.942000,282.0,237.0,,310.0,False,MEDIUM,30.0,False,Ferrari,0 days 01:08:45.933000,2019-08-04 13:48:45.962,1,4.0,False,,False,False,25.7,33.8,986.4,False,45.7,123,0.0
0 days 01:10:32.216000,LEC,16,0 days 00:01:40.709000,28.0,2.0,0 days 01:10:31.822000,,0 days 00:00:48.183000,0 days 00:00:29.592000,0 days 00:00:22.934000,0 days 01:11:00.125000,0 days 01:11:29.717000,0 days 01:11:52.651000,278.0,244.0,251.0,,False,HARD,1.0,False,Ferrari,0 days 01:10:11.885000,2019-08-04 13:50:11.914,1,4.0,False,,False,False,25.5,34.0,986.4,False,45.6,95,1.3
0 days 01:12:32.206000,LEC,16,0 days 00:01:21.848000,29.0,2.0,,,0 days 00:00:29.363000,0 days 00:00:29.357000,0 days 00:00:23.128000,0 days 01:12:22.014000,0 days 01:12:51.371000,0 days 01:13:14.499000,,243.0,251.0,290.0,True,HARD,2.0,False,Ferrari,0 days 01:11:52.594000,2019-08-04 13:51:52.623,1,4.0,False,,False,True,25.0,35.2,986.5,False,45.9,150,0.5
0 days 01:13:32.211000,LEC,16,0 days 00:01:21.632000,30.0,2.0,,,0 days 00:00:29.306000,0 days 00:00:29.147000,0 days 00:00:23.179000,0 days 01:13:43.805000,0 days 01:14:12.952000,0 days 01:14:36.131000,280.0,245.0,252.0,289.0,True,HARD,3.0,False,Ferrari,0 days 01:13:14.442000,2019-08-04 13:53:14.471,1,4.0,False,,False,True,25.0,35.2,986.4,False,46.0,295,0.3
