Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:35.545000,MAG,20,0 days 00:01:44.206000,1.0,1.0,,,,0 days 00:00:44.681000,0 days 00:00:18.884000,,0 days 00:34:59.102000,0 days 00:35:17.981000,277.0,305.0,256.0,300.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,13.0,False,,False,False,21.8,57.8,1009.0,False,34.6,287,6.5
0 days 00:35:35.562000,MAG,20,0 days 00:01:37.920000,2.0,1.0,,,0 days 00:00:35.143000,0 days 00:00:43.930000,0 days 00:00:18.847000,0 days 00:35:52.988000,0 days 00:36:36.918000,0 days 00:36:55.765000,270.0,302.0,256.0,300.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:17.828000,2019-10-13 05:15:18.151,1,13.0,False,,False,True,21.7,57.8,1008.9,False,34.3,289,5.6
0 days 00:37:35.684000,MAG,20,0 days 00:01:37.315000,3.0,1.0,,,0 days 00:00:34.981000,0 days 00:00:43.604000,0 days 00:00:18.730000,0 days 00:37:30.746000,0 days 00:38:14.350000,0 days 00:38:33.080000,267.0,300.0,259.0,298.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:36:55.748000,2019-10-13 05:16:56.071,1,13.0,False,,False,True,21.9,57.6,1008.7,False,33.7,285,5.5
0 days 00:38:36.124000,MAG,20,0 days 00:01:37.217000,4.0,1.0,,,0 days 00:00:34.666000,0 days 00:00:43.617000,0 days 00:00:18.934000,0 days 00:39:07.746000,0 days 00:39:51.363000,0 days 00:40:10.297000,268.0,302.0,254.0,300.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:38:33.063000,2019-10-13 05:18:33.386,2,12.0,False,,False,True,21.6,57.2,1008.7,False,33.3,283,6.8
0 days 00:40:35.568000,MAG,20,0 days 00:01:37.143000,5.0,1.0,,,0 days 00:00:34.748000,0 days 00:00:43.633000,0 days 00:00:18.762000,0 days 00:40:45.045000,0 days 00:41:28.678000,0 days 00:41:47.440000,266.0,302.0,254.0,301.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:40:10.280000,2019-10-13 05:20:10.603,1,11.0,False,,False,True,21.5,57.4,1008.7,False,33.2,286,7.9
0 days 00:42:35.576000,MAG,20,0 days 00:01:38.286000,6.0,1.0,,,0 days 00:00:35.610000,0 days 00:00:43.743000,0 days 00:00:18.933000,0 days 00:42:23.050000,0 days 00:43:06.793000,0 days 00:43:25.726000,,299.0,254.0,297.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:41:47.423000,2019-10-13 05:21:47.746,1,12.0,False,,False,True,21.5,57.9,1008.7,False,32.8,285,5.3
0 days 00:43:35.607000,MAG,20,0 days 00:01:37.436000,7.0,1.0,,,0 days 00:00:34.657000,0 days 00:00:43.763000,0 days 00:00:19.016000,0 days 00:44:00.383000,0 days 00:44:44.146000,0 days 00:45:03.162000,265.0,301.0,254.0,297.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:43:25.709000,2019-10-13 05:23:26.032,1,12.0,False,,False,True,21.3,58.0,1008.7,False,32.6,285,7.2
0 days 00:45:35.591000,MAG,20,0 days 00:01:37.244000,8.0,1.0,,,0 days 00:00:34.754000,0 days 00:00:43.669000,0 days 00:00:18.821000,0 days 00:45:37.916000,0 days 00:46:21.585000,0 days 00:46:40.406000,,299.0,256.0,297.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:45:03.145000,2019-10-13 05:25:03.468,1,12.0,False,,False,True,21.4,58.4,1008.8,False,32.3,287,4.9
0 days 00:47:35.591000,MAG,20,0 days 00:01:37.202000,9.0,1.0,,,0 days 00:00:34.901000,0 days 00:00:43.524000,0 days 00:00:18.777000,0 days 00:47:15.307000,0 days 00:47:58.831000,0 days 00:48:17.608000,267.0,299.0,253.0,300.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:46:40.389000,2019-10-13 05:26:40.712,1,12.0,False,,False,True,21.5,57.8,1008.8,False,32.1,287,6.3
0 days 00:48:35.592000,MAG,20,0 days 00:01:37.318000,10.0,1.0,,,0 days 00:00:34.838000,0 days 00:00:43.417000,0 days 00:00:19.063000,0 days 00:48:52.446000,0 days 00:49:35.863000,0 days 00:49:54.926000,,297.0,253.0,298.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:48:17.591000,2019-10-13 05:28:17.914,1,12.0,False,,False,True,21.4,57.6,1008.8,False,31.8,297,7.1
0 days 00:50:35.687000,MAG,20,0 days 00:01:36.991000,11.0,1.0,,,0 days 00:00:34.838000,0 days 00:00:43.453000,0 days 00:00:18.700000,,0 days 00:51:13.217000,0 days 00:51:31.917000,266.0,298.0,254.0,299.0,True,MEDIUM,11.0,True,Haas F1 Team,0 days 00:49:54.909000,2019-10-13 05:29:55.232,1,12.0,False,,False,True,21.4,57.6,1008.9,False,31.8,279,5.6
0 days 00:51:35.813000,MAG,20,0 days 00:01:37.333000,12.0,1.0,,,0 days 00:00:34.905000,0 days 00:00:43.637000,0 days 00:00:18.791000,0 days 00:52:06.822000,0 days 00:52:50.459000,0 days 00:53:09.250000,,298.0,253.0,299.0,False,MEDIUM,12.0,True,Haas F1 Team,0 days 00:51:31.900000,2019-10-13 05:31:32.223,1,12.0,False,,False,True,21.4,57.7,1008.9,False,31.7,284,7.5
0 days 00:53:35.854000,MAG,20,0 days 00:01:37.490000,13.0,1.0,,,0 days 00:00:34.869000,0 days 00:00:43.575000,0 days 00:00:19.046000,0 days 00:53:44.119000,0 days 00:54:27.694000,0 days 00:54:46.740000,267.0,297.0,253.0,297.0,False,MEDIUM,13.0,True,Haas F1 Team,0 days 00:53:09.233000,2019-10-13 05:33:09.556,1,12.0,False,,False,True,21.4,57.6,1008.9,False,31.6,289,6.5
0 days 00:55:35.871000,MAG,20,0 days 00:01:37.199000,14.0,1.0,,,0 days 00:00:34.769000,0 days 00:00:43.665000,0 days 00:00:18.765000,0 days 00:55:21.509000,0 days 00:56:05.174000,0 days 00:56:23.939000,,296.0,254.0,297.0,False,MEDIUM,14.0,True,Haas F1 Team,0 days 00:54:46.723000,2019-10-13 05:34:47.046,1,12.0,False,,False,True,21.4,57.5,1009.0,False,31.3,283,5.3
0 days 00:56:35.592000,MAG,20,0 days 00:01:38.582000,15.0,1.0,,,0 days 00:00:34.789000,0 days 00:00:44.663000,0 days 00:00:19.130000,0 days 00:56:58.728000,0 days 00:57:43.391000,0 days 00:58:02.521000,,298.0,254.0,298.0,False,MEDIUM,15.0,True,Haas F1 Team,0 days 00:56:23.922000,2019-10-13 05:36:24.245,1,13.0,False,,False,True,21.5,57.1,1009.0,False,31.3,283,6.2
