Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:18.846000,KVY,26,0 days 00:01:56.674000,1.0,1.0,,,,0 days 00:00:33.011000,0 days 00:00:46.293000,,0 days 00:34:35.688000,0 days 00:35:22.110000,93.0,283.0,290.0,272.0,False,HARD,1.0,True,Toro Rosso,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,20.0,False,,False,False,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:36:18.866000,KVY,26,0 days 00:01:41.302000,2.0,1.0,,,0 days 00:00:26.017000,0 days 00:00:30.636000,0 days 00:00:44.649000,0 days 00:35:47.848000,0 days 00:36:18.484000,0 days 00:37:03.133000,110.0,280.0,293.0,315.0,True,HARD,2.0,True,Toro Rosso,0 days 00:35:21.882000,2019-06-23 13:15:22.088,1,20.0,False,,False,True,26.3,41.8,966.8,False,56.1,57,1.2
0 days 00:37:18.879000,KVY,26,0 days 00:01:40.362000,3.0,1.0,,,0 days 00:00:25.949000,0 days 00:00:30.019000,0 days 00:00:44.394000,0 days 00:37:29.082000,0 days 00:37:59.101000,0 days 00:38:43.495000,113.0,281.0,304.0,315.0,True,HARD,3.0,True,Toro Rosso,0 days 00:37:03.184000,2019-06-23 13:17:03.390,1,19.0,False,,False,True,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:39:18.904000,KVY,26,0 days 00:01:38.287000,4.0,1.0,,,0 days 00:00:24.874000,0 days 00:00:29.747000,0 days 00:00:43.666000,0 days 00:39:08.369000,0 days 00:39:38.116000,0 days 00:40:21.782000,109.0,276.0,287.0,308.0,True,HARD,4.0,True,Toro Rosso,0 days 00:38:43.546000,2019-06-23 13:18:43.752,1,18.0,False,,False,True,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:41:18.926000,KVY,26,0 days 00:01:38.187000,5.0,1.0,,,0 days 00:00:24.798000,0 days 00:00:29.908000,0 days 00:00:43.481000,0 days 00:40:46.580000,0 days 00:41:16.488000,0 days 00:41:59.969000,110.0,276.0,288.0,303.0,True,HARD,5.0,True,Toro Rosso,0 days 00:40:21.833000,2019-06-23 13:20:22.039,1,18.0,False,,False,True,26.9,40.6,966.6,False,56.3,26,1.4
0 days 00:42:18.979000,KVY,26,0 days 00:01:38.302000,6.0,1.0,,,0 days 00:00:24.957000,0 days 00:00:29.883000,0 days 00:00:43.462000,0 days 00:42:24.926000,0 days 00:42:54.809000,0 days 00:43:38.271000,109.0,276.0,289.0,304.0,False,HARD,6.0,True,Toro Rosso,0 days 00:42:00.020000,2019-06-23 13:22:00.226,1,18.0,False,,False,True,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:44:18.962000,KVY,26,0 days 00:01:38.479000,7.0,1.0,,,0 days 00:00:25.095000,0 days 00:00:29.799000,0 days 00:00:43.585000,0 days 00:44:03.366000,0 days 00:44:33.165000,0 days 00:45:16.750000,,278.0,298.0,324.0,False,HARD,7.0,True,Toro Rosso,0 days 00:43:38.322000,2019-06-23 13:23:38.528,1,17.0,False,,False,True,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:45:18.972000,KVY,26,0 days 00:01:37.715000,8.0,1.0,,,0 days 00:00:24.893000,0 days 00:00:29.405000,0 days 00:00:43.417000,0 days 00:45:41.643000,0 days 00:46:11.048000,0 days 00:46:54.465000,111.0,275.0,289.0,335.0,True,HARD,8.0,True,Toro Rosso,0 days 00:45:16.801000,2019-06-23 13:25:17.007,1,16.0,False,,False,True,27.3,40.3,966.7,False,56.8,184,1.1
0 days 00:47:18.996000,KVY,26,0 days 00:01:38.061000,9.0,1.0,,,0 days 00:00:24.985000,0 days 00:00:29.701000,0 days 00:00:43.375000,0 days 00:47:19.450000,0 days 00:47:49.151000,0 days 00:48:32.526000,109.0,277.0,291.0,304.0,False,HARD,9.0,True,Toro Rosso,0 days 00:46:54.516000,2019-06-23 13:26:54.722,1,16.0,False,,False,True,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:49:19.020000,KVY,26,0 days 00:01:38.146000,10.0,1.0,,,0 days 00:00:24.952000,0 days 00:00:29.653000,0 days 00:00:43.541000,0 days 00:48:57.478000,0 days 00:49:27.131000,0 days 00:50:10.672000,112.0,279.0,302.0,307.0,False,HARD,10.0,True,Toro Rosso,0 days 00:48:32.577000,2019-06-23 13:28:32.783,1,16.0,False,,False,True,27.7,37.9,966.7,False,55.4,132,1.8
0 days 00:50:19.031000,KVY,26,0 days 00:01:38.358000,11.0,1.0,,,0 days 00:00:25.044000,0 days 00:00:29.549000,0 days 00:00:43.765000,0 days 00:50:35.716000,0 days 00:51:05.265000,0 days 00:51:49.030000,111.0,279.0,303.0,333.0,False,HARD,11.0,True,Toro Rosso,0 days 00:50:10.723000,2019-06-23 13:30:10.929,1,16.0,False,,False,True,27.6,38.4,966.6,False,55.4,103,1.6
0 days 00:52:19.126000,KVY,26,0 days 00:01:38.503000,12.0,1.0,,,0 days 00:00:24.987000,0 days 00:00:29.633000,0 days 00:00:43.883000,0 days 00:52:14.017000,0 days 00:52:43.650000,0 days 00:53:27.533000,,277.0,303.0,332.0,False,HARD,12.0,True,Toro Rosso,0 days 00:51:49.081000,2019-06-23 13:31:49.287,1,16.0,False,,False,True,27.3,38.8,966.6,False,55.6,87,2.1
0 days 00:54:19.082000,KVY,26,0 days 00:01:38.834000,13.0,1.0,,,0 days 00:00:25.089000,0 days 00:00:29.500000,0 days 00:00:44.245000,0 days 00:53:52.622000,0 days 00:54:22.122000,0 days 00:55:06.367000,110.0,281.0,302.0,329.0,False,HARD,13.0,True,Toro Rosso,0 days 00:53:27.584000,2019-06-23 13:33:27.790,1,16.0,False,,False,True,27.1,38.7,966.6,False,54.4,161,1.5
0 days 00:55:19.098000,KVY,26,0 days 00:01:38.663000,14.0,1.0,,,0 days 00:00:25.210000,0 days 00:00:29.402000,0 days 00:00:44.051000,0 days 00:55:31.577000,0 days 00:56:00.979000,0 days 00:56:45.030000,111.0,286.0,303.0,331.0,False,HARD,14.0,True,Toro Rosso,0 days 00:55:06.418000,2019-06-23 13:35:06.624,1,16.0,False,,False,True,27.4,38.3,966.6,False,55.1,116,0.9
0 days 00:57:19.118000,KVY,26,0 days 00:01:38.468000,15.0,1.0,,,0 days 00:00:25.063000,0 days 00:00:29.959000,0 days 00:00:43.446000,0 days 00:57:10.093000,0 days 00:57:40.052000,0 days 00:58:23.498000,114.0,284.0,287.0,339.0,False,HARD,15.0,True,Toro Rosso,0 days 00:56:45.081000,2019-06-23 13:36:45.287,1,15.0,False,,False,True,27.6,37.8,966.5,False,55.1,119,2.3
0 days 00:59:19.139000,KVY,26,0 days 00:01:37.955000,16.0,1.0,,,0 days 00:00:24.730000,0 days 00:00:29.852000,0 days 00:00:43.373000,0 days 00:58:48.228000,0 days 00:59:18.080000,0 days 01:00:01.453000,109.0,275.0,284.0,298.0,False,HARD,16.0,True,Toro Rosso,0 days 00:58:23.549000,2019-06-23 13:38:23.755,1,14.0,False,,False,True,27.1,38.9,966.5,False,54.7,151,1.4
0 days 01:00:19.152000,KVY,26,0 days 00:01:37.644000,17.0,1.0,,,0 days 00:00:24.758000,0 days 00:00:29.808000,0 days 00:00:43.078000,0 days 01:00:26.211000,0 days 01:00:56.019000,0 days 01:01:39.097000,,276.0,286.0,296.0,True,HARD,17.0,True,Toro Rosso,0 days 01:00:01.504000,2019-06-23 13:40:01.710,1,13.0,False,,False,True,27.4,38.4,966.6,False,55.4,107,1.1
0 days 01:02:19.174000,KVY,26,0 days 00:01:37.697000,18.0,1.0,,,0 days 00:00:24.878000,0 days 00:00:29.686000,0 days 00:00:43.133000,0 days 01:02:03.975000,0 days 01:02:33.661000,0 days 01:03:16.794000,111.0,276.0,287.0,299.0,False,HARD,18.0,True,Toro Rosso,0 days 01:01:39.148000,2019-06-23 13:41:39.354,1,12.0,False,,False,True,27.7,37.1,966.6,False,56.0,59,1.5
