Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:46.468000,RIC,3,0 days 00:01:58.555000,1.0,1.0,,,,0 days 00:00:45.953000,0 days 00:00:25.931000,,0 days 00:35:10.311000,0 days 00:35:36.817000,178.0,206.0,310.0,318.0,False,SOFT,1.0,True,Renault,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,9.0,False,,False,False,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:35:46.711000,RIC,3,0 days 00:01:50.773000,2.0,1.0,,,0 days 00:00:40.057000,0 days 00:00:45.163000,0 days 00:00:25.553000,0 days 00:36:16.276000,0 days 00:37:01.439000,0 days 00:37:26.992000,183.0,198.0,319.0,318.0,True,SOFT,2.0,True,Renault,0 days 00:35:36.216000,2019-04-28 12:15:36.463,1,9.0,False,,False,True,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:37:46.934000,RIC,3,0 days 00:01:51.333000,3.0,1.0,,,0 days 00:00:39.891000,0 days 00:00:45.330000,0 days 00:00:26.112000,0 days 00:38:06.883000,0 days 00:38:52.213000,0 days 00:39:18.325000,184.0,197.0,321.0,317.0,False,SOFT,3.0,True,Renault,0 days 00:37:26.989000,2019-04-28 12:17:27.236,1,11.0,False,,False,True,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:39:47.094000,RIC,3,0 days 00:01:51.810000,4.0,1.0,,,0 days 00:00:40.280000,0 days 00:00:46.025000,0 days 00:00:25.505000,0 days 00:39:58.605000,0 days 00:40:44.630000,0 days 00:41:10.135000,182.0,186.0,344.0,322.0,False,SOFT,4.0,True,Renault,0 days 00:39:18.322000,2019-04-28 12:19:18.569,1,11.0,False,,False,True,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:41:46.580000,RIC,3,0 days 00:01:51.082000,5.0,1.0,,,0 days 00:00:39.957000,0 days 00:00:45.159000,0 days 00:00:25.966000,0 days 00:41:50.092000,0 days 00:42:35.251000,0 days 00:43:01.217000,191.0,201.0,307.0,315.0,False,SOFT,5.0,True,Renault,0 days 00:41:10.132000,2019-04-28 12:21:10.379,1,10.0,False,,False,True,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:43:46.609000,RIC,3,0 days 00:01:51.289000,6.0,1.0,,,0 days 00:00:40.261000,0 days 00:00:45.069000,0 days 00:00:25.959000,0 days 00:43:41.478000,0 days 00:44:26.547000,0 days 00:44:52.506000,184.0,199.0,317.0,313.0,False,SOFT,6.0,True,Renault,0 days 00:43:01.214000,2019-04-28 12:23:01.461,1,10.0,False,,False,True,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:45:46.637000,RIC,3,0 days 00:01:51.212000,7.0,1.0,,,0 days 00:00:39.887000,0 days 00:00:45.254000,0 days 00:00:26.071000,0 days 00:45:32.393000,0 days 00:46:17.647000,0 days 00:46:43.718000,191.0,205.0,315.0,313.0,False,SOFT,7.0,True,Renault,0 days 00:44:52.503000,2019-04-28 12:24:52.750,1,10.0,False,,False,True,20.0,50.0,1013.9,False,41.4,0,2.0
0 days 00:46:46.650000,RIC,3,0 days 00:01:52.091000,8.0,1.0,,,0 days 00:00:40.458000,0 days 00:00:45.595000,0 days 00:00:26.038000,0 days 00:47:24.176000,0 days 00:48:09.771000,0 days 00:48:35.809000,185.0,196.0,319.0,313.0,False,SOFT,8.0,True,Renault,0 days 00:46:43.715000,2019-04-28 12:26:43.962,1,10.0,False,,False,True,20.1,51.3,1014.0,False,41.5,244,0.8
0 days 00:48:46.677000,RIC,3,0 days 00:01:53.520000,9.0,1.0,,,0 days 00:00:40.860000,0 days 00:00:46.404000,0 days 00:00:26.256000,0 days 00:49:16.669000,0 days 00:50:03.073000,0 days 00:50:29.329000,182.0,190.0,306.0,313.0,False,SOFT,9.0,True,Renault,0 days 00:48:35.806000,2019-04-28 12:28:36.053,1,10.0,False,,False,True,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:50:46.730000,RIC,3,0 days 00:02:00.178000,10.0,1.0,,0 days 00:52:28.236000,0 days 00:00:41.234000,0 days 00:00:47.415000,0 days 00:00:31.529000,0 days 00:51:10.563000,0 days 00:51:57.978000,0 days 00:52:29.507000,,182.0,,318.0,False,SOFT,10.0,True,Renault,0 days 00:50:29.326000,2019-04-28 12:30:29.573,1,12.0,False,,False,False,20.0,53.3,1013.9,False,41.3,231,1.4
0 days 00:52:46.736000,RIC,3,0 days 00:02:07.766000,11.0,2.0,0 days 00:52:49.567000,,0 days 00:00:56.211000,0 days 00:00:45.433000,0 days 00:00:26.122000,0 days 00:53:25.718000,0 days 00:54:11.151000,0 days 00:54:37.273000,185.0,194.0,299.0,311.0,False,MEDIUM,1.0,True,Renault,0 days 00:52:29.504000,2019-04-28 12:32:29.751,1,17.0,False,,False,False,19.9,52.7,1013.9,False,41.1,206,0.8
0 days 00:54:46.766000,RIC,3,0 days 00:01:49.765000,12.0,2.0,,,0 days 00:00:39.381000,0 days 00:00:44.410000,0 days 00:00:25.974000,0 days 00:55:16.654000,0 days 00:56:01.064000,0 days 00:56:27.038000,192.0,200.0,303.0,311.0,True,MEDIUM,2.0,True,Renault,0 days 00:54:37.270000,2019-04-28 12:34:37.517,1,17.0,False,,False,True,19.8,52.1,1013.9,False,41.1,201,0.9
0 days 00:56:46.792000,RIC,3,0 days 00:01:48.724000,13.0,2.0,,,0 days 00:00:38.886000,0 days 00:00:44.090000,0 days 00:00:25.748000,0 days 00:57:05.924000,0 days 00:57:50.014000,0 days 00:58:15.762000,201.0,207.0,303.0,312.0,True,MEDIUM,3.0,True,Renault,0 days 00:56:27.035000,2019-04-28 12:36:27.282,1,16.0,False,,False,True,19.6,53.8,1013.9,False,41.0,0,0.8
0 days 00:58:46.828000,RIC,3,0 days 00:01:48.673000,14.0,2.0,,,0 days 00:00:38.730000,0 days 00:00:44.189000,0 days 00:00:25.754000,0 days 00:58:54.492000,0 days 00:59:38.681000,0 days 01:00:04.435000,189.0,202.0,303.0,315.0,True,MEDIUM,4.0,True,Renault,0 days 00:58:15.759000,2019-04-28 12:38:16.006,1,15.0,False,,False,True,19.3,54.6,1013.9,False,40.5,322,1.2
0 days 01:00:46.849000,RIC,3,0 days 00:01:48.284000,15.0,2.0,,,0 days 00:00:38.825000,0 days 00:00:44.049000,0 days 00:00:25.410000,0 days 01:00:43.260000,0 days 01:01:27.309000,0 days 01:01:52.719000,194.0,200.0,320.0,322.0,True,MEDIUM,5.0,True,Renault,0 days 01:00:04.432000,2019-04-28 12:40:04.679,1,14.0,False,,False,True,19.3,54.0,1013.7,False,40.2,8,1.0
0 days 01:02:46.880000,RIC,3,0 days 00:01:48.180000,16.0,2.0,,,0 days 00:00:38.715000,0 days 00:00:43.636000,0 days 00:00:25.829000,0 days 01:02:31.434000,0 days 01:03:15.070000,0 days 01:03:40.899000,195.0,204.0,301.0,312.0,True,MEDIUM,6.0,True,Renault,0 days 01:01:52.716000,2019-04-28 12:41:52.963,1,14.0,False,,False,True,19.0,54.4,1013.7,False,39.9,0,1.6
0 days 01:03:47.319000,RIC,3,0 days 00:01:47.539000,17.0,2.0,,,0 days 00:00:38.468000,0 days 00:00:43.661000,0 days 00:00:25.410000,0 days 01:04:19.367000,0 days 01:05:03.028000,0 days 01:05:28.438000,199.0,205.0,323.0,317.0,True,MEDIUM,7.0,True,Renault,0 days 01:03:40.896000,2019-04-28 12:43:41.143,1,14.0,False,,False,True,18.9,54.4,1013.7,False,39.8,226,1.0
0 days 01:05:47.428000,RIC,3,0 days 00:01:48.169000,18.0,2.0,,,0 days 00:00:38.978000,0 days 00:00:44.005000,0 days 00:00:25.186000,0 days 01:06:07.416000,0 days 01:06:51.421000,0 days 01:07:16.607000,188.0,202.0,337.0,319.0,False,MEDIUM,8.0,True,Renault,0 days 01:05:28.435000,2019-04-28 12:45:28.682,1,14.0,False,,False,True,18.9,55.2,1013.8,False,39.6,270,1.5
0 days 01:07:47.248000,RIC,3,0 days 00:01:48.041000,19.0,2.0,,,0 days 00:00:38.417000,0 days 00:00:43.856000,0 days 00:00:25.768000,0 days 01:07:55.024000,0 days 01:08:38.880000,0 days 01:09:04.648000,207.0,207.0,301.0,313.0,False,MEDIUM,9.0,True,Renault,0 days 01:07:16.604000,2019-04-28 12:47:16.851,1,13.0,False,,False,True,18.8,55.7,1013.8,False,39.5,2,1.4
