Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:40:38.644000,NOR,4,0 days 00:01:57.831000,1.0,1.0,,,,0 days 00:00:48.528000,0 days 00:00:34.508000,,0 days 00:41:22.298000,0 days 00:41:56.935000,132.0,222.0,239.0,233.0,False,WET,1.0,True,McLaren,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,19.0,False,,False,False,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:42:38.676000,NOR,4,0 days 00:01:48.279000,2.0,1.0,,,0 days 00:00:24.198000,0 days 00:00:45.628000,0 days 00:00:38.453000,0 days 00:42:20.967000,0 days 00:43:06.595000,0 days 00:43:45.048000,168.0,224.0,193.0,295.0,True,WET,2.0,True,McLaren,0 days 00:41:56.769000,2019-07-28 13:21:56.931,4,17.0,False,,False,False,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:44:38.697000,NOR,4,0 days 00:01:58.420000,3.0,1.0,,,0 days 00:00:28.828000,0 days 00:00:51.942000,0 days 00:00:37.650000,0 days 00:44:13.876000,0 days 00:45:05.818000,0 days 00:45:43.468000,156.0,158.0,233.0,217.0,False,WET,3.0,True,McLaren,0 days 00:43:45.048000,2019-07-28 13:23:45.210,4,14.0,False,,False,False,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:46:38.725000,NOR,4,0 days 00:02:05.492000,4.0,1.0,,,0 days 00:00:25.887000,0 days 00:00:57.417000,0 days 00:00:42.188000,0 days 00:46:09.355000,0 days 00:47:06.772000,0 days 00:47:48.960000,126.0,139.0,245.0,171.0,False,WET,4.0,True,McLaren,0 days 00:45:43.468000,2019-07-28 13:25:43.630,4,8.0,False,,False,False,21.2,88.3,991.4,True,26.1,117,1.0
0 days 00:48:38.753000,NOR,4,0 days 00:01:39.497000,5.0,1.0,,,0 days 00:00:22.215000,0 days 00:00:44.868000,0 days 00:00:32.414000,0 days 00:48:11.175000,0 days 00:48:56.043000,0 days 00:49:28.457000,171.0,227.0,244.0,302.0,True,WET,5.0,True,McLaren,0 days 00:47:48.960000,2019-07-28 13:27:49.122,1,9.0,False,,False,False,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:49:38.765000,NOR,4,0 days 00:01:44.246000,6.0,1.0,,0 days 00:51:10.260000,0 days 00:00:22.766000,0 days 00:00:45.259000,0 days 00:00:36.221000,0 days 00:49:51.223000,0 days 00:50:36.482000,0 days 00:51:12.703000,162.0,227.0,,301.0,False,WET,6.0,True,McLaren,0 days 00:49:28.457000,2019-07-28 13:29:28.619,1,13.0,False,,False,False,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:51:38.799000,NOR,4,0 days 00:01:48.908000,7.0,2.0,0 days 00:51:31.652000,,0 days 00:00:36.793000,0 days 00:00:42.231000,0 days 00:00:29.884000,0 days 00:51:49.496000,0 days 00:52:31.727000,0 days 00:53:01.611000,194.0,238.0,251.0,301.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:51:12.703000,2019-07-28 13:31:12.865,1,18.0,False,,False,False,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:53:38.825000,NOR,4,0 days 00:01:31.756000,8.0,2.0,,,0 days 00:00:20.791000,0 days 00:00:41.861000,0 days 00:00:29.104000,0 days 00:53:22.402000,0 days 00:54:04.263000,0 days 00:54:33.367000,188.0,240.0,251.0,304.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:53:01.611000,2019-07-28 13:33:01.773,1,16.0,False,,False,True,21.7,87.0,991.4,True,26.2,3,0.6
0 days 00:54:38.838000,NOR,4,0 days 00:01:31.410000,9.0,2.0,,,0 days 00:00:20.786000,0 days 00:00:41.654000,0 days 00:00:28.970000,0 days 00:54:54.153000,0 days 00:55:35.807000,0 days 00:56:04.777000,200.0,239.0,253.0,304.0,True,INTERMEDIATE,3.0,True,McLaren,0 days 00:54:33.367000,2019-07-28 13:34:33.529,1,15.0,False,,False,True,21.5,88.1,991.5,True,26.1,112,0.9
0 days 00:56:38.867000,NOR,4,0 days 00:01:32.078000,10.0,2.0,,,0 days 00:00:20.969000,0 days 00:00:41.690000,0 days 00:00:29.419000,0 days 00:56:25.746000,0 days 00:57:07.436000,0 days 00:57:36.855000,201.0,238.0,253.0,304.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:56:04.777000,2019-07-28 13:36:04.939,1,15.0,False,,False,True,21.6,87.5,991.5,True,26.4,2,0.4
0 days 00:57:38.880000,NOR,4,0 days 00:01:32.182000,11.0,2.0,,,0 days 00:00:20.757000,0 days 00:00:41.830000,0 days 00:00:29.595000,0 days 00:57:57.612000,0 days 00:58:39.442000,0 days 00:59:09.037000,194.0,236.0,252.0,305.0,False,INTERMEDIATE,5.0,True,McLaren,0 days 00:57:36.855000,2019-07-28 13:37:37.017,1,15.0,False,,False,True,21.6,88.0,991.4,True,26.4,67,0.8
0 days 00:59:38.909000,NOR,4,0 days 00:01:32.713000,12.0,2.0,,,0 days 00:00:20.695000,0 days 00:00:42.017000,0 days 00:00:30.001000,0 days 00:59:29.732000,0 days 01:00:11.749000,0 days 01:00:41.750000,195.0,236.0,252.0,306.0,False,INTERMEDIATE,6.0,True,McLaren,0 days 00:59:09.037000,2019-07-28 13:39:09.199,1,15.0,False,,False,True,21.4,87.7,991.6,True,26.0,89,1.3
0 days 01:01:38.936000,NOR,4,0 days 00:01:33.022000,13.0,2.0,,,0 days 00:00:20.600000,0 days 00:00:42.052000,0 days 00:00:30.370000,0 days 01:01:02.350000,0 days 01:01:44.402000,0 days 01:02:14.772000,197.0,237.0,248.0,302.0,False,INTERMEDIATE,7.0,True,McLaren,0 days 01:00:41.750000,2019-07-28 13:40:41.912,1,15.0,False,,False,True,21.4,87.1,991.6,True,26.2,176,1.1
0 days 01:02:38.952000,NOR,4,0 days 00:01:34.494000,14.0,2.0,,,0 days 00:00:20.308000,0 days 00:00:43.707000,0 days 00:00:30.479000,0 days 01:02:35.080000,0 days 01:03:18.787000,0 days 01:03:49.266000,194.0,233.0,248.0,301.0,False,INTERMEDIATE,8.0,True,McLaren,0 days 01:02:14.772000,2019-07-28 13:42:14.934,26,14.0,False,,False,False,21.6,88.0,991.6,True,26.2,358,1.3
0 days 01:04:38.981000,NOR,4,0 days 00:01:53.814000,15.0,2.0,,,0 days 00:00:30.989000,0 days 00:00:52.079000,0 days 00:00:30.746000,0 days 01:04:20.255000,0 days 01:05:12.334000,0 days 01:05:43.080000,165.0,196.0,249.0,192.0,False,INTERMEDIATE,9.0,True,McLaren,0 days 01:03:49.266000,2019-07-28 13:43:49.428,67,14.0,False,,False,False,21.4,87.5,991.6,True,26.1,65,0.6
0 days 01:06:39.008000,NOR,4,0 days 00:01:31.081000,16.0,2.0,,,0 days 00:00:19.961000,0 days 00:00:41.398000,0 days 00:00:29.722000,0 days 01:06:03.041000,0 days 01:06:44.439000,0 days 01:07:14.161000,198.0,239.0,250.0,302.0,True,INTERMEDIATE,10.0,True,McLaren,0 days 01:05:43.080000,2019-07-28 13:45:43.242,1,14.0,False,,False,True,21.5,87.3,991.6,True,26.1,9,0.6
0 days 01:07:39.023000,NOR,4,0 days 00:01:31.967000,17.0,2.0,,,0 days 00:00:19.870000,0 days 00:00:42.044000,0 days 00:00:30.053000,0 days 01:07:34.031000,0 days 01:08:16.075000,0 days 01:08:46.128000,194.0,237.0,249.0,298.0,False,INTERMEDIATE,11.0,True,McLaren,0 days 01:07:14.161000,2019-07-28 13:47:14.323,1,14.0,False,,False,True,21.4,86.9,991.7,True,26.2,188,0.9
