Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:16.110000,SAI,55,0 days 00:01:43.203000,1.0,1.0,,,,0 days 00:00:24.753000,0 days 00:00:37.094000,,0 days 00:34:39.113000,0 days 00:35:16.425000,256.0,287.0,290.0,210.0,False,SOFT,1.0,True,McLaren,0 days 00:33:32.727000,2019-03-17 05:13:33.030,2,14.0,False,,False,False,23.7,70.3,1015.4,False,43.6,176,1.4
0 days 00:35:16.205000,SAI,55,0 days 00:01:32.340000,2.0,1.0,,,0 days 00:00:31.351000,0 days 00:00:24.123000,0 days 00:00:36.866000,0 days 00:35:47.546000,0 days 00:36:11.669000,0 days 00:36:48.535000,264.0,284.0,289.0,276.0,True,SOFT,2.0,True,McLaren,0 days 00:35:16.188000,2019-03-17 05:15:16.491,1,14.0,False,,False,True,23.6,69.7,1015.5,False,43.5,158,1.2
0 days 00:37:16.303000,SAI,55,0 days 00:01:31.467000,3.0,1.0,,,0 days 00:00:30.747000,0 days 00:00:24.146000,0 days 00:00:36.574000,0 days 00:37:19.282000,0 days 00:37:43.428000,0 days 00:38:20.002000,265.0,286.0,303.0,296.0,True,SOFT,3.0,True,McLaren,0 days 00:36:48.528000,2019-03-17 05:16:48.831,1,14.0,False,,False,True,23.5,70.5,1015.4,False,43.4,68,1.3
0 days 00:39:16.170000,SAI,55,0 days 00:01:31.696000,4.0,1.0,,,0 days 00:00:30.659000,0 days 00:00:24.253000,0 days 00:00:36.784000,0 days 00:38:50.661000,0 days 00:39:14.914000,0 days 00:39:51.698000,266.0,,301.0,305.0,False,SOFT,4.0,True,McLaren,0 days 00:38:19.995000,2019-03-17 05:18:20.298,1,14.0,False,,False,True,23.7,69.1,1015.3,False,43.4,328,1.8
0 days 00:40:16.185000,SAI,55,0 days 00:01:31.698000,5.0,1.0,,,0 days 00:00:30.904000,0 days 00:00:24.166000,0 days 00:00:36.628000,0 days 00:40:22.602000,0 days 00:40:46.768000,0 days 00:41:23.396000,263.0,,300.0,,False,SOFT,5.0,True,McLaren,0 days 00:39:51.691000,2019-03-17 05:19:51.994,1,14.0,False,,False,True,23.7,69.1,1015.4,False,43.0,149,1.2
0 days 00:42:16.215000,SAI,55,0 days 00:01:31.054000,6.0,1.0,,,0 days 00:00:30.447000,0 days 00:00:24.133000,0 days 00:00:36.474000,0 days 00:41:53.843000,0 days 00:42:17.976000,0 days 00:42:54.450000,267.0,287.0,300.0,312.0,True,SOFT,6.0,True,McLaren,0 days 00:41:23.389000,2019-03-17 05:21:23.692,1,14.0,False,,False,True,23.5,70.5,1015.3,False,42.9,178,2.2
0 days 00:43:16.232000,SAI,55,0 days 00:01:31.317000,7.0,1.0,,,0 days 00:00:30.601000,0 days 00:00:24.115000,0 days 00:00:36.601000,0 days 00:43:25.051000,0 days 00:43:49.166000,0 days 00:44:25.767000,266.0,288.0,300.0,310.0,False,SOFT,7.0,True,McLaren,0 days 00:42:54.443000,2019-03-17 05:22:54.746,1,14.0,False,,False,True,23.4,70.8,1015.3,False,42.9,0,1.4
0 days 00:45:16.438000,SAI,55,0 days 00:01:31.259000,8.0,1.0,,,0 days 00:00:30.501000,0 days 00:00:24.198000,0 days 00:00:36.560000,0 days 00:44:56.268000,0 days 00:45:20.466000,0 days 00:45:57.026000,267.0,286.0,300.0,308.0,False,SOFT,8.0,True,McLaren,0 days 00:44:25.760000,2019-03-17 05:24:26.063,1,14.0,False,,False,True,23.4,70.7,1015.3,False,42.5,333,1.1
0 days 00:46:16.284000,SAI,55,0 days 00:01:30.899000,9.0,1.0,,,0 days 00:00:30.467000,0 days 00:00:24.098000,0 days 00:00:36.334000,0 days 00:46:27.493000,0 days 00:46:51.591000,0 days 00:47:27.925000,268.0,287.0,301.0,,True,SOFT,9.0,True,McLaren,0 days 00:45:57.019000,2019-03-17 05:25:57.322,1,14.0,False,,False,True,23.5,70.0,1015.3,False,42.8,152,1.7
0 days 00:48:16.689000,SAI,55,,10.0,1.0,,,,,,,,,,,,,,SOFT,10.0,True,McLaren,0 days 00:47:27.918000,,,,False,,True,False,23.5,70.3,1015.4,False,42.3,98,1.2
