Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:36.572000,RUS,63,0 days 00:02:04.734000,1.0,1.0,,,,0 days 00:00:32.773000,0 days 00:01:00.189000,,0 days 00:34:31.944000,0 days 00:35:32.573000,276.0,266.0,125.0,129.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:27.137000,2019-04-14 06:13:29.012,26,15.0,False,,False,False,19.6,44.7,1019.2,False,28.8,130,3.0
0 days 00:35:36.746000,RUS,63,0 days 00:01:45.543000,2.0,1.0,,,0 days 00:00:30.140000,0 days 00:00:30.824000,0 days 00:00:44.579000,0 days 00:36:02.234000,0 days 00:36:33.058000,0 days 00:37:17.637000,273.0,265.0,253.0,305.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:32.109000,2019-04-14 06:15:33.984,67,15.0,False,,False,False,19.4,45.1,1019.1,False,28.9,79,2.6
0 days 00:37:37.047000,RUS,63,0 days 00:01:42.357000,3.0,1.0,,,0 days 00:00:26.948000,0 days 00:00:30.837000,0 days 00:00:44.572000,0 days 00:37:44.585000,0 days 00:38:15.422000,0 days 00:38:59.994000,267.0,255.0,258.0,303.0,True,MEDIUM,3.0,True,Williams,0 days 00:37:17.652000,2019-04-14 06:17:19.527,1,16.0,False,,False,True,19.8,43.4,1019.1,False,28.9,84,3.2
0 days 00:39:36.606000,RUS,63,0 days 00:01:43.130000,4.0,1.0,,,0 days 00:00:27.063000,0 days 00:00:31.504000,0 days 00:00:44.563000,0 days 00:39:27.057000,0 days 00:39:58.561000,0 days 00:40:43.124000,266.0,260.0,252.0,306.0,False,MEDIUM,4.0,True,Williams,0 days 00:39:00.009000,2019-04-14 06:19:01.884,1,17.0,False,,False,True,19.6,43.8,1019.1,False,28.3,89,3.3
0 days 00:41:36.657000,RUS,63,0 days 00:01:42.111000,5.0,1.0,,,0 days 00:00:27.124000,0 days 00:00:30.688000,0 days 00:00:44.299000,0 days 00:41:10.248000,0 days 00:41:40.936000,0 days 00:42:25.235000,260.0,257.0,252.0,304.0,True,MEDIUM,5.0,True,Williams,0 days 00:40:43.139000,2019-04-14 06:20:45.014,1,17.0,False,,False,True,19.4,44.0,1019.1,False,28.2,91,4.0
0 days 00:42:36.649000,RUS,63,0 days 00:01:41.802000,6.0,1.0,,,0 days 00:00:26.899000,0 days 00:00:30.709000,0 days 00:00:44.194000,0 days 00:42:52.134000,0 days 00:43:22.843000,0 days 00:44:07.037000,263.0,260.0,253.0,306.0,True,MEDIUM,6.0,True,Williams,0 days 00:42:25.250000,2019-04-14 06:22:27.125,1,17.0,False,,False,True,19.5,43.5,1019.1,False,28.1,68,3.4
0 days 00:44:36.677000,RUS,63,0 days 00:01:41.859000,7.0,1.0,,,0 days 00:00:26.969000,0 days 00:00:30.589000,0 days 00:00:44.301000,0 days 00:44:34.006000,0 days 00:45:04.595000,0 days 00:45:48.896000,,259.0,253.0,302.0,False,MEDIUM,7.0,True,Williams,0 days 00:44:07.052000,2019-04-14 06:24:08.927,1,15.0,False,,False,True,19.6,43.4,1019.1,False,28.1,77,4.6
0 days 00:46:36.705000,RUS,63,0 days 00:01:41.368000,8.0,1.0,,,0 days 00:00:26.893000,0 days 00:00:30.447000,0 days 00:00:44.028000,0 days 00:46:15.789000,0 days 00:46:46.236000,0 days 00:47:30.264000,262.0,261.0,253.0,298.0,True,MEDIUM,8.0,True,Williams,0 days 00:45:48.911000,2019-04-14 06:25:50.786,1,15.0,False,,False,True,19.6,44.5,1019.2,False,28.0,99,3.6
0 days 00:47:36.721000,RUS,63,0 days 00:01:41.355000,9.0,1.0,,,0 days 00:00:26.822000,0 days 00:00:30.341000,0 days 00:00:44.192000,0 days 00:47:57.086000,0 days 00:48:27.427000,0 days 00:49:11.619000,263.0,261.0,253.0,299.0,True,MEDIUM,9.0,True,Williams,0 days 00:47:30.279000,2019-04-14 06:27:32.154,1,14.0,False,,False,True,19.5,44.7,1019.2,False,27.9,108,3.2
0 days 00:49:36.746000,RUS,63,0 days 00:01:41.439000,10.0,1.0,,,0 days 00:00:26.878000,0 days 00:00:30.488000,0 days 00:00:44.073000,0 days 00:49:38.497000,0 days 00:50:08.985000,0 days 00:50:53.058000,262.0,259.0,252.0,300.0,False,MEDIUM,10.0,True,Williams,0 days 00:49:11.634000,2019-04-14 06:29:13.509,1,13.0,False,,False,True,19.6,45.1,1019.2,False,27.9,90,3.6
0 days 00:51:37.114000,RUS,63,0 days 00:01:41.769000,11.0,1.0,,,0 days 00:00:27.023000,0 days 00:00:30.563000,0 days 00:00:44.183000,0 days 00:51:20.081000,0 days 00:51:50.644000,0 days 00:52:34.827000,260.0,257.0,253.0,301.0,False,MEDIUM,11.0,True,Williams,0 days 00:50:53.073000,2019-04-14 06:30:54.948,1,13.0,False,,False,True,19.6,45.2,1019.1,False,27.8,84,3.6
