Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:11.359000,GIO,99,0 days 00:01:30.799000,1.0,1.0,,,,0 days 00:00:27.063000,0 days 00:00:32.215000,,0 days 00:34:03.310000,0 days 00:34:35.226000,232.0,281.0,280.0,308.0,False,HARD,1.0,True,Alfa Romeo Racing,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,13.0,False,,False,False,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:35:11.712000,GIO,99,0 days 00:01:20.243000,2.0,1.0,,,0 days 00:00:22.848000,0 days 00:00:25.705000,0 days 00:00:31.690000,0 days 00:34:57.868000,0 days 00:35:23.573000,0 days 00:35:55.263000,247.0,282.0,281.0,310.0,True,HARD,2.0,True,Alfa Romeo Racing,0 days 00:34:35.048000,2019-06-09 18:14:35.126,1,13.0,False,,False,True,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:36:11.657000,GIO,99,0 days 00:01:18.859000,3.0,1.0,,,0 days 00:00:22.222000,0 days 00:00:25.420000,0 days 00:00:31.217000,0 days 00:36:17.485000,0 days 00:36:42.905000,0 days 00:37:14.122000,252.0,281.0,290.0,326.0,True,HARD,3.0,True,Alfa Romeo Racing,0 days 00:35:55.291000,2019-06-09 18:15:55.369,1,12.0,False,,False,True,28.5,17.0,1022.2,False,51.9,168,1.1
0 days 00:38:12.115000,GIO,99,0 days 00:01:18.797000,4.0,1.0,,,0 days 00:00:22.302000,0 days 00:00:25.202000,0 days 00:00:31.293000,0 days 00:37:36.424000,0 days 00:38:01.626000,0 days 00:38:32.919000,,282.0,291.0,326.0,True,HARD,4.0,True,Alfa Romeo Racing,0 days 00:37:14.150000,2019-06-09 18:17:14.228,1,12.0,False,,False,True,28.7,16.6,1022.2,False,52.2,348,1.4
0 days 00:39:12.152000,GIO,99,0 days 00:01:18.883000,5.0,1.0,,,0 days 00:00:22.332000,0 days 00:00:25.309000,0 days 00:00:31.242000,0 days 00:38:55.251000,0 days 00:39:20.560000,0 days 00:39:51.802000,251.0,280.0,290.0,324.0,False,HARD,5.0,True,Alfa Romeo Racing,0 days 00:38:32.947000,2019-06-09 18:18:33.025,1,12.0,False,,False,True,28.9,18.4,1022.2,False,51.9,281,1.1
0 days 00:40:11.987000,GIO,99,0 days 00:01:20.435000,6.0,1.0,,,0 days 00:00:22.588000,0 days 00:00:25.551000,0 days 00:00:32.296000,0 days 00:40:14.390000,0 days 00:40:39.941000,0 days 00:41:12.237000,237.0,279.0,282.0,306.0,False,HARD,6.0,True,Alfa Romeo Racing,0 days 00:39:51.830000,2019-06-09 18:19:51.908,1,13.0,False,,False,True,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:42:11.787000,GIO,99,0 days 00:01:19.940000,7.0,1.0,,,0 days 00:00:22.410000,0 days 00:00:25.674000,0 days 00:00:31.856000,0 days 00:41:34.647000,0 days 00:42:00.321000,0 days 00:42:32.177000,233.0,278.0,279.0,304.0,False,HARD,7.0,True,Alfa Romeo Racing,0 days 00:41:12.265000,2019-06-09 18:21:12.343,1,12.0,False,,False,True,29.1,17.6,1022.2,False,51.4,112,0.4
0 days 00:43:11.488000,GIO,99,0 days 00:01:19.189000,8.0,1.0,,,0 days 00:00:22.133000,0 days 00:00:25.322000,0 days 00:00:31.734000,0 days 00:42:54.310000,0 days 00:43:19.632000,0 days 00:43:51.366000,251.0,279.0,278.0,305.0,False,HARD,8.0,True,Alfa Romeo Racing,0 days 00:42:32.205000,2019-06-09 18:22:32.283,1,12.0,False,,False,True,29.2,17.2,1022.2,False,51.4,298,0.9
0 days 00:44:11.500000,GIO,99,0 days 00:01:18.871000,9.0,1.0,,,0 days 00:00:22.143000,0 days 00:00:25.332000,0 days 00:00:31.396000,0 days 00:44:13.509000,0 days 00:44:38.841000,0 days 00:45:10.237000,,279.0,280.0,305.0,False,HARD,9.0,True,Alfa Romeo Racing,0 days 00:43:51.394000,2019-06-09 18:23:51.472,2,10.0,False,,False,True,29.2,17.4,1022.3,False,51.4,130,1.4
0 days 00:45:11.686000,GIO,99,0 days 00:01:19.424000,10.0,1.0,,,0 days 00:00:22.148000,0 days 00:00:25.466000,0 days 00:00:31.810000,0 days 00:45:32.385000,0 days 00:45:57.851000,0 days 00:46:29.661000,247.0,280.0,282.0,309.0,False,HARD,10.0,True,Alfa Romeo Racing,0 days 00:45:10.265000,2019-06-09 18:25:10.343,2,11.0,False,,False,True,29.2,16.6,1022.3,False,51.3,323,1.1
