Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.827000,GIO,99,0 days 00:01:51.260000,1.0,1.0,,,,0 days 00:00:36.687000,0 days 00:00:39.512000,,0 days 00:34:13.648000,0 days 00:34:52.809000,240.0,283.0,145.0,311.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,15.0,False,,False,False,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:35:33.201000,GIO,99,0 days 00:01:44.988000,2.0,1.0,,,0 days 00:00:40.128000,0 days 00:00:38.937000,0 days 00:00:25.923000,0 days 00:35:32.708000,0 days 00:36:11.645000,0 days 00:36:37.568000,194.0,128.0,246.0,271.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:52.583000,2019-10-27 19:14:52.903,67,15.0,False,,False,False,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:37:43.879000,GIO,99,0 days 00:01:23.682000,3.0,1.0,,,0 days 00:00:29.187000,0 days 00:00:32.775000,0 days 00:00:21.720000,0 days 00:37:06.755000,0 days 00:37:39.530000,0 days 00:38:01.250000,286.0,291.0,250.0,329.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:37.571000,2019-10-27 19:16:37.891,7,15.0,False,,False,False,22.9,46.2,780.9,False,42.2,94,2.2
0 days 00:38:45.881000,GIO,99,0 days 00:01:23.588000,4.0,1.0,,,0 days 00:00:28.819000,0 days 00:00:33.125000,0 days 00:00:21.644000,0 days 00:38:30.069000,0 days 00:39:03.194000,0 days 00:39:24.838000,290.0,291.0,250.0,355.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:38:01.253000,2019-10-27 19:18:01.573,1,15.0,False,,False,True,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:39:40.565000,GIO,99,0 days 00:01:24.749000,5.0,1.0,,,0 days 00:00:28.899000,0 days 00:00:33.629000,0 days 00:00:22.221000,0 days 00:39:53.737000,0 days 00:40:27.366000,0 days 00:40:49.587000,288.0,292.0,247.0,359.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:24.841000,2019-10-27 19:19:25.161,2,14.0,False,,False,True,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:41:33.202000,GIO,99,0 days 00:01:23.832000,6.0,1.0,,,0 days 00:00:28.977000,0 days 00:00:33.126000,0 days 00:00:21.729000,0 days 00:41:18.564000,0 days 00:41:51.690000,0 days 00:42:13.419000,287.0,288.0,247.0,350.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:49.590000,2019-10-27 19:20:49.910,1,14.0,False,,False,True,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:42:33.286000,GIO,99,0 days 00:01:23.599000,7.0,1.0,,,0 days 00:00:29.061000,0 days 00:00:32.821000,0 days 00:00:21.717000,0 days 00:42:42.480000,0 days 00:43:15.301000,0 days 00:43:37.018000,290.0,289.0,247.0,349.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:42:13.422000,2019-10-27 19:22:13.742,1,14.0,False,,False,True,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:44:33.367000,GIO,99,0 days 00:01:23.899000,8.0,1.0,,,0 days 00:00:28.802000,0 days 00:00:33.076000,0 days 00:00:22.021000,0 days 00:44:05.820000,0 days 00:44:38.896000,0 days 00:45:00.917000,292.0,291.0,246.0,347.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:43:37.021000,2019-10-27 19:23:37.341,1,14.0,False,,False,True,23.3,45.5,780.7,False,43.5,88,0.7
0 days 00:45:33.199000,GIO,99,0 days 00:01:25.422000,9.0,1.0,,,0 days 00:00:29.581000,0 days 00:00:33.705000,0 days 00:00:22.136000,0 days 00:45:30.498000,0 days 00:46:04.203000,0 days 00:46:26.339000,250.0,288.0,245.0,350.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:45:00.920000,2019-10-27 19:25:01.240,1,15.0,False,,False,True,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:46:33.352000,GIO,99,0 days 00:01:23.498000,10.0,1.0,,,0 days 00:00:29.332000,0 days 00:00:32.683000,0 days 00:00:21.483000,0 days 00:46:55.671000,0 days 00:47:28.354000,0 days 00:47:49.837000,283.0,282.0,246.0,328.0,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:46:26.342000,2019-10-27 19:26:26.662,1,14.0,False,,False,True,23.3,46.0,780.7,False,43.7,163,1.2
