Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:11.676000,GIO,99,0 days 00:01:58.280000,1.0,1.0,,,,0 days 00:00:44.190000,0 days 00:00:38.815000,,0 days 00:35:00.285000,0 days 00:35:39.565000,296.0,265.0,243.0,227.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,8.0,False,,False,False,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:36:11.732000,GIO,99,0 days 00:01:50.236000,2.0,1.0,,,0 days 00:00:29.896000,0 days 00:00:42.711000,0 days 00:00:37.629000,0 days 00:36:08.853000,0 days 00:36:51.564000,0 days 00:37:29.193000,291.0,266.0,244.0,284.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:38.940000,2019-09-22 12:15:39.908,1,8.0,False,,False,True,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:38:11.617000,GIO,99,0 days 00:01:50.098000,3.0,1.0,,,0 days 00:00:30.044000,0 days 00:00:42.594000,0 days 00:00:37.460000,0 days 00:37:59.237000,0 days 00:38:41.831000,0 days 00:39:19.291000,290.0,265.0,246.0,283.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:37:29.176000,2019-09-22 12:17:30.144,1,8.0,False,,False,True,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:40:11.626000,GIO,99,0 days 00:01:49.647000,4.0,1.0,,,0 days 00:00:29.614000,0 days 00:00:42.616000,0 days 00:00:37.417000,0 days 00:39:48.905000,0 days 00:40:31.521000,0 days 00:41:08.938000,292.0,265.0,247.0,,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:39:19.274000,2019-09-22 12:19:20.242,1,8.0,False,,False,True,30.2,63.4,1010.7,False,36.9,138,2.7
0 days 00:41:11.624000,GIO,99,0 days 00:01:48.995000,5.0,1.0,,,0 days 00:00:29.630000,0 days 00:00:42.085000,0 days 00:00:37.280000,0 days 00:41:38.568000,0 days 00:42:20.653000,0 days 00:42:57.933000,291.0,265.0,246.0,284.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:41:08.921000,2019-09-22 12:21:09.889,1,8.0,False,,False,True,30.3,64.6,1010.6,False,36.5,170,2.0
0 days 00:43:11.633000,GIO,99,0 days 00:01:48.967000,6.0,1.0,,,0 days 00:00:29.617000,0 days 00:00:41.977000,0 days 00:00:37.373000,0 days 00:43:27.550000,0 days 00:44:09.527000,0 days 00:44:46.900000,292.0,264.0,246.0,,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:42:57.916000,2019-09-22 12:22:58.884,1,8.0,False,,False,True,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:45:11.643000,GIO,99,0 days 00:01:49.459000,7.0,1.0,,,0 days 00:00:29.709000,0 days 00:00:42.316000,0 days 00:00:37.434000,0 days 00:45:16.609000,0 days 00:45:58.925000,0 days 00:46:36.359000,293.0,265.0,247.0,283.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:44:46.883000,2019-09-22 12:24:47.851,1,8.0,False,,False,True,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:47:11.621000,GIO,99,0 days 00:01:49.214000,8.0,1.0,,,0 days 00:00:29.659000,0 days 00:00:42.223000,0 days 00:00:37.332000,0 days 00:47:06.018000,0 days 00:47:48.241000,0 days 00:48:25.573000,,264.0,246.0,285.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:46:36.342000,2019-09-22 12:26:37.310,1,8.0,False,,False,True,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:49:11.631000,GIO,99,0 days 00:01:49.449000,9.0,1.0,,,0 days 00:00:29.774000,0 days 00:00:42.253000,0 days 00:00:37.422000,0 days 00:48:55.347000,0 days 00:49:37.600000,0 days 00:50:15.022000,,265.0,246.0,284.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:48:25.556000,2019-09-22 12:28:26.524,1,8.0,False,,False,True,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:51:11.641000,GIO,99,0 days 00:01:49.667000,10.0,1.0,,,0 days 00:00:29.806000,0 days 00:00:42.428000,0 days 00:00:37.433000,0 days 00:50:44.828000,0 days 00:51:27.256000,0 days 00:52:04.689000,292.0,266.0,246.0,,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:50:15.005000,2019-09-22 12:30:15.973,1,8.0,False,,False,True,30.1,66.1,1010.8,False,35.8,183,1.7
