Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:24.307000,GIO,99,0 days 00:01:52.013000,1.0,1.0,,,,0 days 00:00:43.536000,0 days 00:00:35.371000,,0 days 00:34:40.680000,0 days 00:35:15.959000,164.0,178.0,203.0,303.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,16.0,False,,False,False,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:35:24.311000,GIO,99,0 days 00:01:44.924000,2.0,1.0,,,0 days 00:00:28.676000,0 days 00:00:41.624000,0 days 00:00:34.624000,0 days 00:35:44.477000,0 days 00:36:26.101000,0 days 00:37:00.725000,190.0,183.0,204.0,294.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:15.790000,2019-11-03 19:15:16.506,1,15.0,False,,False,True,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:37:24.313000,GIO,99,0 days 00:01:44.021000,3.0,1.0,,,0 days 00:00:28.303000,0 days 00:00:41.394000,0 days 00:00:34.324000,0 days 00:37:29.028000,0 days 00:38:10.422000,0 days 00:38:44.746000,189.0,183.0,204.0,303.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:37:00.714000,2019-11-03 19:17:01.430,1,15.0,False,,False,True,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:39:24.325000,GIO,99,0 days 00:01:43.864000,4.0,1.0,,,0 days 00:00:27.871000,0 days 00:00:41.177000,0 days 00:00:34.816000,0 days 00:39:12.617000,0 days 00:39:53.794000,0 days 00:40:28.610000,193.0,181.0,205.0,321.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:38:44.735000,2019-11-03 19:18:45.451,1,15.0,False,,False,True,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:41:24.360000,GIO,99,0 days 00:01:43.877000,5.0,1.0,,,0 days 00:00:28.068000,0 days 00:00:41.208000,0 days 00:00:34.601000,0 days 00:40:56.678000,0 days 00:41:37.886000,0 days 00:42:12.487000,188.0,180.0,204.0,306.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:40:28.599000,2019-11-03 19:20:29.315,1,15.0,False,,False,True,21.2,25.0,1001.8,False,29.0,270,2.3
0 days 00:42:24.362000,GIO,99,0 days 00:01:43.713000,6.0,1.0,,,0 days 00:00:28.055000,0 days 00:00:41.032000,0 days 00:00:34.626000,0 days 00:42:40.542000,0 days 00:43:21.574000,0 days 00:43:56.200000,,181.0,202.0,313.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:42:12.476000,2019-11-03 19:22:13.192,1,15.0,False,,False,True,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:44:24.402000,GIO,99,0 days 00:01:44.492000,7.0,1.0,,,0 days 00:00:28.004000,0 days 00:00:41.858000,0 days 00:00:34.630000,0 days 00:44:24.204000,0 days 00:45:06.062000,0 days 00:45:40.692000,195.0,182.0,202.0,300.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:43:56.189000,2019-11-03 19:23:56.905,1,15.0,False,,False,True,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:46:24.420000,GIO,99,0 days 00:01:43.994000,8.0,1.0,,,0 days 00:00:27.973000,0 days 00:00:41.413000,0 days 00:00:34.608000,0 days 00:46:08.665000,0 days 00:46:50.078000,0 days 00:47:24.686000,196.0,183.0,201.0,300.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:45:40.681000,2019-11-03 19:25:41.397,2,14.0,True,TRACK LIMITS AT TURN 19,False,True,21.9,23.3,1001.7,False,29.4,132,1.4
0 days 00:48:24.434000,GIO,99,0 days 00:01:43.858000,9.0,1.0,,,0 days 00:00:28.126000,0 days 00:00:41.365000,0 days 00:00:34.367000,0 days 00:47:52.812000,0 days 00:48:34.177000,0 days 00:49:08.544000,197.0,183.0,203.0,295.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:47:24.675000,2019-11-03 19:27:25.391,2,14.0,False,,False,True,21.5,23.2,1001.7,False,29.3,150,3.0
0 days 00:49:24.435000,GIO,99,0 days 00:01:44.200000,10.0,1.0,,,0 days 00:00:28.237000,0 days 00:00:41.607000,0 days 00:00:34.356000,0 days 00:49:36.781000,0 days 00:50:18.388000,0 days 00:50:52.744000,196.0,180.0,202.0,291.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:49:08.533000,2019-11-03 19:29:09.249,1,14.0,False,,False,True,21.4,24.3,1001.8,False,29.3,269,3.2
