LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:46.050000,2.0,LEC,16,0 days 00:33:46.427000,1.0,1.0,,,,0 days 00:00:43.468000,0 days 00:00:41.460000,,0 days 00:34:36.054000,0 days 00:35:17.558000,287.0,298.0,218.0,312.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:33:31.194000,2019-12-01 13:13:31.397,2,False,,False,False,Abu Dhabi Grand Prix,21,280.0,26.4,60.4,1015.2,False,30.7,218,1.4
0 days 00:01:43.061000,2.0,LEC,16,0 days 00:35:46.402000,2.0,1.0,,,0 days 00:00:17.995000,0 days 00:00:43.644000,0 days 00:00:41.422000,0 days 00:35:35.438000,0 days 00:36:19.082000,0 days 00:37:00.504000,279.0,297.0,215.0,302.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:35:17.445000,2019-12-01 13:15:17.648,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,59.9,1015.0,False,30.5,185,1.5
0 days 00:01:43.272000,2.0,LEC,16,0 days 00:37:46.394000,3.0,1.0,,,0 days 00:00:17.937000,0 days 00:00:43.795000,0 days 00:00:41.540000,0 days 00:37:18.441000,0 days 00:38:02.236000,0 days 00:38:43.776000,280.0,299.0,214.0,303.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:37:00.506000,2019-12-01 13:17:00.709,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,60.7,1015.0,False,30.6,235,1.9
0 days 00:01:43.155000,2.0,LEC,16,0 days 00:38:46.395000,4.0,1.0,,,0 days 00:00:17.894000,0 days 00:00:43.838000,0 days 00:00:41.423000,0 days 00:39:01.670000,0 days 00:39:45.508000,0 days 00:40:26.931000,281.0,298.0,214.0,301.0,False,MEDIUM,7.0,False,Ferrari,0 days 00:38:43.778000,2019-12-01 13:18:43.981,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,60.7,1015.0,False,30.3,156,1.5
0 days 00:01:43.501000,2.0,LEC,16,0 days 00:40:46.408000,5.0,1.0,,,0 days 00:00:17.966000,0 days 00:00:43.971000,0 days 00:00:41.564000,0 days 00:40:44.897000,0 days 00:41:28.868000,0 days 00:42:10.432000,279.0,298.0,213.0,301.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:40:26.933000,2019-12-01 13:20:27.136,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.5,61.8,1015.0,False,30.3,94,0.9
0 days 00:01:43.764000,2.0,LEC,16,0 days 00:42:46.394000,6.0,1.0,,,0 days 00:00:18.069000,0 days 00:00:44.236000,0 days 00:00:41.459000,0 days 00:42:28.501000,0 days 00:43:12.737000,0 days 00:43:54.196000,278.0,300.0,214.0,306.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:42:10.434000,2019-12-01 13:22:10.637,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.5,61.8,1015.1,False,30.2,198,1.5
0 days 00:01:43.320000,2.0,LEC,16,0 days 00:44:46.572000,7.0,1.0,,,0 days 00:00:17.887000,0 days 00:00:44.045000,0 days 00:00:41.388000,0 days 00:44:12.083000,0 days 00:44:56.128000,0 days 00:45:37.516000,281.0,298.0,215.0,301.0,False,MEDIUM,10.0,False,Ferrari,0 days 00:43:54.198000,2019-12-01 13:23:54.401,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.3,61.9,1015.0,False,30.8,264,0.7
0 days 00:01:43.172000,2.0,LEC,16,0 days 00:45:46.406000,8.0,1.0,,,0 days 00:00:17.898000,0 days 00:00:43.985000,0 days 00:00:41.289000,0 days 00:45:55.414000,0 days 00:46:39.399000,0 days 00:47:20.688000,282.0,299.0,215.0,302.0,False,MEDIUM,11.0,False,Ferrari,0 days 00:45:37.518000,2019-12-01 13:25:37.721,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,62.3,1015.1,False,30.3,163,1.6
0 days 00:01:43.109000,2.0,LEC,16,0 days 00:47:46.397000,9.0,1.0,,,0 days 00:00:17.837000,0 days 00:00:43.934000,0 days 00:00:41.338000,0 days 00:47:38.525000,0 days 00:48:22.459000,0 days 00:49:03.797000,,296.0,215.0,301.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:47:20.690000,2019-12-01 13:27:20.893,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,61.9,1015.1,False,30.5,136,0.7
0 days 00:01:43.353000,2.0,LEC,16,0 days 00:49:46.376000,10.0,1.0,,,0 days 00:00:17.842000,0 days 00:00:44.114000,0 days 00:00:41.397000,0 days 00:49:21.639000,0 days 00:50:05.753000,0 days 00:50:47.150000,283.0,298.0,214.0,301.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:49:03.799000,2019-12-01 13:29:04.002,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,62.6,1015.1,False,30.2,224,0.9
