LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:42.777000,13.0,STR,18,0 days 00:34:16.110000,1.0,1.0,,,,0 days 00:00:24.995000,0 days 00:00:37.255000,,0 days 00:34:38.685000,0 days 00:35:16.030000,268.0,293.0,283.0,220.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:32.727000,2019-03-17 05:13:33.030,2,False,,False,False,Australian Grand Prix,14,44.0,23.7,70.3,1015.4,False,43.6,176,1.4
0 days 00:01:32.014000,13.0,STR,18,0 days 00:35:16.205000,2.0,1.0,,,0 days 00:00:30.966000,0 days 00:00:24.291000,0 days 00:00:36.757000,0 days 00:35:46.714000,0 days 00:36:11.005000,0 days 00:36:47.762000,271.0,290.0,289.0,286.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:35:15.762000,2019-03-17 05:15:16.065,1,False,,False,True,Australian Grand Prix,14,44.0,23.6,69.7,1015.5,False,43.5,158,1.2
0 days 00:01:31.558000,13.0,STR,18,0 days 00:37:16.303000,3.0,1.0,,,0 days 00:00:30.625000,0 days 00:00:24.258000,0 days 00:00:36.675000,0 days 00:37:18.387000,0 days 00:37:42.645000,0 days 00:38:19.320000,268.0,291.0,300.0,302.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:47.776000,2019-03-17 05:16:48.079,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.5,1015.4,False,43.4,68,1.3
0 days 00:01:31.612000,13.0,STR,18,0 days 00:39:16.170000,4.0,1.0,,,0 days 00:00:30.525000,0 days 00:00:24.415000,0 days 00:00:36.672000,0 days 00:38:49.845000,0 days 00:39:14.260000,0 days 00:39:50.932000,271.0,,298.0,300.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:38:19.334000,2019-03-17 05:18:19.637,1,False,,False,True,Australian Grand Prix,14,44.0,23.7,69.1,1015.3,False,43.4,328,1.8
0 days 00:01:31.545000,13.0,STR,18,0 days 00:40:16.185000,5.0,1.0,,,0 days 00:00:30.670000,0 days 00:00:24.283000,0 days 00:00:36.592000,0 days 00:40:21.602000,0 days 00:40:45.885000,0 days 00:41:22.477000,266.0,,297.0,299.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:39:50.946000,2019-03-17 05:19:51.249,1,False,,False,True,Australian Grand Prix,14,44.0,23.7,69.1,1015.4,False,43.0,149,1.2
0 days 00:01:31.104000,13.0,STR,18,0 days 00:42:16.215000,6.0,1.0,,,0 days 00:00:30.466000,0 days 00:00:24.125000,0 days 00:00:36.513000,0 days 00:41:52.943000,0 days 00:42:17.068000,0 days 00:42:53.581000,270.0,288.0,297.0,293.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:41:22.491000,2019-03-17 05:21:22.794,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.5,1015.3,False,42.9,178,2.2
0 days 00:01:31.301000,13.0,STR,18,0 days 00:43:16.232000,7.0,1.0,,,0 days 00:00:30.628000,0 days 00:00:24.180000,0 days 00:00:36.493000,0 days 00:43:24.209000,0 days 00:43:48.389000,0 days 00:44:24.882000,,290.0,297.0,291.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:42:53.595000,2019-03-17 05:22:53.898,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,70.8,1015.3,False,42.9,0,1.4
0 days 00:01:31.318000,13.0,STR,18,0 days 00:45:16.438000,8.0,1.0,,,0 days 00:00:30.567000,0 days 00:00:24.242000,0 days 00:00:36.509000,0 days 00:44:55.449000,0 days 00:45:19.691000,0 days 00:45:56.200000,264.0,283.0,287.0,295.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:44:24.896000,2019-03-17 05:24:25.199,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,70.7,1015.3,False,42.5,333,1.1
0 days 00:01:31.113000,13.0,STR,18,0 days 00:46:16.284000,9.0,1.0,,,0 days 00:00:30.688000,0 days 00:00:24.049000,0 days 00:00:36.376000,0 days 00:46:26.888000,0 days 00:46:50.937000,0 days 00:47:27.313000,266.0,287.0,287.0,291.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:45:56.214000,2019-03-17 05:25:56.517,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.0,1015.3,False,42.8,152,1.7
0 days 00:01:30.976000,13.0,STR,18,0 days 00:48:16.689000,10.0,1.0,,,0 days 00:00:30.489000,0 days 00:00:23.976000,0 days 00:00:36.511000,0 days 00:47:57.802000,0 days 00:48:21.778000,0 days 00:48:58.289000,,285.0,286.0,285.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:47:27.327000,2019-03-17 05:27:27.630,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.3,1015.4,False,42.3,98,1.2
