LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:17.374000,9.0,GIO,99,0 days 00:33:11.269000,1.0,1.0,,,,0 days 00:00:32.813000,0 days 00:00:22.667000,,0 days 00:33:47.336000,0 days 00:34:10.205000,308.0,226.0,275.0,303.0,False,SOFT,4.0,False,Alfa Romeo Racing,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,False,,False,False,Austrian Grand Prix,10,1.0,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:01:12.571000,9.0,GIO,99,0 days 00:34:11.282000,2.0,1.0,,,0 days 00:00:18.021000,0 days 00:00:32.280000,0 days 00:00:22.270000,0 days 00:34:27.998000,0 days 00:35:00.278000,0 days 00:35:22.548000,288.0,225.0,272.0,294.0,True,SOFT,5.0,False,Alfa Romeo Racing,0 days 00:34:10.001000,2019-06-30 13:14:10.028,1,False,,False,True,Austrian Grand Prix,10,1.0,33.8,19.1,941.0,False,51.4,239,1.8
0 days 00:01:11.328000,9.0,GIO,99,0 days 00:36:11.323000,3.0,1.0,,,0 days 00:00:17.547000,0 days 00:00:31.632000,0 days 00:00:22.149000,0 days 00:35:40.095000,0 days 00:36:11.727000,0 days 00:36:33.876000,309.0,225.0,274.0,309.0,True,SOFT,6.0,False,Alfa Romeo Racing,0 days 00:35:22.572000,2019-06-30 13:15:22.599,1,False,,False,True,Austrian Grand Prix,10,1.0,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:01:10.922000,9.0,GIO,99,0 days 00:37:11.321000,4.0,1.0,,,0 days 00:00:17.568000,0 days 00:00:31.471000,0 days 00:00:21.883000,0 days 00:36:51.444000,0 days 00:37:22.915000,0 days 00:37:44.798000,301.0,230.0,271.0,298.0,True,SOFT,7.0,False,Alfa Romeo Racing,0 days 00:36:33.900000,2019-06-30 13:16:33.927,1,False,,False,True,Austrian Grand Prix,10,1.0,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:01:10.976000,9.0,GIO,99,0 days 00:38:11.334000,5.0,1.0,,,0 days 00:00:17.709000,0 days 00:00:31.454000,0 days 00:00:21.813000,0 days 00:38:02.507000,0 days 00:38:33.961000,0 days 00:38:55.774000,294.0,228.0,273.0,296.0,False,SOFT,8.0,False,Alfa Romeo Racing,0 days 00:37:44.822000,2019-06-30 13:17:44.849,1,False,,False,True,Austrian Grand Prix,10,1.0,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:01:11.066000,9.0,GIO,99,0 days 00:39:11.347000,6.0,1.0,,,0 days 00:00:17.744000,0 days 00:00:31.426000,0 days 00:00:21.896000,0 days 00:39:13.518000,0 days 00:39:44.944000,0 days 00:40:06.840000,297.0,231.0,271.0,297.0,False,SOFT,9.0,False,Alfa Romeo Racing,0 days 00:38:55.798000,2019-06-30 13:18:55.825,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:01:11.013000,9.0,GIO,99,0 days 00:40:11.360000,7.0,1.0,,,0 days 00:00:17.797000,0 days 00:00:31.393000,0 days 00:00:21.823000,0 days 00:40:24.637000,0 days 00:40:56.030000,0 days 00:41:17.853000,294.0,230.0,271.0,297.0,False,SOFT,10.0,False,Alfa Romeo Racing,0 days 00:40:06.864000,2019-06-30 13:20:06.891,1,False,,False,True,Austrian Grand Prix,10,1.0,34.7,18.1,940.9,False,51.3,25,0.9
0 days 00:01:11.216000,9.0,GIO,99,0 days 00:42:11.526000,8.0,1.0,,,0 days 00:00:17.821000,0 days 00:00:31.606000,0 days 00:00:21.789000,0 days 00:41:35.674000,0 days 00:42:07.280000,0 days 00:42:29.069000,292.0,229.0,271.0,294.0,False,SOFT,11.0,False,Alfa Romeo Racing,0 days 00:41:17.877000,2019-06-30 13:21:17.904,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:01:11.241000,9.0,GIO,99,0 days 00:43:11.414000,9.0,1.0,,,0 days 00:00:17.808000,0 days 00:00:31.660000,0 days 00:00:21.773000,0 days 00:42:46.877000,0 days 00:43:18.537000,0 days 00:43:40.310000,,228.0,272.0,290.0,False,SOFT,12.0,False,Alfa Romeo Racing,0 days 00:42:29.093000,2019-06-30 13:22:29.120,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:01:10.742000,9.0,GIO,99,0 days 00:44:11.427000,10.0,1.0,,,0 days 00:00:17.653000,0 days 00:00:31.491000,0 days 00:00:21.598000,0 days 00:43:57.963000,0 days 00:44:29.454000,0 days 00:44:51.052000,300.0,230.0,271.0,293.0,True,SOFT,13.0,False,Alfa Romeo Racing,0 days 00:43:40.334000,2019-06-30 13:23:40.361,1,False,,False,True,Austrian Grand Prix,10,1.0,34.9,18.1,940.9,False,51.1,81,1.2
