LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:20.976000,16.0,KUB,88,0 days 00:33:11.269000,1.0,1.0,,,,0 days 00:00:33.849000,0 days 00:00:23.703000,,0 days 00:33:49.988000,0 days 00:34:13.715000,303.0,218.0,267.0,287.0,False,MEDIUM,1.0,True,Williams,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,False,,False,False,Austrian Grand Prix,10,1.0,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:01:14.402000,17.0,KUB,88,0 days 00:35:11.295000,2.0,1.0,,,0 days 00:00:18.236000,0 days 00:00:33.222000,0 days 00:00:22.944000,0 days 00:34:31.805000,0 days 00:35:05.027000,0 days 00:35:27.971000,299.0,212.0,266.0,285.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:13.603000,2019-06-30 13:14:13.630,1,False,,False,True,Austrian Grand Prix,10,1.0,33.6,20.3,941.0,False,51.0,0,1.8
0 days 00:01:13.453000,18.0,KUB,88,0 days 00:36:11.323000,3.0,1.0,,,0 days 00:00:18.032000,0 days 00:00:32.804000,0 days 00:00:22.617000,0 days 00:35:46.003000,0 days 00:36:18.807000,0 days 00:36:41.424000,308.0,221.0,270.0,305.0,True,MEDIUM,3.0,True,Williams,0 days 00:35:28.005000,2019-06-30 13:15:28.032,1,False,,False,True,Austrian Grand Prix,10,1.0,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:01:14.519000,20.0,KUB,88,0 days 00:37:11.321000,4.0,1.0,,,0 days 00:00:18.312000,0 days 00:00:33.304000,0 days 00:00:22.903000,0 days 00:36:59.736000,0 days 00:37:33.040000,0 days 00:37:55.943000,304.0,218.0,269.0,303.0,False,MEDIUM,4.0,True,Williams,0 days 00:36:41.458000,2019-06-30 13:16:41.485,1,False,,False,True,Austrian Grand Prix,10,1.0,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:01:12.808000,20.0,KUB,88,0 days 00:38:11.334000,5.0,1.0,,,0 days 00:00:18.048000,0 days 00:00:32.232000,0 days 00:00:22.528000,0 days 00:38:13.991000,0 days 00:38:46.223000,0 days 00:39:08.751000,292.0,223.0,267.0,291.0,True,MEDIUM,5.0,True,Williams,0 days 00:37:55.977000,2019-06-30 13:17:56.004,1,False,,False,True,Austrian Grand Prix,10,1.0,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:01:12.510000,20.0,KUB,88,0 days 00:39:11.347000,6.0,1.0,,,0 days 00:00:18.022000,0 days 00:00:32.155000,0 days 00:00:22.333000,0 days 00:39:26.773000,0 days 00:39:58.928000,0 days 00:40:21.261000,294.0,222.0,269.0,293.0,True,MEDIUM,6.0,True,Williams,0 days 00:39:08.785000,2019-06-30 13:19:08.812,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:01:12.483000,20.0,KUB,88,0 days 00:41:11.419000,7.0,1.0,,,0 days 00:00:18.008000,0 days 00:00:32.113000,0 days 00:00:22.362000,0 days 00:40:39.269000,0 days 00:41:11.382000,0 days 00:41:33.744000,296.0,223.0,268.0,297.0,True,MEDIUM,7.0,True,Williams,0 days 00:40:21.295000,2019-06-30 13:20:21.322,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,940.9,False,51.3,305,0.9
0 days 00:01:12.386000,20.0,KUB,88,0 days 00:42:11.526000,8.0,1.0,,,0 days 00:00:18.072000,0 days 00:00:32.101000,0 days 00:00:22.213000,0 days 00:41:51.816000,0 days 00:42:23.917000,0 days 00:42:46.130000,295.0,220.0,270.0,296.0,True,MEDIUM,8.0,True,Williams,0 days 00:41:33.778000,2019-06-30 13:21:33.805,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:01:12.480000,20.0,KUB,88,0 days 00:43:11.414000,9.0,1.0,,,0 days 00:00:18.057000,0 days 00:00:32.172000,0 days 00:00:22.251000,0 days 00:43:04.187000,0 days 00:43:36.359000,0 days 00:43:58.610000,298.0,227.0,269.0,296.0,False,MEDIUM,9.0,True,Williams,0 days 00:42:46.164000,2019-06-30 13:22:46.191,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:01:12.422000,20.0,KUB,88,0 days 00:44:11.427000,10.0,1.0,,,0 days 00:00:18.018000,0 days 00:00:32.195000,0 days 00:00:22.209000,0 days 00:44:16.628000,0 days 00:44:48.823000,0 days 00:45:11.032000,296.0,224.0,269.0,294.0,False,MEDIUM,10.0,True,Williams,0 days 00:43:58.644000,2019-06-30 13:23:58.671,1,False,,False,True,Austrian Grand Prix,10,1.0,34.9,18.1,940.9,False,51.1,81,1.2
