LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:22.019000,19.0,KVY,26,0 days 00:33:11.269000,1.0,1.0,,,,0 days 00:00:34.176000,0 days 00:00:23.975000,,0 days 00:33:50.690000,0 days 00:34:14.760000,293.0,225.0,270.0,303.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,False,,False,False,Austrian Grand Prix,10,1.0,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:01:14.011000,19.0,KVY,26,0 days 00:35:11.295000,2.0,1.0,,,0 days 00:00:18.386000,0 days 00:00:32.598000,0 days 00:00:23.027000,0 days 00:34:32.988000,0 days 00:35:05.586000,0 days 00:35:28.613000,294.0,224.0,273.0,287.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 00:34:14.646000,2019-06-30 13:14:14.673,1,False,,False,True,Austrian Grand Prix,10,1.0,33.6,20.3,941.0,False,51.0,0,1.8
0 days 00:01:13.045000,19.0,KVY,26,0 days 00:36:11.323000,3.0,1.0,,,0 days 00:00:17.964000,0 days 00:00:32.521000,0 days 00:00:22.560000,0 days 00:35:46.577000,0 days 00:36:19.098000,0 days 00:36:41.658000,317.0,227.0,277.0,305.0,True,MEDIUM,3.0,True,Toro Rosso,0 days 00:35:28.657000,2019-06-30 13:15:28.684,1,False,,False,True,Austrian Grand Prix,10,1.0,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:01:12.718000,19.0,KVY,26,0 days 00:37:11.321000,4.0,1.0,,,0 days 00:00:18.227000,0 days 00:00:32.339000,0 days 00:00:22.152000,0 days 00:36:59.885000,0 days 00:37:32.224000,0 days 00:37:54.376000,292.0,228.0,273.0,305.0,True,MEDIUM,4.0,True,Toro Rosso,0 days 00:36:41.702000,2019-06-30 13:16:41.729,1,False,,False,True,Austrian Grand Prix,10,1.0,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:01:12.086000,19.0,KVY,26,0 days 00:38:11.334000,5.0,1.0,,,0 days 00:00:17.629000,0 days 00:00:32.047000,0 days 00:00:22.410000,0 days 00:38:12.005000,0 days 00:38:44.052000,0 days 00:39:06.462000,307.0,225.0,273.0,299.0,True,MEDIUM,5.0,True,Toro Rosso,0 days 00:37:54.420000,2019-06-30 13:17:54.447,1,False,,False,True,Austrian Grand Prix,10,1.0,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:01:12.088000,19.0,KVY,26,0 days 00:39:11.347000,6.0,1.0,,,0 days 00:00:17.572000,0 days 00:00:32.137000,0 days 00:00:22.379000,0 days 00:39:24.034000,0 days 00:39:56.171000,0 days 00:40:18.550000,306.0,225.0,274.0,301.0,False,MEDIUM,6.0,True,Toro Rosso,0 days 00:39:06.506000,2019-06-30 13:19:06.533,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:01:12.017000,19.0,KVY,26,0 days 00:41:11.419000,7.0,1.0,,,0 days 00:00:17.585000,0 days 00:00:32.120000,0 days 00:00:22.312000,0 days 00:40:36.135000,0 days 00:41:08.255000,0 days 00:41:30.567000,302.0,227.0,275.0,299.0,True,MEDIUM,7.0,True,Toro Rosso,0 days 00:40:18.594000,2019-06-30 13:20:18.621,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,940.9,False,51.3,305,0.9
0 days 00:01:12.084000,19.0,KVY,26,0 days 00:42:11.526000,8.0,1.0,,,0 days 00:00:17.695000,0 days 00:00:32.148000,0 days 00:00:22.241000,0 days 00:41:48.262000,0 days 00:42:20.410000,0 days 00:42:42.651000,300.0,222.0,277.0,302.0,False,MEDIUM,8.0,True,Toro Rosso,0 days 00:41:30.611000,2019-06-30 13:21:30.638,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:01:12.141000,19.0,KVY,26,0 days 00:43:11.414000,9.0,1.0,,,0 days 00:00:17.621000,0 days 00:00:32.323000,0 days 00:00:22.197000,0 days 00:43:00.272000,0 days 00:43:32.595000,0 days 00:43:54.792000,306.0,227.0,278.0,298.0,False,MEDIUM,9.0,True,Toro Rosso,0 days 00:42:42.695000,2019-06-30 13:22:42.722,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:01:12.733000,19.0,KVY,26,0 days 00:44:11.427000,10.0,1.0,,,0 days 00:00:17.616000,0 days 00:00:32.465000,0 days 00:00:22.652000,0 days 00:44:12.408000,0 days 00:44:44.873000,0 days 00:45:07.525000,,209.0,278.0,301.0,False,MEDIUM,10.0,True,Toro Rosso,0 days 00:43:54.836000,2019-06-30 13:23:54.863,1,False,,False,True,Austrian Grand Prix,10,1.0,34.9,18.1,940.9,False,51.1,81,1.2
