LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:11.551000,1.0,LEC,16,0 days 00:33:11.269000,1.0,1.0,,,,0 days 00:00:30.562000,0 days 00:00:20.943000,,0 days 00:33:43.280000,0 days 00:34:04.371000,295.0,235.0,271.0,291.0,False,SOFT,4.0,False,Ferrari,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,False,,False,False,Austrian Grand Prix,10,1.0,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:01:09.282000,1.0,LEC,16,0 days 00:34:11.282000,2.0,1.0,,,0 days 00:00:17.469000,0 days 00:00:30.727000,0 days 00:00:21.086000,0 days 00:34:21.647000,0 days 00:34:52.374000,0 days 00:35:13.460000,291.0,233.0,270.0,291.0,True,SOFT,5.0,False,Ferrari,0 days 00:34:04.178000,2019-06-30 13:14:04.205,1,False,,False,True,Austrian Grand Prix,10,1.0,33.8,19.1,941.0,False,51.4,239,1.8
0 days 00:01:09.407000,1.0,LEC,16,0 days 00:36:11.323000,3.0,1.0,,,0 days 00:00:17.430000,0 days 00:00:30.713000,0 days 00:00:21.264000,0 days 00:35:30.890000,0 days 00:36:01.603000,0 days 00:36:22.867000,,232.0,270.0,291.0,False,SOFT,6.0,False,Ferrari,0 days 00:35:13.460000,2019-06-30 13:15:13.487,1,False,,False,True,Austrian Grand Prix,10,1.0,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:01:09.318000,1.0,LEC,16,0 days 00:37:11.321000,4.0,1.0,,,0 days 00:00:17.424000,0 days 00:00:30.858000,0 days 00:00:21.036000,0 days 00:36:40.291000,0 days 00:37:11.149000,0 days 00:37:32.185000,292.0,232.0,272.0,289.0,False,SOFT,7.0,False,Ferrari,0 days 00:36:22.867000,2019-06-30 13:16:22.894,1,False,,False,True,Austrian Grand Prix,10,1.0,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:01:09.540000,1.0,LEC,16,0 days 00:38:11.334000,5.0,1.0,,,0 days 00:00:17.402000,0 days 00:00:31.142000,0 days 00:00:20.996000,0 days 00:37:49.587000,0 days 00:38:20.729000,0 days 00:38:41.725000,293.0,232.0,272.0,289.0,False,SOFT,8.0,False,Ferrari,0 days 00:37:32.185000,2019-06-30 13:17:32.212,1,False,,False,True,Austrian Grand Prix,10,1.0,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:01:09.406000,1.0,LEC,16,0 days 00:39:11.347000,6.0,1.0,,,0 days 00:00:17.427000,0 days 00:00:30.816000,0 days 00:00:21.163000,0 days 00:38:59.152000,0 days 00:39:29.968000,0 days 00:39:51.131000,291.0,235.0,272.0,289.0,False,SOFT,9.0,False,Ferrari,0 days 00:38:41.725000,2019-06-30 13:18:41.752,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:01:09.526000,1.0,LEC,16,0 days 00:40:11.360000,7.0,1.0,,,0 days 00:00:17.580000,0 days 00:00:30.799000,0 days 00:00:21.147000,0 days 00:40:08.711000,0 days 00:40:39.510000,0 days 00:41:00.657000,,234.0,270.0,291.0,False,SOFT,10.0,False,Ferrari,0 days 00:39:51.131000,2019-06-30 13:19:51.158,1,False,,False,True,Austrian Grand Prix,10,1.0,34.7,18.1,940.9,False,51.3,25,0.9
0 days 00:01:09.693000,1.0,LEC,16,0 days 00:41:11.419000,8.0,1.0,,,0 days 00:00:17.556000,0 days 00:00:30.897000,0 days 00:00:21.240000,0 days 00:41:18.213000,0 days 00:41:49.110000,0 days 00:42:10.350000,290.0,231.0,272.0,290.0,False,SOFT,11.0,False,Ferrari,0 days 00:41:00.657000,2019-06-30 13:21:00.684,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,940.9,False,51.3,305,0.9
0 days 00:01:09.438000,1.0,LEC,16,0 days 00:42:11.526000,9.0,1.0,,,0 days 00:00:17.482000,0 days 00:00:30.874000,0 days 00:00:21.082000,0 days 00:42:27.832000,0 days 00:42:58.706000,0 days 00:43:19.788000,296.0,233.0,272.0,294.0,False,SOFT,12.0,False,Ferrari,0 days 00:42:10.350000,2019-06-30 13:22:10.377,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:01:09.492000,1.0,LEC,16,0 days 00:44:11.427000,10.0,1.0,,,0 days 00:00:17.489000,0 days 00:00:30.893000,0 days 00:00:21.110000,0 days 00:43:37.277000,0 days 00:44:08.170000,0 days 00:44:29.280000,294.0,234.0,271.0,291.0,False,SOFT,13.0,False,Ferrari,0 days 00:43:19.788000,2019-06-30 13:23:19.815,1,False,,False,True,Austrian Grand Prix,10,1.0,34.9,18.1,940.9,False,51.1,81,1.2
