LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:18.250000,11.0,PER,11,0 days 00:33:11.269000,1.0,1.0,,,,0 days 00:00:33.205000,0 days 00:00:22.456000,,0 days 00:33:48.443000,0 days 00:34:11.001000,309.0,225.0,272.0,304.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,False,,False,False,Austrian Grand Prix,10,1.0,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:01:12.896000,11.0,PER,11,0 days 00:34:11.282000,2.0,1.0,,,0 days 00:00:18.008000,0 days 00:00:32.654000,0 days 00:00:22.234000,0 days 00:34:28.859000,0 days 00:35:01.513000,0 days 00:35:23.747000,310.0,226.0,273.0,286.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:10.877000,2019-06-30 13:14:10.904,1,False,,False,True,Austrian Grand Prix,10,1.0,33.8,19.1,941.0,False,51.4,239,1.8
0 days 00:01:11.951000,11.0,PER,11,0 days 00:36:11.323000,3.0,1.0,,,0 days 00:00:17.597000,0 days 00:00:32.163000,0 days 00:00:22.191000,0 days 00:35:41.344000,0 days 00:36:13.507000,0 days 00:36:35.698000,327.0,226.0,278.0,295.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:35:23.773000,2019-06-30 13:15:23.800,1,False,,False,True,Austrian Grand Prix,10,1.0,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:01:10.798000,10.0,PER,11,0 days 00:37:11.321000,4.0,1.0,,,0 days 00:00:17.414000,0 days 00:00:31.488000,0 days 00:00:21.896000,0 days 00:36:53.112000,0 days 00:37:24.600000,0 days 00:37:46.496000,,225.0,270.0,307.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:36:35.724000,2019-06-30 13:16:35.751,1,False,,False,True,Austrian Grand Prix,10,1.0,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:01:11.341000,10.0,PER,11,0 days 00:38:11.334000,5.0,1.0,,,0 days 00:00:17.736000,0 days 00:00:31.790000,0 days 00:00:21.815000,0 days 00:38:04.232000,0 days 00:38:36.022000,0 days 00:38:57.837000,301.0,225.0,271.0,291.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:37:46.522000,2019-06-30 13:17:46.549,1,False,,False,True,Austrian Grand Prix,10,1.0,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:01:10.969000,10.0,PER,11,0 days 00:39:11.347000,6.0,1.0,,,0 days 00:00:17.751000,0 days 00:00:31.686000,0 days 00:00:21.532000,0 days 00:39:15.588000,0 days 00:39:47.274000,0 days 00:40:08.806000,292.0,225.0,271.0,287.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:38:57.863000,2019-06-30 13:18:57.890,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:01:10.942000,10.0,PER,11,0 days 00:40:11.360000,7.0,1.0,,,0 days 00:00:17.894000,0 days 00:00:31.481000,0 days 00:00:21.567000,0 days 00:40:26.700000,0 days 00:40:58.181000,0 days 00:41:19.748000,295.0,227.0,271.0,294.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:40:08.832000,2019-06-30 13:20:08.859,1,False,,False,True,Austrian Grand Prix,10,1.0,34.7,18.1,940.9,False,51.3,25,0.9
0 days 00:01:10.884000,10.0,PER,11,0 days 00:42:11.526000,8.0,1.0,,,0 days 00:00:17.777000,0 days 00:00:31.530000,0 days 00:00:21.577000,0 days 00:41:37.525000,0 days 00:42:09.055000,0 days 00:42:30.632000,296.0,226.0,271.0,298.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:41:19.774000,2019-06-30 13:21:19.801,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:01:10.814000,10.0,PER,11,0 days 00:43:11.414000,9.0,1.0,,,0 days 00:00:17.684000,0 days 00:00:31.658000,0 days 00:00:21.472000,0 days 00:42:48.316000,0 days 00:43:19.974000,0 days 00:43:41.446000,302.0,227.0,273.0,297.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:42:30.658000,2019-06-30 13:22:30.685,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:01:10.760000,10.0,PER,11,0 days 00:44:11.427000,10.0,1.0,,,0 days 00:00:17.720000,0 days 00:00:31.502000,0 days 00:00:21.538000,0 days 00:43:59.166000,0 days 00:44:30.668000,0 days 00:44:52.206000,300.0,227.0,272.0,297.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:43:41.472000,2019-06-30 13:23:41.499,1,False,,False,True,Austrian Grand Prix,10,1.0,34.9,18.1,940.9,False,51.1,81,1.2
