LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:50.893000,1.0,BOT,77,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:42.877000,0 days 00:00:26.101000,,0 days 00:35:02.500000,0 days 00:35:28.716000,215.0,225.0,303.0,307.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:47.592000,1.0,BOT,77,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:38.172000,0 days 00:00:43.289000,0 days 00:00:26.131000,0 days 00:36:06.726000,0 days 00:36:50.015000,0 days 00:37:16.146000,209.0,214.0,301.0,307.0,True,SOFT,5.0,False,Mercedes,0 days 00:35:28.554000,2019-04-28 12:15:28.801,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:47.604000,1.0,BOT,77,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:38.169000,0 days 00:00:43.336000,0 days 00:00:26.099000,0 days 00:37:54.315000,0 days 00:38:37.651000,0 days 00:39:03.750000,206.0,214.0,299.0,307.0,False,SOFT,6.0,False,Mercedes,0 days 00:37:16.146000,2019-04-28 12:17:16.393,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:47.698000,1.0,BOT,77,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:38.249000,0 days 00:00:43.365000,0 days 00:00:26.084000,0 days 00:39:41.999000,0 days 00:40:25.364000,0 days 00:40:51.448000,207.0,226.0,299.0,307.0,False,SOFT,7.0,False,Mercedes,0 days 00:39:03.750000,2019-04-28 12:19:03.997,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:47.550000,1.0,BOT,77,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:38.168000,0 days 00:00:43.413000,0 days 00:00:25.969000,0 days 00:41:29.616000,0 days 00:42:13.029000,0 days 00:42:38.998000,,225.0,302.0,308.0,True,SOFT,8.0,False,Mercedes,0 days 00:40:51.448000,2019-04-28 12:20:51.695,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:47.891000,1.0,BOT,77,0 days 00:42:46.594000,6.0,1.0,,,0 days 00:00:38.212000,0 days 00:00:43.686000,0 days 00:00:25.993000,0 days 00:43:17.210000,0 days 00:44:00.896000,0 days 00:44:26.889000,212.0,217.0,301.0,306.0,False,SOFT,9.0,False,Mercedes,0 days 00:42:38.998000,2019-04-28 12:22:39.245,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.4,1013.8,False,41.7,260,0.8
0 days 00:01:48.092000,1.0,BOT,77,0 days 00:44:46.701000,7.0,1.0,,,0 days 00:00:38.205000,0 days 00:00:43.742000,0 days 00:00:26.145000,0 days 00:45:05.094000,0 days 00:45:48.836000,0 days 00:46:14.981000,209.0,216.0,300.0,307.0,False,SOFT,10.0,False,Mercedes,0 days 00:44:26.889000,2019-04-28 12:24:27.136,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.1,1013.9,False,41.3,104,1.4
0 days 00:01:48.604000,1.0,BOT,77,0 days 00:46:46.650000,8.0,1.0,,,0 days 00:00:38.439000,0 days 00:00:44.003000,0 days 00:00:26.162000,0 days 00:46:53.420000,0 days 00:47:37.423000,0 days 00:48:03.585000,,224.0,299.0,305.0,False,SOFT,11.0,False,Mercedes,0 days 00:46:14.981000,2019-04-28 12:26:15.228,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1014.0,False,41.5,244,0.8
0 days 00:01:48.971000,1.0,BOT,77,0 days 00:48:46.677000,9.0,1.0,,,0 days 00:00:38.805000,0 days 00:00:43.972000,0 days 00:00:26.194000,0 days 00:48:42.390000,0 days 00:49:26.362000,0 days 00:49:52.556000,202.0,221.0,299.0,306.0,False,SOFT,12.0,False,Mercedes,0 days 00:48:03.585000,2019-04-28 12:28:03.832,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:01:49.249000,1.0,BOT,77,0 days 00:50:46.730000,10.0,1.0,,,0 days 00:00:38.902000,0 days 00:00:44.170000,0 days 00:00:26.177000,0 days 00:50:31.458000,0 days 00:51:15.628000,0 days 00:51:41.805000,203.0,217.0,303.0,306.0,False,SOFT,13.0,False,Mercedes,0 days 00:49:52.556000,2019-04-28 12:29:52.803,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,53.3,1013.9,False,41.3,231,1.4
