LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:04.198000,16.0,GRO,8,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:48.210000,0 days 00:00:26.173000,,0 days 00:35:16.278000,0 days 00:35:42.092000,157.0,193.0,317.0,315.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:51.143000,16.0,GRO,8,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:40.009000,0 days 00:00:45.377000,0 days 00:00:25.757000,0 days 00:36:21.876000,0 days 00:37:07.253000,0 days 00:37:33.010000,189.0,197.0,319.0,317.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:41.859000,2019-04-28 12:15:42.106,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:50.479000,16.0,GRO,8,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:39.600000,0 days 00:00:45.147000,0 days 00:00:25.732000,0 days 00:38:12.610000,0 days 00:38:57.757000,0 days 00:39:23.489000,183.0,204.0,341.0,319.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:37:33.002000,2019-04-28 12:17:33.249,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:50.433000,16.0,GRO,8,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:39.488000,0 days 00:00:45.493000,0 days 00:00:25.452000,0 days 00:40:02.977000,0 days 00:40:48.470000,0 days 00:41:13.922000,,201.0,343.0,320.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:39:23.481000,2019-04-28 12:19:23.728,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:53.846000,16.0,GRO,8,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:40.345000,0 days 00:00:47.491000,0 days 00:00:26.010000,0 days 00:41:54.267000,0 days 00:42:41.758000,0 days 00:43:07.768000,174.0,183.0,341.0,321.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:41:13.914000,2019-04-28 12:21:14.161,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:55.706000,15.0,GRO,8,0 days 00:43:46.609000,6.0,1.0,,,0 days 00:00:42.363000,0 days 00:00:47.772000,0 days 00:00:25.571000,0 days 00:43:50.131000,0 days 00:44:37.903000,0 days 00:45:03.474000,167.0,196.0,337.0,322.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:43:07.760000,2019-04-28 12:23:08.007,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:01:51.163000,14.0,GRO,8,0 days 00:45:46.637000,7.0,1.0,,,0 days 00:00:40.044000,0 days 00:00:45.242000,0 days 00:00:25.877000,0 days 00:45:43.518000,0 days 00:46:28.760000,0 days 00:46:54.637000,192.0,194.0,316.0,315.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:45:03.466000,2019-04-28 12:25:03.713,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,50.0,1013.9,False,41.4,0,2.0
0 days 00:01:51.239000,13.0,GRO,8,0 days 00:47:46.664000,8.0,1.0,,,0 days 00:00:39.539000,0 days 00:00:46.069000,0 days 00:00:25.631000,0 days 00:47:34.176000,0 days 00:48:20.245000,0 days 00:48:45.876000,189.0,198.0,328.0,324.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:46:54.629000,2019-04-28 12:26:54.876,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1013.9,False,41.4,0,1.0
0 days 00:01:50.709000,13.0,GRO,8,0 days 00:48:46.677000,9.0,1.0,,,0 days 00:00:39.739000,0 days 00:00:44.726000,0 days 00:00:26.244000,0 days 00:49:25.615000,0 days 00:50:10.341000,0 days 00:50:36.585000,190.0,213.0,307.0,310.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:48:45.868000,2019-04-28 12:28:46.115,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:01:49.965000,10.0,GRO,8,0 days 00:50:46.730000,10.0,1.0,,,0 days 00:00:39.320000,0 days 00:00:44.682000,0 days 00:00:25.963000,0 days 00:51:15.905000,0 days 00:52:00.587000,0 days 00:52:26.550000,204.0,205.0,318.0,314.0,True,MEDIUM,10.0,True,Haas F1 Team,0 days 00:50:36.577000,2019-04-28 12:30:36.824,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,53.3,1013.9,False,41.3,231,1.4
