LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:59.143000,10.0,LEC,16,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:46.083000,0 days 00:00:25.988000,,0 days 00:35:11.378000,0 days 00:35:37.284000,176.0,217.0,326.0,323.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:50.287000,10.0,LEC,16,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:39.821000,0 days 00:00:45.252000,0 days 00:00:25.214000,0 days 00:36:16.617000,0 days 00:37:01.869000,0 days 00:37:27.083000,185.0,204.0,336.0,325.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:35:36.804000,2019-04-28 12:15:37.051,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:49.478000,9.0,LEC,16,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:39.173000,0 days 00:00:44.994000,0 days 00:00:25.311000,0 days 00:38:06.256000,0 days 00:38:51.250000,0 days 00:39:16.561000,190.0,198.0,338.0,323.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:37:27.091000,2019-04-28 12:17:27.338,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:49.253000,8.0,LEC,16,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:39.397000,0 days 00:00:44.572000,0 days 00:00:25.284000,0 days 00:39:55.958000,0 days 00:40:40.530000,0 days 00:41:05.814000,194.0,203.0,338.0,324.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:39:16.569000,2019-04-28 12:19:16.816,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:47.852000,6.0,LEC,16,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:38.547000,0 days 00:00:44.140000,0 days 00:00:25.165000,0 days 00:41:44.361000,0 days 00:42:28.501000,0 days 00:42:53.666000,203.0,215.0,335.0,324.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:41:05.822000,2019-04-28 12:21:06.069,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:49.896000,5.0,LEC,16,0 days 00:43:46.609000,6.0,1.0,,,0 days 00:00:38.527000,0 days 00:00:45.797000,0 days 00:00:25.572000,0 days 00:43:32.193000,0 days 00:44:17.990000,0 days 00:44:43.562000,185.0,196.0,336.0,324.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:42:53.674000,2019-04-28 12:22:53.921,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:01:47.809000,5.0,LEC,16,0 days 00:44:46.701000,7.0,1.0,,,0 days 00:00:38.223000,0 days 00:00:43.910000,0 days 00:00:25.676000,0 days 00:45:21.785000,0 days 00:46:05.695000,0 days 00:46:31.371000,205.0,216.0,319.0,315.0,True,MEDIUM,7.0,True,Ferrari,0 days 00:44:43.570000,2019-04-28 12:24:43.817,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.1,1013.9,False,41.3,104,1.4
0 days 00:01:47.779000,5.0,LEC,16,0 days 00:46:46.650000,8.0,1.0,,,0 days 00:00:38.049000,0 days 00:00:43.976000,0 days 00:00:25.754000,0 days 00:47:09.420000,0 days 00:47:53.396000,0 days 00:48:19.150000,203.0,209.0,320.0,316.0,True,MEDIUM,8.0,True,Ferrari,0 days 00:46:31.379000,2019-04-28 12:26:31.626,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1014.0,False,41.5,244,0.8
0 days 00:01:47.757000,4.0,LEC,16,0 days 00:48:46.677000,9.0,1.0,,,0 days 00:00:38.393000,0 days 00:00:44.241000,0 days 00:00:25.123000,0 days 00:48:57.543000,0 days 00:49:41.784000,0 days 00:50:06.907000,200.0,206.0,334.0,324.0,True,MEDIUM,9.0,True,Ferrari,0 days 00:48:19.158000,2019-04-28 12:28:19.405,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:01:48.203000,4.0,LEC,16,0 days 00:50:46.730000,10.0,1.0,,,0 days 00:00:38.216000,0 days 00:00:44.059000,0 days 00:00:25.928000,0 days 00:50:45.123000,0 days 00:51:29.182000,0 days 00:51:55.110000,205.0,215.0,305.0,312.0,False,MEDIUM,10.0,True,Ferrari,0 days 00:50:06.915000,2019-04-28 12:30:07.162,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,53.3,1013.9,False,41.3,231,1.4
