LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:55.962000,6.0,NOR,4,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:45.217000,0 days 00:00:25.492000,,0 days 00:35:08.147000,0 days 00:35:33.863000,170.0,216.0,321.0,321.0,False,SOFT,6.0,False,McLaren,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:50.771000,6.0,NOR,4,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:40.360000,0 days 00:00:44.572000,0 days 00:00:25.839000,0 days 00:36:13.983000,0 days 00:36:58.555000,0 days 00:37:24.394000,180.0,205.0,311.0,314.0,True,SOFT,7.0,False,McLaren,0 days 00:35:33.623000,2019-04-28 12:15:33.870,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:50.172000,6.0,NOR,4,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:39.476000,0 days 00:00:44.722000,0 days 00:00:25.974000,0 days 00:38:03.870000,0 days 00:38:48.592000,0 days 00:39:14.566000,184.0,207.0,310.0,312.0,True,SOFT,8.0,False,McLaren,0 days 00:37:24.394000,2019-04-28 12:17:24.641,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:49.618000,6.0,NOR,4,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:39.220000,0 days 00:00:44.509000,0 days 00:00:25.889000,0 days 00:39:53.786000,0 days 00:40:38.295000,0 days 00:41:04.184000,188.0,198.0,309.0,312.0,True,SOFT,9.0,False,McLaren,0 days 00:39:14.566000,2019-04-28 12:19:14.813,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:49.594000,7.0,NOR,4,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:39.133000,0 days 00:00:44.514000,0 days 00:00:25.947000,0 days 00:41:43.317000,0 days 00:42:27.831000,0 days 00:42:53.778000,199.0,204.0,309.0,311.0,True,SOFT,10.0,False,McLaren,0 days 00:41:04.184000,2019-04-28 12:21:04.431,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:51.403000,7.0,NOR,4,0 days 00:43:46.609000,6.0,1.0,,,0 days 00:00:39.848000,0 days 00:00:45.644000,0 days 00:00:25.911000,0 days 00:43:33.626000,0 days 00:44:19.270000,0 days 00:44:45.181000,181.0,203.0,314.0,314.0,False,SOFT,11.0,False,McLaren,0 days 00:42:53.778000,2019-04-28 12:22:54.025,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:01:50.950000,7.0,NOR,4,0 days 00:44:46.701000,7.0,1.0,,,0 days 00:00:39.627000,0 days 00:00:45.506000,0 days 00:00:25.817000,0 days 00:45:24.808000,0 days 00:46:10.314000,0 days 00:46:36.131000,186.0,200.0,328.0,313.0,False,SOFT,12.0,False,McLaren,0 days 00:44:45.181000,2019-04-28 12:24:45.428,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.1,1013.9,False,41.3,104,1.4
0 days 00:01:52.270000,8.0,NOR,4,0 days 00:46:46.650000,8.0,1.0,,,0 days 00:00:40.080000,0 days 00:00:45.927000,0 days 00:00:26.263000,0 days 00:47:16.211000,0 days 00:48:02.138000,0 days 00:48:28.401000,181.0,199.0,310.0,310.0,False,SOFT,13.0,False,McLaren,0 days 00:46:36.131000,2019-04-28 12:26:36.378,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1014.0,False,41.5,244,0.8
0 days 00:01:58.470000,8.0,NOR,4,0 days 00:48:46.677000,9.0,1.0,,0 days 00:50:25.602000,0 days 00:00:40.847000,0 days 00:00:46.261000,0 days 00:00:31.362000,0 days 00:49:09.248000,0 days 00:49:55.509000,0 days 00:50:26.871000,179.0,200.0,,310.0,False,SOFT,14.0,False,McLaren,0 days 00:48:28.401000,2019-04-28 12:28:28.648,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:02:05.760000,14.0,NOR,4,0 days 00:50:46.730000,10.0,2.0,0 days 00:50:45.415000,,0 days 00:00:55.495000,0 days 00:00:44.773000,0 days 00:00:25.492000,0 days 00:51:22.366000,0 days 00:52:07.139000,0 days 00:52:32.631000,186.0,203.0,331.0,316.0,False,MEDIUM,1.0,True,McLaren,0 days 00:50:26.871000,2019-04-28 12:30:27.118,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,53.3,1013.9,False,41.3,231,1.4
0 days 00:01:48.536000,11.0,NOR,4,0 days 00:52:46.736000,11.0,2.0,,,0 days 00:00:38.892000,0 days 00:00:44.186000,0 days 00:00:25.458000,0 days 00:53:11.523000,0 days 00:53:55.709000,0 days 00:54:21.167000,191.0,210.0,332.0,317.0,True,MEDIUM,2.0,True,McLaren,0 days 00:52:32.631000,2019-04-28 12:32:32.878,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.9,52.7,1013.9,False,41.1,206,0.8
0 days 00:01:51.454000,10.0,NOR,4,0 days 00:54:46.766000,12.0,2.0,,,0 days 00:00:39.245000,0 days 00:00:46.350000,0 days 00:00:25.859000,0 days 00:55:00.412000,0 days 00:55:46.762000,0 days 00:56:12.621000,179.0,187.0,340.0,320.0,False,MEDIUM,3.0,True,McLaren,0 days 00:54:21.167000,2019-04-28 12:34:21.414,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.8,52.1,1013.9,False,41.1,201,0.9
