LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:54.440000,4.0,PER,11,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:44.845000,0 days 00:00:25.650000,,0 days 00:35:06.713000,0 days 00:35:32.245000,186.0,198.0,320.0,323.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:50.157000,4.0,PER,11,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:39.778000,0 days 00:00:44.735000,0 days 00:00:25.644000,0 days 00:36:11.830000,0 days 00:36:56.565000,0 days 00:37:22.209000,192.0,194.0,320.0,320.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:32.101000,2019-04-28 12:15:32.348,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:49.689000,4.0,PER,11,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:39.444000,0 days 00:00:44.363000,0 days 00:00:25.882000,0 days 00:38:01.653000,0 days 00:38:46.016000,0 days 00:39:11.898000,198.0,204.0,313.0,318.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:22.258000,2019-04-28 12:17:22.505,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:49.423000,4.0,PER,11,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:39.119000,0 days 00:00:44.574000,0 days 00:00:25.730000,0 days 00:39:51.017000,0 days 00:40:35.591000,0 days 00:41:01.321000,192.0,218.0,307.0,318.0,True,SOFT,7.0,False,Racing Point,0 days 00:39:11.947000,2019-04-28 12:19:12.194,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:49.778000,4.0,PER,11,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:39.196000,0 days 00:00:44.759000,0 days 00:00:25.823000,0 days 00:41:40.517000,0 days 00:42:25.276000,0 days 00:42:51.099000,205.0,207.0,322.0,317.0,False,SOFT,8.0,False,Racing Point,0 days 00:41:01.370000,2019-04-28 12:21:01.617,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:52.568000,6.0,PER,11,0 days 00:43:46.609000,6.0,1.0,,,0 days 00:00:40.526000,0 days 00:00:46.036000,0 days 00:00:26.006000,0 days 00:43:31.625000,0 days 00:44:17.661000,0 days 00:44:43.667000,180.0,197.0,311.0,318.0,False,SOFT,9.0,False,Racing Point,0 days 00:42:51.148000,2019-04-28 12:22:51.395,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:01:51.580000,6.0,PER,11,0 days 00:44:46.701000,7.0,1.0,,,0 days 00:00:39.995000,0 days 00:00:45.643000,0 days 00:00:25.942000,0 days 00:45:23.662000,0 days 00:46:09.305000,0 days 00:46:35.247000,193.0,204.0,311.0,317.0,False,SOFT,10.0,False,Racing Point,0 days 00:44:43.716000,2019-04-28 12:24:43.963,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.1,1013.9,False,41.3,104,1.4
0 days 00:01:51.836000,6.0,PER,11,0 days 00:46:46.650000,8.0,1.0,,,0 days 00:00:39.929000,0 days 00:00:45.663000,0 days 00:00:26.244000,0 days 00:47:15.176000,0 days 00:48:00.839000,0 days 00:48:27.083000,185.0,207.0,304.0,314.0,False,SOFT,11.0,False,Racing Point,0 days 00:46:35.296000,2019-04-28 12:26:35.543,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1014.0,False,41.5,244,0.8
0 days 00:01:51.017000,6.0,PER,11,0 days 00:48:46.677000,9.0,1.0,,,0 days 00:00:39.640000,0 days 00:00:45.377000,0 days 00:00:26,0 days 00:49:06.723000,0 days 00:49:52.100000,0 days 00:50:18.100000,197.0,211.0,314.0,314.0,False,SOFT,12.0,False,Racing Point,0 days 00:48:27.132000,2019-04-28 12:28:27.379,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:01:56.409000,7.0,PER,11,0 days 00:50:46.730000,10.0,1.0,,0 days 00:52:13.501000,0 days 00:00:39.906000,0 days 00:00:45.675000,0 days 00:00:30.828000,0 days 00:50:58.006000,0 days 00:51:43.681000,0 days 00:52:14.509000,190.0,205.0,,313.0,False,SOFT,13.0,False,Racing Point,0 days 00:50:18.149000,2019-04-28 12:30:18.396,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,53.3,1013.9,False,41.3,231,1.4
