LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:19.964000,20.0,GRO,8,0 days 00:33:51.719000,1.0,1.0,,0 days 00:35:49.928000,,0 days 00:00:57.463000,0 days 00:00:39.367000,,0 days 00:35:12.241000,0 days 00:35:51.656000,170.0,153.0,,222.0,False,SOFT,4.0,False,Haas F1 Team,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:02:05.015000,20.0,GRO,8,0 days 00:35:51.745000,2.0,2.0,0 days 00:36:21.899000,,0 days 00:00:59.108000,0 days 00:00:42.289000,0 days 00:00:23.618000,0 days 00:36:50.704000,0 days 00:37:32.993000,0 days 00:37:56.611000,236.0,247.0,275.0,213.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:35:51.580000,2019-03-31 15:15:51.665,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:37.262000,20.0,GRO,8,0 days 00:38:51.879000,3.0,2.0,,,0 days 00:00:30.869000,0 days 00:00:42.323000,0 days 00:00:24.070000,0 days 00:38:27.480000,0 days 00:39:09.803000,0 days 00:39:33.873000,237.0,252.0,274.0,292.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:37:56.595000,2019-03-31 15:17:56.680,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:37.953000,20.0,GRO,8,0 days 00:39:51.801000,4.0,2.0,,,0 days 00:00:30.996000,0 days 00:00:42.755000,0 days 00:00:24.202000,0 days 00:40:04.869000,0 days 00:40:47.624000,0 days 00:41:11.826000,234.0,242.0,273.0,290.0,False,MEDIUM,3.0,True,Haas F1 Team,0 days 00:39:33.857000,2019-03-31 15:19:33.942,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.4,False,29.3,10,1.9
0 days 00:01:38.403000,19.0,GRO,8,0 days 00:41:51.828000,5.0,2.0,,,0 days 00:00:31.269000,0 days 00:00:42.894000,0 days 00:00:24.240000,0 days 00:41:43.095000,0 days 00:42:25.989000,0 days 00:42:50.229000,235.0,247.0,274.0,291.0,False,MEDIUM,4.0,True,Haas F1 Team,0 days 00:41:11.810000,2019-03-31 15:21:11.895,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.9,1003.5,False,29.2,29,3.1
0 days 00:01:38.880000,19.0,GRO,8,0 days 00:42:51.842000,6.0,2.0,,,0 days 00:00:31.512000,0 days 00:00:43.029000,0 days 00:00:24.339000,0 days 00:43:21.741000,0 days 00:44:04.770000,0 days 00:44:29.109000,,248.0,274.0,,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:42:50.213000,2019-03-31 15:22:50.298,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:01:38.437000,19.0,GRO,8,0 days 00:44:51.880000,7.0,2.0,,,0 days 00:00:31.254000,0 days 00:00:42.931000,0 days 00:00:24.252000,0 days 00:45:00.363000,0 days 00:45:43.294000,0 days 00:46:07.546000,,246.0,274.0,,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:44:29.093000,2019-03-31 15:24:29.178,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.2,15,2.3
0 days 00:01:38.321000,19.0,GRO,8,0 days 00:46:51.963000,8.0,2.0,,,0 days 00:00:31.326000,0 days 00:00:42.900000,0 days 00:00:24.095000,0 days 00:46:38.872000,0 days 00:47:21.772000,0 days 00:47:45.867000,233.0,245.0,274.0,,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:46:07.530000,2019-03-31 15:26:07.615,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.1,355,2.4
0 days 00:01:38.856000,19.0,GRO,8,0 days 00:47:51.999000,9.0,2.0,,,0 days 00:00:30.953000,0 days 00:00:43.020000,0 days 00:00:24.883000,0 days 00:48:16.820000,0 days 00:48:59.840000,0 days 00:49:24.723000,235.0,247.0,269.0,,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:47:45.851000,2019-03-31 15:27:45.936,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.4,1003.6,False,29.1,49,2.9
0 days 00:01:38.965000,19.0,GRO,8,0 days 00:49:52.026000,10.0,2.0,,,0 days 00:00:31.282000,0 days 00:00:43.146000,0 days 00:00:24.537000,0 days 00:49:56.005000,0 days 00:50:39.151000,0 days 00:51:03.688000,232.0,248.0,273.0,292.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:49:24.707000,2019-03-31 15:29:24.792,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.7,1003.5,False,28.9,53,3.1
0 days 00:01:39.362000,19.0,GRO,8,0 days 00:51:51.965000,11.0,2.0,,,0 days 00:00:31.586000,0 days 00:00:43.455000,0 days 00:00:24.321000,0 days 00:51:35.274000,0 days 00:52:18.729000,0 days 00:52:43.050000,,246.0,275.0,,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:51:03.672000,2019-03-31 15:31:03.757,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.5,False,28.8,334,2.5
0 days 00:01:38.627000,19.0,GRO,8,0 days 00:52:51.982000,12.0,2.0,,,0 days 00:00:31.092000,0 days 00:00:43.310000,0 days 00:00:24.225000,0 days 00:53:14.142000,0 days 00:53:57.452000,0 days 00:54:21.677000,234.0,246.0,274.0,291.0,False,MEDIUM,11.0,True,Haas F1 Team,0 days 00:52:43.034000,2019-03-31 15:32:43.119,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.0,1003.5,False,28.8,33,1.7
0 days 00:01:38.562000,19.0,GRO,8,0 days 00:54:52.005000,13.0,2.0,,,0 days 00:00:31.102000,0 days 00:00:43.122000,0 days 00:00:24.338000,0 days 00:54:52.779000,0 days 00:55:35.901000,0 days 00:56:00.239000,233.0,247.0,274.0,294.0,False,MEDIUM,12.0,True,Haas F1 Team,0 days 00:54:21.661000,2019-03-31 15:34:21.746,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.6,False,28.8,4,2.5
0 days 00:01:38.506000,19.0,GRO,8,0 days 00:56:52.033000,14.0,2.0,,,0 days 00:00:31.310000,0 days 00:00:43.082000,0 days 00:00:24.114000,0 days 00:56:31.549000,0 days 00:57:14.631000,0 days 00:57:38.745000,235.0,249.0,274.0,292.0,False,MEDIUM,13.0,True,Haas F1 Team,0 days 00:56:00.223000,2019-03-31 15:36:00.308,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.8,False,28.8,29,1.8
0 days 00:01:38.770000,19.0,GRO,8,0 days 00:57:52.051000,15.0,2.0,,,0 days 00:00:31.236000,0 days 00:00:43.229000,0 days 00:00:24.305000,0 days 00:58:09.981000,0 days 00:58:53.210000,0 days 00:59:17.515000,233.0,250.0,275.0,293.0,False,MEDIUM,14.0,True,Haas F1 Team,0 days 00:57:38.729000,2019-03-31 15:37:38.814,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.7,False,28.8,26,2.1
0 days 00:01:42.879000,20.0,GRO,8,0 days 00:59:52.076000,16.0,2.0,,0 days 01:00:58.679000,0 days 00:00:31.337000,0 days 00:00:43.817000,0 days 00:00:27.725000,0 days 00:59:48.852000,0 days 01:00:32.669000,0 days 01:01:00.394000,,239.0,,,False,MEDIUM,15.0,True,Haas F1 Team,0 days 00:59:17.499000,2019-03-31 15:39:17.584,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,55.5,1003.7,False,28.8,47,2.1
