LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:44.549000,11.0,HUL,27,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:44.269000,0 days 00:00:24.138000,,0 days 00:34:52.053000,0 days 00:35:16.354000,233.0,243.0,285.0,234.0,False,SOFT,1.0,True,Renault,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:38.850000,11.0,HUL,27,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:31.166000,0 days 00:00:43.430000,0 days 00:00:24.254000,0 days 00:35:47.323000,0 days 00:36:30.753000,0 days 00:36:55.007000,235.0,237.0,285.0,306.0,True,SOFT,2.0,True,Renault,0 days 00:35:16.165000,2019-03-31 15:15:16.250,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:39.065000,11.0,HUL,27,0 days 00:37:51.864000,3.0,1.0,,,0 days 00:00:31.330000,0 days 00:00:43.344000,0 days 00:00:24.391000,0 days 00:37:26.337000,0 days 00:38:09.681000,0 days 00:38:34.072000,229.0,248.0,292.0,293.0,False,SOFT,3.0,True,Renault,0 days 00:36:55.015000,2019-03-31 15:16:55.100,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:01:39.698000,9.0,HUL,27,0 days 00:38:51.879000,4.0,1.0,,,0 days 00:00:30.553000,0 days 00:00:44.770000,0 days 00:00:24.375000,0 days 00:39:04.625000,0 days 00:39:49.395000,0 days 00:40:13.770000,231.0,247.0,279.0,300.0,False,SOFT,4.0,True,Renault,0 days 00:38:34.080000,2019-03-31 15:18:34.165,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:38.139000,9.0,HUL,27,0 days 00:40:51.814000,5.0,1.0,,,0 days 00:00:30.808000,0 days 00:00:42.938000,0 days 00:00:24.393000,0 days 00:40:44.578000,0 days 00:41:27.516000,0 days 00:41:51.909000,,247.0,290.0,310.0,True,SOFT,5.0,True,Renault,0 days 00:40:13.778000,2019-03-31 15:20:13.863,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:39.082000,8.0,HUL,27,0 days 00:42:51.842000,6.0,1.0,,,0 days 00:00:30.798000,0 days 00:00:43.997000,0 days 00:00:24.287000,0 days 00:42:22.707000,0 days 00:43:06.704000,0 days 00:43:30.991000,,248.0,290.0,314.0,False,SOFT,6.0,True,Renault,0 days 00:41:51.917000,2019-03-31 15:21:52.002,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:01:38.404000,8.0,HUL,27,0 days 00:43:51.899000,7.0,1.0,,,0 days 00:00:31.114000,0 days 00:00:43.079000,0 days 00:00:24.211000,0 days 00:44:02.105000,0 days 00:44:45.184000,0 days 00:45:09.395000,233.0,250.0,289.0,291.0,False,SOFT,7.0,True,Renault,0 days 00:43:30.999000,2019-03-31 15:23:31.084,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:38.526000,8.0,HUL,27,0 days 00:45:51.929000,8.0,1.0,,,0 days 00:00:31.131000,0 days 00:00:42.953000,0 days 00:00:24.442000,0 days 00:45:40.526000,0 days 00:46:23.479000,0 days 00:46:47.921000,231.0,248.0,289.0,318.0,False,SOFT,8.0,True,Renault,0 days 00:45:09.403000,2019-03-31 15:25:09.488,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.6,False,29.1,40,2.9
0 days 00:01:37.956000,7.0,HUL,27,0 days 00:46:51.963000,9.0,1.0,,,0 days 00:00:30.792000,0 days 00:00:42.916000,0 days 00:00:24.248000,0 days 00:47:18.713000,0 days 00:48:01.629000,0 days 00:48:25.877000,234.0,247.0,288.0,315.0,True,SOFT,9.0,True,Renault,0 days 00:46:47.929000,2019-03-31 15:26:48.014,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.1,355,2.4
0 days 00:01:37.309000,7.0,HUL,27,0 days 00:48:51.942000,10.0,1.0,,,0 days 00:00:30.442000,0 days 00:00:42.776000,0 days 00:00:24.091000,0 days 00:48:56.319000,0 days 00:49:39.095000,0 days 00:50:03.186000,232.0,246.0,281.0,,True,SOFT,10.0,True,Renault,0 days 00:48:25.885000,2019-03-31 15:28:25.970,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
0 days 00:01:38.088000,7.0,HUL,27,0 days 00:50:51.949000,11.0,1.0,,,0 days 00:00:31.056000,0 days 00:00:42.912000,0 days 00:00:24.120000,0 days 00:50:34.242000,0 days 00:51:17.154000,0 days 00:51:41.274000,231.0,247.0,280.0,296.0,False,SOFT,11.0,True,Renault,0 days 00:50:03.194000,2019-03-31 15:30:03.279,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.9,1003.6,False,28.8,22,1.9
0 days 00:01:40.753000,6.0,HUL,27,0 days 00:51:51.965000,12.0,1.0,,0 days 00:53:20.304000,0 days 00:00:30.779000,0 days 00:00:42.891000,0 days 00:00:27.083000,0 days 00:52:12.053000,0 days 00:52:54.944000,0 days 00:53:22.027000,234.0,250.0,,299.0,False,SOFT,12.0,True,Renault,0 days 00:51:41.282000,2019-03-31 15:31:41.367,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.5,False,28.8,334,2.5
0 days 00:01:57.266000,10.0,HUL,27,0 days 00:53:52.006000,13.0,2.0,0 days 00:53:45.801000,,0 days 00:00:51.783000,0 days 00:00:41.743000,0 days 00:00:23.740000,0 days 00:54:13.810000,0 days 00:54:55.553000,0 days 00:55:19.293000,234.0,251.0,294.0,227.0,False,SOFT,1.0,True,Renault,0 days 00:53:22.035000,2019-03-31 15:33:22.120,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.9,1003.6,False,28.8,31,2.5
0 days 00:01:35.215000,9.0,HUL,27,0 days 00:55:52.020000,14.0,2.0,,,0 days 00:00:29.834000,0 days 00:00:41.758000,0 days 00:00:23.623000,0 days 00:55:49.127000,0 days 00:56:30.885000,0 days 00:56:54.508000,,253.0,281.0,327.0,True,SOFT,2.0,True,Renault,0 days 00:55:19.301000,2019-03-31 15:35:19.386,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.7,False,28.9,352,1.6
0 days 00:01:36.746000,9.0,HUL,27,0 days 00:57:52.051000,15.0,2.0,,,0 days 00:00:30.688000,0 days 00:00:42.198000,0 days 00:00:23.860000,0 days 00:57:25.196000,0 days 00:58:07.394000,0 days 00:58:31.254000,232.0,251.0,282.0,295.0,False,SOFT,3.0,True,Renault,0 days 00:56:54.516000,2019-03-31 15:36:54.601,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.7,False,28.8,26,2.1
0 days 00:01:37.105000,8.0,HUL,27,0 days 00:58:52.061000,16.0,2.0,,,0 days 00:00:30.707000,0 days 00:00:42.640000,0 days 00:00:23.758000,0 days 00:59:01.961000,0 days 00:59:44.601000,0 days 01:00:08.359000,224.0,249.0,281.0,300.0,False,SOFT,4.0,True,Renault,0 days 00:58:31.262000,2019-03-31 15:38:31.347,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.3,1003.7,False,28.8,17,2.0
0 days 00:01:37.173000,8.0,HUL,27,0 days 01:00:52.091000,17.0,2.0,,,0 days 00:00:30.650000,0 days 00:00:42.453000,0 days 00:00:24.070000,0 days 01:00:39.009000,0 days 01:01:21.462000,0 days 01:01:45.532000,234.0,248.0,281.0,299.0,False,SOFT,5.0,True,Renault,0 days 01:00:08.367000,2019-03-31 15:40:08.452,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.5,1003.7,False,28.7,34,2.4
0 days 00:01:37.131000,8.0,HUL,27,0 days 01:01:52.104000,18.0,2.0,,,0 days 00:00:30.913000,0 days 00:00:42.440000,0 days 00:00:23.778000,0 days 01:02:16.445000,0 days 01:02:58.885000,0 days 01:03:22.663000,233.0,252.0,282.0,300.0,False,SOFT,6.0,True,Renault,0 days 01:01:45.540000,2019-03-31 15:41:45.625,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.3,1003.7,False,28.7,2,2.7
0 days 00:01:37.058000,8.0,HUL,27,0 days 01:03:52.127000,19.0,2.0,,,0 days 00:00:30.553000,0 days 00:00:42.569000,0 days 00:00:23.936000,0 days 01:03:53.216000,0 days 01:04:35.785000,0 days 01:04:59.721000,234.0,251.0,289.0,,False,SOFT,7.0,True,Renault,0 days 01:03:22.671000,2019-03-31 15:43:22.756,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.8,1003.7,False,28.8,85,2.2
0 days 00:01:38.068000,8.0,HUL,27,0 days 01:05:52.160000,20.0,2.0,,,0 days 00:00:30.541000,0 days 00:00:43.401000,0 days 00:00:24.126000,0 days 01:05:30.262000,0 days 01:06:13.663000,0 days 01:06:37.789000,229.0,249.0,291.0,315.0,False,SOFT,8.0,True,Renault,0 days 01:04:59.729000,2019-03-31 15:44:59.814,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.7,False,29.0,345,2.5
0 days 00:01:37.063000,7.0,HUL,27,0 days 01:06:52.305000,21.0,2.0,,,0 days 00:00:30.722000,0 days 00:00:42.416000,0 days 00:00:23.925000,0 days 01:07:08.511000,0 days 01:07:50.927000,0 days 01:08:14.852000,233.0,251.0,282.0,329.0,False,SOFT,9.0,True,Renault,0 days 01:06:37.797000,2019-03-31 15:46:37.882,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.3,53.4,1003.5,False,29.0,31,3.0
0 days 00:01:37.620000,7.0,HUL,27,0 days 01:08:52.199000,22.0,2.0,,,0 days 00:00:30.971000,0 days 00:00:42.720000,0 days 00:00:23.929000,0 days 01:08:45.823000,0 days 01:09:28.543000,0 days 01:09:52.472000,,248.0,282.0,297.0,False,SOFT,10.0,True,Renault,0 days 01:08:14.860000,2019-03-31 15:48:14.945,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.3,52.8,1003.5,False,28.8,50,2.2
0 days 00:01:37.940000,7.0,HUL,27,0 days 01:10:52.225000,23.0,2.0,,,0 days 00:00:30.961000,0 days 00:00:42.961000,0 days 00:00:24.018000,0 days 01:10:23.433000,0 days 01:11:06.394000,0 days 01:11:30.412000,234.0,247.0,283.0,299.0,False,SOFT,11.0,True,Renault,0 days 01:09:52.480000,2019-03-31 15:49:52.565,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.4,51.9,1003.6,False,28.9,59,2.1
0 days 00:01:39.253000,6.0,HUL,27,0 days 01:11:52.242000,24.0,2.0,,,0 days 00:00:30.943000,0 days 00:00:43.668000,0 days 00:00:24.642000,0 days 01:12:01.355000,0 days 01:12:45.023000,0 days 01:13:09.665000,,243.0,290.0,,False,SOFT,12.0,True,Renault,0 days 01:11:30.420000,2019-03-31 15:51:30.505,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.4,51.3,1003.3,False,28.9,9,2.9
0 days 00:01:37.526000,6.0,HUL,27,0 days 01:13:52.269000,25.0,2.0,,,0 days 00:00:30.589000,0 days 00:00:43.043000,0 days 00:00:23.894000,0 days 01:13:40.254000,0 days 01:14:23.297000,0 days 01:14:47.191000,233.0,248.0,282.0,316.0,False,SOFT,13.0,True,Renault,0 days 01:13:09.673000,2019-03-31 15:53:09.758,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,51.3,1003.4,False,28.9,37,2.2
0 days 00:01:37.925000,6.0,HUL,27,0 days 01:14:52.289000,26.0,2.0,,,0 days 00:00:30.880000,0 days 00:00:43.003000,0 days 00:00:24.042000,0 days 01:15:18.071000,0 days 01:16:01.074000,0 days 01:16:25.116000,232.0,249.0,282.0,297.0,False,SOFT,14.0,True,Renault,0 days 01:14:47.199000,2019-03-31 15:54:47.284,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,51.3,1003.4,False,28.9,31,2.7
0 days 00:01:38.513000,6.0,HUL,27,0 days 01:16:52.315000,27.0,2.0,,,0 days 00:00:31.141000,0 days 00:00:43.202000,0 days 00:00:24.170000,0 days 01:16:56.257000,0 days 01:17:39.459000,0 days 01:18:03.629000,,246.0,282.0,,False,SOFT,15.0,True,Renault,0 days 01:16:25.124000,2019-03-31 15:56:25.209,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,50.4,1003.3,False,28.8,44,2.5
0 days 00:01:38.624000,6.0,HUL,27,0 days 01:18:52.337000,28.0,2.0,,,0 days 00:00:31.198000,0 days 00:00:43.317000,0 days 00:00:24.109000,0 days 01:18:34.827000,0 days 01:19:18.144000,0 days 01:19:42.253000,233.0,248.0,282.0,298.0,False,SOFT,16.0,True,Renault,0 days 01:18:03.637000,2019-03-31 15:58:03.722,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,49.0,1003.2,False,28.8,40,3.2
0 days 00:01:38.405000,6.0,HUL,27,0 days 01:19:52.351000,29.0,2.0,,,0 days 00:00:30.999000,0 days 00:00:43.218000,0 days 00:00:24.188000,0 days 01:20:13.252000,0 days 01:20:56.470000,0 days 01:21:20.658000,,250.0,281.0,300.0,False,SOFT,17.0,True,Renault,0 days 01:19:42.261000,2019-03-31 15:59:42.346,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.6,48.9,1003.3,False,28.9,12,2.3
0 days 00:01:38.428000,6.0,HUL,27,0 days 01:21:52.377000,30.0,2.0,,,0 days 00:00:31.004000,0 days 00:00:43.115000,0 days 00:00:24.309000,0 days 01:21:51.662000,0 days 01:22:34.777000,0 days 01:22:59.086000,234.0,249.0,282.0,299.0,False,SOFT,18.0,True,Renault,0 days 01:21:20.666000,2019-03-31 16:01:20.751,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.6,48.9,1003.4,False,28.7,22,2.9
0 days 00:01:38.584000,6.0,HUL,27,0 days 01:23:52.407000,31.0,2.0,,,0 days 00:00:30.950000,0 days 00:00:43.387000,0 days 00:00:24.247000,0 days 01:23:30.036000,0 days 01:24:13.423000,0 days 01:24:37.670000,232.0,248.0,282.0,,False,SOFT,19.0,True,Renault,0 days 01:22:59.094000,2019-03-31 16:02:59.179,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.6,49.2,1003.4,False,28.6,50,2.5
0 days 00:01:41.252000,6.0,HUL,27,0 days 01:24:52.419000,32.0,2.0,,0 days 01:26:17.185000,0 days 00:00:30.947000,0 days 00:00:43.421000,0 days 00:00:26.884000,0 days 01:25:08.617000,0 days 01:25:52.038000,0 days 01:26:18.922000,,251.0,,300.0,False,SOFT,20.0,True,Renault,0 days 01:24:37.678000,2019-03-31 16:04:37.763,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.6,49.4,1003.3,False,28.6,9,2.4
0 days 00:01:59.247000,10.0,HUL,27,0 days 01:26:52.449000,33.0,3.0,0 days 01:26:42.459000,,0 days 00:00:51.962000,0 days 00:00:42.898000,0 days 00:00:24.387000,0 days 01:27:10.884000,0 days 01:27:53.782000,0 days 01:28:18.169000,233.0,240.0,291.0,227.0,False,MEDIUM,1.0,True,Renault,0 days 01:26:18.930000,2019-03-31 16:06:19.015,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.6,49.7,1003.2,False,28.4,19,2.6
0 days 00:01:36.547000,9.0,HUL,27,0 days 01:28:52.492000,34.0,3.0,,,0 days 00:00:30.258000,0 days 00:00:42.422000,0 days 00:00:23.867000,0 days 01:28:48.427000,0 days 01:29:30.849000,0 days 01:29:54.716000,229.0,243.0,285.0,316.0,False,MEDIUM,2.0,True,Renault,0 days 01:28:18.177000,2019-03-31 16:08:18.262,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.6,49.9,1003.2,False,28.4,54,2.6
0 days 00:01:37.889000,8.0,HUL,27,0 days 01:30:52.507000,35.0,3.0,,,0 days 00:00:31.050000,0 days 00:00:42.878000,0 days 00:00:23.961000,0 days 01:30:25.766000,0 days 01:31:08.644000,0 days 01:31:32.605000,,245.0,285.0,296.0,False,MEDIUM,3.0,True,Renault,0 days 01:29:54.724000,2019-03-31 16:09:54.809,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,50.2,1003.4,False,28.3,50,2.3
0 days 00:01:37.863000,8.0,HUL,27,0 days 01:31:52.522000,36.0,3.0,,,0 days 00:00:31.113000,0 days 00:00:42.949000,0 days 00:00:23.801000,0 days 01:32:03.718000,0 days 01:32:46.667000,0 days 01:33:10.468000,,250.0,285.0,300.0,False,MEDIUM,4.0,True,Renault,0 days 01:31:32.613000,2019-03-31 16:11:32.698,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,50.5,1003.3,False,28.3,43,3.1
0 days 00:01:37.371000,8.0,HUL,27,0 days 01:33:52.550000,37.0,3.0,,,0 days 00:00:30.839000,0 days 00:00:42.739000,0 days 00:00:23.793000,0 days 01:33:41.307000,0 days 01:34:24.046000,0 days 01:34:47.839000,232.0,250.0,285.0,299.0,False,MEDIUM,5.0,True,Renault,0 days 01:33:10.476000,2019-03-31 16:13:10.561,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,50.8,1003.4,False,28.3,17,2.8
0 days 00:01:37.190000,8.0,HUL,27,0 days 01:34:52.564000,38.0,3.0,,,0 days 00:00:30.918000,0 days 00:00:42.591000,0 days 00:00:23.681000,0 days 01:35:18.757000,0 days 01:36:01.348000,0 days 01:36:25.029000,234.0,254.0,295.0,301.0,False,MEDIUM,6.0,True,Renault,0 days 01:34:47.847000,2019-03-31 16:14:47.932,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.5,50.9,1003.2,False,28.2,55,3.0
0 days 00:01:36.729000,6.0,HUL,27,0 days 01:36:52.602000,39.0,3.0,,,0 days 00:00:30.909000,0 days 00:00:42.194000,0 days 00:00:23.626000,0 days 01:36:55.938000,0 days 01:37:38.132000,0 days 01:38:01.758000,233.0,253.0,285.0,333.0,False,MEDIUM,7.0,True,Renault,0 days 01:36:25.037000,2019-03-31 16:16:25.122,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.4,51.3,1003.3,False,28.1,52,2.8
