LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:46.565000,16.0,KVY,26,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:44.759000,0 days 00:00:24.907000,,0 days 00:34:53.311000,0 days 00:35:18.363000,221.0,224.0,291.0,220.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:39.828000,15.0,KVY,26,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:31.949000,0 days 00:00:43.462000,0 days 00:00:24.417000,0 days 00:35:50.094000,0 days 00:36:33.556000,0 days 00:36:57.973000,228.0,244.0,278.0,256.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:35:18.181000,2019-03-31 15:15:18.266,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:38.770000,15.0,KVY,26,0 days 00:37:51.864000,3.0,1.0,,,0 days 00:00:30.985000,0 days 00:00:43.345000,0 days 00:00:24.440000,0 days 00:37:28.958000,0 days 00:38:12.303000,0 days 00:38:36.743000,235.0,247.0,288.0,299.0,True,SOFT,3.0,True,Toro Rosso,0 days 00:36:58.009000,2019-03-31 15:16:58.094,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:01:39.401000,14.0,KVY,26,0 days 00:38:51.879000,4.0,1.0,,,0 days 00:00:30.514000,0 days 00:00:43.858000,0 days 00:00:25.029000,0 days 00:39:07.257000,0 days 00:39:51.115000,0 days 00:40:16.144000,,242.0,291.0,330.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:38:36.779000,2019-03-31 15:18:36.864,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:39.400000,14.0,KVY,26,0 days 00:40:51.814000,5.0,1.0,,,0 days 00:00:31.035000,0 days 00:00:43.583000,0 days 00:00:24.782000,0 days 00:40:47.179000,0 days 00:41:30.762000,0 days 00:41:55.544000,228.0,248.0,286.0,314.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:40:16.180000,2019-03-31 15:20:16.265,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:38.617000,14.0,KVY,26,0 days 00:42:51.842000,6.0,1.0,,,0 days 00:00:30.805000,0 days 00:00:43.115000,0 days 00:00:24.697000,0 days 00:42:26.349000,0 days 00:43:09.464000,0 days 00:43:34.161000,233.0,245.0,290.0,329.0,True,SOFT,6.0,True,Toro Rosso,0 days 00:41:55.580000,2019-03-31 15:21:55.665,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:01:40.277000,14.0,KVY,26,0 days 00:43:51.899000,7.0,1.0,,,0 days 00:00:30.810000,0 days 00:00:44.396000,0 days 00:00:25.071000,0 days 00:44:04.971000,0 days 00:44:49.367000,0 days 00:45:14.438000,231.0,239.0,286.0,311.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:43:34.197000,2019-03-31 15:23:34.282,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:39.083000,14.0,KVY,26,0 days 00:45:51.929000,8.0,1.0,,,0 days 00:00:30.875000,0 days 00:00:43.479000,0 days 00:00:24.729000,0 days 00:45:45.313000,0 days 00:46:28.792000,0 days 00:46:53.521000,234.0,242.0,287.0,319.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:45:14.474000,2019-03-31 15:25:14.559,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.6,False,29.1,40,2.9
0 days 00:01:39.414000,11.0,KVY,26,0 days 00:47:51.999000,9.0,1.0,,,0 days 00:00:30.875000,0 days 00:00:43.823000,0 days 00:00:24.716000,,0 days 00:48:08.219000,0 days 00:48:32.935000,,243.0,285.0,306.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:46:53.557000,2019-03-31 15:26:53.642,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.4,1003.6,False,29.1,49,2.9
0 days 00:01:38.177000,8.0,KVY,26,0 days 00:48:51.942000,10.0,1.0,,,0 days 00:00:30.741000,0 days 00:00:42.925000,0 days 00:00:24.511000,0 days 00:49:03.676000,0 days 00:49:46.601000,0 days 00:50:11.112000,232.0,244.0,278.0,324.0,True,SOFT,10.0,True,Toro Rosso,0 days 00:48:32.971000,2019-03-31 15:28:33.056,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
