LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.466000,3.0,LEC,16,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:42.805000,0 days 00:00:23.773000,,0 days 00:34:47.340000,0 days 00:35:11.172000,242.0,256.0,283.0,263.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:36.602000,2.0,LEC,16,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:30.754000,0 days 00:00:42.160000,0 days 00:00:23.688000,0 days 00:35:41.833000,0 days 00:36:23.993000,0 days 00:36:47.681000,237.0,250.0,280.0,304.0,True,SOFT,5.0,False,Ferrari,0 days 00:35:11.082000,2019-03-31 15:15:11.167,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:36.383000,2.0,LEC,16,0 days 00:36:51.761000,3.0,1.0,,,0 days 00:00:30.557000,0 days 00:00:42.091000,0 days 00:00:23.735000,0 days 00:37:18.238000,0 days 00:38:00.329000,0 days 00:38:24.064000,,255.0,281.0,298.0,True,SOFT,6.0,False,Ferrari,0 days 00:36:47.684000,2019-03-31 15:16:47.769,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.7,1003.5,False,29.3,70,3.0
0 days 00:01:36.874000,2.0,LEC,16,0 days 00:38:51.879000,4.0,1.0,,,0 days 00:00:30.496000,0 days 00:00:42.222000,0 days 00:00:24.156000,0 days 00:38:54.560000,0 days 00:39:36.782000,0 days 00:40:00.938000,236.0,258.0,287.0,299.0,False,SOFT,7.0,False,Ferrari,0 days 00:38:24.067000,2019-03-31 15:18:24.152,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:37.214000,2.0,LEC,16,0 days 00:40:51.814000,5.0,1.0,,,0 days 00:00:30.629000,0 days 00:00:42.568000,0 days 00:00:24.017000,0 days 00:40:31.567000,0 days 00:41:14.135000,0 days 00:41:38.152000,234.0,255.0,291.0,326.0,False,SOFT,8.0,False,Ferrari,0 days 00:40:00.941000,2019-03-31 15:20:01.026,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:36.911000,1.0,LEC,16,0 days 00:41:51.828000,6.0,1.0,,,0 days 00:00:30.488000,0 days 00:00:42.533000,0 days 00:00:23.890000,0 days 00:42:08.640000,0 days 00:42:51.173000,0 days 00:43:15.063000,233.0,252.0,280.0,329.0,False,SOFT,9.0,False,Ferrari,0 days 00:41:38.155000,2019-03-31 15:21:38.240,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.9,1003.5,False,29.2,29,3.1
0 days 00:01:37.068000,1.0,LEC,16,0 days 00:43:51.899000,7.0,1.0,,,0 days 00:00:30.735000,0 days 00:00:42.483000,0 days 00:00:23.850000,0 days 00:43:45.798000,0 days 00:44:28.281000,0 days 00:44:52.131000,,248.0,280.0,293.0,False,SOFT,10.0,False,Ferrari,0 days 00:43:15.066000,2019-03-31 15:23:15.151,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:37.789000,1.0,LEC,16,0 days 00:45:51.929000,8.0,1.0,,,0 days 00:00:30.855000,0 days 00:00:42.945000,0 days 00:00:23.989000,0 days 00:45:22.986000,0 days 00:46:05.931000,0 days 00:46:29.920000,236.0,253.0,280.0,296.0,False,SOFT,11.0,False,Ferrari,0 days 00:44:52.134000,2019-03-31 15:24:52.219,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.6,False,29.1,40,2.9
0 days 00:01:37.205000,1.0,LEC,16,0 days 00:46:51.963000,9.0,1.0,,,0 days 00:00:30.738000,0 days 00:00:42.502000,0 days 00:00:23.965000,0 days 00:47:00.658000,0 days 00:47:43.160000,0 days 00:48:07.125000,237.0,257.0,280.0,301.0,False,SOFT,12.0,False,Ferrari,0 days 00:46:29.923000,2019-03-31 15:26:30.008,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.1,355,2.4
0 days 00:01:37.271000,1.0,LEC,16,0 days 00:48:51.942000,10.0,1.0,,,0 days 00:00:30.708000,0 days 00:00:42.650000,0 days 00:00:23.913000,0 days 00:48:37.833000,0 days 00:49:20.483000,0 days 00:49:44.396000,239.0,255.0,280.0,300.0,False,SOFT,13.0,False,Ferrari,0 days 00:48:07.128000,2019-03-31 15:28:07.213,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
0 days 00:01:37.193000,1.0,LEC,16,0 days 00:49:52.026000,11.0,1.0,,,0 days 00:00:30.855000,0 days 00:00:42.434000,0 days 00:00:23.904000,0 days 00:50:15.251000,0 days 00:50:57.685000,0 days 00:51:21.589000,,252.0,280.0,,False,SOFT,14.0,False,Ferrari,0 days 00:49:44.399000,2019-03-31 15:29:44.484,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.7,1003.5,False,28.9,53,3.1
0 days 00:01:37.452000,1.0,LEC,16,0 days 00:51:51.965000,12.0,1.0,,,0 days 00:00:30.819000,0 days 00:00:42.624000,0 days 00:00:24.009000,0 days 00:51:52.408000,0 days 00:52:35.032000,0 days 00:52:59.041000,237.0,252.0,281.0,,False,SOFT,15.0,False,Ferrari,0 days 00:51:21.592000,2019-03-31 15:31:21.677,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.5,False,28.8,334,2.5
0 days 00:01:39.996000,1.0,LEC,16,0 days 00:53:52.006000,13.0,1.0,,0 days 00:54:37.316000,0 days 00:00:30.918000,0 days 00:00:42.546000,0 days 00:00:26.532000,0 days 00:53:29.959000,0 days 00:54:12.505000,0 days 00:54:39.037000,239.0,255.0,,302.0,False,SOFT,16.0,False,Ferrari,0 days 00:52:59.044000,2019-03-31 15:32:59.129,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.9,1003.6,False,28.8,31,2.5
0 days 00:01:56.203000,3.0,LEC,16,0 days 00:54:52.005000,14.0,2.0,0 days 00:55:01.824000,,0 days 00:00:51.874000,0 days 00:00:40.970000,0 days 00:00:23.359000,0 days 00:55:30.911000,0 days 00:56:11.881000,0 days 00:56:35.240000,243.0,258.0,283.0,206.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:54:39.040000,2019-03-31 15:34:39.125,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.6,False,28.8,4,2.5
0 days 00:01:33.914000,1.0,LEC,16,0 days 00:56:52.033000,15.0,2.0,,,0 days 00:00:29.650000,0 days 00:00:41.136000,0 days 00:00:23.128000,0 days 00:57:04.890000,0 days 00:57:46.026000,0 days 00:58:09.154000,240.0,259.0,282.0,303.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:56:35.243000,2019-03-31 15:36:35.328,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.8,False,28.8,29,1.8
0 days 00:01:34.829000,1.0,LEC,16,0 days 00:58:52.061000,16.0,2.0,,,0 days 00:00:30.202000,0 days 00:00:41.364000,0 days 00:00:23.263000,0 days 00:58:39.356000,0 days 00:59:20.720000,0 days 00:59:43.983000,237.0,257.0,282.0,298.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:58:09.157000,2019-03-31 15:38:09.242,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.3,1003.7,False,28.8,17,2.0
0 days 00:01:35.211000,1.0,LEC,16,0 days 00:59:52.076000,17.0,2.0,,,0 days 00:00:30.066000,0 days 00:00:41.747000,0 days 00:00:23.398000,0 days 01:00:14.049000,0 days 01:00:55.796000,0 days 01:01:19.194000,238.0,252.0,282.0,,False,MEDIUM,4.0,True,Ferrari,0 days 00:59:43.986000,2019-03-31 15:39:44.071,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.5,1003.7,False,28.8,47,2.1
0 days 00:01:35.467000,1.0,LEC,16,0 days 01:01:52.104000,18.0,2.0,,,0 days 00:00:30.259000,0 days 00:00:41.802000,0 days 00:00:23.406000,0 days 01:01:49.453000,0 days 01:02:31.255000,0 days 01:02:54.661000,239.0,258.0,281.0,299.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:01:19.197000,2019-03-31 15:41:19.282,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.3,1003.7,False,28.7,2,2.7
0 days 00:01:35.773000,1.0,LEC,16,0 days 01:03:52.127000,19.0,2.0,,,0 days 00:00:30.453000,0 days 00:00:41.765000,0 days 00:00:23.555000,0 days 01:03:25.114000,0 days 01:04:06.879000,0 days 01:04:30.434000,238.0,255.0,281.0,297.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:02:54.664000,2019-03-31 15:42:54.749,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.8,1003.7,False,28.8,85,2.2
