LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:46.113000,14.0,NOR,4,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:46.400000,0 days 00:00:24.664000,,0 days 00:34:53.124000,0 days 00:35:17.837000,219.0,244.0,284.0,236.0,False,SOFT,4.0,False,McLaren,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:38.754000,13.0,NOR,4,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:31.156000,0 days 00:00:43.188000,0 days 00:00:24.410000,0 days 00:35:48.901000,0 days 00:36:32.089000,0 days 00:36:56.499000,233.0,241.0,282.0,305.0,True,SOFT,5.0,False,McLaren,0 days 00:35:17.729000,2019-03-31 15:15:17.814,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:38.879000,13.0,NOR,4,0 days 00:37:51.864000,3.0,1.0,,,0 days 00:00:30.922000,0 days 00:00:43.406000,0 days 00:00:24.551000,0 days 00:37:27.421000,0 days 00:38:10.827000,0 days 00:38:35.378000,237.0,246.0,292.0,303.0,False,SOFT,6.0,False,McLaren,0 days 00:36:56.483000,2019-03-31 15:16:56.568,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:01:40.041000,12.0,NOR,4,0 days 00:38:51.879000,4.0,1.0,,,0 days 00:00:30.400000,0 days 00:00:44.762000,0 days 00:00:24.879000,0 days 00:39:05.778000,0 days 00:39:50.540000,0 days 00:40:15.419000,236.0,239.0,290.0,324.0,False,SOFT,7.0,False,McLaren,0 days 00:38:35.362000,2019-03-31 15:18:35.447,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:38.588000,12.0,NOR,4,0 days 00:40:51.814000,5.0,1.0,,,0 days 00:00:30.715000,0 days 00:00:43.382000,0 days 00:00:24.491000,0 days 00:40:46.134000,0 days 00:41:29.516000,0 days 00:41:54.007000,235.0,246.0,290.0,,True,SOFT,8.0,False,McLaren,0 days 00:40:15.403000,2019-03-31 15:20:15.488,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:39.247000,12.0,NOR,4,0 days 00:42:51.842000,6.0,1.0,,,0 days 00:00:30.634000,0 days 00:00:43.705000,0 days 00:00:24.908000,0 days 00:42:24.641000,0 days 00:43:08.346000,0 days 00:43:33.254000,233.0,240.0,292.0,325.0,False,SOFT,9.0,False,McLaren,0 days 00:41:53.991000,2019-03-31 15:21:54.076,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:01:39.239000,11.0,NOR,4,0 days 00:43:51.899000,7.0,1.0,,,0 days 00:00:30.515000,0 days 00:00:44.177000,0 days 00:00:24.547000,0 days 00:44:03.769000,0 days 00:44:47.946000,0 days 00:45:12.493000,225.0,245.0,285.0,331.0,False,SOFT,10.0,False,McLaren,0 days 00:43:33.238000,2019-03-31 15:23:33.323,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:39.158000,10.0,NOR,4,0 days 00:45:51.929000,8.0,1.0,,,0 days 00:00:31.041000,0 days 00:00:43.482000,0 days 00:00:24.635000,0 days 00:45:43.534000,0 days 00:46:27.016000,0 days 00:46:51.651000,232.0,247.0,288.0,316.0,False,SOFT,11.0,False,McLaren,0 days 00:45:12.477000,2019-03-31 15:25:12.562,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.6,False,29.1,40,2.9
0 days 00:01:38.595000,9.0,NOR,4,0 days 00:46:51.963000,9.0,1.0,,,0 days 00:00:30.995000,0 days 00:00:43.038000,0 days 00:00:24.562000,0 days 00:47:22.646000,0 days 00:48:05.684000,0 days 00:48:30.246000,231.0,248.0,277.0,326.0,False,SOFT,12.0,False,McLaren,0 days 00:46:51.635000,2019-03-31 15:26:51.720,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.1,355,2.4
0 days 00:01:41.271000,9.0,NOR,4,0 days 00:48:51.942000,10.0,1.0,,0 days 00:50:09.839000,0 days 00:00:30.918000,0 days 00:00:43.050000,0 days 00:00:27.303000,0 days 00:49:01.164000,0 days 00:49:44.214000,0 days 00:50:11.517000,229.0,246.0,,293.0,False,SOFT,13.0,False,McLaren,0 days 00:48:30.230000,2019-03-31 15:28:30.315,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
0 days 00:01:56.018000,14.0,NOR,4,0 days 00:50:51.949000,11.0,2.0,0 days 00:50:33.966000,,0 days 00:00:50.721000,0 days 00:00:41.621000,0 days 00:00:23.676000,0 days 00:51:02.238000,0 days 00:51:43.859000,0 days 00:52:07.535000,234.0,241.0,280.0,221.0,False,MEDIUM,1.0,True,McLaren,0 days 00:50:11.501000,2019-03-31 15:30:11.586,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.9,1003.6,False,28.8,22,1.9
