LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:44.180000,10.0,PER,11,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:44.609000,0 days 00:00:24.313000,,0 days 00:34:51.498000,0 days 00:35:15.953000,225.0,253.0,280.0,247.0,False,SOFT,1.0,True,Racing Point,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:38.832000,10.0,PER,11,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:31.067000,0 days 00:00:43.439000,0 days 00:00:24.326000,0 days 00:35:46.857000,0 days 00:36:30.296000,0 days 00:36:54.622000,233.0,239.0,285.0,312.0,True,SOFT,2.0,True,Racing Point,0 days 00:35:15.796000,2019-03-31 15:15:15.881,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:38.951000,10.0,PER,11,0 days 00:37:51.864000,3.0,1.0,,,0 days 00:00:31.146000,0 days 00:00:43.316000,0 days 00:00:24.489000,0 days 00:37:25.768000,0 days 00:38:09.084000,0 days 00:38:33.573000,235.0,251.0,291.0,310.0,False,SOFT,3.0,True,Racing Point,0 days 00:36:54.628000,2019-03-31 15:16:54.713,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:01:40.747000,10.0,PER,11,0 days 00:38:51.879000,4.0,1.0,,,0 days 00:00:31.023000,0 days 00:00:45.101000,0 days 00:00:24.623000,0 days 00:39:04.596000,0 days 00:39:49.697000,0 days 00:40:14.320000,234.0,240.0,289.0,313.0,False,SOFT,4.0,True,Racing Point,0 days 00:38:33.579000,2019-03-31 15:18:33.664,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:38.503000,10.0,PER,11,0 days 00:40:51.814000,5.0,1.0,,,0 days 00:00:30.926000,0 days 00:00:43.128000,0 days 00:00:24.449000,0 days 00:40:45.246000,0 days 00:41:28.374000,0 days 00:41:52.823000,,250.0,289.0,324.0,True,SOFT,5.0,True,Racing Point,0 days 00:40:14.326000,2019-03-31 15:20:14.411,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:39.449000,10.0,PER,11,0 days 00:42:51.842000,6.0,1.0,,,0 days 00:00:30.820000,0 days 00:00:43.878000,0 days 00:00:24.751000,0 days 00:42:23.643000,0 days 00:43:07.521000,0 days 00:43:32.272000,,234.0,294.0,323.0,False,SOFT,6.0,True,Racing Point,0 days 00:41:52.829000,2019-03-31 15:21:52.914,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:01:38.311000,9.0,PER,11,0 days 00:43:51.899000,7.0,1.0,,,0 days 00:00:30.482000,0 days 00:00:43.453000,0 days 00:00:24.376000,0 days 00:44:02.754000,0 days 00:44:46.207000,0 days 00:45:10.583000,,253.0,282.0,338.0,True,SOFT,7.0,True,Racing Point,0 days 00:43:32.278000,2019-03-31 15:23:32.363,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:41.397000,11.0,PER,11,0 days 00:45:51.929000,8.0,1.0,,0 days 00:46:50.247000,0 days 00:00:30.960000,0 days 00:00:43.380000,0 days 00:00:27.057000,0 days 00:45:41.543000,0 days 00:46:24.923000,0 days 00:46:51.980000,233.0,235.0,,307.0,False,SOFT,8.0,True,Racing Point,0 days 00:45:10.589000,2019-03-31 15:25:10.674,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.6,False,29.1,40,2.9
0 days 00:01:58.412000,17.0,PER,11,0 days 00:47:51.999000,9.0,2.0,0 days 00:47:17.391000,,0 days 00:00:53.245000,0 days 00:00:41.383000,0 days 00:00:23.784000,0 days 00:47:45.225000,0 days 00:48:26.608000,0 days 00:48:50.392000,234.0,251.0,282.0,224.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:46:51.986000,2019-03-31 15:26:52.071,1,False,,False,False,Bahrain Grand Prix,15,92.0,26.2,54.4,1003.6,False,29.1,49,2.9
0 days 00:01:36.666000,15.0,PER,11,0 days 00:48:51.942000,10.0,2.0,,,0 days 00:00:30.588000,0 days 00:00:42.242000,0 days 00:00:23.836000,0 days 00:49:20.980000,0 days 00:50:03.222000,0 days 00:50:27.058000,,251.0,282.0,304.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:48:50.398000,2019-03-31 15:28:50.483,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
0 days 00:01:37.326000,11.0,PER,11,0 days 00:50:51.949000,11.0,2.0,,,0 days 00:00:30.703000,0 days 00:00:42.462000,0 days 00:00:24.161000,0 days 00:50:57.761000,0 days 00:51:40.223000,0 days 00:52:04.384000,,253.0,288.0,307.0,False,MEDIUM,3.0,True,Racing Point,0 days 00:50:27.064000,2019-03-31 15:30:27.149,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.9,1003.6,False,28.8,22,1.9
0 days 00:01:37.414000,10.0,PER,11,0 days 00:52:51.982000,12.0,2.0,,,0 days 00:00:30.425000,0 days 00:00:42.741000,0 days 00:00:24.248000,0 days 00:52:34.809000,0 days 00:53:17.550000,0 days 00:53:41.798000,233.0,250.0,281.0,322.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:52:04.390000,2019-03-31 15:32:04.475,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.0,1003.5,False,28.8,33,1.7
0 days 00:01:37.278000,9.0,PER,11,0 days 00:53:52.006000,13.0,2.0,,,0 days 00:00:30.785000,0 days 00:00:42.398000,0 days 00:00:24.095000,0 days 00:54:12.583000,0 days 00:54:54.981000,0 days 00:55:19.076000,,252.0,281.0,308.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:53:41.804000,2019-03-31 15:33:41.889,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.9,1003.6,False,28.8,31,2.5
0 days 00:01:38.381000,11.0,PER,11,0 days 00:55:52.020000,14.0,2.0,,,0 days 00:00:31.271000,0 days 00:00:42.932000,0 days 00:00:24.178000,0 days 00:55:50.347000,0 days 00:56:33.279000,0 days 00:56:57.457000,235.0,254.0,282.0,307.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:55:19.082000,2019-03-31 15:35:19.167,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.7,False,28.9,352,1.6
0 days 00:01:37.920000,11.0,PER,11,0 days 00:57:52.051000,15.0,2.0,,,0 days 00:00:30.871000,0 days 00:00:42.908000,0 days 00:00:24.141000,0 days 00:57:28.328000,0 days 00:58:11.236000,0 days 00:58:35.377000,233.0,250.0,282.0,306.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:56:57.463000,2019-03-31 15:36:57.548,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.7,False,28.8,26,2.1
0 days 00:01:38.064000,11.0,PER,11,0 days 00:58:52.061000,16.0,2.0,,,0 days 00:00:31.042000,0 days 00:00:42.975000,0 days 00:00:24.047000,0 days 00:59:06.419000,0 days 00:59:49.394000,0 days 01:00:13.441000,,251.0,282.0,295.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:58:35.383000,2019-03-31 15:38:35.468,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.3,1003.7,False,28.8,17,2.0
0 days 00:01:37.755000,10.0,PER,11,0 days 01:00:52.091000,17.0,2.0,,,0 days 00:00:30.966000,0 days 00:00:42.720000,0 days 00:00:24.069000,0 days 01:00:44.407000,0 days 01:01:27.127000,0 days 01:01:51.196000,235.0,251.0,282.0,308.0,False,MEDIUM,9.0,True,Racing Point,0 days 01:00:13.447000,2019-03-31 15:40:13.532,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.5,1003.7,False,28.7,34,2.4
