Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:51.719000,STR,18,0 days 00:02:12.920000,1.0,1.0,,0 days 00:35:42.805000,,0 days 00:01:00.729000,0 days 00:00:32.755000,,0 days 00:35:11.824000,0 days 00:35:44.598000,139.0,186.0,,235.0,False,SOFT,1.0,True,Racing Point,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,19.0,False,,False,False,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:35:51.745000,STR,18,0 days 00:02:07.111000,2.0,2.0,0 days 00:36:17.118000,,0 days 00:01:01.407000,0 days 00:00:42.037000,0 days 00:00:23.667000,0 days 00:36:45.935000,0 days 00:37:27.972000,0 days 00:37:51.639000,238.0,260.0,281.0,218.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:35:44.536000,2019-03-31 15:15:44.621,2,19.0,False,,False,False,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:37:51.864000,STR,18,0 days 00:01:37.816000,3.0,2.0,,,0 days 00:00:31.112000,0 days 00:00:42.462000,0 days 00:00:24.242000,0 days 00:38:22.751000,0 days 00:39:05.213000,0 days 00:39:29.455000,234.0,252.0,281.0,,True,MEDIUM,2.0,True,Racing Point,0 days 00:37:51.647000,2019-03-31 15:17:51.732,2,19.0,False,,False,True,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:39:51.801000,STR,18,0 days 00:01:38.329000,4.0,2.0,,,0 days 00:00:31.039000,0 days 00:00:42.980000,0 days 00:00:24.310000,0 days 00:40:00.494000,0 days 00:40:43.474000,0 days 00:41:07.784000,231.0,249.0,280.0,306.0,False,MEDIUM,3.0,True,Racing Point,0 days 00:39:29.463000,2019-03-31 15:19:29.548,1,19.0,False,,False,True,26.2,54.0,1003.4,False,29.3,10,1.9
0 days 00:41:51.828000,STR,18,0 days 00:01:37.916000,5.0,2.0,,,0 days 00:00:31.045000,0 days 00:00:42.818000,0 days 00:00:24.053000,0 days 00:41:38.829000,0 days 00:42:21.647000,0 days 00:42:45.700000,234.0,247.0,281.0,295.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:41:07.792000,2019-03-31 15:21:07.877,2,18.0,False,,False,True,26.2,53.9,1003.5,False,29.2,29,3.1
0 days 00:42:51.842000,STR,18,0 days 00:01:37.911000,6.0,2.0,,,0 days 00:00:31.018000,0 days 00:00:42.715000,0 days 00:00:24.178000,0 days 00:43:16.718000,0 days 00:43:59.433000,0 days 00:44:23.611000,232.0,251.0,280.0,303.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:42:45.708000,2019-03-31 15:22:45.793,1,18.0,False,,False,True,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:44:51.880000,STR,18,0 days 00:01:38.350000,7.0,2.0,,,0 days 00:00:31.002000,0 days 00:00:43.186000,0 days 00:00:24.162000,0 days 00:44:54.613000,0 days 00:45:37.799000,0 days 00:46:01.961000,231.0,250.0,281.0,296.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:44:23.619000,2019-03-31 15:24:23.704,1,18.0,False,,False,True,26.2,54.3,1003.5,False,29.2,15,2.3
0 days 00:46:51.963000,STR,18,0 days 00:01:38.413000,8.0,2.0,,,0 days 00:00:31.425000,0 days 00:00:42.881000,0 days 00:00:24.107000,0 days 00:46:33.386000,0 days 00:47:16.267000,0 days 00:47:40.374000,229.0,250.0,280.0,305.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:46:01.969000,2019-03-31 15:26:02.054,1,18.0,False,,False,True,26.2,54.3,1003.5,False,29.1,355,2.4
0 days 00:47:51.999000,STR,18,0 days 00:01:39.268000,9.0,2.0,,,0 days 00:00:31.242000,0 days 00:00:43.791000,0 days 00:00:24.235000,0 days 00:48:11.616000,0 days 00:48:55.407000,0 days 00:49:19.642000,232.0,249.0,280.0,294.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:47:40.382000,2019-03-31 15:27:40.467,1,18.0,False,,False,True,26.2,54.4,1003.6,False,29.1,49,2.9
0 days 00:49:52.026000,STR,18,0 days 00:01:38.382000,10.0,2.0,,,0 days 00:00:31.137000,0 days 00:00:42.898000,0 days 00:00:24.347000,0 days 00:49:50.779000,0 days 00:50:33.677000,0 days 00:50:58.024000,231.0,251.0,280.0,306.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:49:19.650000,2019-03-31 15:29:19.735,1,18.0,False,,False,True,26.1,54.7,1003.5,False,28.9,53,3.1
0 days 00:51:51.965000,STR,18,0 days 00:01:38.278000,11.0,2.0,,,0 days 00:00:31.262000,0 days 00:00:42.905000,0 days 00:00:24.111000,0 days 00:51:29.286000,0 days 00:52:12.191000,0 days 00:52:36.302000,,251.0,280.0,298.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:50:58.032000,2019-03-31 15:30:58.117,1,18.0,False,,False,True,26.1,55.1,1003.5,False,28.8,334,2.5
0 days 00:52:51.982000,STR,18,0 days 00:01:38.210000,12.0,2.0,,,0 days 00:00:31.048000,0 days 00:00:43.058000,0 days 00:00:24.104000,0 days 00:53:07.350000,0 days 00:53:50.408000,0 days 00:54:14.512000,232.0,250.0,280.0,305.0,False,MEDIUM,11.0,True,Racing Point,0 days 00:52:36.310000,2019-03-31 15:32:36.395,2,18.0,False,,False,True,26.1,55.0,1003.5,False,28.8,33,1.7
0 days 00:54:52.005000,STR,18,0 days 00:01:38.493000,13.0,2.0,,,0 days 00:00:31.080000,0 days 00:00:43.215000,0 days 00:00:24.198000,0 days 00:54:45.592000,0 days 00:55:28.807000,0 days 00:55:53.005000,230.0,252.0,281.0,301.0,False,MEDIUM,12.0,True,Racing Point,0 days 00:54:14.520000,2019-03-31 15:34:14.605,1,18.0,False,,False,True,26.1,55.2,1003.6,False,28.8,4,2.5
0 days 00:56:52.033000,STR,18,0 days 00:01:38.406000,14.0,2.0,,,0 days 00:00:30.979000,0 days 00:00:43.200000,0 days 00:00:24.227000,0 days 00:56:23.984000,0 days 00:57:07.184000,0 days 00:57:31.411000,231.0,252.0,281.0,306.0,False,MEDIUM,13.0,True,Racing Point,0 days 00:55:53.013000,2019-03-31 15:35:53.098,1,18.0,False,,False,True,26.1,55.1,1003.8,False,28.8,29,1.8
0 days 00:57:52.051000,STR,18,0 days 00:01:38.971000,15.0,2.0,,,0 days 00:00:31.213000,0 days 00:00:43.419000,0 days 00:00:24.339000,0 days 00:58:02.624000,0 days 00:58:46.043000,0 days 00:59:10.382000,232.0,250.0,280.0,299.0,False,MEDIUM,14.0,True,Racing Point,0 days 00:57:31.419000,2019-03-31 15:37:31.504,1,18.0,False,,False,True,26.1,55.2,1003.7,False,28.8,26,2.1
0 days 00:59:52.076000,STR,18,0 days 00:01:38.779000,16.0,2.0,,,0 days 00:00:31.140000,0 days 00:00:43.273000,0 days 00:00:24.366000,0 days 00:59:41.522000,0 days 01:00:24.795000,0 days 01:00:49.161000,233.0,251.0,281.0,306.0,False,MEDIUM,15.0,True,Racing Point,0 days 00:59:10.390000,2019-03-31 15:39:10.475,1,18.0,False,,False,True,26.1,55.5,1003.7,False,28.8,47,2.1
0 days 01:00:52.091000,STR,18,0 days 00:01:39.144000,17.0,2.0,,,0 days 00:00:31.177000,0 days 00:00:43.735000,0 days 00:00:24.232000,0 days 01:01:20.338000,0 days 01:02:04.073000,0 days 01:02:28.305000,231.0,251.0,281.0,298.0,False,MEDIUM,16.0,True,Racing Point,0 days 01:00:49.169000,2019-03-31 15:40:49.254,1,18.0,False,,False,True,26.1,55.5,1003.7,False,28.7,34,2.4
0 days 01:02:52.117000,STR,18,0 days 00:01:39.148000,18.0,2.0,,,0 days 00:00:31.255000,0 days 00:00:43.529000,0 days 00:00:24.364000,0 days 01:02:59.560000,0 days 01:03:43.089000,0 days 01:04:07.453000,,247.0,280.0,307.0,False,MEDIUM,17.0,True,Racing Point,0 days 01:02:28.313000,2019-03-31 15:42:28.398,1,18.0,False,,False,True,26.1,55.2,1003.7,False,28.7,27,2.1
0 days 01:04:52.144000,STR,18,0 days 00:01:40.366000,19.0,2.0,,,0 days 00:00:31.395000,0 days 00:00:44.534000,0 days 00:00:24.437000,0 days 01:04:38.848000,0 days 01:05:23.382000,0 days 01:05:47.819000,,246.0,281.0,300.0,False,MEDIUM,18.0,True,Racing Point,0 days 01:04:07.461000,2019-03-31 15:44:07.546,1,18.0,False,,False,True,26.1,54.0,1003.7,False,28.8,59,2.3
0 days 01:05:52.160000,STR,18,0 days 00:01:39.513000,20.0,2.0,,,0 days 00:00:31.347000,0 days 00:00:43.580000,0 days 00:00:24.586000,0 days 01:06:19.166000,0 days 01:07:02.746000,0 days 01:07:27.332000,228.0,247.0,281.0,304.0,False,MEDIUM,19.0,True,Racing Point,0 days 01:05:47.827000,2019-03-31 15:45:47.912,1,18.0,False,,False,True,26.2,53.6,1003.7,False,29.0,345,2.5
0 days 01:07:52.187000,STR,18,0 days 00:01:39.731000,21.0,2.0,,,0 days 00:00:31.371000,0 days 00:00:43.888000,0 days 00:00:24.472000,0 days 01:07:58.703000,0 days 01:08:42.591000,0 days 01:09:07.063000,232.0,249.0,282.0,303.0,False,MEDIUM,20.0,True,Racing Point,0 days 01:07:27.340000,2019-03-31 15:47:27.425,1,18.0,False,,False,True,26.3,53.1,1003.6,False,28.8,30,2.2
0 days 01:09:52.214000,STR,18,0 days 00:01:40.297000,22.0,2.0,,,0 days 00:00:31.394000,0 days 00:00:44.390000,0 days 00:00:24.513000,0 days 01:09:38.457000,0 days 01:10:22.847000,0 days 01:10:47.360000,,247.0,281.0,,False,MEDIUM,21.0,True,Racing Point,0 days 01:09:07.071000,2019-03-31 15:49:07.156,1,18.0,False,,False,True,26.3,52.2,1003.6,False,28.9,63,2.5
0 days 01:10:52.225000,STR,18,0 days 00:01:43.367000,23.0,2.0,,0 days 01:12:29.013000,0 days 00:00:31.602000,0 days 00:00:43.848000,0 days 00:00:27.917000,0 days 01:11:18.962000,0 days 01:12:02.810000,0 days 01:12:30.727000,233.0,248.0,,305.0,False,MEDIUM,22.0,True,Racing Point,0 days 01:10:47.368000,2019-03-31 15:50:47.453,1,19.0,False,,False,False,26.4,51.9,1003.6,False,28.9,59,2.1
