LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:21.040000,4.0,HAM,44,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:06.483000,0 days 00:00:40.289000,,0 days 00:35:07.755000,0 days 00:35:48.241000,316.0,167.0,147.0,306.0,False,SOFT,6.0,False,Mercedes,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,3.0,HAM,44,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:03.748000,0 days 00:01:14.543000,0 days 00:00:40.789000,0 days 00:36:51.775000,0 days 00:38:06.463000,0 days 00:38:47.198000,225.0,187.0,116.0,91.0,False,SOFT,7.0,False,Mercedes,0 days 00:35:48.044000,2019-09-01 13:15:48.258,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,3.0,HAM,44,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:55.347000,0 days 00:01:13.067000,0 days 00:00:52.254000,0 days 00:39:42.404000,0 days 00:40:55.805000,0 days 00:41:47.872000,269.0,94.0,157.0,194.0,False,SOFT,8.0,False,Mercedes,0 days 00:38:47.107000,2019-09-01 13:18:47.321,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,3.0,HAM,44,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:44.098000,0 days 00:01:15.676000,0 days 00:00:53.352000,0 days 00:42:31.885000,0 days 00:43:47.505000,0 days 00:44:41.560000,236.0,130.0,219.0,170.0,False,SOFT,9.0,False,Mercedes,0 days 00:41:47.725000,2019-09-01 13:21:47.939,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:50.799000,3.0,HAM,44,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.592000,0 days 00:00:49.682000,0 days 00:00:29.525000,0 days 00:45:12.446000,0 days 00:46:02.128000,0 days 00:46:31.653000,325.0,197.0,218.0,311.0,True,SOFT,10.0,False,Mercedes,0 days 00:44:40.854000,2019-09-01 13:24:41.068,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:50.170000,3.0,HAM,44,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.568000,0 days 00:00:48.877000,0 days 00:00:29.725000,0 days 00:47:03.221000,0 days 00:47:52.098000,0 days 00:48:21.823000,311.0,198.0,218.0,309.0,True,SOFT,11.0,False,Mercedes,0 days 00:46:31.653000,2019-09-01 13:26:31.867,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:49.960000,3.0,HAM,44,0 days 00:48:30.035000,7.0,1.0,,,0 days 00:00:31.674000,0 days 00:00:48.567000,0 days 00:00:29.719000,0 days 00:48:53.497000,0 days 00:49:42.064000,0 days 00:50:11.783000,307.0,197.0,217.0,308.0,True,SOFT,12.0,False,Mercedes,0 days 00:48:21.823000,2019-09-01 13:28:22.037,1,False,,False,True,Belgian Grand Prix,19,91.0,17.6,56.9,968.3,False,27.3,319,0.8
0 days 00:01:49.511000,3.0,HAM,44,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.517000,0 days 00:00:48.362000,0 days 00:00:29.632000,0 days 00:50:43.300000,0 days 00:51:31.662000,0 days 00:52:01.294000,311.0,197.0,217.0,,True,SOFT,13.0,False,Mercedes,0 days 00:50:11.783000,2019-09-01 13:30:11.997,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:49.678000,3.0,HAM,44,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:31.608000,0 days 00:00:48.441000,0 days 00:00:29.629000,0 days 00:52:32.902000,0 days 00:53:21.343000,0 days 00:53:50.972000,,193.0,219.0,,False,SOFT,14.0,False,Mercedes,0 days 00:52:01.294000,2019-09-01 13:32:01.508,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:49.858000,3.0,HAM,44,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:31.507000,0 days 00:00:48.709000,0 days 00:00:29.642000,0 days 00:54:22.479000,0 days 00:55:11.188000,0 days 00:55:40.830000,312.0,193.0,219.0,309.0,False,SOFT,15.0,False,Mercedes,0 days 00:53:50.972000,2019-09-01 13:33:51.186,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
