LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:35.504000,12.0,KVY,26,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:16.024000,0 days 00:00:41.417000,,0 days 00:35:21.141000,0 days 00:36:02.576000,329.0,183.0,157.0,273.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,11.0,KVY,26,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:03.265000,0 days 00:01:13.319000,0 days 00:00:41.519000,0 days 00:37:05.737000,0 days 00:38:19.124000,0 days 00:39:00.701000,220.0,125.0,169.0,91.0,False,MEDIUM,2.0,True,Toro Rosso,0 days 00:36:02.558000,2019-09-01 13:16:02.772,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,11.0,KVY,26,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:54.259000,0 days 00:01:09.150000,0 days 00:00:55.020000,0 days 00:39:54.912000,0 days 00:41:04,0 days 00:41:59.516000,277.0,162.0,170.0,164.0,False,MEDIUM,3.0,True,Toro Rosso,0 days 00:39:00.575000,2019-09-01 13:19:00.789,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,11.0,KVY,26,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:45.181000,0 days 00:01:10.556000,0 days 00:00:50.191000,0 days 00:42:44.201000,0 days 00:43:54.831000,0 days 00:44:47.383000,270.0,151.0,217.0,265.0,False,MEDIUM,4.0,True,Toro Rosso,0 days 00:41:59.020000,2019-09-01 13:21:59.234,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:54.167000,11.0,KVY,26,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.958000,0 days 00:00:51.849000,0 days 00:00:30.360000,0 days 00:45:16.845000,0 days 00:46:08.694000,0 days 00:46:39.054000,326.0,193.0,215.0,309.0,True,MEDIUM,5.0,True,Toro Rosso,0 days 00:44:44.887000,2019-09-01 13:24:45.101,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:52.687000,11.0,KVY,26,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.812000,0 days 00:00:50.928000,0 days 00:00:29.947000,0 days 00:47:10.866000,0 days 00:48:01.794000,0 days 00:48:31.741000,322.0,187.0,216.0,,True,MEDIUM,6.0,True,Toro Rosso,0 days 00:46:39.054000,2019-09-01 13:26:39.268,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:52.631000,11.0,KVY,26,0 days 00:49:30.048000,7.0,1.0,,,0 days 00:00:31.418000,0 days 00:00:51.099000,0 days 00:00:30.114000,0 days 00:49:03.159000,0 days 00:49:54.258000,0 days 00:50:24.372000,344.0,192.0,216.0,310.0,True,MEDIUM,7.0,True,Toro Rosso,0 days 00:48:31.741000,2019-09-01 13:28:31.955,1,False,,False,True,Belgian Grand Prix,19,91.0,17.5,55.5,968.2,False,27.1,284,1.5
0 days 00:01:52.031000,11.0,KVY,26,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.355000,0 days 00:00:50.679000,0 days 00:00:29.997000,0 days 00:50:55.727000,0 days 00:51:46.406000,0 days 00:52:16.403000,333.0,194.0,218.0,,True,MEDIUM,8.0,True,Toro Rosso,0 days 00:50:24.372000,2019-09-01 13:30:24.586,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:51.698000,11.0,KVY,26,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:31.338000,0 days 00:00:50.400000,0 days 00:00:29.960000,0 days 00:52:47.741000,0 days 00:53:38.141000,0 days 00:54:08.101000,334.0,192.0,218.0,309.0,True,MEDIUM,9.0,True,Toro Rosso,0 days 00:52:16.403000,2019-09-01 13:32:16.617,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:52.262000,11.0,KVY,26,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:31.247000,0 days 00:00:50.977000,0 days 00:00:30.038000,0 days 00:54:39.348000,0 days 00:55:30.325000,0 days 00:56:00.363000,347.0,194.0,218.0,,False,MEDIUM,10.0,True,Toro Rosso,0 days 00:54:08.101000,2019-09-01 13:34:08.315,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
