LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:25.499000,6.0,NOR,4,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:07.900000,0 days 00:00:41.720000,,0 days 00:35:10.778000,0 days 00:35:52.788000,317.0,151.0,206.0,308.0,False,SOFT,1.0,True,McLaren,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,5.0,NOR,4,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:02.354000,0 days 00:01:14.846000,0 days 00:00:40.583000,0 days 00:36:55.092000,0 days 00:38:09.678000,0 days 00:38:50.722000,239.0,139.0,131.0,79.0,False,SOFT,2.0,True,McLaren,0 days 00:35:52.498000,2019-09-01 13:15:52.712,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,5.0,NOR,4,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:54.897000,0 days 00:01:12.268000,0 days 00:00:52.624000,0 days 00:39:45.263000,0 days 00:40:57.394000,0 days 00:41:50.153000,273.0,93.0,150.0,240.0,False,SOFT,3.0,True,McLaren,0 days 00:38:50.261000,2019-09-01 13:18:50.475,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,5.0,NOR,4,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:43.757000,0 days 00:01:15.492000,0 days 00:00:52.549000,0 days 00:42:33.904000,0 days 00:43:49.274000,0 days 00:44:43.015000,277.0,112.0,223.0,217.0,False,SOFT,4.0,True,McLaren,0 days 00:41:50.018000,2019-09-01 13:21:50.232,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:52.573000,5.0,NOR,4,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.724000,0 days 00:00:51.186000,0 days 00:00:29.663000,0 days 00:45:13.547000,0 days 00:46:04.733000,0 days 00:46:34.396000,315.0,195.0,218.0,312.0,True,SOFT,5.0,True,McLaren,0 days 00:44:41.823000,2019-09-01 13:24:42.037,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:51.512000,5.0,NOR,4,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.644000,0 days 00:00:50.124000,0 days 00:00:29.744000,0 days 00:47:06.040000,0 days 00:47:56.164000,0 days 00:48:25.908000,310.0,196.0,218.0,310.0,True,SOFT,6.0,True,McLaren,0 days 00:46:34.396000,2019-09-01 13:26:34.610,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:51.359000,5.0,NOR,4,0 days 00:48:30.035000,7.0,1.0,,,0 days 00:00:31.637000,0 days 00:00:49.884000,0 days 00:00:29.838000,0 days 00:48:57.545000,0 days 00:49:47.429000,0 days 00:50:17.267000,307.0,193.0,216.0,309.0,True,SOFT,7.0,True,McLaren,0 days 00:48:25.908000,2019-09-01 13:28:26.122,1,False,,False,True,Belgian Grand Prix,19,91.0,17.6,56.9,968.3,False,27.3,319,0.8
0 days 00:01:51.347000,5.0,NOR,4,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.715000,0 days 00:00:49.909000,0 days 00:00:29.723000,0 days 00:50:48.982000,0 days 00:51:38.891000,0 days 00:52:08.614000,,194.0,217.0,,True,SOFT,8.0,True,McLaren,0 days 00:50:17.267000,2019-09-01 13:30:17.481,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:51.133000,5.0,NOR,4,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:31.821000,0 days 00:00:49.601000,0 days 00:00:29.711000,0 days 00:52:40.435000,0 days 00:53:30.036000,0 days 00:53:59.747000,306.0,197.0,217.0,307.0,True,SOFT,9.0,True,McLaren,0 days 00:52:08.614000,2019-09-01 13:32:08.828,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:50.700000,5.0,NOR,4,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:31.711000,0 days 00:00:49.265000,0 days 00:00:29.724000,0 days 00:54:31.458000,0 days 00:55:20.723000,0 days 00:55:50.447000,,194.0,218.0,306.0,True,SOFT,10.0,True,McLaren,0 days 00:53:59.747000,2019-09-01 13:33:59.961,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
