LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:21.293000,7.0,GRO,8,0 days 00:33:58.318000,1.0,1.0,,,,0 days 00:00:39.819000,0 days 00:00:17.181000,,0 days 00:34:03.628000,0 days 00:34:20.935000,310.0,241.0,306.0,233.0,False,SOFT,4.0,True,Haas F1 Team,0 days 00:32:59.284000,2019-11-17 17:13:00.100,1,False,,False,False,Brazilian Grand Prix,15,258.0,20.6,62.1,925.1,False,48.1,116,2.0
0 days 00:01:15.041000,7.0,GRO,8,0 days 00:34:58.137000,2.0,1.0,,,0 days 00:00:19.430000,0 days 00:00:38.501000,0 days 00:00:17.110000,0 days 00:34:40.205000,0 days 00:35:18.706000,0 days 00:35:35.816000,305.0,248.0,306.0,300.0,True,SOFT,5.0,True,Haas F1 Team,0 days 00:34:20.771000,2019-11-17 17:14:21.587,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.5,62.9,925.0,False,48.1,162,1.1
0 days 00:01:14.683000,7.0,GRO,8,0 days 00:35:58.149000,3.0,1.0,,,0 days 00:00:19.085000,0 days 00:00:38.437000,0 days 00:00:17.161000,0 days 00:35:54.901000,0 days 00:36:33.338000,0 days 00:36:50.499000,316.0,249.0,308.0,301.0,True,SOFT,6.0,True,Haas F1 Team,0 days 00:35:35.812000,2019-11-17 17:15:36.628,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.4,62.9,925.1,False,48.0,104,1.3
0 days 00:01:15.712000,8.0,GRO,8,0 days 00:36:58.142000,4.0,1.0,,,0 days 00:00:19.307000,0 days 00:00:39.247000,0 days 00:00:17.158000,0 days 00:37:09.806000,0 days 00:37:49.053000,0 days 00:38:06.211000,317.0,247.0,307.0,310.0,False,SOFT,7.0,True,Haas F1 Team,0 days 00:36:50.495000,2019-11-17 17:16:51.311,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.7,61.9,925.1,False,48.8,210,0.5
0 days 00:01:15.933000,9.0,GRO,8,0 days 00:38:58.167000,5.0,1.0,,,0 days 00:00:19.800000,0 days 00:00:38.950000,0 days 00:00:17.183000,0 days 00:38:26.011000,0 days 00:39:04.961000,0 days 00:39:22.144000,316.0,244.0,306.0,302.0,False,SOFT,8.0,True,Haas F1 Team,0 days 00:38:06.207000,2019-11-17 17:18:07.023,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.0,60.9,925.0,False,49.4,205,1.5
0 days 00:01:15.095000,9.0,GRO,8,0 days 00:39:58.195000,6.0,1.0,,,0 days 00:00:19.182000,0 days 00:00:38.645000,0 days 00:00:17.268000,0 days 00:39:41.326000,0 days 00:40:19.971000,0 days 00:40:37.239000,306.0,247.0,303.0,304.0,False,SOFT,9.0,True,Haas F1 Team,0 days 00:39:22.140000,2019-11-17 17:19:22.956,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,60.4,925.0,False,49.6,149,1.2
0 days 00:01:15.287000,9.0,GRO,8,0 days 00:40:58.203000,7.0,1.0,,,0 days 00:00:19.099000,0 days 00:00:38.861000,0 days 00:00:17.327000,0 days 00:40:56.338000,0 days 00:41:35.199000,0 days 00:41:52.526000,,246.0,304.0,300.0,False,SOFT,10.0,True,Haas F1 Team,0 days 00:40:37.235000,2019-11-17 17:20:38.051,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,59.8,925.1,False,49.6,98,1.3
0 days 00:01:15.080000,9.0,GRO,8,0 days 00:41:58.204000,8.0,1.0,,,0 days 00:00:19.115000,0 days 00:00:38.730000,0 days 00:00:17.235000,0 days 00:42:11.641000,0 days 00:42:50.371000,0 days 00:43:07.606000,305.0,244.0,302.0,295.0,False,SOFT,11.0,True,Haas F1 Team,0 days 00:41:52.522000,2019-11-17 17:21:53.338,2,False,,False,True,Brazilian Grand Prix,15,258.0,20.9,60.5,925.1,False,48.9,131,1.2
0 days 00:01:15.130000,9.0,GRO,8,0 days 00:43:58.484000,9.0,1.0,,,0 days 00:00:19.216000,0 days 00:00:38.747000,0 days 00:00:17.167000,0 days 00:43:26.822000,0 days 00:44:05.569000,0 days 00:44:22.736000,304.0,246.0,304.0,296.0,False,SOFT,12.0,True,Haas F1 Team,0 days 00:43:07.602000,2019-11-17 17:23:08.418,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.3,924.9,False,49.5,148,1.5
0 days 00:01:14.995000,9.0,GRO,8,0 days 00:44:58.223000,10.0,1.0,,,0 days 00:00:19.166000,0 days 00:00:38.539000,0 days 00:00:17.290000,0 days 00:44:41.902000,0 days 00:45:20.441000,0 days 00:45:37.731000,,249.0,302.0,295.0,False,SOFT,13.0,True,Haas F1 Team,0 days 00:44:22.732000,2019-11-17 17:24:23.548,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.1,925.0,False,48.5,0,1.2
0 days 00:01:15.173000,9.0,GRO,8,0 days 00:45:58.250000,11.0,1.0,,,0 days 00:00:19.242000,0 days 00:00:38.661000,0 days 00:00:17.270000,0 days 00:45:56.973000,0 days 00:46:35.634000,0 days 00:46:52.904000,,248.0,303.0,293.0,False,SOFT,14.0,True,Haas F1 Team,0 days 00:45:37.727000,2019-11-17 17:25:38.543,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.1,924.9,False,48.1,192,0.8
0 days 00:01:15.247000,9.0,GRO,8,0 days 00:46:58.229000,12.0,1.0,,,0 days 00:00:19.192000,0 days 00:00:38.768000,0 days 00:00:17.287000,0 days 00:47:12.096000,0 days 00:47:50.864000,0 days 00:48:08.151000,303.0,249.0,304.0,296.0,False,SOFT,15.0,True,Haas F1 Team,0 days 00:46:52.900000,2019-11-17 17:26:53.716,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,60.5,924.9,False,46.8,157,1.1
0 days 00:01:15.244000,9.0,GRO,8,0 days 00:48:58.243000,13.0,1.0,,,0 days 00:00:19.228000,0 days 00:00:38.720000,0 days 00:00:17.296000,0 days 00:48:27.379000,0 days 00:49:06.099000,0 days 00:49:23.395000,302.0,250.0,302.0,297.0,False,SOFT,16.0,True,Haas F1 Team,0 days 00:48:08.147000,2019-11-17 17:28:08.963,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.9,62.1,925.0,False,47.1,124,0.8
0 days 00:01:15.171000,9.0,GRO,8,0 days 00:49:58.234000,14.0,1.0,,,0 days 00:00:19.204000,0 days 00:00:38.648000,0 days 00:00:17.319000,0 days 00:49:42.599000,0 days 00:50:21.247000,0 days 00:50:38.566000,,249.0,302.0,296.0,False,SOFT,17.0,True,Haas F1 Team,0 days 00:49:23.391000,2019-11-17 17:29:24.207,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.0,60.8,925.0,False,47.2,172,1.9
0 days 00:01:15.260000,9.0,GRO,8,0 days 00:50:58.287000,15.0,1.0,,,0 days 00:00:19.181000,0 days 00:00:38.668000,0 days 00:00:17.411000,0 days 00:50:57.747000,0 days 00:51:36.415000,0 days 00:51:53.826000,303.0,244.0,302.0,297.0,False,SOFT,18.0,True,Haas F1 Team,0 days 00:50:38.562000,2019-11-17 17:30:39.378,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.9,61.1,924.9,False,47.5,152,1.5
0 days 00:01:15.225000,9.0,GRO,8,0 days 00:51:58.534000,16.0,1.0,,,0 days 00:00:19.200000,0 days 00:00:38.702000,0 days 00:00:17.323000,0 days 00:52:13.026000,0 days 00:52:51.728000,0 days 00:53:09.051000,302.0,249.0,301.0,296.0,False,SOFT,19.0,True,Haas F1 Team,0 days 00:51:53.822000,2019-11-17 17:31:54.638,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.4,925.0,False,48.2,14,1.9
0 days 00:01:15.136000,9.0,GRO,8,0 days 00:53:58.281000,17.0,1.0,,,0 days 00:00:19.148000,0 days 00:00:38.691000,0 days 00:00:17.297000,0 days 00:53:28.199000,0 days 00:54:06.890000,0 days 00:54:24.187000,303.0,248.0,302.0,298.0,False,SOFT,20.0,True,Haas F1 Team,0 days 00:53:09.047000,2019-11-17 17:33:09.863,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,59.9,924.9,False,48.5,167,1.6
0 days 00:01:15.393000,9.0,GRO,8,0 days 00:54:58.476000,18.0,1.0,,,0 days 00:00:19.196000,0 days 00:00:38.842000,0 days 00:00:17.355000,0 days 00:54:43.383000,0 days 00:55:22.225000,0 days 00:55:39.580000,302.0,247.0,302.0,,False,SOFT,21.0,True,Haas F1 Team,0 days 00:54:24.183000,2019-11-17 17:34:24.999,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,60.0,924.9,False,48.5,128,1.4
0 days 00:01:15.327000,9.0,GRO,8,0 days 00:55:58.351000,19.0,1.0,,,0 days 00:00:19.229000,0 days 00:00:38.784000,0 days 00:00:17.314000,0 days 00:55:58.809000,0 days 00:56:37.593000,0 days 00:56:54.907000,,251.0,301.0,300.0,False,SOFT,22.0,True,Haas F1 Team,0 days 00:55:39.576000,2019-11-17 17:35:40.392,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.3,59.5,924.8,False,47.7,108,0.8
0 days 00:01:15.351000,9.0,GRO,8,0 days 00:56:58.354000,20.0,1.0,,,0 days 00:00:19.202000,0 days 00:00:38.765000,0 days 00:00:17.384000,0 days 00:57:14.109000,0 days 00:57:52.874000,0 days 00:58:10.258000,,248.0,302.0,297.0,False,SOFT,23.0,True,Haas F1 Team,0 days 00:56:54.903000,2019-11-17 17:36:55.719,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.3,58.1,924.8,False,47.7,149,1.0
0 days 00:01:15.186000,8.0,GRO,8,0 days 00:58:58.370000,21.0,1.0,,,0 days 00:00:19.189000,0 days 00:00:38.762000,0 days 00:00:17.235000,0 days 00:58:29.447000,0 days 00:59:08.209000,0 days 00:59:25.444000,,246.0,299.0,301.0,False,SOFT,24.0,True,Haas F1 Team,0 days 00:58:10.254000,2019-11-17 17:38:11.070,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,59.0,924.8,False,47.2,181,1.1
0 days 00:01:15.223000,8.0,GRO,8,0 days 00:59:58.389000,22.0,1.0,,,0 days 00:00:19.232000,0 days 00:00:38.821000,0 days 00:00:17.170000,0 days 00:59:44.676000,0 days 01:00:23.497000,0 days 01:00:40.667000,,248.0,299.0,296.0,False,SOFT,25.0,True,Haas F1 Team,0 days 00:59:25.440000,2019-11-17 17:39:26.256,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,59.0,924.9,False,47.0,179,0.9
0 days 00:01:15.988000,7.0,GRO,8,0 days 01:00:58.344000,23.0,1.0,,,0 days 00:00:19.285000,0 days 00:00:39.350000,0 days 00:00:17.353000,0 days 01:00:59.952000,0 days 01:01:39.302000,0 days 01:01:56.655000,301.0,246.0,298.0,298.0,False,SOFT,26.0,True,Haas F1 Team,0 days 01:00:40.663000,2019-11-17 17:40:41.479,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.3,59.1,924.8,False,47.0,134,0.6
0 days 00:01:15.425000,7.0,GRO,8,0 days 01:01:58.333000,24.0,1.0,,,0 days 00:00:19.275000,0 days 00:00:38.979000,0 days 00:00:17.171000,0 days 01:02:15.930000,0 days 01:02:54.909000,0 days 01:03:12.080000,,248.0,300.0,294.0,False,SOFT,27.0,True,Haas F1 Team,0 days 01:01:56.651000,2019-11-17 17:41:57.467,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.4,58.3,924.7,False,46.9,170,1.3
0 days 00:01:15.590000,7.0,GRO,8,0 days 01:03:58.355000,25.0,1.0,,,0 days 00:00:19.295000,0 days 00:00:38.985000,0 days 00:00:17.310000,0 days 01:03:31.375000,0 days 01:04:10.360000,0 days 01:04:27.670000,300.0,248.0,299.0,296.0,False,SOFT,28.0,True,Haas F1 Team,0 days 01:03:12.076000,2019-11-17 17:43:12.892,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.5,58.2,924.7,False,46.8,57,1.0
0 days 00:01:20.102000,9.0,GRO,8,0 days 01:04:58.356000,26.0,1.0,,0 days 01:05:44.917000,0 days 00:00:19.705000,0 days 00:00:39.055000,0 days 00:00:21.342000,0 days 01:04:47.375000,0 days 01:05:26.430000,0 days 01:05:47.772000,316.0,246.0,,294.0,False,SOFT,29.0,True,Haas F1 Team,0 days 01:04:27.666000,2019-11-17 17:44:28.482,1,False,,False,False,Brazilian Grand Prix,15,258.0,21.5,58.5,924.7,False,46.8,95,1.4
0 days 00:01:32.789000,16.0,GRO,8,0 days 01:05:58.375000,27.0,2.0,0 days 01:06:08.662000,,0 days 00:00:37.667000,0 days 00:00:38.176000,0 days 00:00:16.946000,0 days 01:06:25.439000,0 days 01:07:03.615000,0 days 01:07:20.561000,299.0,246.0,316.0,,False,MEDIUM,1.0,True,Haas F1 Team,0 days 01:05:47.768000,2019-11-17 17:45:48.584,1,False,,False,False,Brazilian Grand Prix,15,258.0,21.3,58.8,924.7,False,46.8,88,1.1
0 days 00:01:13.761000,14.0,GRO,8,0 days 01:07:58.367000,28.0,2.0,,,0 days 00:00:18.956000,0 days 00:00:37.887000,0 days 00:00:16.918000,0 days 01:07:39.517000,0 days 01:08:17.404000,0 days 01:08:34.322000,301.0,251.0,304.0,315.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 01:07:20.557000,2019-11-17 17:47:21.373,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.0,60.0,924.7,False,46.5,271,0.9
