LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:42.302000,13.0,GIO,99,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:40.323000,0 days 00:00:26.268000,,0 days 00:34:24.975000,0 days 00:34:51.277000,299.0,254.0,246.0,308.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:34.840000,13.0,GIO,99,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.887000,0 days 00:00:38.847000,0 days 00:00:26.106000,0 days 00:35:21.045000,0 days 00:35:59.892000,0 days 00:36:25.998000,285.0,254.0,245.0,307.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:51.193000,2019-07-14 13:14:51.460,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:35.218000,15.0,GIO,99,0 days 00:37:23.595000,3.0,1.0,,,0 days 00:00:29.243000,0 days 00:00:38.842000,0 days 00:00:27.133000,0 days 00:36:55.241000,0 days 00:37:34.083000,0 days 00:38:01.216000,308.0,221.0,245.0,314.0,False,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:26.033000,2019-07-14 13:16:26.300,1,False,,False,True,British Grand Prix,18,92.0,19.1,62.3,1006.3,False,31.7,60,1.3
0 days 00:01:35.001000,16.0,GIO,99,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:29.439000,0 days 00:00:38.407000,0 days 00:00:27.155000,0 days 00:38:30.655000,0 days 00:39:09.062000,0 days 00:39:36.217000,309.0,254.0,242.0,299.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:38:01.251000,2019-07-14 13:18:01.518,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:33.717000,16.0,GIO,99,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:29.836000,0 days 00:00:38.025000,0 days 00:00:25.856000,0 days 00:40:06.053000,0 days 00:40:44.078000,0 days 00:41:09.934000,285.0,254.0,244.0,294.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:36.252000,2019-07-14 13:19:36.519,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:33.398000,16.0,GIO,99,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.536000,0 days 00:00:37.938000,0 days 00:00:25.924000,0 days 00:41:39.470000,0 days 00:42:17.408000,0 days 00:42:43.332000,,253.0,243.0,298.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:41:09.969000,2019-07-14 13:21:10.236,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:33.483000,16.0,GIO,99,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.744000,0 days 00:00:37.920000,0 days 00:00:25.819000,0 days 00:43:13.076000,0 days 00:43:50.996000,0 days 00:44:16.815000,284.0,254.0,242.0,305.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:42:43.367000,2019-07-14 13:22:43.634,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:33.147000,16.0,GIO,99,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.552000,0 days 00:00:37.908000,0 days 00:00:25.687000,0 days 00:44:46.367000,0 days 00:45:24.275000,0 days 00:45:49.962000,286.0,253.0,243.0,296.0,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:44:16.850000,2019-07-14 13:24:17.117,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:33.530000,16.0,GIO,99,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:29.527000,0 days 00:00:38.172000,0 days 00:00:25.831000,0 days 00:46:19.489000,0 days 00:46:57.661000,0 days 00:47:23.492000,284.0,253.0,244.0,292.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:45:49.997000,2019-07-14 13:25:50.264,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:33.058000,16.0,GIO,99,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:29.488000,0 days 00:00:37.966000,0 days 00:00:25.604000,0 days 00:47:52.980000,0 days 00:48:30.946000,0 days 00:48:56.550000,290.0,255.0,244.0,306.0,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:47:23.527000,2019-07-14 13:27:23.794,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
