LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:34.895000,2.0,HAM,44,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:37.656000,0 days 00:00:25.458000,,0 days 00:34:18.345000,0 days 00:34:43.898000,303.0,261.0,248.0,307.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:31.923000,2.0,HAM,44,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.161000,0 days 00:00:37.504000,0 days 00:00:25.258000,0 days 00:35:12.904000,0 days 00:35:50.408000,0 days 00:36:15.666000,298.0,257.0,246.0,301.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:34:43.786000,2019-07-14 13:14:44.053,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:31.635000,2.0,HAM,44,0 days 00:36:23.566000,3.0,1.0,,,0 days 00:00:29.079000,0 days 00:00:37.230000,0 days 00:00:25.326000,0 days 00:36:44.745000,0 days 00:37:21.975000,0 days 00:37:47.301000,303.0,264.0,249.0,331.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:36:15.709000,2019-07-14 13:16:15.976,1,False,,False,True,British Grand Prix,18,92.0,19.1,63.0,1006.3,False,31.8,47,0.4
0 days 00:01:32.058000,2.0,HAM,44,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:28.860000,0 days 00:00:37.917000,0 days 00:00:25.281000,0 days 00:38:16.161000,0 days 00:38:54.078000,0 days 00:39:19.359000,307.0,262.0,246.0,316.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:37:47.344000,2019-07-14 13:17:47.611,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:31.540000,2.0,HAM,44,0 days 00:39:23.621000,5.0,1.0,,,0 days 00:00:29.107000,0 days 00:00:37.308000,0 days 00:00:25.125000,0 days 00:39:48.466000,0 days 00:40:25.774000,0 days 00:40:50.899000,303.0,259.0,247.0,300.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:39:19.402000,2019-07-14 13:19:19.669,1,False,,False,True,British Grand Prix,18,92.0,19.3,61.5,1006.3,False,31.5,36,1.5
0 days 00:01:30.967000,2.0,HAM,44,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.037000,0 days 00:00:36.859000,0 days 00:00:25.071000,0 days 00:41:19.936000,0 days 00:41:56.795000,0 days 00:42:21.866000,291.0,261.0,246.0,316.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:40:50.942000,2019-07-14 13:20:51.209,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:30.940000,2.0,HAM,44,0 days 00:42:23.659000,7.0,1.0,,,0 days 00:00:28.915000,0 days 00:00:36.950000,0 days 00:00:25.075000,0 days 00:42:50.781000,0 days 00:43:27.731000,0 days 00:43:52.806000,305.0,261.0,245.0,317.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:42:21.909000,2019-07-14 13:22:22.176,1,False,,False,True,British Grand Prix,18,92.0,18.8,59.2,1006.4,False,31.0,43,2.7
0 days 00:01:30.850000,2.0,HAM,44,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:28.913000,0 days 00:00:36.946000,0 days 00:00:24.991000,0 days 00:44:21.719000,0 days 00:44:58.665000,0 days 00:45:23.656000,307.0,262.0,246.0,319.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:43:52.849000,2019-07-14 13:23:53.116,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:31.140000,2.0,HAM,44,0 days 00:45:23.699000,9.0,1.0,,,0 days 00:00:28.908000,0 days 00:00:37.122000,0 days 00:00:25.110000,0 days 00:45:52.564000,0 days 00:46:29.686000,0 days 00:46:54.796000,306.0,261.0,248.0,320.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:45:23.699000,2019-07-14 13:25:23.966,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.5,1006.2,False,31.3,38,2.1
0 days 00:01:30.972000,2.0,HAM,44,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:28.942000,0 days 00:00:37.060000,0 days 00:00:24.970000,0 days 00:47:23.738000,0 days 00:48:00.798000,0 days 00:48:25.768000,305.0,263.0,247.0,319.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:46:54.839000,2019-07-14 13:26:55.106,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
