LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:40.192000,9.0,HUL,27,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:39.946000,0 days 00:00:25.780000,,0 days 00:34:23.306000,0 days 00:34:49.186000,303.0,255.0,248.0,315.0,False,SOFT,4.0,False,Renault,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:33.790000,9.0,HUL,27,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.379000,0 days 00:00:38.651000,0 days 00:00:25.760000,0 days 00:35:18.433000,0 days 00:35:57.084000,0 days 00:36:22.844000,307.0,258.0,248.0,306.0,True,SOFT,5.0,False,Renault,0 days 00:34:49.083000,2019-07-14 13:14:49.350,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:32.671000,9.0,HUL,27,0 days 00:36:23.566000,3.0,1.0,,,0 days 00:00:29.018000,0 days 00:00:38.128000,0 days 00:00:25.525000,0 days 00:36:51.862000,0 days 00:37:29.990000,0 days 00:37:55.515000,309.0,258.0,247.0,312.0,True,SOFT,6.0,False,Renault,0 days 00:36:22.873000,2019-07-14 13:16:23.140,1,False,,False,True,British Grand Prix,18,92.0,19.1,63.0,1006.3,False,31.8,47,0.4
0 days 00:01:32.902000,9.0,HUL,27,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:29.195000,0 days 00:00:38.076000,0 days 00:00:25.631000,0 days 00:38:24.710000,0 days 00:39:02.786000,0 days 00:39:28.417000,308.0,259.0,244.0,320.0,False,SOFT,7.0,False,Renault,0 days 00:37:55.544000,2019-07-14 13:17:55.811,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:32.596000,9.0,HUL,27,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:28.992000,0 days 00:00:38.024000,0 days 00:00:25.580000,0 days 00:39:57.409000,0 days 00:40:35.433000,0 days 00:41:01.013000,310.0,258.0,245.0,320.0,True,SOFT,8.0,False,Renault,0 days 00:39:28.446000,2019-07-14 13:19:28.713,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:32.913000,9.0,HUL,27,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.323000,0 days 00:00:37.949000,0 days 00:00:25.641000,0 days 00:41:30.336000,0 days 00:42:08.285000,0 days 00:42:33.926000,295.0,256.0,245.0,316.0,False,SOFT,9.0,False,Renault,0 days 00:41:01.042000,2019-07-14 13:21:01.309,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:33.089000,9.0,HUL,27,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.370000,0 days 00:00:37.928000,0 days 00:00:25.791000,0 days 00:43:03.296000,0 days 00:43:41.224000,0 days 00:44:07.015000,291.0,256.0,246.0,312.0,False,SOFT,10.0,False,Renault,0 days 00:42:33.955000,2019-07-14 13:22:34.222,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:32.917000,9.0,HUL,27,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.217000,0 days 00:00:38.050000,0 days 00:00:25.650000,0 days 00:44:36.232000,0 days 00:45:14.282000,0 days 00:45:39.932000,292.0,255.0,244.0,316.0,False,SOFT,11.0,False,Renault,0 days 00:44:07.044000,2019-07-14 13:24:07.311,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:32.865000,9.0,HUL,27,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:29.202000,0 days 00:00:38.052000,0 days 00:00:25.611000,0 days 00:46:09.134000,0 days 00:46:47.186000,0 days 00:47:12.797000,288.0,257.0,247.0,313.0,False,SOFT,12.0,False,Renault,0 days 00:45:39.961000,2019-07-14 13:25:40.228,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:32.695000,9.0,HUL,27,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:29.121000,0 days 00:00:37.925000,0 days 00:00:25.649000,0 days 00:47:41.918000,0 days 00:48:19.843000,0 days 00:48:45.492000,287.0,256.0,246.0,314.0,False,SOFT,13.0,False,Renault,0 days 00:47:12.826000,2019-07-14 13:27:13.093,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
0 days 00:01:32.705000,9.0,HUL,27,0 days 00:49:23.751000,11.0,1.0,,,0 days 00:00:29.198000,0 days 00:00:37.880000,0 days 00:00:25.627000,0 days 00:49:14.690000,0 days 00:49:52.570000,0 days 00:50:18.197000,289.0,257.0,244.0,314.0,False,SOFT,14.0,False,Renault,0 days 00:48:45.521000,2019-07-14 13:28:45.788,1,False,,False,True,British Grand Prix,18,92.0,18.8,59.4,1006.3,False,30.9,45,1.1
0 days 00:01:34.081000,10.0,HUL,27,0 days 00:50:23.764000,12.0,1.0,,,0 days 00:00:29.352000,0 days 00:00:38.133000,0 days 00:00:26.596000,0 days 00:50:47.549000,0 days 00:51:25.682000,0 days 00:51:52.278000,,254.0,245.0,305.0,False,SOFT,15.0,False,Renault,0 days 00:50:18.226000,2019-07-14 13:30:18.493,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.0,1006.3,False,31.2,45,1.5
0 days 00:01:33.174000,8.0,HUL,27,0 days 00:52:23.790000,13.0,1.0,,0 days 00:53:19.918000,0 days 00:00:29.584000,0 days 00:00:38.251000,0 days 00:00:25.339000,0 days 00:52:21.862000,0 days 00:53:00.113000,0 days 00:53:25.452000,299.0,258.0,,317.0,False,SOFT,16.0,False,Renault,0 days 00:51:52.307000,2019-07-14 13:31:52.574,1,False,,False,False,British Grand Prix,18,92.0,18.6,59.9,1006.3,False,31.8,36,2.0
0 days 00:01:53.883000,15.0,HUL,27,0 days 00:54:26.951000,14.0,2.0,0 days 00:53:48.560000,,0 days 00:00:50.168000,0 days 00:00:38.081000,0 days 00:00:25.634000,0 days 00:54:15.620000,0 days 00:54:53.701000,0 days 00:55:19.335000,299.0,259.0,247.0,294.0,False,HARD,2.0,False,Renault,0 days 00:53:25.481000,2019-07-14 13:33:25.748,1,False,,False,False,British Grand Prix,18,92.0,18.9,59.9,1006.3,False,33.1,30,0.5
0 days 00:01:32.295000,15.0,HUL,27,0 days 00:55:23.829000,15.0,2.0,,,0 days 00:00:29.249000,0 days 00:00:37.699000,0 days 00:00:25.347000,0 days 00:55:48.584000,0 days 00:56:26.283000,0 days 00:56:51.630000,286.0,257.0,248.0,300.0,True,HARD,3.0,False,Renault,0 days 00:55:19.364000,2019-07-14 13:35:19.631,1,False,,False,True,British Grand Prix,18,92.0,19.3,59.1,1006.2,False,33.9,57,2.0
0 days 00:01:31.525000,14.0,HUL,27,0 days 00:57:24.447000,16.0,2.0,,,0 days 00:00:28.715000,0 days 00:00:37.614000,0 days 00:00:25.196000,0 days 00:57:20.345000,0 days 00:57:57.959000,0 days 00:58:23.155000,322.0,258.0,250.0,300.0,True,HARD,4.0,False,Renault,0 days 00:56:51.659000,2019-07-14 13:36:51.926,1,False,,False,True,British Grand Prix,18,92.0,19.4,58.6,1006.3,False,33.9,23,1.8
0 days 00:01:31.645000,14.0,HUL,27,0 days 00:58:23.868000,17.0,2.0,,,0 days 00:00:28.999000,0 days 00:00:37.385000,0 days 00:00:25.261000,0 days 00:58:52.154000,0 days 00:59:29.539000,0 days 00:59:54.800000,290.0,256.0,248.0,302.0,False,HARD,5.0,False,Renault,0 days 00:58:23.184000,2019-07-14 13:38:23.451,1,False,,False,True,British Grand Prix,18,92.0,19.3,59.2,1006.4,False,34.2,315,2.0
