LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.173000,15.0,STR,18,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:40.611000,0 days 00:00:26.136000,,0 days 00:34:25.942000,0 days 00:34:52.135000,251.0,258.0,245.0,311.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:34.761000,15.0,STR,18,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.775000,0 days 00:00:38.921000,0 days 00:00:26.065000,0 days 00:35:21.788000,0 days 00:36:00.709000,0 days 00:36:26.774000,300.0,259.0,248.0,312.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:52.064000,2019-07-14 13:14:52.331,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:33.651000,14.0,STR,18,0 days 00:37:23.595000,3.0,1.0,,,0 days 00:00:29.431000,0 days 00:00:38.521000,0 days 00:00:25.699000,0 days 00:36:56.205000,0 days 00:37:34.726000,0 days 00:38:00.425000,317.0,261.0,248.0,340.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:26.825000,2019-07-14 13:16:27.092,1,False,,False,True,British Grand Prix,18,92.0,19.1,62.3,1006.3,False,31.7,60,1.3
0 days 00:01:33.481000,14.0,STR,18,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:29.560000,0 days 00:00:38.062000,0 days 00:00:25.859000,0 days 00:38:29.985000,0 days 00:39:08.047000,0 days 00:39:33.906000,296.0,260.0,245.0,306.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:38:00.476000,2019-07-14 13:18:00.743,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:33.049000,14.0,STR,18,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:29.430000,0 days 00:00:37.885000,0 days 00:00:25.734000,0 days 00:40:03.336000,0 days 00:40:41.221000,0 days 00:41:06.955000,293.0,255.0,247.0,307.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:39:33.957000,2019-07-14 13:19:34.224,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:33.534000,14.0,STR,18,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.308000,0 days 00:00:38.285000,0 days 00:00:25.941000,0 days 00:41:36.263000,0 days 00:42:14.548000,0 days 00:42:40.489000,311.0,260.0,245.0,323.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:41:07.006000,2019-07-14 13:21:07.273,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:33.430000,14.0,STR,18,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.505000,0 days 00:00:38.152000,0 days 00:00:25.773000,0 days 00:43:09.994000,0 days 00:43:48.146000,0 days 00:44:13.919000,309.0,260.0,247.0,333.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:42:40.540000,2019-07-14 13:22:40.807,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:33.014000,14.0,STR,18,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.107000,0 days 00:00:38.232000,0 days 00:00:25.675000,0 days 00:44:43.026000,0 days 00:45:21.258000,0 days 00:45:46.933000,310.0,260.0,246.0,322.0,True,MEDIUM,8.0,True,Racing Point,0 days 00:44:13.970000,2019-07-14 13:24:14.237,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:33.111000,14.0,STR,18,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:29.325000,0 days 00:00:38.064000,0 days 00:00:25.722000,0 days 00:46:16.258000,0 days 00:46:54.322000,0 days 00:47:20.044000,312.0,260.0,249.0,325.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:45:46.984000,2019-07-14 13:25:47.251,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:32.649000,14.0,STR,18,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:29.254000,0 days 00:00:37.896000,0 days 00:00:25.499000,0 days 00:47:49.298000,0 days 00:48:27.194000,0 days 00:48:52.693000,307.0,259.0,248.0,323.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:47:20.095000,2019-07-14 13:27:20.362,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
0 days 00:01:32.623000,14.0,STR,18,0 days 00:49:23.751000,11.0,1.0,,,0 days 00:00:29.075000,0 days 00:00:37.957000,0 days 00:00:25.591000,0 days 00:49:21.768000,0 days 00:49:59.725000,0 days 00:50:25.316000,314.0,260.0,246.0,325.0,True,MEDIUM,11.0,True,Racing Point,0 days 00:48:52.744000,2019-07-14 13:28:53.011,1,False,,False,True,British Grand Prix,18,92.0,18.8,59.4,1006.3,False,30.9,45,1.1
0 days 00:01:32.751000,14.0,STR,18,0 days 00:51:23.777000,12.0,1.0,,,0 days 00:00:29.246000,0 days 00:00:37.990000,0 days 00:00:25.515000,0 days 00:50:54.562000,0 days 00:51:32.552000,0 days 00:51:58.067000,309.0,260.0,247.0,320.0,False,MEDIUM,12.0,True,Racing Point,0 days 00:50:25.367000,2019-07-14 13:30:25.634,1,False,,False,True,British Grand Prix,18,92.0,18.7,58.8,1006.4,False,31.6,38,3.5
0 days 00:01:32.289000,13.0,STR,18,0 days 00:52:23.790000,13.0,1.0,,0 days 00:53:24.473000,0 days 00:00:29.447000,0 days 00:00:37.829000,0 days 00:00:25.013000,0 days 00:52:27.514000,0 days 00:53:05.343000,0 days 00:53:30.356000,296.0,261.0,,323.0,False,MEDIUM,13.0,True,Racing Point,0 days 00:51:58.118000,2019-07-14 13:31:58.385,1,False,,False,False,British Grand Prix,18,92.0,18.6,59.9,1006.3,False,31.8,36,2.0
0 days 00:01:54.844000,18.0,STR,18,0 days 00:54:26.951000,14.0,2.0,0 days 00:53:54.893000,,0 days 00:00:51.494000,0 days 00:00:37.904000,0 days 00:00:25.446000,0 days 00:54:21.850000,0 days 00:54:59.754000,0 days 00:55:25.200000,306.0,261.0,247.0,317.0,False,HARD,1.0,True,Racing Point,0 days 00:53:30.407000,2019-07-14 13:33:30.674,1,False,,False,False,British Grand Prix,18,92.0,18.9,59.9,1006.3,False,33.1,30,0.5
0 days 00:01:32.629000,18.0,STR,18,0 days 00:56:23.857000,15.0,2.0,,,0 days 00:00:29.333000,0 days 00:00:37.721000,0 days 00:00:25.575000,0 days 00:55:54.533000,0 days 00:56:32.254000,0 days 00:56:57.829000,288.0,256.0,247.0,301.0,False,HARD,2.0,True,Racing Point,0 days 00:55:25.251000,2019-07-14 13:35:25.518,1,False,,False,True,British Grand Prix,18,92.0,19.3,59.6,1006.2,False,33.9,24,2.7
0 days 00:01:32.328000,17.0,STR,18,0 days 00:57:24.447000,16.0,2.0,,,0 days 00:00:29.140000,0 days 00:00:37.957000,0 days 00:00:25.231000,0 days 00:57:26.969000,0 days 00:58:04.926000,0 days 00:58:30.157000,295.0,259.0,250.0,340.0,True,HARD,3.0,True,Racing Point,0 days 00:56:57.880000,2019-07-14 13:36:58.147,1,False,,False,True,British Grand Prix,18,92.0,19.4,58.6,1006.3,False,33.9,23,1.8
0 days 00:01:32.143000,17.0,STR,18,0 days 00:59:23.881000,17.0,2.0,,,0 days 00:00:29.142000,0 days 00:00:37.474000,0 days 00:00:25.527000,0 days 00:58:59.299000,0 days 00:59:36.773000,0 days 01:00:02.300000,291.0,255.0,247.0,301.0,True,HARD,4.0,True,Racing Point,0 days 00:58:30.208000,2019-07-14 13:38:30.475,1,False,,False,True,British Grand Prix,18,92.0,19.4,59.4,1006.2,False,34.3,51,1.4
0 days 00:01:32.423000,17.0,STR,18,0 days 01:00:23.894000,18.0,2.0,,,0 days 00:00:29.180000,0 days 00:00:37.660000,0 days 00:00:25.583000,0 days 01:00:31.480000,0 days 01:01:09.140000,0 days 01:01:34.723000,,256.0,248.0,301.0,False,HARD,5.0,True,Racing Point,0 days 01:00:02.351000,2019-07-14 13:40:02.618,1,False,,False,True,British Grand Prix,18,92.0,19.2,59.2,1006.3,False,33.9,46,2.4
0 days 00:01:33.095000,16.0,STR,18,0 days 01:02:23.920000,19.0,2.0,,,0 days 00:00:29.313000,0 days 00:00:37.743000,0 days 00:00:26.039000,0 days 01:02:04.036000,0 days 01:02:41.779000,0 days 01:03:07.818000,293.0,260.0,249.0,320.0,False,HARD,6.0,True,Racing Point,0 days 01:01:34.774000,2019-07-14 13:41:35.041,2,False,,False,True,British Grand Prix,18,92.0,19.2,60.0,1006.3,False,33.4,24,1.1
