LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.207000,16.0,KUB,88,0 days 00:33:11.359000,1.0,1.0,,,,0 days 00:00:27.580000,0 days 00:00:32.497000,,0 days 00:34:05.528000,0 days 00:34:37.676000,207.0,278.0,279.0,302.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,False,,False,False,Canadian Grand Prix,14,62.0,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:01:22.219000,17.0,KUB,88,0 days 00:35:11.712000,2.0,1.0,,,0 days 00:00:23.421000,0 days 00:00:26.163000,0 days 00:00:32.635000,0 days 00:35:00.834000,0 days 00:35:26.997000,0 days 00:35:59.632000,230.0,278.0,270.0,308.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:37.456000,2019-06-09 18:14:37.534,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:01:21.761000,17.0,KUB,88,0 days 00:36:11.657000,3.0,1.0,,,0 days 00:00:23.043000,0 days 00:00:26.026000,0 days 00:00:32.692000,0 days 00:36:22.675000,0 days 00:36:48.701000,0 days 00:37:21.393000,240.0,276.0,274.0,310.0,True,MEDIUM,3.0,True,Williams,0 days 00:35:59.675000,2019-06-09 18:15:59.753,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,17.0,1022.2,False,51.9,168,1.1
0 days 00:01:21.815000,18.0,KUB,88,0 days 00:38:12.115000,4.0,1.0,,,0 days 00:00:23.625000,0 days 00:00:25.955000,0 days 00:00:32.235000,0 days 00:37:45.018000,0 days 00:38:10.973000,0 days 00:38:43.208000,236.0,275.0,277.0,301.0,False,MEDIUM,4.0,True,Williams,0 days 00:37:21.436000,2019-06-09 18:17:21.514,1,False,,False,True,Canadian Grand Prix,14,62.0,28.7,16.6,1022.2,False,52.2,348,1.4
0 days 00:01:20.751000,18.0,KUB,88,0 days 00:39:12.152000,5.0,1.0,,,0 days 00:00:22.482000,0 days 00:00:25.963000,0 days 00:00:32.306000,0 days 00:39:05.690000,0 days 00:39:31.653000,0 days 00:40:03.959000,248.0,276.0,275.0,302.0,True,MEDIUM,5.0,True,Williams,0 days 00:38:43.251000,2019-06-09 18:18:43.329,1,False,,False,True,Canadian Grand Prix,14,62.0,28.9,18.4,1022.2,False,51.9,281,1.1
0 days 00:01:21.414000,18.0,KUB,88,0 days 00:40:11.987000,6.0,1.0,,,0 days 00:00:22.657000,0 days 00:00:26.086000,0 days 00:00:32.671000,0 days 00:40:26.616000,0 days 00:40:52.702000,0 days 00:41:25.373000,239.0,276.0,279.0,301.0,False,MEDIUM,6.0,True,Williams,0 days 00:40:04.002000,2019-06-09 18:20:04.080,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:01:20.887000,18.0,KUB,88,0 days 00:42:11.787000,7.0,1.0,,,0 days 00:00:22.847000,0 days 00:00:25.956000,0 days 00:00:32.084000,0 days 00:41:48.220000,0 days 00:42:14.176000,0 days 00:42:46.260000,241.0,277.0,276.0,300.0,False,MEDIUM,7.0,True,Williams,0 days 00:41:25.416000,2019-06-09 18:21:25.494,1,False,,False,True,Canadian Grand Prix,14,62.0,29.1,17.6,1022.2,False,51.4,112,0.4
0 days 00:01:38.012000,19.0,KUB,88,0 days 00:43:11.488000,8.0,1.0,,0 days 00:44:00.630000,0 days 00:00:22.711000,0 days 00:00:25.911000,0 days 00:00:49.390000,0 days 00:43:08.971000,0 days 00:43:34.882000,0 days 00:44:24.272000,240.0,276.0,,301.0,False,MEDIUM,8.0,True,Williams,0 days 00:42:46.303000,2019-06-09 18:22:46.381,2,False,,False,False,Canadian Grand Prix,14,62.0,29.2,17.2,1022.2,False,51.4,298,0.9
0 days 00:01:23.995000,19.0,KUB,88,0 days 00:45:11.686000,9.0,1.0,0 days 00:44:25.706000,,0 days 00:00:25.040000,0 days 00:00:25.948000,0 days 00:00:33.007000,0 days 00:44:49.312000,0 days 00:45:15.260000,0 days 00:45:48.267000,239.0,275.0,265.0,297.0,False,MEDIUM,9.0,True,Williams,0 days 00:44:24.315000,2019-06-09 18:24:24.393,2,False,,False,False,Canadian Grand Prix,14,62.0,29.2,16.6,1022.3,False,51.3,323,1.1
0 days 00:01:21.111000,19.0,KUB,88,0 days 00:46:11.532000,10.0,2.0,,,0 days 00:00:23.256000,0 days 00:00:25.827000,0 days 00:00:32.028000,0 days 00:46:11.523000,0 days 00:46:37.350000,0 days 00:47:09.378000,241.0,276.0,276.0,301.0,False,HARD,1.0,True,Williams,0 days 00:45:48.310000,2019-06-09 18:25:48.388,2,False,,False,True,Canadian Grand Prix,14,62.0,29.1,16.4,1022.2,False,51.2,325,1.2
