LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:23.464000,3.0,LEC,16,0 days 00:33:11.359000,1.0,1.0,,,,0 days 00:00:24.865000,0 days 00:00:31.299000,,0 days 00:33:56.661000,0 days 00:34:27.834000,246.0,284.0,280.0,310.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,False,,False,False,Canadian Grand Prix,14,62.0,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:01:17.965000,3.0,LEC,16,0 days 00:35:11.712000,2.0,1.0,,,0 days 00:00:22.039000,0 days 00:00:24.882000,0 days 00:00:31.044000,0 days 00:34:49.759000,0 days 00:35:14.641000,0 days 00:35:45.685000,252.0,282.0,282.0,307.0,True,MEDIUM,7.0,False,Ferrari,0 days 00:34:27.713000,2019-06-09 18:14:27.791,2,False,,False,True,Canadian Grand Prix,14,62.0,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:01:17.009000,3.0,LEC,16,0 days 00:36:11.657000,3.0,1.0,,,0 days 00:00:21.593000,0 days 00:00:24.595000,0 days 00:00:30.821000,0 days 00:36:07.278000,0 days 00:36:31.873000,0 days 00:37:02.694000,255.0,283.0,282.0,309.0,True,MEDIUM,8.0,False,Ferrari,0 days 00:35:45.678000,2019-06-09 18:15:45.756,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,17.0,1022.2,False,51.9,168,1.1
0 days 00:01:16.826000,3.0,LEC,16,0 days 00:37:11.944000,4.0,1.0,,,0 days 00:00:21.415000,0 days 00:00:24.693000,0 days 00:00:30.718000,0 days 00:37:24.109000,0 days 00:37:48.802000,0 days 00:38:19.520000,,282.0,282.0,308.0,True,MEDIUM,9.0,False,Ferrari,0 days 00:37:02.687000,2019-06-09 18:17:02.765,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,16.8,1022.3,False,52.6,171,2.1
0 days 00:01:16.662000,3.0,LEC,16,0 days 00:39:12.152000,5.0,1.0,,,0 days 00:00:21.281000,0 days 00:00:24.592000,0 days 00:00:30.789000,0 days 00:38:40.801000,0 days 00:39:05.393000,0 days 00:39:36.182000,,282.0,282.0,308.0,True,MEDIUM,10.0,False,Ferrari,0 days 00:38:19.513000,2019-06-09 18:18:19.591,1,False,,False,True,Canadian Grand Prix,14,62.0,28.9,18.4,1022.2,False,51.9,281,1.1
0 days 00:01:17.600000,3.0,LEC,16,0 days 00:40:11.987000,6.0,1.0,,,0 days 00:00:21.674000,0 days 00:00:24.932000,0 days 00:00:30.994000,0 days 00:39:57.856000,0 days 00:40:22.788000,0 days 00:40:53.782000,251.0,282.0,282.0,308.0,False,MEDIUM,11.0,False,Ferrari,0 days 00:39:36.175000,2019-06-09 18:19:36.253,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:01:17.556000,3.0,LEC,16,0 days 00:41:11.535000,7.0,1.0,,,0 days 00:00:21.335000,0 days 00:00:25.315000,0 days 00:00:30.906000,0 days 00:41:15.117000,0 days 00:41:40.432000,0 days 00:42:11.338000,256.0,281.0,281.0,307.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:40:53.775000,2019-06-09 18:20:53.853,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,18.1,1022.2,False,51.8,228,0.7
0 days 00:01:17.023000,3.0,LEC,16,0 days 00:42:11.787000,8.0,1.0,,,0 days 00:00:21.451000,0 days 00:00:24.795000,0 days 00:00:30.777000,0 days 00:42:32.789000,0 days 00:42:57.584000,0 days 00:43:28.361000,255.0,281.0,281.0,306.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:42:11.331000,2019-06-09 18:22:11.409,1,False,,False,True,Canadian Grand Prix,14,62.0,29.1,17.6,1022.2,False,51.4,112,0.4
0 days 00:01:16.868000,3.0,LEC,16,0 days 00:44:11.500000,9.0,1.0,,,0 days 00:00:21.314000,0 days 00:00:24.653000,0 days 00:00:30.901000,0 days 00:43:49.675000,0 days 00:44:14.328000,0 days 00:44:45.229000,256.0,281.0,281.0,305.0,False,MEDIUM,14.0,False,Ferrari,0 days 00:43:28.354000,2019-06-09 18:23:28.432,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.4,1022.3,False,51.4,130,1.4
0 days 00:01:17.162000,3.0,LEC,16,0 days 00:45:11.686000,10.0,1.0,,,0 days 00:00:21.821000,0 days 00:00:24.595000,0 days 00:00:30.746000,0 days 00:45:07.050000,0 days 00:45:31.645000,0 days 00:46:02.391000,255.0,283.0,282.0,307.0,False,MEDIUM,15.0,False,Ferrari,0 days 00:44:45.222000,2019-06-09 18:24:45.300,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,16.6,1022.3,False,51.3,323,1.1
0 days 00:01:17.058000,3.0,LEC,16,0 days 00:46:11.532000,11.0,1.0,,,0 days 00:00:21.509000,0 days 00:00:24.681000,0 days 00:00:30.868000,0 days 00:46:23.900000,0 days 00:46:48.581000,0 days 00:47:19.449000,,282.0,282.0,307.0,False,MEDIUM,16.0,False,Ferrari,0 days 00:46:02.384000,2019-06-09 18:26:02.462,2,False,,False,True,Canadian Grand Prix,14,62.0,29.1,16.4,1022.2,False,51.2,325,1.2
0 days 00:01:17.108000,3.0,LEC,16,0 days 00:48:12.022000,12.0,1.0,,,0 days 00:00:21.557000,0 days 00:00:24.721000,0 days 00:00:30.830000,0 days 00:47:41.006000,0 days 00:48:05.727000,0 days 00:48:36.557000,,282.0,282.0,307.0,False,MEDIUM,17.0,False,Ferrari,0 days 00:47:19.442000,2019-06-09 18:27:19.520,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.3,1022.1,False,51.3,260,1.1
0 days 00:01:16.874000,3.0,LEC,16,0 days 00:49:11.567000,13.0,1.0,,,0 days 00:00:21.366000,0 days 00:00:24.716000,0 days 00:00:30.792000,0 days 00:48:57.923000,0 days 00:49:22.639000,0 days 00:49:53.431000,256.0,282.0,282.0,309.0,False,MEDIUM,18.0,False,Ferrari,0 days 00:48:36.550000,2019-06-09 18:28:36.628,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,16.5,1022.3,False,51.3,30,0.7
0 days 00:01:17.550000,3.0,LEC,16,0 days 00:50:11.580000,14.0,1.0,,,0 days 00:00:21.620000,0 days 00:00:24.990000,0 days 00:00:30.940000,0 days 00:50:15.051000,0 days 00:50:40.041000,0 days 00:51:10.981000,257.0,282.0,282.0,305.0,False,MEDIUM,19.0,False,Ferrari,0 days 00:49:53.424000,2019-06-09 18:29:53.502,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.5,1022.2,False,51.1,336,0.8
