Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:11.359000,RUS,63,0 days 00:01:32.719000,1.0,1.0,,,,0 days 00:00:27.930000,0 days 00:00:31.479000,,0 days 00:34:05.862000,0 days 00:34:37.239000,210.0,282.0,278.0,316.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,15.0,False,,False,False,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:35:11.712000,RUS,63,0 days 00:01:20.343000,2.0,1.0,,,0 days 00:00:22.828000,0 days 00:00:25.712000,0 days 00:00:31.803000,0 days 00:34:59.756000,0 days 00:35:25.468000,0 days 00:35:57.271000,237.0,280.0,278.0,307.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:36.968000,2019-06-09 18:14:37.046,1,15.0,False,,False,True,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:36:11.657000,RUS,63,0 days 00:01:19.857000,3.0,1.0,,,0 days 00:00:22.606000,0 days 00:00:25.657000,0 days 00:00:31.594000,0 days 00:36:19.877000,0 days 00:36:45.534000,0 days 00:37:17.128000,,280.0,279.0,309.0,True,MEDIUM,3.0,True,Williams,0 days 00:35:57.311000,2019-06-09 18:15:57.389,1,14.0,False,,False,True,28.5,17.0,1022.2,False,51.9,168,1.1
0 days 00:38:12.115000,RUS,63,0 days 00:01:20.396000,4.0,1.0,,,0 days 00:00:22.433000,0 days 00:00:25.692000,0 days 00:00:32.271000,0 days 00:37:39.561000,0 days 00:38:05.253000,0 days 00:38:37.524000,239.0,278.0,284.0,307.0,False,MEDIUM,4.0,True,Williams,0 days 00:37:17.168000,2019-06-09 18:17:17.246,1,15.0,False,,False,True,28.7,16.6,1022.2,False,52.2,348,1.4
0 days 00:39:12.152000,RUS,63,0 days 00:01:20.369000,5.0,1.0,,,0 days 00:00:22.653000,0 days 00:00:25.830000,0 days 00:00:31.886000,0 days 00:39:00.177000,0 days 00:39:26.007000,0 days 00:39:57.893000,242.0,278.0,278.0,307.0,False,MEDIUM,5.0,True,Williams,0 days 00:38:37.564000,2019-06-09 18:18:37.642,1,15.0,False,,False,True,28.9,18.4,1022.2,False,51.9,281,1.1
0 days 00:40:11.987000,RUS,63,0 days 00:01:20.926000,6.0,1.0,,,0 days 00:00:22.647000,0 days 00:00:25.964000,0 days 00:00:32.315000,0 days 00:40:20.540000,0 days 00:40:46.504000,0 days 00:41:18.819000,240.0,278.0,283.0,305.0,False,MEDIUM,6.0,True,Williams,0 days 00:39:57.933000,2019-06-09 18:19:58.011,1,15.0,False,,False,True,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:42:11.787000,RUS,63,0 days 00:01:20.352000,7.0,1.0,,,0 days 00:00:22.795000,0 days 00:00:25.818000,0 days 00:00:31.739000,0 days 00:41:41.614000,0 days 00:42:07.432000,0 days 00:42:39.171000,232.0,279.0,279.0,306.0,False,MEDIUM,7.0,True,Williams,0 days 00:41:18.859000,2019-06-09 18:21:18.937,1,15.0,False,,False,True,29.1,17.6,1022.2,False,51.4,112,0.4
0 days 00:43:11.488000,RUS,63,0 days 00:01:21.008000,8.0,1.0,,,0 days 00:00:22.780000,0 days 00:00:25.882000,0 days 00:00:32.346000,0 days 00:43:01.951000,0 days 00:43:27.833000,0 days 00:44:00.179000,240.0,279.0,283.0,306.0,False,MEDIUM,8.0,True,Williams,0 days 00:42:39.211000,2019-06-09 18:22:39.289,1,16.0,False,,False,True,29.2,17.2,1022.2,False,51.4,298,0.9
0 days 00:44:11.500000,RUS,63,0 days 00:01:37.342000,9.0,1.0,,0 days 00:45:15.312000,0 days 00:00:22.981000,0 days 00:00:25.845000,0 days 00:00:48.516000,0 days 00:44:23.160000,0 days 00:44:49.005000,0 days 00:45:37.521000,241.0,281.0,,309.0,False,MEDIUM,9.0,True,Williams,0 days 00:44:00.219000,2019-06-09 18:24:00.297,2,17.0,False,,False,False,29.2,17.4,1022.3,False,51.4,130,1.4
0 days 00:46:11.532000,RUS,63,0 days 00:01:21.291000,10.0,2.0,0 days 00:45:41.770000,,0 days 00:00:24.169000,0 days 00:00:25.479000,0 days 00:00:31.643000,0 days 00:46:01.690000,0 days 00:46:27.169000,0 days 00:46:58.812000,245.0,276.0,276.0,298.0,False,HARD,1.0,True,Williams,0 days 00:45:37.561000,2019-06-09 18:25:37.639,2,17.0,False,,False,False,29.1,16.4,1022.2,False,51.2,325,1.2
