LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:18.254000,20.0,NOR,4,0 days 00:33:36.572000,1.0,1.0,,0 days 00:35:43.924000,,0 days 00:00:41.166000,0 days 00:01:05.746000,,0 days 00:34:39.930000,0 days 00:35:45.698000,284.0,253.0,,263.0,False,MEDIUM,1.0,True,McLaren,0 days 00:33:27.137000,2019-04-14 06:13:29.012,267,False,,False,False,Chinese Grand Prix,16,203.0,19.6,44.7,1019.2,False,28.8,130,3.0
0 days 00:02:26.586000,20.0,NOR,4,0 days 00:36:36.693000,2.0,2.0,0 days 00:36:34.659000,,0 days 00:01:13.373000,0 days 00:00:29.541000,0 days 00:00:43.672000,0 days 00:36:59.018000,0 days 00:37:28.559000,0 days 00:38:12.231000,273.0,260.0,255.0,302.0,False,HARD,1.0,True,McLaren,0 days 00:35:45.629000,2019-04-14 06:15:47.504,7,False,,False,False,Chinese Grand Prix,16,203.0,19.7,45.1,1019.1,False,28.9,87,4.0
0 days 00:01:39.921000,20.0,NOR,4,0 days 00:38:36.597000,3.0,2.0,,,0 days 00:00:26.463000,0 days 00:00:29.920000,0 days 00:00:43.538000,0 days 00:38:38.694000,0 days 00:39:08.614000,0 days 00:39:52.152000,266.0,258.0,254.0,301.0,True,HARD,2.0,True,McLaren,0 days 00:38:12.215000,2019-04-14 06:18:14.090,1,False,,False,True,Chinese Grand Prix,16,203.0,19.7,43.3,1019.1,False,28.5,92,4.1
0 days 00:01:40.193000,20.0,NOR,4,0 days 00:40:36.821000,4.0,2.0,,,0 days 00:00:26.637000,0 days 00:00:29.925000,0 days 00:00:43.631000,0 days 00:40:18.789000,0 days 00:40:48.714000,0 days 00:41:32.345000,,260.0,254.0,302.0,False,HARD,3.0,True,McLaren,0 days 00:39:52.136000,2019-04-14 06:19:54.011,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.9,1019.1,False,28.3,88,3.9
0 days 00:01:40.526000,20.0,NOR,4,0 days 00:41:36.657000,5.0,2.0,,,0 days 00:00:26.678000,0 days 00:00:30.092000,0 days 00:00:43.756000,0 days 00:41:59.023000,0 days 00:42:29.115000,0 days 00:43:12.871000,267.0,261.0,254.0,303.0,False,HARD,4.0,True,McLaren,0 days 00:41:32.329000,2019-04-14 06:21:34.204,1,False,,False,True,Chinese Grand Prix,16,203.0,19.4,44.0,1019.1,False,28.2,91,4.0
0 days 00:01:40.603000,20.0,NOR,4,0 days 00:43:36.662000,6.0,2.0,,,0 days 00:00:26.667000,0 days 00:00:30.186000,0 days 00:00:43.750000,0 days 00:43:39.538000,0 days 00:44:09.724000,0 days 00:44:53.474000,269.0,261.0,255.0,302.0,False,HARD,5.0,True,McLaren,0 days 00:43:12.855000,2019-04-14 06:23:14.730,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,43.9,1019.1,False,28.1,86,3.7
0 days 00:01:40.553000,20.0,NOR,4,0 days 00:45:36.698000,7.0,2.0,,,0 days 00:00:26.755000,0 days 00:00:30.100000,0 days 00:00:43.698000,0 days 00:45:20.229000,0 days 00:45:50.329000,0 days 00:46:34.027000,268.0,262.0,255.0,302.0,False,HARD,6.0,True,McLaren,0 days 00:44:53.458000,2019-04-14 06:24:55.333,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,44.0,1019.2,False,28.1,97,2.7
0 days 00:01:40.499000,20.0,NOR,4,0 days 00:46:36.705000,8.0,2.0,,,0 days 00:00:26.636000,0 days 00:00:30.098000,0 days 00:00:43.765000,0 days 00:47:00.663000,0 days 00:47:30.761000,0 days 00:48:14.526000,270.0,263.0,255.0,303.0,False,HARD,7.0,True,McLaren,0 days 00:46:34.011000,2019-04-14 06:26:35.886,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,44.5,1019.2,False,28.0,99,3.6
0 days 00:01:40.362000,20.0,NOR,4,0 days 00:48:36.733000,9.0,2.0,,,0 days 00:00:26.612000,0 days 00:00:30.088000,0 days 00:00:43.662000,0 days 00:48:41.138000,0 days 00:49:11.226000,0 days 00:49:54.888000,269.0,262.0,254.0,304.0,False,HARD,8.0,True,McLaren,0 days 00:48:14.510000,2019-04-14 06:28:16.385,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,45.0,1019.2,False,27.9,61,4.0
0 days 00:01:40.589000,20.0,NOR,4,0 days 00:50:36.868000,10.0,2.0,,,0 days 00:00:26.754000,0 days 00:00:30.118000,0 days 00:00:43.717000,0 days 00:50:21.642000,0 days 00:50:51.760000,0 days 00:51:35.477000,267.0,260.0,255.0,305.0,False,HARD,9.0,True,McLaren,0 days 00:49:54.872000,2019-04-14 06:29:56.747,1,False,,False,True,Chinese Grand Prix,16,203.0,19.7,44.8,1019.2,False,28.0,84,3.5
