LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:57.998000,8.0,PER,11,0 days 00:33:36.572000,1.0,1.0,,,,0 days 00:00:31.487000,0 days 00:00:56.175000,,0 days 00:34:29.380000,0 days 00:35:25.464000,279.0,262.0,166.0,279.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:27.137000,2019-04-14 06:13:29.012,26,False,,False,False,Chinese Grand Prix,16,203.0,19.6,44.7,1019.2,False,28.8,130,3.0
0 days 00:01:47.379000,8.0,PER,11,0 days 00:35:36.746000,2.0,1.0,,,0 days 00:00:31.344000,0 days 00:00:32.060000,0 days 00:00:43.975000,0 days 00:35:56.711000,0 days 00:36:28.771000,0 days 00:37:12.746000,250.0,259.0,252.0,306.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:35:25.373000,2019-04-14 06:15:27.248,67,False,,False,False,Chinese Grand Prix,16,203.0,19.4,45.1,1019.1,False,28.9,79,2.6
0 days 00:01:40.612000,8.0,PER,11,0 days 00:37:37.047000,3.0,1.0,,,0 days 00:00:26.656000,0 days 00:00:30.239000,0 days 00:00:43.717000,0 days 00:37:39.402000,0 days 00:38:09.641000,0 days 00:38:53.358000,271.0,261.0,253.0,306.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:37:12.752000,2019-04-14 06:17:14.627,1,False,,False,True,Chinese Grand Prix,16,203.0,19.8,43.4,1019.1,False,28.9,84,3.2
0 days 00:01:40.377000,8.0,PER,11,0 days 00:39:36.606000,4.0,1.0,,,0 days 00:00:26.715000,0 days 00:00:30.101000,0 days 00:00:43.561000,0 days 00:39:20.073000,0 days 00:39:50.174000,0 days 00:40:33.735000,268.0,260.0,252.0,308.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:38:53.364000,2019-04-14 06:18:55.239,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.8,1019.1,False,28.3,89,3.3
0 days 00:01:40.277000,8.0,PER,11,0 days 00:40:36.821000,5.0,1.0,,,0 days 00:00:26.558000,0 days 00:00:30.165000,0 days 00:00:43.554000,0 days 00:41:00.293000,0 days 00:41:30.458000,0 days 00:42:14.012000,,262.0,253.0,308.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:40:33.741000,2019-04-14 06:20:35.616,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.9,1019.1,False,28.3,88,3.9
0 days 00:01:40.294000,8.0,PER,11,0 days 00:42:36.649000,6.0,1.0,,,0 days 00:00:26.721000,0 days 00:00:29.989000,0 days 00:00:43.584000,0 days 00:42:40.733000,0 days 00:43:10.722000,0 days 00:43:54.306000,,259.0,254.0,303.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:42:14.018000,2019-04-14 06:22:15.893,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,43.5,1019.1,False,28.1,68,3.4
0 days 00:01:40.357000,8.0,PER,11,0 days 00:44:36.677000,7.0,1.0,,,0 days 00:00:26.719000,0 days 00:00:30.103000,0 days 00:00:43.535000,0 days 00:44:21.025000,0 days 00:44:51.128000,0 days 00:45:34.663000,266.0,259.0,253.0,306.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:43:54.312000,2019-04-14 06:23:56.187,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.4,1019.1,False,28.1,77,4.6
0 days 00:01:40.494000,8.0,PER,11,0 days 00:45:36.698000,8.0,1.0,,,0 days 00:00:26.667000,0 days 00:00:30.074000,0 days 00:00:43.753000,0 days 00:46:01.330000,0 days 00:46:31.404000,0 days 00:47:15.157000,268.0,261.0,253.0,304.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:45:34.669000,2019-04-14 06:25:36.544,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,44.0,1019.2,False,28.1,97,2.7
0 days 00:01:40.336000,8.0,PER,11,0 days 00:47:36.721000,9.0,1.0,,,0 days 00:00:26.729000,0 days 00:00:29.917000,0 days 00:00:43.690000,0 days 00:47:41.886000,0 days 00:48:11.803000,0 days 00:48:55.493000,267.0,260.0,255.0,306.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:47:15.163000,2019-04-14 06:27:17.038,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,44.7,1019.2,False,27.9,108,3.2
0 days 00:01:40.153000,8.0,PER,11,0 days 00:49:36.746000,10.0,1.0,,,0 days 00:00:26.575000,0 days 00:00:29.979000,0 days 00:00:43.599000,0 days 00:49:22.068000,0 days 00:49:52.047000,0 days 00:50:35.646000,,260.0,254.0,306.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:48:55.499000,2019-04-14 06:28:57.374,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,45.1,1019.2,False,27.9,90,3.6
