LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:01.546000,12.0,RAI,7,0 days 00:33:36.572000,1.0,1.0,,,,0 days 00:00:31.909000,0 days 00:00:58.460000,,0 days 00:34:30.820000,0 days 00:35:29.010000,274.0,264.0,165.0,207.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:27.137000,2019-04-14 06:13:29.012,26,False,,False,False,Chinese Grand Prix,16,203.0,19.6,44.7,1019.2,False,28.8,130,3.0
0 days 00:01:46.190000,12.0,RAI,7,0 days 00:35:36.746000,2.0,1.0,,,0 days 00:00:31.068000,0 days 00:00:30.699000,0 days 00:00:44.423000,0 days 00:35:59.998000,0 days 00:36:30.697000,0 days 00:37:15.120000,273.0,264.0,251.0,314.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:28.921000,2019-04-14 06:15:30.796,67,False,,False,False,Chinese Grand Prix,16,203.0,19.4,45.1,1019.1,False,28.9,79,2.6
0 days 00:01:40.931000,11.0,RAI,7,0 days 00:37:37.047000,3.0,1.0,,,0 days 00:00:26.856000,0 days 00:00:30.558000,0 days 00:00:43.517000,0 days 00:37:41.976000,0 days 00:38:12.534000,0 days 00:38:56.051000,272.0,265.0,257.0,328.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:37:15.111000,2019-04-14 06:17:16.986,1,False,,False,True,Chinese Grand Prix,16,203.0,19.8,43.4,1019.1,False,28.9,84,3.2
0 days 00:01:40.508000,10.0,RAI,7,0 days 00:39:36.606000,4.0,1.0,,,0 days 00:00:26.510000,0 days 00:00:30.538000,0 days 00:00:43.460000,0 days 00:39:22.561000,0 days 00:39:53.099000,0 days 00:40:36.559000,269.0,258.0,250.0,330.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:38:56.042000,2019-04-14 06:18:57.917,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.8,1019.1,False,28.3,89,3.3
0 days 00:01:40.443000,10.0,RAI,7,0 days 00:40:36.821000,5.0,1.0,,,0 days 00:00:26.801000,0 days 00:00:29.943000,0 days 00:00:43.699000,0 days 00:41:03.360000,0 days 00:41:33.303000,0 days 00:42:17.002000,267.0,262.0,253.0,305.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:40:36.550000,2019-04-14 06:20:38.425,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.9,1019.1,False,28.3,88,3.9
0 days 00:01:40.374000,10.0,RAI,7,0 days 00:42:36.649000,6.0,1.0,,,0 days 00:00:26.521000,0 days 00:00:30.111000,0 days 00:00:43.742000,0 days 00:42:43.523000,0 days 00:43:13.634000,0 days 00:43:57.376000,269.0,260.0,254.0,303.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:42:16.993000,2019-04-14 06:22:18.868,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,43.5,1019.1,False,28.1,68,3.4
0 days 00:01:40.260000,10.0,RAI,7,0 days 00:44:36.677000,7.0,1.0,,,0 days 00:00:26.705000,0 days 00:00:29.999000,0 days 00:00:43.556000,0 days 00:44:24.081000,0 days 00:44:54.080000,0 days 00:45:37.636000,268.0,262.0,256.0,304.0,True,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:43:57.367000,2019-04-14 06:23:59.242,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.4,1019.1,False,28.1,77,4.6
0 days 00:01:40.016000,10.0,RAI,7,0 days 00:46:36.705000,8.0,1.0,,,0 days 00:00:26.418000,0 days 00:00:30.161000,0 days 00:00:43.437000,0 days 00:46:04.054000,0 days 00:46:34.215000,0 days 00:47:17.652000,271.0,266.0,259.0,325.0,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:45:37.627000,2019-04-14 06:25:39.502,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,44.5,1019.2,False,28.0,99,3.6
0 days 00:01:40.644000,10.0,RAI,7,0 days 00:47:36.721000,9.0,1.0,,,0 days 00:00:26.568000,0 days 00:00:30.427000,0 days 00:00:43.649000,0 days 00:47:44.220000,0 days 00:48:14.647000,0 days 00:48:58.296000,268.0,266.0,260.0,326.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:47:17.643000,2019-04-14 06:27:19.518,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,44.7,1019.2,False,27.9,108,3.2
0 days 00:01:39.939000,9.0,RAI,7,0 days 00:49:36.746000,10.0,1.0,,,0 days 00:00:26.401000,0 days 00:00:30.371000,0 days 00:00:43.167000,0 days 00:49:24.697000,0 days 00:49:55.068000,0 days 00:50:38.235000,266.0,266.0,253.0,332.0,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:48:58.287000,2019-04-14 06:29:00.162,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,45.1,1019.2,False,27.9,90,3.6
