LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:47.047000,5.0,SAI,55,0 days 00:34:18.846000,1.0,1.0,,,,0 days 00:00:30.217000,0 days 00:00:43.960000,,0 days 00:34:28.430000,0 days 00:35:12.470000,108.0,283.0,286.0,313.0,False,MEDIUM,6.0,False,McLaren,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,False,,False,False,French Grand Prix,15,0.0,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:01:38.970000,5.0,SAI,55,0 days 00:35:18.854000,2.0,1.0,,,0 days 00:00:25.387000,0 days 00:00:30.260000,0 days 00:00:43.323000,0 days 00:35:37.659000,0 days 00:36:07.919000,0 days 00:36:51.242000,111.0,275.0,284.0,298.0,True,MEDIUM,7.0,False,McLaren,0 days 00:35:12.255000,2019-06-23 13:15:12.461,1,False,,False,True,French Grand Prix,15,0.0,26.4,41.4,966.7,False,56.1,93,1.8
0 days 00:01:38.427000,5.0,SAI,55,0 days 00:37:18.879000,3.0,1.0,,,0 days 00:00:25.223000,0 days 00:00:29.911000,0 days 00:00:43.293000,0 days 00:37:16.465000,0 days 00:37:46.376000,0 days 00:38:29.669000,109.0,277.0,284.0,296.0,True,MEDIUM,8.0,False,McLaren,0 days 00:36:51.225000,2019-06-23 13:16:51.431,1,False,,False,True,French Grand Prix,15,0.0,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:01:38.021000,5.0,SAI,55,0 days 00:39:18.904000,4.0,1.0,,,0 days 00:00:24.964000,0 days 00:00:29.872000,0 days 00:00:43.185000,0 days 00:38:54.633000,0 days 00:39:24.505000,0 days 00:40:07.690000,,276.0,284.0,294.0,True,MEDIUM,9.0,False,McLaren,0 days 00:38:29.652000,2019-06-23 13:18:29.858,1,False,,False,True,French Grand Prix,15,0.0,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:01:38.162000,5.0,SAI,55,0 days 00:40:18.915000,5.0,1.0,,,0 days 00:00:24.928000,0 days 00:00:29.956000,0 days 00:00:43.278000,0 days 00:40:32.618000,0 days 00:41:02.574000,0 days 00:41:45.852000,111.0,275.0,283.0,295.0,False,MEDIUM,10.0,False,McLaren,0 days 00:40:07.673000,2019-06-23 13:20:07.879,1,False,,False,True,French Grand Prix,15,0.0,26.8,40.2,966.7,False,56.6,151,1.5
0 days 00:01:38.067000,5.0,SAI,55,0 days 00:42:18.979000,6.0,1.0,,,0 days 00:00:24.994000,0 days 00:00:30.014000,0 days 00:00:43.059000,0 days 00:42:10.846000,0 days 00:42:40.860000,0 days 00:43:23.919000,,276.0,284.0,296.0,False,MEDIUM,11.0,False,McLaren,0 days 00:41:45.835000,2019-06-23 13:21:46.041,1,False,,False,True,French Grand Prix,15,0.0,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:01:39.013000,6.0,SAI,55,0 days 00:44:18.962000,7.0,1.0,,,0 days 00:00:24.914000,0 days 00:00:30.594000,0 days 00:00:43.505000,0 days 00:43:48.833000,0 days 00:44:19.427000,0 days 00:45:02.932000,,278.0,286.0,295.0,False,MEDIUM,12.0,False,McLaren,0 days 00:43:23.902000,2019-06-23 13:23:24.108,1,False,,False,True,French Grand Prix,15,0.0,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:01:37.695000,6.0,SAI,55,0 days 00:45:18.972000,8.0,1.0,,,0 days 00:00:24.877000,0 days 00:00:29.949000,0 days 00:00:42.869000,0 days 00:45:27.809000,0 days 00:45:57.758000,0 days 00:46:40.627000,110.0,276.0,285.0,298.0,True,MEDIUM,13.0,False,McLaren,0 days 00:45:02.915000,2019-06-23 13:25:03.121,1,False,,False,True,French Grand Prix,15,0.0,27.3,40.3,966.7,False,56.8,184,1.1
0 days 00:01:37.413000,6.0,SAI,55,0 days 00:47:18.996000,9.0,1.0,,,0 days 00:00:24.656000,0 days 00:00:29.782000,0 days 00:00:42.975000,0 days 00:47:05.283000,0 days 00:47:35.065000,0 days 00:48:18.040000,114.0,277.0,284.0,295.0,True,MEDIUM,14.0,False,McLaren,0 days 00:46:40.610000,2019-06-23 13:26:40.816,1,False,,False,True,French Grand Prix,15,0.0,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:01:37.585000,6.0,SAI,55,0 days 00:48:19.009000,10.0,1.0,,,0 days 00:00:24.823000,0 days 00:00:29.766000,0 days 00:00:42.996000,0 days 00:48:42.863000,0 days 00:49:12.629000,0 days 00:49:55.625000,110.0,277.0,284.0,296.0,False,MEDIUM,15.0,False,McLaren,0 days 00:48:18.023000,2019-06-23 13:28:18.229,1,False,,False,True,French Grand Prix,15,0.0,27.7,38.5,966.7,False,56.9,352,1.3
0 days 00:01:37.086000,6.0,SAI,55,0 days 00:50:19.031000,11.0,1.0,,,0 days 00:00:24.565000,0 days 00:00:29.681000,0 days 00:00:42.840000,0 days 00:50:20.190000,0 days 00:50:49.871000,0 days 00:51:32.711000,112.0,277.0,285.0,297.0,True,MEDIUM,16.0,False,McLaren,0 days 00:49:55.608000,2019-06-23 13:29:55.814,1,False,,False,True,French Grand Prix,15,0.0,27.6,38.4,966.6,False,55.4,103,1.6
0 days 00:01:37.445000,6.0,SAI,55,0 days 00:52:19.126000,12.0,1.0,,,0 days 00:00:24.731000,0 days 00:00:29.821000,0 days 00:00:42.893000,0 days 00:51:57.442000,0 days 00:52:27.263000,0 days 00:53:10.156000,,276.0,286.0,296.0,False,MEDIUM,17.0,False,McLaren,0 days 00:51:32.694000,2019-06-23 13:31:32.900,1,False,,False,True,French Grand Prix,15,0.0,27.3,38.8,966.6,False,55.6,87,2.1
0 days 00:01:37.369000,6.0,SAI,55,0 days 00:53:19.069000,13.0,1.0,,,0 days 00:00:24.597000,0 days 00:00:29.855000,0 days 00:00:42.917000,0 days 00:53:34.753000,0 days 00:54:04.608000,0 days 00:54:47.525000,111.0,275.0,285.0,297.0,False,MEDIUM,18.0,False,McLaren,0 days 00:53:10.139000,2019-06-23 13:33:10.345,1,False,,False,True,French Grand Prix,15,0.0,27.3,38.7,966.6,False,55.6,31,1.7
0 days 00:01:37.330000,6.0,SAI,55,0 days 00:55:19.098000,14.0,1.0,,,0 days 00:00:24.654000,0 days 00:00:29.847000,0 days 00:00:42.829000,0 days 00:55:12.179000,0 days 00:55:42.026000,0 days 00:56:24.855000,,275.0,285.0,295.0,False,MEDIUM,19.0,False,McLaren,0 days 00:54:47.508000,2019-06-23 13:34:47.714,1,False,,False,True,French Grand Prix,15,0.0,27.4,38.3,966.6,False,55.1,116,0.9
0 days 00:01:37.046000,6.0,SAI,55,0 days 00:57:19.118000,15.0,1.0,,,0 days 00:00:24.611000,0 days 00:00:29.702000,0 days 00:00:42.733000,0 days 00:56:49.466000,0 days 00:57:19.168000,0 days 00:58:01.901000,112.0,275.0,285.0,297.0,True,MEDIUM,20.0,False,McLaren,0 days 00:56:24.838000,2019-06-23 13:36:25.044,1,False,,False,True,French Grand Prix,15,0.0,27.6,37.8,966.5,False,55.1,119,2.3
0 days 00:01:36.961000,6.0,SAI,55,0 days 00:58:19.127000,16.0,1.0,,,0 days 00:00:24.501000,0 days 00:00:29.732000,0 days 00:00:42.728000,0 days 00:58:26.402000,0 days 00:58:56.134000,0 days 00:59:38.862000,111.0,276.0,284.0,297.0,True,MEDIUM,21.0,False,McLaren,0 days 00:58:01.884000,2019-06-23 13:38:02.090,1,False,,False,True,French Grand Prix,15,0.0,27.2,38.6,966.6,False,54.8,106,2.6
0 days 00:01:37.115000,6.0,SAI,55,0 days 01:00:19.152000,17.0,1.0,,,0 days 00:00:24.598000,0 days 00:00:29.807000,0 days 00:00:42.710000,0 days 01:00:03.460000,0 days 01:00:33.267000,0 days 01:01:15.977000,109.0,276.0,285.0,295.0,False,MEDIUM,22.0,False,McLaren,0 days 00:59:38.845000,2019-06-23 13:39:39.051,1,False,,False,True,French Grand Prix,15,0.0,27.4,38.4,966.6,False,55.4,107,1.1
0 days 00:01:36.778000,6.0,SAI,55,0 days 01:01:19.202000,18.0,1.0,,,0 days 00:00:24.586000,0 days 00:00:29.654000,0 days 00:00:42.538000,0 days 01:01:40.563000,0 days 01:02:10.217000,0 days 01:02:52.755000,112.0,277.0,286.0,298.0,True,MEDIUM,23.0,False,McLaren,0 days 01:01:15.960000,2019-06-23 13:41:16.166,1,False,,False,True,French Grand Prix,15,0.0,27.7,37.3,966.5,False,55.9,201,2.2
0 days 00:01:56.821000,9.0,SAI,55,0 days 01:03:19.187000,19.0,1.0,,0 days 01:04:20.357000,0 days 00:00:24.590000,0 days 00:00:29.766000,0 days 00:01:02.465000,0 days 01:03:17.345000,0 days 01:03:47.111000,0 days 01:04:49.576000,111.0,276.0,,296.0,False,MEDIUM,24.0,False,McLaren,0 days 01:02:52.738000,2019-06-23 13:42:52.944,1,False,,False,False,French Grand Prix,15,0.0,27.3,38.2,966.6,False,54.1,26,1.1
0 days 00:01:39.938000,10.0,SAI,55,0 days 01:05:19.213000,20.0,2.0,0 days 01:04:50.279000,,0 days 00:00:27.770000,0 days 00:00:29.710000,0 days 00:00:42.458000,0 days 01:05:17.346000,0 days 01:05:47.056000,0 days 01:06:29.514000,110.0,277.0,288.0,297.0,False,HARD,1.0,True,McLaren,0 days 01:04:49.559000,2019-06-23 13:44:49.765,1,False,,False,False,French Grand Prix,15,0.0,27.5,37.8,966.6,False,56.1,106,1.2
0 days 00:01:37.191000,10.0,SAI,55,0 days 01:07:19.235000,21.0,2.0,,,0 days 00:00:24.482000,0 days 00:00:29.650000,0 days 00:00:43.059000,0 days 01:06:53.996000,0 days 01:07:23.646000,0 days 01:08:06.705000,114.0,276.0,287.0,298.0,False,HARD,2.0,True,McLaren,0 days 01:06:29.497000,2019-06-23 13:46:29.703,1,False,,False,True,French Grand Prix,15,0.0,27.8,36.8,966.6,False,56.0,80,2.2
0 days 00:01:37.204000,10.0,SAI,55,0 days 01:08:19.247000,22.0,2.0,,,0 days 00:00:24.683000,0 days 00:00:29.716000,0 days 00:00:42.805000,0 days 01:08:31.388000,0 days 01:09:01.104000,0 days 01:09:43.909000,113.0,277.0,286.0,299.0,False,HARD,3.0,True,McLaren,0 days 01:08:06.688000,2019-06-23 13:48:06.894,2,False,,False,True,French Grand Prix,15,0.0,27.8,36.7,966.6,False,56.0,93,2.0
0 days 00:01:37.237000,10.0,SAI,55,0 days 01:10:19.275000,23.0,2.0,,,0 days 00:00:24.654000,0 days 00:00:29.680000,0 days 00:00:42.903000,0 days 01:10:08.563000,0 days 01:10:38.243000,0 days 01:11:21.146000,115.0,277.0,286.0,300.0,False,HARD,4.0,True,McLaren,0 days 01:09:43.892000,2019-06-23 13:49:44.098,1,False,,False,True,French Grand Prix,15,0.0,27.5,37.2,966.5,False,56.3,108,3.3
0 days 00:01:37.197000,10.0,SAI,55,0 days 01:12:19.311000,24.0,2.0,,,0 days 00:00:24.815000,0 days 00:00:29.758000,0 days 00:00:42.624000,0 days 01:11:45.961000,0 days 01:12:15.719000,0 days 01:12:58.343000,113.0,278.0,287.0,300.0,False,HARD,5.0,True,McLaren,0 days 01:11:21.129000,2019-06-23 13:51:21.335,1,False,,False,True,French Grand Prix,15,0.0,27.2,37.4,966.6,False,55.2,114,3.2
0 days 00:01:36.447000,9.0,SAI,55,0 days 01:13:19.326000,25.0,2.0,,,0 days 00:00:24.552000,0 days 00:00:29.788000,0 days 00:00:42.107000,0 days 01:13:22.895000,0 days 01:13:52.683000,0 days 01:14:34.790000,114.0,277.0,286.0,300.0,True,HARD,6.0,True,McLaren,0 days 01:12:58.326000,2019-06-23 13:52:58.532,1,False,,False,True,French Grand Prix,15,0.0,26.9,38.1,966.5,False,54.9,102,3.7
0 days 00:01:36.715000,9.0,SAI,55,0 days 01:15:19.360000,26.0,2.0,,,0 days 00:00:24.520000,0 days 00:00:29.662000,0 days 00:00:42.533000,0 days 01:14:59.310000,0 days 01:15:28.972000,0 days 01:16:11.505000,,278.0,285.0,298.0,False,HARD,7.0,True,McLaren,0 days 01:14:34.773000,2019-06-23 13:54:34.979,1,False,,False,True,French Grand Prix,15,0.0,26.6,39.0,966.6,False,54.1,12,1.6
0 days 00:01:36.964000,9.0,SAI,55,0 days 01:16:19.377000,27.0,2.0,,,0 days 00:00:24.605000,0 days 00:00:29.800000,0 days 00:00:42.559000,0 days 01:16:36.110000,0 days 01:17:05.910000,0 days 01:17:48.469000,,277.0,286.0,297.0,False,HARD,8.0,True,McLaren,0 days 01:16:11.488000,2019-06-23 13:56:11.694,1,False,,False,True,French Grand Prix,15,0.0,27.0,37.6,966.5,False,54.0,74,1.4
0 days 00:01:36.443000,9.0,SAI,55,0 days 01:18:19.412000,28.0,2.0,,,0 days 00:00:24.299000,0 days 00:00:29.755000,0 days 00:00:42.389000,0 days 01:18:12.768000,0 days 01:18:42.523000,0 days 01:19:24.912000,,277.0,286.0,298.0,True,HARD,9.0,True,McLaren,0 days 01:17:48.452000,2019-06-23 13:57:48.658,1,False,,False,True,French Grand Prix,15,0.0,27.1,37.4,966.6,False,52.0,115,2.2
0 days 00:01:36.268000,9.0,SAI,55,0 days 01:20:19.461000,29.0,2.0,,,0 days 00:00:24.344000,0 days 00:00:29.747000,0 days 00:00:42.177000,0 days 01:19:49.256000,0 days 01:20:19.003000,0 days 01:21:01.180000,,277.0,287.0,296.0,True,HARD,10.0,True,McLaren,0 days 01:19:24.895000,2019-06-23 13:59:25.101,1,False,,False,True,French Grand Prix,15,0.0,27.2,37.1,966.6,False,52.0,124,1.5
0 days 00:01:36.535000,9.0,SAI,55,0 days 01:21:19.464000,30.0,2.0,,,0 days 00:00:24.345000,0 days 00:00:29.668000,0 days 00:00:42.522000,0 days 01:21:25.525000,0 days 01:21:55.193000,0 days 01:22:37.715000,116.0,277.0,286.0,299.0,False,HARD,11.0,True,McLaren,0 days 01:21:01.163000,2019-06-23 14:01:01.369,1,False,,False,True,French Grand Prix,15,0.0,27.3,36.7,966.7,False,52.6,104,2.4
0 days 00:01:36.501000,8.0,SAI,55,0 days 01:23:19.499000,31.0,2.0,,,0 days 00:00:24.383000,0 days 00:00:29.829000,0 days 00:00:42.289000,0 days 01:23:02.098000,0 days 01:23:31.927000,0 days 01:24:14.216000,115.0,276.0,287.0,298.0,False,HARD,12.0,True,McLaren,0 days 01:22:37.698000,2019-06-23 14:02:37.904,1,False,,False,True,French Grand Prix,15,0.0,27.2,37.2,966.6,False,53.8,58,1.7
