LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:53.205000,15.0,STR,18,0 days 00:34:18.846000,1.0,1.0,,,,0 days 00:00:32.326000,0 days 00:00:44.523000,,0 days 00:34:34.137000,0 days 00:35:18.630000,99.0,282.0,279.0,320.0,False,HARD,1.0,True,Racing Point,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,False,,False,False,French Grand Prix,15,0.0,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:01:40.067000,15.0,STR,18,0 days 00:35:18.854000,2.0,1.0,,,0 days 00:00:25.764000,0 days 00:00:30.193000,0 days 00:00:44.110000,0 days 00:35:44.147000,0 days 00:36:14.340000,0 days 00:36:58.450000,110.0,281.0,292.0,323.0,True,HARD,2.0,True,Racing Point,0 days 00:35:18.413000,2019-06-23 13:15:18.619,1,False,,False,True,French Grand Prix,15,0.0,26.4,41.4,966.7,False,56.1,93,1.8
0 days 00:01:39.447000,15.0,STR,18,0 days 00:37:18.879000,3.0,1.0,,,0 days 00:00:25.575000,0 days 00:00:29.580000,0 days 00:00:44.292000,0 days 00:37:24.025000,0 days 00:37:53.605000,0 days 00:38:37.897000,108.0,286.0,293.0,330.0,True,HARD,3.0,True,Racing Point,0 days 00:36:58.480000,2019-06-23 13:16:58.686,1,False,,False,True,French Grand Prix,15,0.0,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:01:38.754000,15.0,STR,18,0 days 00:39:18.904000,4.0,1.0,,,0 days 00:00:25.282000,0 days 00:00:29.814000,0 days 00:00:43.658000,0 days 00:39:03.179000,0 days 00:39:32.993000,0 days 00:40:16.651000,,280.0,303.0,318.0,True,HARD,4.0,True,Racing Point,0 days 00:38:37.927000,2019-06-23 13:18:38.133,1,False,,False,True,French Grand Prix,15,0.0,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:01:38.655000,15.0,STR,18,0 days 00:40:18.915000,5.0,1.0,,,0 days 00:00:25.272000,0 days 00:00:29.693000,0 days 00:00:43.690000,0 days 00:40:41.923000,0 days 00:41:11.616000,0 days 00:41:55.306000,,280.0,305.0,329.0,True,HARD,5.0,True,Racing Point,0 days 00:40:16.681000,2019-06-23 13:20:16.887,1,False,,False,True,French Grand Prix,15,0.0,26.8,40.2,966.7,False,56.6,151,1.5
0 days 00:01:38.849000,15.0,STR,18,0 days 00:42:18.979000,6.0,1.0,,,0 days 00:00:25.296000,0 days 00:00:29.584000,0 days 00:00:43.969000,0 days 00:42:20.602000,0 days 00:42:50.186000,0 days 00:43:34.155000,110.0,281.0,305.0,332.0,False,HARD,6.0,True,Racing Point,0 days 00:41:55.336000,2019-06-23 13:21:55.542,1,False,,False,True,French Grand Prix,15,0.0,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:01:39.057000,14.0,STR,18,0 days 00:44:18.962000,7.0,1.0,,,0 days 00:00:25.435000,0 days 00:00:29.573000,0 days 00:00:44.049000,0 days 00:43:59.590000,0 days 00:44:29.163000,0 days 00:45:13.212000,,281.0,304.0,332.0,False,HARD,7.0,True,Racing Point,0 days 00:43:34.185000,2019-06-23 13:23:34.391,1,False,,False,True,French Grand Prix,15,0.0,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:01:38.872000,14.0,STR,18,0 days 00:45:18.972000,8.0,1.0,,,0 days 00:00:25.248000,0 days 00:00:29.798000,0 days 00:00:43.826000,0 days 00:45:38.460000,0 days 00:46:08.258000,0 days 00:46:52.084000,111.0,280.0,301.0,324.0,False,HARD,8.0,True,Racing Point,0 days 00:45:13.242000,2019-06-23 13:25:13.448,1,False,,False,True,French Grand Prix,15,0.0,27.3,40.3,966.7,False,56.8,184,1.1
0 days 00:01:38.436000,14.0,STR,18,0 days 00:47:18.996000,9.0,1.0,,,0 days 00:00:25.175000,0 days 00:00:29.649000,0 days 00:00:43.612000,0 days 00:47:17.259000,0 days 00:47:46.908000,0 days 00:48:30.520000,109.0,280.0,299.0,327.0,True,HARD,9.0,True,Racing Point,0 days 00:46:52.114000,2019-06-23 13:26:52.320,1,False,,False,True,French Grand Prix,15,0.0,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:01:38.594000,14.0,STR,18,0 days 00:49:19.020000,10.0,1.0,,,0 days 00:00:25.180000,0 days 00:00:29.812000,0 days 00:00:43.602000,0 days 00:48:55.700000,0 days 00:49:25.512000,0 days 00:50:09.114000,111.0,280.0,300.0,311.0,False,HARD,10.0,True,Racing Point,0 days 00:48:30.550000,2019-06-23 13:28:30.756,1,False,,False,True,French Grand Prix,15,0.0,27.7,37.9,966.7,False,55.4,132,1.8
