LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:45.972000,4.0,VER,33,0 days 00:34:18.846000,1.0,1.0,,,,0 days 00:00:30.463000,0 days 00:00:43.151000,,0 days 00:34:28.076000,0 days 00:35:11.389000,105.0,274.0,272.0,306.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,False,,False,False,French Grand Prix,15,0.0,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:01:37.252000,4.0,VER,33,0 days 00:35:18.854000,2.0,1.0,,,0 days 00:00:24.574000,0 days 00:00:29.980000,0 days 00:00:42.698000,0 days 00:35:35.698000,0 days 00:36:05.678000,0 days 00:36:48.376000,112.0,273.0,284.0,297.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:35:11.180000,2019-06-23 13:15:11.386,1,False,,False,True,French Grand Prix,15,0.0,26.4,41.4,966.7,False,56.1,93,1.8
0 days 00:01:37.465000,4.0,VER,33,0 days 00:37:18.879000,3.0,1.0,,,0 days 00:00:24.742000,0 days 00:00:29.953000,0 days 00:00:42.770000,0 days 00:37:13.118000,0 days 00:37:43.071000,0 days 00:38:25.841000,,274.0,284.0,297.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:36:48.432000,2019-06-23 13:16:48.638,1,False,,False,True,French Grand Prix,15,0.0,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:01:37.105000,4.0,VER,33,0 days 00:39:18.904000,4.0,1.0,,,0 days 00:00:24.656000,0 days 00:00:29.713000,0 days 00:00:42.736000,0 days 00:38:50.497000,0 days 00:39:20.210000,0 days 00:40:02.946000,111.0,275.0,284.0,299.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:38:25.897000,2019-06-23 13:18:26.103,1,False,,False,True,French Grand Prix,15,0.0,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:01:36.865000,4.0,VER,33,0 days 00:40:18.915000,5.0,1.0,,,0 days 00:00:24.489000,0 days 00:00:29.874000,0 days 00:00:42.502000,0 days 00:40:27.435000,0 days 00:40:57.309000,0 days 00:41:39.811000,112.0,275.0,283.0,295.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:40:03.002000,2019-06-23 13:20:03.208,1,False,,False,True,French Grand Prix,15,0.0,26.8,40.2,966.7,False,56.6,151,1.5
0 days 00:01:36.427000,4.0,VER,33,0 days 00:42:18.979000,6.0,1.0,,,0 days 00:00:24.380000,0 days 00:00:29.733000,0 days 00:00:42.314000,0 days 00:42:04.191000,0 days 00:42:33.924000,0 days 00:43:16.238000,111.0,275.0,285.0,295.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 00:41:39.867000,2019-06-23 13:21:40.073,1,False,,False,True,French Grand Prix,15,0.0,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:01:36.522000,4.0,VER,33,0 days 00:43:18.950000,7.0,1.0,,,0 days 00:00:24.430000,0 days 00:00:29.642000,0 days 00:00:42.450000,0 days 00:43:40.668000,0 days 00:44:10.310000,0 days 00:44:52.760000,116.0,274.0,285.0,298.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:43:16.294000,2019-06-23 13:23:16.500,1,False,,False,True,French Grand Prix,15,0.0,26.9,41.3,966.8,False,56.3,12,1.6
0 days 00:01:36.618000,4.0,VER,33,0 days 00:45:18.972000,8.0,1.0,,,0 days 00:00:24.403000,0 days 00:00:29.702000,0 days 00:00:42.513000,0 days 00:45:17.163000,0 days 00:45:46.865000,0 days 00:46:29.378000,110.0,275.0,283.0,295.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:44:52.816000,2019-06-23 13:24:53.022,1,False,,False,True,French Grand Prix,15,0.0,27.3,40.3,966.7,False,56.8,184,1.1
0 days 00:01:36.265000,4.0,VER,33,0 days 00:47:18.996000,9.0,1.0,,,0 days 00:00:24.281000,0 days 00:00:29.627000,0 days 00:00:42.357000,0 days 00:46:53.659000,0 days 00:47:23.286000,0 days 00:48:05.643000,113.0,275.0,283.0,295.0,True,MEDIUM,14.0,False,Red Bull Racing,0 days 00:46:29.434000,2019-06-23 13:26:29.640,1,False,,False,True,French Grand Prix,15,0.0,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:01:36.353000,4.0,VER,33,0 days 00:48:19.009000,10.0,1.0,,,0 days 00:00:24.383000,0 days 00:00:29.522000,0 days 00:00:42.448000,0 days 00:48:30.026000,0 days 00:48:59.548000,0 days 00:49:41.996000,111.0,276.0,283.0,295.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:48:05.699000,2019-06-23 13:28:05.905,1,False,,False,True,French Grand Prix,15,0.0,27.7,38.5,966.7,False,56.9,352,1.3
0 days 00:01:36.039000,4.0,VER,33,0 days 00:50:19.031000,11.0,1.0,,,0 days 00:00:24.387000,0 days 00:00:29.451000,0 days 00:00:42.201000,0 days 00:50:06.383000,0 days 00:50:35.834000,0 days 00:51:18.035000,113.0,275.0,284.0,296.0,True,MEDIUM,16.0,False,Red Bull Racing,0 days 00:49:42.052000,2019-06-23 13:29:42.258,1,False,,False,True,French Grand Prix,15,0.0,27.6,38.4,966.6,False,55.4,103,1.6
0 days 00:01:36.009000,4.0,VER,33,0 days 00:51:19.046000,12.0,1.0,,,0 days 00:00:24.309000,0 days 00:00:29.375000,0 days 00:00:42.325000,0 days 00:51:42.344000,0 days 00:52:11.719000,0 days 00:52:54.044000,,276.0,286.0,297.0,True,MEDIUM,17.0,False,Red Bull Racing,0 days 00:51:18.091000,2019-06-23 13:31:18.297,1,False,,False,True,French Grand Prix,15,0.0,27.4,38.5,966.6,False,55.4,104,1.5
0 days 00:01:36.075000,4.0,VER,33,0 days 00:53:19.069000,13.0,1.0,,,0 days 00:00:24.226000,0 days 00:00:29.527000,0 days 00:00:42.322000,0 days 00:53:18.270000,0 days 00:53:47.797000,0 days 00:54:30.119000,114.0,274.0,283.0,296.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 00:52:54.100000,2019-06-23 13:32:54.306,1,False,,False,True,French Grand Prix,15,0.0,27.3,38.7,966.6,False,55.6,31,1.7
0 days 00:01:35.876000,4.0,VER,33,0 days 00:55:19.098000,14.0,1.0,,,0 days 00:00:24.226000,0 days 00:00:29.377000,0 days 00:00:42.273000,,0 days 00:55:23.722000,0 days 00:56:05.995000,109.0,275.0,284.0,297.0,True,MEDIUM,19.0,False,Red Bull Racing,0 days 00:54:30.175000,2019-06-23 13:34:30.381,1,False,,False,True,French Grand Prix,15,0.0,27.4,38.3,966.6,False,55.1,116,0.9
0 days 00:01:36.011000,4.0,VER,33,0 days 00:56:19.104000,15.0,1.0,,,0 days 00:00:24.230000,0 days 00:00:29.491000,0 days 00:00:42.290000,0 days 00:56:30.225000,0 days 00:56:59.716000,0 days 00:57:42.006000,113.0,274.0,283.0,295.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 00:56:06.051000,2019-06-23 13:36:06.257,1,False,,False,True,French Grand Prix,15,0.0,27.8,37.1,966.6,False,55.7,132,2.4
0 days 00:01:36.038000,4.0,VER,33,0 days 00:58:19.127000,16.0,1.0,,,0 days 00:00:24.203000,0 days 00:00:29.530000,0 days 00:00:42.305000,0 days 00:58:06.209000,0 days 00:58:35.739000,0 days 00:59:18.044000,114.0,275.0,283.0,294.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 00:57:42.062000,2019-06-23 13:37:42.268,1,False,,False,True,French Grand Prix,15,0.0,27.2,38.6,966.6,False,54.8,106,2.6
0 days 00:01:36.272000,4.0,VER,33,0 days 00:59:19.139000,17.0,1.0,,,0 days 00:00:24.348000,0 days 00:00:29.534000,0 days 00:00:42.390000,0 days 00:59:42.392000,0 days 01:00:11.926000,0 days 01:00:54.316000,109.0,274.0,283.0,296.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 00:59:18.100000,2019-06-23 13:39:18.306,1,False,,False,True,French Grand Prix,15,0.0,27.1,38.9,966.5,False,54.7,151,1.4
