Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:18.846000,KUB,88,0 days 00:01:54.848000,1.0,1.0,,,,0 days 00:00:32.868000,0 days 00:00:45.218000,,0 days 00:34:34.908000,0 days 00:35:20.296000,100.0,276.0,287.0,276.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,17.0,False,,False,False,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:36:18.866000,KUB,88,0 days 00:01:41.487000,2.0,1.0,,,0 days 00:00:26.118000,0 days 00:00:30.721000,0 days 00:00:44.648000,0 days 00:35:46.134000,0 days 00:36:16.855000,0 days 00:37:01.503000,109.0,273.0,285.0,300.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:20.056000,2019-06-23 13:15:20.262,1,17.0,False,,False,True,26.3,41.8,966.8,False,56.1,57,1.2
0 days 00:37:18.879000,KUB,88,0 days 00:01:41.806000,3.0,1.0,,,0 days 00:00:26.005000,0 days 00:00:30.888000,0 days 00:00:44.913000,0 days 00:37:27.508000,0 days 00:37:58.396000,0 days 00:38:43.309000,108.0,275.0,286.0,298.0,False,MEDIUM,3.0,True,Williams,0 days 00:37:01.543000,2019-06-23 13:17:01.749,1,18.0,False,,False,True,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:39:18.904000,KUB,88,0 days 00:01:40.930000,4.0,1.0,,,0 days 00:00:26.133000,0 days 00:00:30.442000,0 days 00:00:44.355000,0 days 00:39:09.442000,0 days 00:39:39.884000,0 days 00:40:24.239000,106.0,274.0,286.0,302.0,True,MEDIUM,4.0,True,Williams,0 days 00:38:43.349000,2019-06-23 13:18:43.555,1,19.0,False,,False,True,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:41:18.926000,KUB,88,0 days 00:01:40.573000,5.0,1.0,,,0 days 00:00:25.476000,0 days 00:00:30.557000,0 days 00:00:44.540000,0 days 00:40:49.715000,0 days 00:41:20.272000,0 days 00:42:04.812000,108.0,275.0,285.0,305.0,True,MEDIUM,5.0,True,Williams,0 days 00:40:24.279000,2019-06-23 13:20:24.485,1,19.0,False,,False,True,26.9,40.6,966.6,False,56.3,26,1.4
0 days 00:42:18.979000,KUB,88,0 days 00:01:40.297000,6.0,1.0,,,0 days 00:00:25.500000,0 days 00:00:30.677000,0 days 00:00:44.120000,0 days 00:42:30.312000,0 days 00:43:00.989000,0 days 00:43:45.109000,109.0,274.0,284.0,291.0,True,MEDIUM,6.0,True,Williams,0 days 00:42:04.852000,2019-06-23 13:22:05.058,1,19.0,False,,False,True,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:44:18.962000,KUB,88,0 days 00:01:39.982000,7.0,1.0,,,0 days 00:00:25.614000,0 days 00:00:30.279000,0 days 00:00:44.089000,0 days 00:44:10.723000,0 days 00:44:41.002000,0 days 00:45:25.091000,,275.0,284.0,307.0,True,MEDIUM,7.0,True,Williams,0 days 00:43:45.149000,2019-06-23 13:23:45.355,1,18.0,False,,False,True,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:46:18.984000,KUB,88,0 days 00:01:40.017000,8.0,1.0,,,0 days 00:00:25.461000,0 days 00:00:30.459000,0 days 00:00:44.097000,0 days 00:45:50.552000,0 days 00:46:21.011000,0 days 00:47:05.108000,,274.0,283.0,291.0,False,MEDIUM,8.0,True,Williams,0 days 00:45:25.131000,2019-06-23 13:25:25.337,1,18.0,False,,False,True,27.5,39.9,966.7,False,56.2,18,0.6
0 days 00:47:18.996000,KUB,88,0 days 00:01:39.533000,9.0,1.0,,,0 days 00:00:25.432000,0 days 00:00:30.157000,0 days 00:00:43.944000,0 days 00:47:30.540000,0 days 00:48:00.697000,0 days 00:48:44.641000,110.0,275.0,284.0,294.0,True,MEDIUM,9.0,True,Williams,0 days 00:47:05.148000,2019-06-23 13:27:05.354,1,18.0,False,,False,True,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:49:19.020000,KUB,88,0 days 00:01:39.454000,10.0,1.0,,,0 days 00:00:25.168000,0 days 00:00:30.460000,0 days 00:00:43.826000,0 days 00:49:09.809000,0 days 00:49:40.269000,0 days 00:50:24.095000,,275.0,284.0,291.0,True,MEDIUM,10.0,True,Williams,0 days 00:48:44.681000,2019-06-23 13:28:44.887,1,18.0,False,,False,True,27.7,37.9,966.7,False,55.4,132,1.8
0 days 00:51:19.046000,KUB,88,0 days 00:01:39.328000,11.0,1.0,,,0 days 00:00:25.233000,0 days 00:00:30.264000,0 days 00:00:43.831000,0 days 00:50:49.328000,0 days 00:51:19.592000,0 days 00:52:03.423000,112.0,275.0,284.0,293.0,True,MEDIUM,11.0,True,Williams,0 days 00:50:24.135000,2019-06-23 13:30:24.341,1,18.0,False,,False,True,27.4,38.5,966.6,False,55.4,104,1.5
0 days 00:52:19.126000,KUB,88,0 days 00:01:39.463000,12.0,1.0,,,0 days 00:00:25.175000,0 days 00:00:30.449000,0 days 00:00:43.839000,0 days 00:52:28.598000,0 days 00:52:59.047000,0 days 00:53:42.886000,113.0,275.0,284.0,292.0,False,MEDIUM,12.0,True,Williams,0 days 00:52:03.463000,2019-06-23 13:32:03.669,1,18.0,False,,False,True,27.3,38.8,966.6,False,55.6,87,2.1
0 days 00:54:19.082000,KUB,88,0 days 00:01:39.410000,13.0,1.0,,,0 days 00:00:25.271000,0 days 00:00:30.327000,0 days 00:00:43.812000,0 days 00:54:08.157000,0 days 00:54:38.484000,0 days 00:55:22.296000,110.0,274.0,284.0,292.0,False,MEDIUM,13.0,True,Williams,0 days 00:53:42.926000,2019-06-23 13:33:43.132,1,18.0,False,,False,True,27.1,38.7,966.6,False,54.4,161,1.5
0 days 00:56:19.104000,KUB,88,0 days 00:01:39.700000,14.0,1.0,,,0 days 00:00:25.243000,0 days 00:00:30.583000,0 days 00:00:43.874000,0 days 00:55:47.539000,0 days 00:56:18.122000,0 days 00:57:01.996000,,274.0,284.0,291.0,False,MEDIUM,14.0,True,Williams,0 days 00:55:22.336000,2019-06-23 13:35:22.542,1,18.0,False,,False,True,27.8,37.1,966.6,False,55.7,132,2.4
0 days 00:57:19.118000,KUB,88,0 days 00:01:39.352000,15.0,1.0,,,0 days 00:00:25.331000,0 days 00:00:30.196000,0 days 00:00:43.825000,0 days 00:57:27.327000,0 days 00:57:57.523000,0 days 00:58:41.348000,111.0,274.0,284.0,306.0,False,MEDIUM,15.0,True,Williams,0 days 00:57:02.036000,2019-06-23 13:37:02.242,1,18.0,False,,False,True,27.6,37.8,966.5,False,55.1,119,2.3
0 days 00:59:19.139000,KUB,88,0 days 00:01:40.599000,16.0,1.0,,,0 days 00:00:25.343000,0 days 00:00:30.855000,0 days 00:00:44.401000,0 days 00:59:06.691000,0 days 00:59:37.546000,0 days 01:00:21.947000,,275.0,285.0,290.0,False,MEDIUM,16.0,True,Williams,0 days 00:58:41.388000,2019-06-23 13:38:41.594,1,18.0,False,,False,True,27.1,38.9,966.5,False,54.7,151,1.4
0 days 01:01:19.202000,KUB,88,0 days 00:01:39.435000,17.0,1.0,,,0 days 00:00:25.677000,0 days 00:00:29.973000,0 days 00:00:43.785000,0 days 01:00:47.624000,0 days 01:01:17.597000,0 days 01:02:01.382000,,275.0,285.0,308.0,False,MEDIUM,17.0,True,Williams,0 days 01:00:21.987000,2019-06-23 13:40:22.193,1,18.0,False,,False,True,27.7,37.3,966.5,False,55.9,201,2.2
0 days 01:02:19.174000,KUB,88,0 days 00:01:40.627000,18.0,1.0,,,0 days 00:00:25.419000,0 days 00:00:30.584000,0 days 00:00:44.624000,0 days 01:02:26.801000,0 days 01:02:57.385000,0 days 01:03:42.009000,112.0,276.0,297.0,292.0,False,MEDIUM,18.0,True,Williams,0 days 01:02:01.422000,2019-06-23 13:42:01.628,1,19.0,False,,False,True,27.7,37.1,966.6,False,56.0,59,1.5
0 days 01:04:19.203000,KUB,88,0 days 00:01:39.083000,19.0,1.0,,,0 days 00:00:25.192000,0 days 00:00:29.984000,0 days 00:00:43.907000,0 days 01:04:07.201000,0 days 01:04:37.185000,0 days 01:05:21.092000,110.0,278.0,288.0,315.0,True,MEDIUM,19.0,True,Williams,0 days 01:03:42.049000,2019-06-23 13:43:42.255,1,19.0,False,,False,True,27.3,38.2,966.5,False,54.1,89,2.1
0 days 01:06:19.223000,KUB,88,0 days 00:01:41.077000,20.0,1.0,,,0 days 00:00:25.551000,0 days 00:00:30.660000,0 days 00:00:44.866000,0 days 01:05:46.643000,0 days 01:06:17.303000,0 days 01:07:02.169000,111.0,282.0,303.0,297.0,False,MEDIUM,20.0,True,Williams,0 days 01:05:21.132000,2019-06-23 13:45:21.338,1,20.0,False,,False,True,27.9,37.0,966.5,False,56.2,120,2.4
0 days 01:07:19.235000,KUB,88,0 days 00:01:40.154000,21.0,1.0,,,0 days 00:00:25.768000,0 days 00:00:30.291000,0 days 00:00:44.095000,0 days 01:07:27.937000,0 days 01:07:58.228000,0 days 01:08:42.323000,110.0,276.0,284.0,295.0,False,MEDIUM,21.0,True,Williams,0 days 01:07:02.209000,2019-06-23 13:47:02.415,1,20.0,False,,False,True,27.8,36.8,966.6,False,56.0,80,2.2
0 days 01:09:19.261000,KUB,88,0 days 00:01:40.447000,22.0,1.0,,,0 days 00:00:26.509000,0 days 00:00:30.239000,0 days 00:00:43.699000,0 days 01:09:08.832000,0 days 01:09:39.071000,0 days 01:10:22.770000,109.0,277.0,285.0,297.0,False,MEDIUM,22.0,True,Williams,0 days 01:08:42.363000,2019-06-23 13:48:42.569,2,20.0,False,,False,True,27.7,36.8,966.5,False,55.9,102,3.1
0 days 01:11:19.304000,KUB,88,0 days 00:01:38.845000,23.0,1.0,,,0 days 00:00:25.165000,0 days 00:00:30.197000,0 days 00:00:43.483000,0 days 01:10:47.935000,0 days 01:11:18.132000,0 days 01:12:01.615000,110.0,276.0,286.0,295.0,True,MEDIUM,23.0,True,Williams,0 days 01:10:22.810000,2019-06-23 13:50:23.016,1,20.0,False,,False,True,27.3,37.5,966.6,False,56.2,80,3.2
0 days 01:12:19.311000,KUB,88,0 days 00:01:58.740000,24.0,1.0,,0 days 01:13:31.472000,0 days 00:00:25.154000,0 days 00:00:30.017000,0 days 00:01:03.569000,0 days 01:12:26.769000,0 days 01:12:56.786000,0 days 01:14:00.355000,109.0,275.0,,301.0,False,MEDIUM,24.0,True,Williams,0 days 01:12:01.655000,2019-06-23 13:52:01.861,1,20.0,False,,False,False,27.2,37.4,966.6,False,55.2,114,3.2
0 days 01:14:19.396000,KUB,88,0 days 00:01:43.130000,25.0,2.0,0 days 01:14:01.133000,,0 days 00:00:28.588000,0 days 00:00:30.787000,0 days 00:00:43.755000,0 days 01:14:28.943000,0 days 01:14:59.730000,0 days 01:15:43.485000,109.0,276.0,286.0,285.0,False,HARD,1.0,True,Williams,0 days 01:14:00.395000,2019-06-23 13:54:00.601,1,20.0,False,,False,False,26.7,38.6,966.5,False,54.2,112,2.8
0 days 01:16:19.377000,KUB,88,0 days 00:01:39.184000,26.0,2.0,,,0 days 00:00:24.976000,0 days 00:00:29.963000,0 days 00:00:44.245000,0 days 01:16:08.461000,0 days 01:16:38.424000,0 days 01:17:22.669000,113.0,276.0,298.0,293.0,False,HARD,2.0,True,Williams,0 days 01:15:43.525000,2019-06-23 13:55:43.731,1,20.0,False,,False,True,27.0,37.6,966.5,False,54.0,74,1.4
0 days 01:18:19.412000,KUB,88,0 days 00:01:38.127000,27.0,2.0,,,0 days 00:00:24.777000,0 days 00:00:30.169000,0 days 00:00:43.181000,0 days 01:17:47.446000,0 days 01:18:17.615000,0 days 01:19:00.796000,115.0,276.0,287.0,294.0,True,HARD,3.0,True,Williams,0 days 01:17:22.709000,2019-06-23 13:57:22.915,1,20.0,False,,False,True,27.1,37.4,966.6,False,52.0,115,2.2
0 days 01:19:19.435000,KUB,88,0 days 00:01:38.404000,28.0,2.0,,,0 days 00:00:25.026000,0 days 00:00:30.029000,0 days 00:00:43.349000,0 days 01:19:25.822000,0 days 01:19:55.851000,0 days 01:20:39.200000,112.0,276.0,285.0,296.0,False,HARD,4.0,True,Williams,0 days 01:19:00.836000,2019-06-23 13:59:01.042,1,20.0,False,,False,True,27.1,37.6,966.6,False,52.1,109,1.8
0 days 01:21:19.464000,KUB,88,0 days 00:01:38.517000,29.0,2.0,,,0 days 00:00:25.094000,0 days 00:00:30.037000,0 days 00:00:43.386000,0 days 01:21:04.294000,0 days 01:21:34.331000,0 days 01:22:17.717000,110.0,277.0,286.0,295.0,False,HARD,5.0,True,Williams,0 days 01:20:39.240000,2019-06-23 14:00:39.446,1,20.0,False,,False,True,27.3,36.7,966.7,False,52.6,104,2.4
0 days 01:22:19.481000,KUB,88,0 days 00:01:38.257000,30.0,2.0,,,0 days 00:00:24.934000,0 days 00:00:30.197000,0 days 00:00:43.126000,0 days 01:22:42.651000,0 days 01:23:12.848000,0 days 01:23:55.974000,111.0,275.0,287.0,294.0,False,HARD,6.0,True,Williams,0 days 01:22:17.757000,2019-06-23 14:02:17.963,1,20.0,False,,False,True,27.3,36.8,966.5,False,53.4,109,3.2
0 days 01:24:19.517000,KUB,88,0 days 00:01:38.081000,31.0,2.0,,,0 days 00:00:24.884000,0 days 00:00:30.147000,0 days 00:00:43.050000,0 days 01:24:20.858000,0 days 01:24:51.005000,0 days 01:25:34.055000,,276.0,286.0,294.0,True,HARD,7.0,True,Williams,0 days 01:23:56.014000,2019-06-23 14:03:56.220,1,20.0,False,,False,True,27.4,36.6,966.6,False,55.3,41,1.8
0 days 01:26:19.550000,KUB,88,0 days 00:01:38.097000,32.0,2.0,,,0 days 00:00:24.966000,0 days 00:00:30.062000,0 days 00:00:43.069000,0 days 01:25:59.021000,0 days 01:26:29.083000,0 days 01:27:12.152000,110.0,276.0,287.0,295.0,False,HARD,8.0,True,Williams,0 days 01:25:34.095000,2019-06-23 14:05:34.301,1,20.0,False,,False,True,27.5,36.6,966.7,False,55.5,76,1.4
