LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:52.305000,10.0,MAG,20,0 days 00:40:38.644000,1.0,1.0,,,,0 days 00:00:46.905000,0 days 00:00:33.803000,,0 days 00:41:17.439000,0 days 00:41:51.382000,156.0,224.0,243.0,289.0,False,WET,1.0,True,Haas F1 Team,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,False,,False,False,German Grand Prix,17,0.0,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:01:47.111000,10.0,MAG,20,0 days 00:42:38.676000,2.0,1.0,,,0 days 00:00:23.450000,0 days 00:00:45.349000,0 days 00:00:38.312000,0 days 00:42:14.670000,0 days 00:43:00.019000,0 days 00:43:38.331000,163.0,224.0,133.0,294.0,True,WET,2.0,True,Haas F1 Team,0 days 00:41:51.220000,2019-07-28 13:21:51.382,4,False,,False,False,German Grand Prix,17,0.0,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:01:56.586000,8.0,MAG,20,0 days 00:43:38.684000,3.0,1.0,,,0 days 00:00:26.562000,0 days 00:00:52.311000,0 days 00:00:37.713000,0 days 00:44:04.893000,0 days 00:44:57.204000,0 days 00:45:34.917000,152.0,214.0,231.0,184.0,False,WET,3.0,True,Haas F1 Team,0 days 00:43:38.331000,2019-07-28 13:23:38.493,4,False,,False,False,German Grand Prix,17,0.0,21.2,88.0,991.4,True,26.4,164,1.0
0 days 00:02:09.203000,2.0,MAG,20,0 days 00:45:38.713000,4.0,1.0,,,0 days 00:00:22.253000,0 days 00:01:03.799000,0 days 00:00:43.151000,0 days 00:45:57.170000,0 days 00:47:00.969000,0 days 00:47:44.120000,159.0,159.0,242.0,139.0,False,WET,4.0,True,Haas F1 Team,0 days 00:45:34.917000,2019-07-28 13:25:35.079,4,False,,False,False,German Grand Prix,17,0.0,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:01:38.574000,4.0,MAG,20,0 days 00:48:38.753000,5.0,1.0,,,0 days 00:00:22.485000,0 days 00:00:44.770000,0 days 00:00:31.319000,0 days 00:48:06.605000,0 days 00:48:51.375000,0 days 00:49:22.694000,158.0,223.0,241.0,294.0,True,WET,5.0,True,Haas F1 Team,0 days 00:47:44.120000,2019-07-28 13:27:44.282,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:01:38.274000,6.0,MAG,20,0 days 00:49:38.765000,6.0,1.0,,,0 days 00:00:22.591000,0 days 00:00:44.524000,0 days 00:00:31.159000,0 days 00:49:45.285000,0 days 00:50:29.809000,0 days 00:51:00.968000,157.0,226.0,239.0,279.0,True,WET,6.0,True,Haas F1 Team,0 days 00:49:22.694000,2019-07-28 13:29:22.856,1,False,,False,True,German Grand Prix,17,0.0,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:01:37.792000,6.0,MAG,20,0 days 00:51:38.799000,7.0,1.0,,,0 days 00:00:22.393000,0 days 00:00:44.247000,0 days 00:00:31.152000,0 days 00:51:23.361000,0 days 00:52:07.608000,0 days 00:52:38.760000,167.0,226.0,242.0,295.0,True,WET,7.0,True,Haas F1 Team,0 days 00:51:00.968000,2019-07-28 13:31:01.130,1,False,,False,True,German Grand Prix,17,0.0,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:01:43.334000,12.0,MAG,20,0 days 00:52:38.809000,8.0,1.0,,0 days 00:54:20.215000,0 days 00:00:22.396000,0 days 00:00:45.437000,0 days 00:00:35.501000,0 days 00:53:01.156000,0 days 00:53:46.593000,0 days 00:54:22.094000,164.0,227.0,,298.0,False,WET,8.0,True,Haas F1 Team,0 days 00:52:38.760000,2019-07-28 13:32:38.922,1,False,,False,False,German Grand Prix,17,0.0,21.7,88.3,991.4,True,26.2,266,0.6
0 days 00:01:48.389000,16.0,MAG,20,0 days 00:54:38.838000,9.0,2.0,0 days 00:54:40.778000,,0 days 00:00:37.097000,0 days 00:00:42.410000,0 days 00:00:28.882000,0 days 00:54:59.191000,0 days 00:55:41.601000,0 days 00:56:10.483000,165.0,232.0,246.0,299.0,False,INTERMEDIATE,1.0,True,Haas F1 Team,0 days 00:54:22.094000,2019-07-28 13:34:22.256,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.1,991.5,True,26.1,112,0.9
0 days 00:01:31.814000,16.0,MAG,20,0 days 00:56:38.867000,10.0,2.0,,,0 days 00:00:20.727000,0 days 00:00:42.264000,0 days 00:00:28.823000,0 days 00:56:31.210000,0 days 00:57:13.474000,0 days 00:57:42.297000,175.0,232.0,246.0,298.0,True,INTERMEDIATE,2.0,True,Haas F1 Team,0 days 00:56:10.483000,2019-07-28 13:36:10.645,1,False,,False,True,German Grand Prix,17,0.0,21.6,87.5,991.5,True,26.4,2,0.4
0 days 00:01:31.529000,16.0,MAG,20,0 days 00:58:38.903000,11.0,2.0,,,0 days 00:00:20.737000,0 days 00:00:41.850000,0 days 00:00:28.942000,0 days 00:58:03.034000,0 days 00:58:44.884000,0 days 00:59:13.826000,176.0,235.0,241.0,300.0,True,INTERMEDIATE,3.0,True,Haas F1 Team,0 days 00:57:42.297000,2019-07-28 13:37:42.459,1,False,,False,True,German Grand Prix,17,0.0,21.3,86.8,991.5,True,26.0,194,0.7
0 days 00:01:31.803000,16.0,MAG,20,0 days 00:59:38.909000,12.0,2.0,,,0 days 00:00:20.689000,0 days 00:00:42.052000,0 days 00:00:29.062000,0 days 00:59:34.515000,0 days 01:00:16.567000,0 days 01:00:45.629000,,233.0,248.0,299.0,False,INTERMEDIATE,4.0,True,Haas F1 Team,0 days 00:59:13.826000,2019-07-28 13:39:13.988,1,False,,False,True,German Grand Prix,17,0.0,21.4,87.7,991.6,True,26.0,89,1.3
0 days 00:01:32.607000,16.0,MAG,20,0 days 01:01:38.936000,13.0,2.0,,,0 days 00:00:20.638000,0 days 00:00:42.442000,0 days 00:00:29.527000,0 days 01:01:06.267000,0 days 01:01:48.709000,0 days 01:02:18.236000,177.0,232.0,246.0,299.0,False,INTERMEDIATE,5.0,True,Haas F1 Team,0 days 01:00:45.629000,2019-07-28 13:40:45.791,1,False,,False,True,German Grand Prix,17,0.0,21.4,87.1,991.6,True,26.2,176,1.1
0 days 00:01:33.531000,15.0,MAG,20,0 days 01:02:38.952000,14.0,2.0,,,0 days 00:00:20.909000,0 days 00:00:42.564000,0 days 00:00:30.058000,0 days 01:02:39.145000,0 days 01:03:21.709000,0 days 01:03:51.767000,173.0,232.0,220.0,297.0,False,INTERMEDIATE,6.0,True,Haas F1 Team,0 days 01:02:18.236000,2019-07-28 13:42:18.398,26,False,,False,False,German Grand Prix,17,0.0,21.6,88.0,991.6,True,26.2,358,1.3
0 days 00:01:52.887000,15.0,MAG,20,0 days 01:04:38.981000,15.0,2.0,,,0 days 00:00:30.279000,0 days 00:00:52.470000,0 days 00:00:30.138000,0 days 01:04:22.046000,0 days 01:05:14.516000,0 days 01:05:44.654000,,205.0,244.0,180.0,False,INTERMEDIATE,7.0,True,Haas F1 Team,0 days 01:03:51.767000,2019-07-28 13:43:51.929,67,False,,False,False,German Grand Prix,17,0.0,21.4,87.5,991.6,True,26.1,65,0.6
0 days 00:01:32.458000,15.0,MAG,20,0 days 01:06:39.008000,16.0,2.0,,,0 days 00:00:20.702000,0 days 00:00:41.947000,0 days 00:00:29.809000,0 days 01:06:05.356000,0 days 01:06:47.303000,0 days 01:07:17.112000,178.0,235.0,241.0,299.0,False,INTERMEDIATE,8.0,True,Haas F1 Team,0 days 01:05:44.654000,2019-07-28 13:45:44.816,1,False,,False,True,German Grand Prix,17,0.0,21.5,87.3,991.6,True,26.1,9,0.6
0 days 00:01:33.053000,15.0,MAG,20,0 days 01:07:39.023000,17.0,2.0,,,0 days 00:00:20.501000,0 days 00:00:42.331000,0 days 00:00:30.221000,0 days 01:07:37.613000,0 days 01:08:19.944000,0 days 01:08:50.165000,177.0,230.0,241.0,295.0,False,INTERMEDIATE,9.0,True,Haas F1 Team,0 days 01:07:17.112000,2019-07-28 13:47:17.274,1,False,,False,True,German Grand Prix,17,0.0,21.4,86.9,991.7,True,26.2,188,0.9
0 days 00:01:34.048000,15.0,MAG,20,0 days 01:09:39.048000,18.0,2.0,,,0 days 00:00:20.866000,0 days 00:00:42.155000,0 days 00:00:31.027000,0 days 01:09:11.031000,0 days 01:09:53.186000,0 days 01:10:24.213000,176.0,233.0,239.0,295.0,False,INTERMEDIATE,10.0,True,Haas F1 Team,0 days 01:08:50.165000,2019-07-28 13:48:50.327,2,False,,False,True,German Grand Prix,17,0.0,21.3,87.3,991.6,True,25.9,27,0.9
0 days 00:01:35.465000,15.0,MAG,20,0 days 01:10:39.062000,19.0,2.0,,,0 days 00:00:21.397000,0 days 00:00:43.141000,0 days 00:00:30.927000,0 days 01:10:45.610000,0 days 01:11:28.751000,0 days 01:11:59.678000,166.0,228.0,241.0,294.0,False,INTERMEDIATE,11.0,True,Haas F1 Team,0 days 01:10:24.213000,2019-07-28 13:50:24.375,1,False,,False,True,German Grand Prix,17,0.0,21.3,87.5,991.7,True,25.9,299,1.0
0 days 00:01:36.257000,16.0,MAG,20,0 days 01:12:39.089000,20.0,2.0,,,0 days 00:00:20.951000,0 days 00:00:43.664000,0 days 00:00:31.642000,0 days 01:12:20.629000,0 days 01:13:04.293000,0 days 01:13:35.935000,172.0,234.0,239.0,296.0,False,INTERMEDIATE,12.0,True,Haas F1 Team,0 days 01:11:59.678000,2019-07-28 13:51:59.840,1,False,,False,True,German Grand Prix,17,0.0,21.4,87.4,991.7,True,26.3,175,0.5
0 days 00:01:39.356000,16.0,MAG,20,0 days 01:13:39.103000,21.0,2.0,,0 days 01:15:12.887000,0 days 00:00:21.168000,0 days 00:00:42.628000,0 days 00:00:35.560000,0 days 01:13:57.103000,0 days 01:14:39.731000,0 days 01:15:15.291000,171.0,233.0,,298.0,False,INTERMEDIATE,13.0,True,Haas F1 Team,0 days 01:13:35.935000,2019-07-28 13:53:36.097,1,False,,False,False,German Grand Prix,17,0.0,21.7,88.1,991.6,True,26.5,205,1.0
