Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:40:38.644000,LEC,16,0 days 00:01:48.183000,1.0,1.0,,,,0 days 00:00:45.370000,0 days 00:00:31.737000,,0 days 00:41:15.428000,0 days 00:41:47.257000,147.0,219.0,246.0,296.0,False,WET,1.0,True,Ferrari,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,6.0,False,,False,False,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:42:38.676000,LEC,16,0 days 00:01:39.747000,2.0,1.0,,,0 days 00:00:21.983000,0 days 00:00:43.964000,0 days 00:00:33.800000,0 days 00:42:09.085000,0 days 00:42:53.049000,0 days 00:43:26.849000,167.0,226.0,100.0,302.0,True,WET,2.0,True,Ferrari,0 days 00:41:47.102000,2019-07-28 13:21:47.264,4,6.0,False,,False,False,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:43:38.684000,LEC,16,0 days 00:02:01.369000,3.0,1.0,,0 days 00:45:25.816000,0 days 00:00:27.974000,0 days 00:00:53.169000,0 days 00:00:40.226000,0 days 00:43:54.823000,0 days 00:44:47.992000,0 days 00:45:28.218000,142.0,193.0,,115.0,False,WET,3.0,True,Ferrari,0 days 00:43:26.849000,2019-07-28 13:23:27.011,4,6.0,False,,False,False,21.2,88.0,991.4,True,26.4,164,1.0
0 days 00:45:38.713000,LEC,16,0 days 00:02:18.822000,4.0,2.0,0 days 00:45:46.136000,,0 days 00:00:38.897000,0 days 00:00:57.345000,0 days 00:00:42.580000,0 days 00:46:07.115000,0 days 00:47:04.460000,0 days 00:47:47.040000,85.0,118.0,246.0,153.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:45:28.218000,2019-07-28 13:25:28.380,4,6.0,False,,False,False,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:48:38.753000,LEC,16,0 days 00:01:35.818000,5.0,2.0,,,0 days 00:00:21.510000,0 days 00:00:43.005000,0 days 00:00:31.303000,0 days 00:48:08.550000,0 days 00:48:51.555000,0 days 00:49:22.858000,171.0,233.0,253.0,308.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:47:47.040000,2019-07-28 13:27:47.202,1,5.0,False,,False,False,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:49:38.765000,LEC,16,0 days 00:01:32.985000,6.0,2.0,,,0 days 00:00:22.095000,0 days 00:00:41.896000,0 days 00:00:28.994000,0 days 00:49:44.953000,0 days 00:50:26.849000,0 days 00:50:55.843000,167.0,236.0,249.0,302.0,True,INTERMEDIATE,3.0,True,Ferrari,0 days 00:49:22.858000,2019-07-28 13:29:23.020,1,4.0,False,,False,True,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:51:38.799000,LEC,16,0 days 00:01:31.097000,7.0,2.0,,,0 days 00:00:20.394000,0 days 00:00:41.830000,0 days 00:00:28.873000,0 days 00:51:16.237000,0 days 00:51:58.067000,0 days 00:52:26.940000,181.0,236.0,247.0,304.0,True,INTERMEDIATE,4.0,True,Ferrari,0 days 00:50:55.843000,2019-07-28 13:30:56.005,1,4.0,False,,False,True,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:52:38.809000,LEC,16,0 days 00:01:30.333000,8.0,2.0,,,0 days 00:00:20.218000,0 days 00:00:41.669000,0 days 00:00:28.446000,0 days 00:52:47.158000,0 days 00:53:28.827000,0 days 00:53:57.273000,177.0,240.0,252.0,304.0,True,INTERMEDIATE,5.0,True,Ferrari,0 days 00:52:26.940000,2019-07-28 13:32:27.102,1,4.0,False,,False,True,21.7,88.3,991.4,True,26.2,266,0.6
0 days 00:54:38.838000,LEC,16,0 days 00:01:29.612000,9.0,2.0,,,0 days 00:00:19.810000,0 days 00:00:41.407000,0 days 00:00:28.395000,0 days 00:54:17.083000,0 days 00:54:58.490000,0 days 00:55:26.885000,180.0,240.0,252.0,307.0,True,INTERMEDIATE,6.0,True,Ferrari,0 days 00:53:57.273000,2019-07-28 13:33:57.435,1,4.0,False,,False,True,21.5,88.1,991.5,True,26.1,112,0.9
0 days 00:55:38.852000,LEC,16,0 days 00:01:30.274000,10.0,2.0,,,0 days 00:00:20.611000,0 days 00:00:41.411000,0 days 00:00:28.252000,0 days 00:55:47.496000,0 days 00:56:28.907000,0 days 00:56:57.159000,176.0,240.0,251.0,306.0,False,INTERMEDIATE,7.0,True,Ferrari,0 days 00:55:26.885000,2019-07-28 13:35:27.047,1,4.0,False,,False,True,21.6,88.3,991.5,True,26.3,0,0.4
