LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.874000,9.0,GAS,10,0 days 00:33:31.669000,1.0,1.0,,,,0 days 00:00:33.468000,0 days 00:00:24.251000,,0 days 00:33:59.017000,0 days 00:34:23.354000,229.0,232.0,245.0,257.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,False,,False,False,Hungarian Grand Prix,16,40.0,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:01:25.097000,9.0,GAS,10,0 days 00:34:31.696000,2.0,1.0,,,0 days 00:00:30.129000,0 days 00:00:31.151000,0 days 00:00:23.817000,0 days 00:34:53.321000,0 days 00:35:24.472000,0 days 00:35:48.289000,278.0,229.0,245.0,288.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:34:23.174000,2019-08-04 13:14:23.203,2,False,,False,True,Hungarian Grand Prix,16,40.0,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:01:24.717000,9.0,GAS,10,0 days 00:36:31.885000,3.0,1.0,,,0 days 00:00:30.046000,0 days 00:00:30.740000,0 days 00:00:23.931000,0 days 00:36:18.335000,0 days 00:36:49.075000,0 days 00:37:13.006000,279.0,232.0,251.0,286.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:35:48.271000,2019-08-04 13:15:48.300,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:01:24.832000,9.0,GAS,10,0 days 00:37:32.041000,4.0,1.0,,,0 days 00:00:29.654000,0 days 00:00:31.232000,0 days 00:00:23.946000,0 days 00:37:42.660000,0 days 00:38:13.892000,0 days 00:38:37.838000,281.0,232.0,250.0,304.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:37:12.988000,2019-08-04 13:17:13.017,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:01:24.731000,9.0,GAS,10,0 days 00:39:31.784000,5.0,1.0,,,0 days 00:00:29.769000,0 days 00:00:30.987000,0 days 00:00:23.975000,0 days 00:39:07.607000,0 days 00:39:38.594000,0 days 00:40:02.569000,279.0,229.0,250.0,302.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:38:37.820000,2019-08-04 13:18:37.849,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:01:24.125000,8.0,GAS,10,0 days 00:40:31.812000,6.0,1.0,,,0 days 00:00:29.600000,0 days 00:00:30.777000,0 days 00:00:23.748000,0 days 00:40:32.169000,0 days 00:41:02.946000,0 days 00:41:26.694000,280.0,231.0,251.0,303.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:40:02.551000,2019-08-04 13:20:02.580,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:01:24.011000,8.0,GAS,10,0 days 00:41:31.780000,7.0,1.0,,,0 days 00:00:29.685000,0 days 00:00:30.636000,0 days 00:00:23.690000,0 days 00:41:56.379000,0 days 00:42:27.015000,0 days 00:42:50.705000,,231.0,251.0,304.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:41:26.676000,2019-08-04 13:21:26.705,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.4,36.0,986.6,False,40.7,257,0.8
0 days 00:01:24.437000,8.0,GAS,10,0 days 00:43:31.805000,8.0,1.0,,,0 days 00:00:29.676000,0 days 00:00:30.995000,0 days 00:00:23.766000,0 days 00:43:20.381000,0 days 00:43:51.376000,0 days 00:44:15.142000,278.0,231.0,246.0,298.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:42:50.687000,2019-08-04 13:22:50.716,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:01:23.451000,8.0,GAS,10,0 days 00:44:31.818000,9.0,1.0,,,0 days 00:00:29.746000,0 days 00:00:30.172000,0 days 00:00:23.533000,0 days 00:44:44.888000,0 days 00:45:15.060000,0 days 00:45:38.593000,,233.0,245.0,286.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 00:44:15.124000,2019-08-04 13:24:15.153,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:01:23.347000,8.0,GAS,10,0 days 00:46:31.846000,10.0,1.0,,,0 days 00:00:29.675000,0 days 00:00:30.051000,0 days 00:00:23.621000,0 days 00:46:08.268000,0 days 00:46:38.319000,0 days 00:47:01.940000,279.0,234.0,246.0,287.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 00:45:38.575000,2019-08-04 13:25:38.604,1,False,,False,True,Hungarian Grand Prix,16,40.0,24.9,37.5,986.6,False,38.9,0,0.4
