LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:38.113000,18.0,GIO,99,0 days 00:33:31.669000,1.0,1.0,,,,0 days 00:00:34.785000,0 days 00:00:25.001000,,0 days 00:34:02.527000,0 days 00:34:27.626000,223.0,227.0,249.0,273.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,False,,False,False,Hungarian Grand Prix,16,40.0,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:01:27.351000,18.0,GIO,99,0 days 00:34:31.696000,2.0,1.0,,,0 days 00:00:30.893000,0 days 00:00:32.191000,0 days 00:00:24.267000,0 days 00:34:58.326000,0 days 00:35:30.517000,0 days 00:35:54.784000,273.0,226.0,249.0,293.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:27.413000,2019-08-04 13:14:27.442,2,False,,False,True,Hungarian Grand Prix,16,40.0,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:01:25.952000,18.0,GIO,99,0 days 00:36:31.885000,3.0,1.0,,,0 days 00:00:30.324000,0 days 00:00:31.487000,0 days 00:00:24.141000,0 days 00:36:25.108000,0 days 00:36:56.595000,0 days 00:37:20.736000,278.0,232.0,252.0,292.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:35:54.764000,2019-08-04 13:15:54.793,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:01:25.411000,18.0,GIO,99,0 days 00:37:32.041000,4.0,1.0,,,0 days 00:00:30.204000,0 days 00:00:31.114000,0 days 00:00:24.093000,0 days 00:37:50.940000,0 days 00:38:22.054000,0 days 00:38:46.147000,277.0,231.0,251.0,309.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:20.716000,2019-08-04 13:17:20.745,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:01:24.827000,18.0,GIO,99,0 days 00:39:31.784000,5.0,1.0,,,0 days 00:00:29.878000,0 days 00:00:30.928000,0 days 00:00:24.021000,0 days 00:39:16.025000,0 days 00:39:46.953000,0 days 00:40:10.974000,278.0,231.0,253.0,303.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:38:46.127000,2019-08-04 13:18:46.156,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:01:24.797000,17.0,GIO,99,0 days 00:40:31.812000,6.0,1.0,,,0 days 00:00:29.974000,0 days 00:00:30.917000,0 days 00:00:23.906000,0 days 00:40:40.948000,0 days 00:41:11.865000,0 days 00:41:35.771000,275.0,234.0,252.0,304.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:10.954000,2019-08-04 13:20:10.983,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:01:25.258000,17.0,GIO,99,0 days 00:42:31.847000,7.0,1.0,,,0 days 00:00:29.925000,0 days 00:00:31.158000,0 days 00:00:24.175000,0 days 00:42:05.696000,0 days 00:42:36.854000,0 days 00:43:01.029000,268.0,236.0,251.0,307.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:41:35.751000,2019-08-04 13:21:35.780,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.3,36.2,986.6,False,40.3,275,1.2
0 days 00:01:25.732000,18.0,GIO,99,0 days 00:43:31.805000,8.0,1.0,,,0 days 00:00:30.337000,0 days 00:00:31.291000,0 days 00:00:24.104000,0 days 00:43:31.366000,0 days 00:44:02.657000,0 days 00:44:26.761000,245.0,233.0,250.0,305.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:43:01.009000,2019-08-04 13:23:01.038,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:01:25.206000,18.0,GIO,99,0 days 00:44:31.818000,9.0,1.0,,,0 days 00:00:29.997000,0 days 00:00:31.082000,0 days 00:00:24.127000,0 days 00:44:56.758000,0 days 00:45:27.840000,0 days 00:45:51.967000,277.0,233.0,246.0,301.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:44:26.741000,2019-08-04 13:24:26.770,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:01:24.918000,18.0,GIO,99,0 days 00:46:31.846000,10.0,1.0,,,0 days 00:00:30.046000,0 days 00:00:30.826000,0 days 00:00:24.046000,0 days 00:46:22.013000,0 days 00:46:52.839000,0 days 00:47:16.885000,279.0,236.0,253.0,289.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:45:51.947000,2019-08-04 13:25:51.976,1,False,,False,True,Hungarian Grand Prix,16,40.0,24.9,37.5,986.6,False,38.9,0,0.4
