LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:36.733000,15.0,KVY,26,0 days 00:33:31.669000,1.0,1.0,,,,0 days 00:00:34.623000,0 days 00:00:24.827000,,0 days 00:34:01.439000,0 days 00:34:26.487000,238.0,229.0,243.0,280.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,False,,False,False,Hungarian Grand Prix,16,40.0,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:01:26.681000,15.0,KVY,26,0 days 00:34:31.696000,2.0,1.0,,,0 days 00:00:30.947000,0 days 00:00:31.472000,0 days 00:00:24.262000,0 days 00:34:56.978000,0 days 00:35:28.450000,0 days 00:35:52.712000,278.0,234.0,244.0,290.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 00:34:26.033000,2019-08-04 13:14:26.062,2,False,,False,True,Hungarian Grand Prix,16,40.0,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:01:25.609000,15.0,KVY,26,0 days 00:36:31.885000,3.0,1.0,,,0 days 00:00:30.473000,0 days 00:00:31.112000,0 days 00:00:24.024000,0 days 00:36:23.185000,0 days 00:36:54.297000,0 days 00:37:18.321000,280.0,234.0,250.0,289.0,True,MEDIUM,3.0,True,Toro Rosso,0 days 00:35:52.714000,2019-08-04 13:15:52.743,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:01:24.944000,15.0,KVY,26,0 days 00:37:32.041000,4.0,1.0,,,0 days 00:00:29.939000,0 days 00:00:30.788000,0 days 00:00:24.217000,0 days 00:37:48.260000,0 days 00:38:19.048000,0 days 00:38:43.265000,278.0,233.0,251.0,307.0,True,MEDIUM,4.0,True,Toro Rosso,0 days 00:37:18.323000,2019-08-04 13:17:18.352,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:01:24.552000,15.0,KVY,26,0 days 00:39:31.784000,5.0,1.0,,,0 days 00:00:29.596000,0 days 00:00:30.986000,0 days 00:00:23.970000,0 days 00:39:12.861000,0 days 00:39:43.847000,0 days 00:40:07.817000,282.0,235.0,250.0,305.0,True,MEDIUM,5.0,True,Toro Rosso,0 days 00:38:43.267000,2019-08-04 13:18:43.296,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:01:25.108000,14.0,KVY,26,0 days 00:40:31.812000,6.0,1.0,,,0 days 00:00:30.361000,0 days 00:00:30.692000,0 days 00:00:24.055000,0 days 00:40:38.178000,0 days 00:41:08.870000,0 days 00:41:32.925000,277.0,234.0,250.0,307.0,False,MEDIUM,6.0,True,Toro Rosso,0 days 00:40:07.819000,2019-08-04 13:20:07.848,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:01:25.143000,14.0,KVY,26,0 days 00:42:31.847000,7.0,1.0,,,0 days 00:00:30.225000,0 days 00:00:31.004000,0 days 00:00:23.914000,0 days 00:42:03.150000,0 days 00:42:34.154000,0 days 00:42:58.068000,280.0,235.0,250.0,306.0,False,MEDIUM,7.0,True,Toro Rosso,0 days 00:41:32.927000,2019-08-04 13:21:32.956,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.3,36.2,986.6,False,40.3,275,1.2
0 days 00:01:23.859000,13.0,KVY,26,0 days 00:43:31.805000,8.0,1.0,,,0 days 00:00:29.854000,0 days 00:00:30.246000,0 days 00:00:23.759000,0 days 00:43:27.922000,0 days 00:43:58.168000,0 days 00:44:21.927000,275.0,235.0,245.0,,True,MEDIUM,8.0,True,Toro Rosso,0 days 00:42:58.070000,2019-08-04 13:22:58.099,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:01:23.957000,13.0,KVY,26,0 days 00:44:31.818000,9.0,1.0,,,0 days 00:00:30.027000,0 days 00:00:30.087000,0 days 00:00:23.843000,0 days 00:44:51.954000,0 days 00:45:22.041000,0 days 00:45:45.884000,277.0,236.0,246.0,286.0,False,MEDIUM,9.0,True,Toro Rosso,0 days 00:44:21.929000,2019-08-04 13:24:21.958,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:01:24.293000,13.0,KVY,26,0 days 00:46:31.846000,10.0,1.0,,,0 days 00:00:30.063000,0 days 00:00:30.371000,0 days 00:00:23.859000,0 days 00:46:15.947000,0 days 00:46:46.318000,0 days 00:47:10.177000,278.0,237.0,245.0,288.0,False,MEDIUM,10.0,True,Toro Rosso,0 days 00:45:45.886000,2019-08-04 13:25:45.915,1,False,,False,True,Hungarian Grand Prix,16,40.0,24.9,37.5,986.6,False,38.9,0,0.4
