LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:35.373000,12.0,PER,11,0 days 00:33:31.669000,1.0,1.0,,,,0 days 00:00:33.734000,0 days 00:00:24.667000,,0 days 00:34:00.105000,0 days 00:34:24.917000,247.0,229.0,246.0,283.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,False,,False,False,Hungarian Grand Prix,16,40.0,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:01:25.940000,12.0,PER,11,0 days 00:34:31.696000,2.0,1.0,,,0 days 00:00:30.472000,0 days 00:00:31.406000,0 days 00:00:24.062000,0 days 00:34:55.147000,0 days 00:35:26.553000,0 days 00:35:50.615000,264.0,234.0,243.0,295.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:24.673000,2019-08-04 13:14:24.702,2,False,,False,True,Hungarian Grand Prix,16,40.0,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:01:25.160000,12.0,PER,11,0 days 00:36:31.885000,3.0,1.0,,,0 days 00:00:30.299000,0 days 00:00:30.968000,0 days 00:00:23.893000,0 days 00:36:20.914000,0 days 00:36:51.882000,0 days 00:37:15.775000,278.0,232.0,248.0,292.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:35:50.613000,2019-08-04 13:15:50.642,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:01:24.829000,12.0,PER,11,0 days 00:37:32.041000,4.0,1.0,,,0 days 00:00:29.798000,0 days 00:00:30.962000,0 days 00:00:24.069000,0 days 00:37:45.573000,0 days 00:38:16.535000,0 days 00:38:40.604000,276.0,234.0,250.0,304.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:37:15.773000,2019-08-04 13:17:15.802,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:01:24.971000,12.0,PER,11,0 days 00:39:31.784000,5.0,1.0,,,0 days 00:00:29.731000,0 days 00:00:31.026000,0 days 00:00:24.214000,0 days 00:39:10.335000,0 days 00:39:41.361000,0 days 00:40:05.575000,277.0,233.0,250.0,,False,MEDIUM,5.0,True,Racing Point,0 days 00:38:40.602000,2019-08-04 13:18:40.631,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:01:24.655000,11.0,PER,11,0 days 00:40:31.812000,6.0,1.0,,,0 days 00:00:29.902000,0 days 00:00:30.762000,0 days 00:00:23.991000,0 days 00:40:35.477000,0 days 00:41:06.239000,0 days 00:41:30.230000,281.0,234.0,250.0,303.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:40:05.573000,2019-08-04 13:20:05.602,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:01:24.757000,11.0,PER,11,0 days 00:41:31.780000,7.0,1.0,,,0 days 00:00:29.961000,0 days 00:00:30.828000,0 days 00:00:23.968000,0 days 00:42:00.191000,0 days 00:42:31.019000,0 days 00:42:54.987000,277.0,234.0,246.0,305.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:41:30.228000,2019-08-04 13:21:30.257,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.4,36.0,986.6,False,40.7,257,0.8
0 days 00:01:24.284000,11.0,PER,11,0 days 00:43:31.805000,8.0,1.0,,,0 days 00:00:30.098000,0 days 00:00:30.338000,0 days 00:00:23.848000,0 days 00:43:25.085000,0 days 00:43:55.423000,0 days 00:44:19.271000,281.0,237.0,250.0,292.0,True,MEDIUM,8.0,True,Racing Point,0 days 00:42:54.985000,2019-08-04 13:22:55.014,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:01:24.490000,11.0,PER,11,0 days 00:44:31.818000,9.0,1.0,,,0 days 00:00:29.805000,0 days 00:00:30.694000,0 days 00:00:23.991000,0 days 00:44:49.076000,0 days 00:45:19.770000,0 days 00:45:43.761000,282.0,232.0,251.0,303.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:44:19.269000,2019-08-04 13:24:19.298,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:01:24.188000,11.0,PER,11,0 days 00:46:31.846000,10.0,1.0,,,0 days 00:00:29.882000,0 days 00:00:30.468000,0 days 00:00:23.838000,0 days 00:46:13.643000,0 days 00:46:44.111000,0 days 00:47:07.949000,281.0,237.0,250.0,,True,MEDIUM,10.0,True,Racing Point,0 days 00:45:43.759000,2019-08-04 13:25:43.788,1,False,,False,True,Hungarian Grand Prix,16,40.0,24.9,37.5,986.6,False,38.9,0,0.4
0 days 00:01:24.447000,11.0,PER,11,0 days 00:47:32.045000,11.0,1.0,,,0 days 00:00:30.025000,0 days 00:00:30.604000,0 days 00:00:23.818000,0 days 00:47:37.974000,0 days 00:48:08.578000,0 days 00:48:32.396000,275.0,236.0,252.0,306.0,False,MEDIUM,11.0,True,Racing Point,0 days 00:47:07.947000,2019-08-04 13:27:07.976,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.0,37.1,986.5,False,38.9,15,0.6
0 days 00:01:24.362000,11.0,PER,11,0 days 00:49:31.886000,12.0,1.0,,,0 days 00:00:29.847000,0 days 00:00:30.544000,0 days 00:00:23.971000,0 days 00:49:02.243000,0 days 00:49:32.787000,0 days 00:49:56.758000,283.0,237.0,253.0,305.0,False,MEDIUM,12.0,True,Racing Point,0 days 00:48:32.394000,2019-08-04 13:28:32.423,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.6,35.9,986.5,False,41.5,135,0.6
0 days 00:01:24.660000,11.0,PER,11,0 days 00:50:31.900000,13.0,1.0,,,0 days 00:00:29.971000,0 days 00:00:30.805000,0 days 00:00:23.884000,0 days 00:50:26.729000,0 days 00:50:57.534000,0 days 00:51:21.418000,279.0,235.0,254.0,307.0,False,MEDIUM,13.0,True,Racing Point,0 days 00:49:56.756000,2019-08-04 13:29:56.785,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.9,34.3,986.5,False,42.7,157,1.1
