LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:29.463000,5.0,VET,5,0 days 00:33:33.841000,1.0,1.0,,,,0 days 00:00:30.601000,0 days 00:00:28.518000,,0 days 00:34:21.530000,0 days 00:34:50.889000,329.0,321.0,319.0,288.0,False,SOFT,5.0,False,Ferrari,0 days 00:33:20.098000,2019-09-08 13:13:21.425,2,False,,False,False,Italian Grand Prix,11,95.0,20.2,55.1,989.4,False,32.5,201,0.9
0 days 00:01:25.527000,4.0,VET,5,0 days 00:35:33.586000,2.0,1.0,,,0 days 00:00:27.727000,0 days 00:00:29.273000,0 days 00:00:28.527000,0 days 00:35:17.521000,0 days 00:35:46.794000,0 days 00:36:15.321000,313.0,316.0,310.0,324.0,True,SOFT,6.0,False,Ferrari,0 days 00:34:49.792000,2019-09-08 13:14:51.119,1,False,,False,True,Italian Grand Prix,11,95.0,20.4,54.3,989.4,False,32.3,198,2.2
0 days 00:01:25.122000,4.0,VET,5,0 days 00:36:33.879000,3.0,1.0,,,0 days 00:00:28.012000,0 days 00:00:28.758000,0 days 00:00:28.352000,0 days 00:36:43.333000,0 days 00:37:12.091000,0 days 00:37:40.443000,314.0,317.0,310.0,320.0,True,SOFT,7.0,False,Ferrari,0 days 00:36:15.319000,2019-09-08 13:16:16.646,2,False,,False,True,Italian Grand Prix,11,95.0,20.4,53.2,989.4,False,32.2,220,2.8
0 days 00:01:24.930000,4.0,VET,5,0 days 00:38:33.670000,4.0,1.0,,,0 days 00:00:27.859000,0 days 00:00:28.715000,0 days 00:00:28.356000,0 days 00:38:08.302000,0 days 00:38:37.017000,0 days 00:39:05.373000,319.0,324.0,310.0,325.0,True,SOFT,8.0,False,Ferrari,0 days 00:37:40.441000,2019-09-08 13:17:41.768,1,False,,False,True,Italian Grand Prix,11,95.0,20.5,52.6,989.4,False,32.9,206,3.1
0 days 00:01:25.118000,4.0,VET,5,0 days 00:39:33.667000,5.0,1.0,,,0 days 00:00:27.763000,0 days 00:00:28.955000,0 days 00:00:28.400000,0 days 00:39:33.136000,0 days 00:40:02.091000,0 days 00:40:30.491000,322.0,322.0,310.0,331.0,False,SOFT,9.0,False,Ferrari,0 days 00:39:05.371000,2019-09-08 13:19:06.698,1,False,,False,True,Italian Grand Prix,11,95.0,20.6,52.2,989.3,False,32.9,246,2.8
0 days 00:01:51.038000,19.0,VET,5,0 days 00:40:33.664000,6.0,1.0,,0 days 00:42:18.199000,0 days 00:00:27.792000,0 days 00:00:28.926000,0 days 00:00:54.320000,0 days 00:40:58.283000,0 days 00:41:27.209000,0 days 00:42:21.529000,323.0,323.0,,338.0,False,SOFT,10.0,False,Ferrari,0 days 00:40:30.489000,2019-09-08 13:20:31.816,2,False,,False,False,Italian Grand Prix,11,95.0,20.5,52.5,989.3,False,32.9,208,2.0
0 days 00:01:54.863000,20.0,VET,5,0 days 00:42:33.674000,7.0,2.0,0 days 00:42:50.257000,,0 days 00:00:57.205000,0 days 00:00:29.029000,0 days 00:00:28.629000,0 days 00:43:18.734000,0 days 00:43:47.763000,0 days 00:44:16.392000,308.0,311.0,306.0,264.0,False,HARD,1.0,True,Ferrari,0 days 00:42:21.527000,2019-09-08 13:22:22.854,1,False,,False,False,Italian Grand Prix,11,95.0,20.7,52.8,989.3,False,32.6,218,3.0
0 days 00:01:25.412000,19.0,VET,5,0 days 00:44:33.699000,8.0,2.0,,,0 days 00:00:28.186000,0 days 00:00:28.762000,0 days 00:00:28.464000,0 days 00:44:44.578000,0 days 00:45:13.340000,0 days 00:45:41.804000,311.0,312.0,306.0,313.0,False,HARD,2.0,True,Ferrari,0 days 00:44:16.390000,2019-09-08 13:24:17.717,1,False,,False,True,Italian Grand Prix,11,95.0,21.0,52.5,989.4,False,32.3,243,1.3
0 days 00:01:25.085000,19.0,VET,5,0 days 00:46:33.740000,9.0,2.0,,,0 days 00:00:28.045000,0 days 00:00:28.635000,0 days 00:00:28.405000,0 days 00:46:09.849000,0 days 00:46:38.484000,0 days 00:47:06.889000,312.0,314.0,306.0,315.0,False,HARD,3.0,True,Ferrari,0 days 00:45:41.802000,2019-09-08 13:25:43.129,1,False,,False,True,Italian Grand Prix,11,95.0,21.2,52.0,989.4,False,32.2,320,1.5
0 days 00:01:24.982000,19.0,VET,5,0 days 00:47:33.753000,10.0,2.0,,,0 days 00:00:28.102000,0 days 00:00:28.614000,0 days 00:00:28.266000,0 days 00:47:34.991000,0 days 00:48:03.605000,0 days 00:48:31.871000,,315.0,306.0,316.0,False,HARD,4.0,True,Ferrari,0 days 00:47:06.887000,2019-09-08 13:27:08.214,1,False,,False,True,Italian Grand Prix,11,95.0,21.1,51.9,989.4,False,32.2,292,1.3
0 days 00:01:24.854000,19.0,VET,5,0 days 00:48:33.765000,11.0,2.0,,,0 days 00:00:27.982000,0 days 00:00:28.503000,0 days 00:00:28.369000,0 days 00:48:59.853000,0 days 00:49:28.356000,0 days 00:49:56.725000,311.0,314.0,306.0,315.0,True,HARD,5.0,True,Ferrari,0 days 00:48:31.869000,2019-09-08 13:28:33.196,1,False,,False,True,Italian Grand Prix,11,95.0,21.2,51.6,989.2,False,32.6,212,1.3
0 days 00:01:29.446000,19.0,VET,5,0 days 00:50:33.806000,12.0,2.0,,0 days 00:51:22.431000,0 days 00:00:28.071000,0 days 00:00:28.596000,0 days 00:00:32.779000,0 days 00:50:24.796000,0 days 00:50:53.392000,0 days 00:51:26.171000,310.0,314.0,,,False,HARD,6.0,True,Ferrari,0 days 00:49:56.723000,2019-09-08 13:29:58.050,1,False,,False,False,Italian Grand Prix,11,95.0,21.3,51.4,989.2,False,33.0,185,0.8
0 days 00:01:52.766000,20.0,VET,5,0 days 00:51:33.804000,13.0,3.0,0 days 00:51:54.505000,,0 days 00:00:55.722000,0 days 00:00:28.638000,0 days 00:00:28.406000,0 days 00:52:21.893000,0 days 00:52:50.531000,0 days 00:53:18.937000,311.0,315.0,308.0,270.0,False,HARD,7.0,False,Ferrari,0 days 00:51:26.169000,2019-09-08 13:31:27.496,1,False,,False,False,Italian Grand Prix,11,95.0,21.3,51.1,989.3,False,32.7,208,1.6
0 days 00:01:25.070000,20.0,VET,5,0 days 00:53:33.844000,14.0,3.0,,,0 days 00:00:27.964000,0 days 00:00:28.659000,0 days 00:00:28.447000,0 days 00:53:46.901000,0 days 00:54:15.560000,0 days 00:54:44.007000,314.0,316.0,308.0,319.0,False,HARD,8.0,False,Ferrari,0 days 00:53:18.935000,2019-09-08 13:33:20.262,1,False,,False,True,Italian Grand Prix,11,95.0,21.5,50.7,989.3,False,32.0,212,1.9
0 days 00:01:25.179000,20.0,VET,5,0 days 00:55:33.854000,15.0,3.0,,,0 days 00:00:28.119000,0 days 00:00:28.656000,0 days 00:00:28.404000,0 days 00:55:12.126000,0 days 00:55:40.782000,0 days 00:56:09.186000,,316.0,309.0,318.0,False,HARD,9.0,False,Ferrari,0 days 00:54:44.005000,2019-09-08 13:34:45.332,1,False,,False,True,Italian Grand Prix,11,95.0,21.2,50.6,989.3,False,31.6,226,1.8
0 days 00:01:25.088000,20.0,VET,5,0 days 00:56:33.944000,16.0,3.0,,,0 days 00:00:27.937000,0 days 00:00:28.711000,0 days 00:00:28.440000,0 days 00:56:37.123000,0 days 00:57:05.834000,0 days 00:57:34.274000,,317.0,308.0,320.0,False,HARD,10.0,False,Ferrari,0 days 00:56:09.184000,2019-09-08 13:36:10.511,1,False,,False,True,Italian Grand Prix,11,95.0,21.1,50.7,989.3,False,31.6,225,2.1
0 days 00:01:25.610000,20.0,VET,5,0 days 00:58:34.313000,17.0,3.0,,,0 days 00:00:28.599000,0 days 00:00:28.622000,0 days 00:00:28.389000,0 days 00:58:02.873000,0 days 00:58:31.495000,0 days 00:58:59.884000,315.0,319.0,308.0,321.0,False,HARD,11.0,False,Ferrari,0 days 00:57:34.272000,2019-09-08 13:37:35.599,1,False,,False,True,Italian Grand Prix,11,95.0,21.2,50.6,989.3,False,33.0,229,1.3
0 days 00:01:24.924000,20.0,VET,5,0 days 00:59:33.936000,18.0,3.0,,,0 days 00:00:27.947000,0 days 00:00:28.540000,0 days 00:00:28.437000,0 days 00:59:27.831000,0 days 00:59:56.371000,0 days 01:00:24.808000,,319.0,308.0,,False,HARD,12.0,False,Ferrari,0 days 00:58:59.882000,2019-09-08 13:39:01.209,1,False,,False,True,Italian Grand Prix,11,95.0,21.3,51.1,989.2,False,33.0,196,2.1
0 days 00:01:24.857000,20.0,VET,5,0 days 01:00:33.964000,19.0,3.0,,,0 days 00:00:27.942000,0 days 00:00:28.570000,0 days 00:00:28.345000,0 days 01:00:52.750000,0 days 01:01:21.320000,0 days 01:01:49.665000,314.0,318.0,308.0,,False,HARD,13.0,False,Ferrari,0 days 01:00:24.806000,2019-09-08 13:40:26.133,1,False,,False,True,Italian Grand Prix,11,95.0,21.4,50.8,989.3,False,33.6,241,1.4
0 days 00:01:24.793000,20.0,VET,5,0 days 01:02:34.005000,20.0,3.0,,,0 days 00:00:27.977000,0 days 00:00:28.572000,0 days 00:00:28.244000,0 days 01:02:17.642000,0 days 01:02:46.214000,0 days 01:03:14.458000,315.0,320.0,310.0,323.0,True,HARD,14.0,False,Ferrari,0 days 01:01:49.663000,2019-09-08 13:41:50.990,1,False,,False,True,Italian Grand Prix,11,95.0,21.4,50.4,989.2,False,33.7,217,2.2
0 days 00:01:25.883000,20.0,VET,5,0 days 01:03:33.986000,21.0,3.0,,,0 days 00:00:27.889000,0 days 00:00:29.277000,0 days 00:00:28.717000,0 days 01:03:42.347000,0 days 01:04:11.624000,0 days 01:04:40.341000,320.0,322.0,312.0,324.0,False,HARD,15.0,False,Ferrari,0 days 01:03:14.456000,2019-09-08 13:43:15.783,1,False,,False,True,Italian Grand Prix,11,95.0,21.3,50.1,989.2,False,33.7,193,2.6
0 days 00:01:25.508000,20.0,VET,5,0 days 01:05:34.027000,22.0,3.0,,,0 days 00:00:27.878000,0 days 00:00:28.683000,0 days 00:00:28.947000,0 days 01:05:08.219000,0 days 01:05:36.902000,0 days 01:06:05.849000,324.0,339.0,316.0,328.0,False,HARD,16.0,False,Ferrari,0 days 01:04:40.339000,2019-09-08 13:44:41.666,1,False,,False,True,Italian Grand Prix,11,95.0,21.0,51.3,989.2,False,33.4,207,1.8
0 days 00:01:25.308000,19.0,VET,5,0 days 01:06:34.211000,23.0,3.0,,,0 days 00:00:27.846000,0 days 00:00:28.895000,0 days 00:00:28.567000,0 days 01:06:33.695000,0 days 01:07:02.590000,0 days 01:07:31.157000,317.0,321.0,310.0,335.0,False,HARD,17.0,False,Ferrari,0 days 01:06:05.847000,2019-09-08 13:46:07.174,1,False,,False,True,Italian Grand Prix,11,95.0,21.2,50.9,989.2,False,33.8,198,2.1
0 days 00:01:25.692000,19.0,VET,5,0 days 01:07:34.286000,24.0,3.0,,,0 days 00:00:27.944000,0 days 00:00:28.980000,0 days 00:00:28.768000,0 days 01:07:59.101000,0 days 01:08:28.081000,0 days 01:08:56.849000,323.0,338.0,317.0,327.0,False,HARD,18.0,False,Ferrari,0 days 01:07:31.155000,2019-09-08 13:47:32.482,1,False,,False,True,Italian Grand Prix,11,95.0,21.3,50.4,989.2,False,34.3,180,2.1
0 days 00:01:24.773000,18.0,VET,5,0 days 01:09:34.108000,25.0,3.0,,,0 days 00:00:27.693000,0 days 00:00:28.708000,0 days 00:00:28.372000,0 days 01:09:24.542000,0 days 01:09:53.250000,0 days 01:10:21.622000,315.0,319.0,310.0,334.0,True,HARD,19.0,False,Ferrari,0 days 01:08:56.847000,2019-09-08 13:48:58.174,1,False,,False,True,Italian Grand Prix,11,95.0,21.5,50.4,989.2,False,34.7,236,2.1
0 days 00:01:24.719000,18.0,VET,5,0 days 01:10:34.058000,26.0,3.0,,,0 days 00:00:27.989000,0 days 00:00:28.530000,0 days 00:00:28.200000,0 days 01:10:49.611000,0 days 01:11:18.141000,0 days 01:11:46.341000,,318.0,312.0,320.0,True,HARD,20.0,False,Ferrari,0 days 01:10:21.620000,2019-09-08 13:50:22.947,1,False,,False,True,Italian Grand Prix,11,95.0,21.6,50.0,989.2,False,34.9,240,1.3
0 days 00:01:24.786000,18.0,VET,5,0 days 01:12:34.084000,27.0,3.0,,,0 days 00:00:27.808000,0 days 00:00:28.437000,0 days 00:00:28.541000,0 days 01:12:14.149000,0 days 01:12:42.586000,0 days 01:13:11.127000,319.0,323.0,311.0,325.0,False,HARD,21.0,False,Ferrari,0 days 01:11:46.339000,2019-09-08 13:51:47.666,2,False,,False,True,Italian Grand Prix,11,95.0,21.6,49.5,989.1,False,34.9,202,1.1
0 days 00:01:41.176000,17.0,VET,5,0 days 01:13:34.096000,28.0,3.0,,,0 days 00:00:36.180000,0 days 00:00:36.255000,0 days 00:00:28.741000,0 days 01:13:47.307000,0 days 01:14:23.562000,0 days 01:14:52.303000,266.0,284.0,311.0,288.0,False,HARD,22.0,False,Ferrari,0 days 01:13:11.125000,2019-09-08 13:53:12.452,267,False,,False,False,Italian Grand Prix,11,95.0,21.5,50.3,989.2,False,34.5,106,1.1
0 days 00:01:25.180000,16.0,VET,5,0 days 01:15:34.153000,29.0,3.0,,,0 days 00:00:27.865000,0 days 00:00:28.808000,0 days 00:00:28.507000,0 days 01:15:20.168000,0 days 01:15:48.976000,0 days 01:16:17.483000,316.0,320.0,311.0,323.0,False,HARD,23.0,False,Ferrari,0 days 01:14:52.301000,2019-09-08 13:54:53.628,2,False,,False,True,Italian Grand Prix,11,95.0,21.4,49.5,989.1,False,34.8,354,0.7
