Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.841000,PER,11,0 days 00:01:36.200000,1.0,1.0,,,,0 days 00:00:31.330000,0 days 00:00:29.870000,,0 days 00:34:26.896000,0 days 00:34:57.659000,330.0,335.0,313.0,252.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:20.098000,2019-09-08 13:13:21.425,2,17.0,False,,False,False,20.2,55.1,989.4,False,32.5,201,0.9
0 days 00:35:33.586000,PER,11,0 days 00:01:28.982000,2.0,1.0,,,0 days 00:00:28.329000,0 days 00:00:31.183000,0 days 00:00:29.470000,0 days 00:35:24.862000,0 days 00:35:56.045000,0 days 00:36:25.515000,332.0,325.0,315.0,309.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:56.529000,2019-09-08 13:14:57.856,1,17.0,False,,False,True,20.4,54.3,989.4,False,32.3,198,2.2
0 days 00:36:33.879000,PER,11,0 days 00:01:27.504000,3.0,1.0,,,0 days 00:00:27.857000,0 days 00:00:30.401000,0 days 00:00:29.246000,0 days 00:36:53.372000,0 days 00:37:23.773000,0 days 00:37:53.019000,325.0,328.0,315.0,353.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:25.511000,2019-09-08 13:16:26.838,2,16.0,False,,False,True,20.4,53.2,989.4,False,32.2,220,2.8
0 days 00:38:33.670000,PER,11,0 days 00:01:28.126000,4.0,1.0,,,0 days 00:00:27.957000,0 days 00:00:30.264000,0 days 00:00:29.905000,0 days 00:38:20.976000,0 days 00:38:51.240000,0 days 00:39:21.145000,319.0,328.0,312.0,314.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:37:53.015000,2019-09-08 13:17:54.342,1,15.0,False,,False,True,20.5,52.6,989.4,False,32.9,206,3.1
0 days 00:39:33.667000,PER,11,0 days 00:01:26.524000,5.0,1.0,,,0 days 00:00:28.270000,0 days 00:00:29.550000,0 days 00:00:28.704000,0 days 00:39:49.415000,0 days 00:40:18.965000,0 days 00:40:47.669000,324.0,315.0,307.0,335.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:39:21.141000,2019-09-08 13:19:22.468,1,14.0,False,,False,True,20.6,52.2,989.3,False,32.9,246,2.8
0 days 00:41:33.661000,PER,11,0 days 00:01:27.290000,6.0,1.0,,,0 days 00:00:28.088000,0 days 00:00:29.205000,0 days 00:00:29.997000,0 days 00:41:15.757000,0 days 00:41:44.962000,0 days 00:42:14.959000,316.0,314.0,306.0,323.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:40:47.665000,2019-09-08 13:20:48.992,2,11.0,False,,False,True,20.5,53.0,989.4,False,33.0,198,2.7
0 days 00:42:33.674000,PER,11,0 days 00:01:25.606000,7.0,1.0,,,0 days 00:00:27.919000,0 days 00:00:28.958000,0 days 00:00:28.729000,0 days 00:42:42.878000,0 days 00:43:11.836000,0 days 00:43:40.565000,321.0,319.0,307.0,325.0,True,MEDIUM,7.0,True,Racing Point,0 days 00:42:14.955000,2019-09-08 13:22:16.282,1,11.0,False,,False,True,20.7,52.8,989.3,False,32.6,218,3.0
0 days 00:44:33.699000,PER,11,0 days 00:01:25.718000,8.0,1.0,,,0 days 00:00:27.939000,0 days 00:00:29.078000,0 days 00:00:28.701000,0 days 00:44:08.504000,0 days 00:44:37.582000,0 days 00:45:06.283000,,319.0,311.0,331.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:43:40.561000,2019-09-08 13:23:41.888,1,11.0,False,,False,True,21.0,52.5,989.4,False,32.3,243,1.3
0 days 00:45:33.727000,PER,11,0 days 00:01:26.187000,9.0,1.0,,,0 days 00:00:28.056000,0 days 00:00:29.211000,0 days 00:00:28.920000,0 days 00:45:34.339000,0 days 00:46:03.550000,0 days 00:46:32.470000,321.0,326.0,311.0,323.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:45:06.279000,2019-09-08 13:25:07.606,1,11.0,False,,False,True,21.0,52.2,989.2,False,32.3,205,1.5
0 days 00:46:33.740000,PER,11,0 days 00:01:26.563000,10.0,1.0,,,0 days 00:00:27.937000,0 days 00:00:29.690000,0 days 00:00:28.936000,0 days 00:47:00.407000,0 days 00:47:30.097000,0 days 00:47:59.033000,326.0,326.0,312.0,338.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:46:32.466000,2019-09-08 13:26:33.793,1,11.0,False,,False,True,21.2,52.0,989.4,False,32.2,320,1.5
