LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:42.821000,11.0,PER,11,0 days 00:33:35.545000,1.0,1.0,,,,0 days 00:00:44.339000,0 days 00:00:18.502000,,0 days 00:34:58.595000,0 days 00:35:16.590000,273.0,309.0,259.0,304.0,False,SOFT,1.0,True,Racing Point,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,False,,False,False,Japanese Grand Prix,18,49.0,21.8,57.8,1009.0,False,34.6,287,6.5
0 days 00:01:37.455000,11.0,PER,11,0 days 00:35:35.562000,2.0,1.0,,,0 days 00:00:35.250000,0 days 00:00:43.620000,0 days 00:00:18.585000,0 days 00:35:51.684000,0 days 00:36:35.304000,0 days 00:36:53.889000,270.0,309.0,257.0,303.0,True,SOFT,2.0,True,Racing Point,0 days 00:35:16.443000,2019-10-13 05:15:16.766,1,False,,False,True,Japanese Grand Prix,18,49.0,21.7,57.8,1008.9,False,34.3,289,5.6
0 days 00:01:37.096000,11.0,PER,11,0 days 00:37:35.684000,3.0,1.0,,,0 days 00:00:35.079000,0 days 00:00:43.530000,0 days 00:00:18.487000,0 days 00:37:28.968000,0 days 00:38:12.498000,0 days 00:38:30.985000,268.0,306.0,262.0,303.0,True,SOFT,3.0,True,Racing Point,0 days 00:36:53.898000,2019-10-13 05:16:54.221,1,False,,False,True,Japanese Grand Prix,18,49.0,21.9,57.6,1008.7,False,33.7,285,5.5
0 days 00:01:36.568000,10.0,PER,11,0 days 00:38:36.124000,4.0,1.0,,,0 days 00:00:34.591000,0 days 00:00:43.393000,0 days 00:00:18.584000,0 days 00:39:05.576000,0 days 00:39:48.969000,0 days 00:40:07.553000,,309.0,259.0,310.0,True,SOFT,4.0,True,Racing Point,0 days 00:38:30.994000,2019-10-13 05:18:31.317,2,False,,False,True,Japanese Grand Prix,18,49.0,21.6,57.2,1008.7,False,33.3,283,6.8
0 days 00:01:36.947000,9.0,PER,11,0 days 00:40:35.568000,5.0,1.0,,,0 days 00:00:34.438000,0 days 00:00:43.697000,0 days 00:00:18.812000,0 days 00:40:41.991000,0 days 00:41:25.688000,0 days 00:41:44.500000,269.0,306.0,255.0,296.0,False,SOFT,5.0,True,Racing Point,0 days 00:40:07.562000,2019-10-13 05:20:07.885,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.4,1008.7,False,33.2,286,7.9
0 days 00:01:36.530000,9.0,PER,11,0 days 00:42:35.576000,6.0,1.0,,,0 days 00:00:34.496000,0 days 00:00:43.427000,0 days 00:00:18.607000,0 days 00:42:18.996000,0 days 00:43:02.423000,0 days 00:43:21.030000,270.0,304.0,258.0,305.0,True,SOFT,6.0,True,Racing Point,0 days 00:41:44.509000,2019-10-13 05:21:44.832,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.9,1008.7,False,32.8,285,5.3
0 days 00:01:36.193000,9.0,PER,11,0 days 00:43:35.607000,7.0,1.0,,,0 days 00:00:34.409000,0 days 00:00:43.260000,0 days 00:00:18.524000,0 days 00:43:55.439000,0 days 00:44:38.699000,0 days 00:44:57.223000,271.0,306.0,257.0,306.0,True,SOFT,7.0,True,Racing Point,0 days 00:43:21.039000,2019-10-13 05:23:21.362,1,False,,False,True,Japanese Grand Prix,18,49.0,21.3,58.0,1008.7,False,32.6,285,7.2
0 days 00:01:36.296000,9.0,PER,11,0 days 00:45:35.591000,8.0,1.0,,,0 days 00:00:34.429000,0 days 00:00:43.349000,0 days 00:00:18.518000,0 days 00:45:31.652000,0 days 00:46:15.001000,0 days 00:46:33.519000,270.0,306.0,257.0,305.0,False,SOFT,8.0,True,Racing Point,0 days 00:44:57.232000,2019-10-13 05:24:57.555,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,58.4,1008.8,False,32.3,287,4.9
0 days 00:01:36.123000,9.0,PER,11,0 days 00:46:35.752000,9.0,1.0,,,0 days 00:00:34.267000,0 days 00:00:43.309000,0 days 00:00:18.547000,0 days 00:47:07.786000,0 days 00:47:51.095000,0 days 00:48:09.642000,269.0,305.0,260.0,305.0,True,SOFT,9.0,True,Racing Point,0 days 00:46:33.528000,2019-10-13 05:26:33.851,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.5,1008.7,False,32.3,286,6.2
0 days 00:01:36.401000,9.0,PER,11,0 days 00:48:35.592000,10.0,1.0,,,0 days 00:00:34.177000,0 days 00:00:43.591000,0 days 00:00:18.633000,0 days 00:48:43.819000,0 days 00:49:27.410000,0 days 00:49:46.043000,270.0,304.0,260.0,305.0,False,SOFT,10.0,True,Racing Point,0 days 00:48:09.651000,2019-10-13 05:28:09.974,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.8,False,31.8,297,7.1
