LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:45.391000,16.0,RIC,3,0 days 00:33:35.545000,1.0,1.0,,,,0 days 00:00:45.026000,0 days 00:00:18.831000,,0 days 00:35:00.346000,0 days 00:35:19.156000,254.0,312.0,261.0,299.0,False,MEDIUM,1.0,True,Renault,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,False,,False,False,Japanese Grand Prix,18,49.0,21.8,57.8,1009.0,False,34.6,287,6.5
0 days 00:01:38.216000,16.0,RIC,3,0 days 00:35:35.562000,2.0,1.0,,,0 days 00:00:35.676000,0 days 00:00:43.641000,0 days 00:00:18.899000,0 days 00:35:54.673000,0 days 00:36:38.314000,0 days 00:36:57.213000,265.0,310.0,261.0,304.0,True,MEDIUM,2.0,True,Renault,0 days 00:35:19.013000,2019-10-13 05:15:19.336,1,False,,False,True,Japanese Grand Prix,18,49.0,21.7,57.8,1008.9,False,34.3,289,5.6
0 days 00:01:37.625000,16.0,RIC,3,0 days 00:37:35.684000,3.0,1.0,,,0 days 00:00:35.260000,0 days 00:00:43.564000,0 days 00:00:18.801000,0 days 00:37:32.473000,0 days 00:38:16.037000,0 days 00:38:34.838000,269.0,310.0,257.0,302.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:57.229000,2019-10-13 05:16:57.552,1,False,,False,True,Japanese Grand Prix,18,49.0,21.9,57.6,1008.7,False,33.7,285,5.5
0 days 00:01:36.741000,14.0,RIC,3,0 days 00:38:36.124000,4.0,1.0,,,0 days 00:00:34.646000,0 days 00:00:43.329000,0 days 00:00:18.766000,0 days 00:39:09.484000,0 days 00:39:52.813000,0 days 00:40:11.579000,268.0,310.0,264.0,300.0,True,MEDIUM,4.0,True,Renault,0 days 00:38:34.854000,2019-10-13 05:18:35.177,2,False,,False,True,Japanese Grand Prix,18,49.0,21.6,57.2,1008.7,False,33.3,283,6.8
0 days 00:01:36.183000,12.0,RIC,3,0 days 00:40:35.568000,5.0,1.0,,,0 days 00:00:34.456000,0 days 00:00:43.171000,0 days 00:00:18.556000,0 days 00:40:46.035000,0 days 00:41:29.206000,0 days 00:41:47.762000,267.0,308.0,261.0,304.0,True,MEDIUM,5.0,True,Renault,0 days 00:40:11.595000,2019-10-13 05:20:11.918,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.4,1008.7,False,33.2,286,7.9
0 days 00:01:36.123000,11.0,RIC,3,0 days 00:42:35.576000,6.0,1.0,,,0 days 00:00:34.414000,0 days 00:00:43.208000,0 days 00:00:18.501000,0 days 00:42:22.176000,0 days 00:43:05.384000,0 days 00:43:23.885000,264.0,308.0,264.0,306.0,True,MEDIUM,6.0,True,Renault,0 days 00:41:47.778000,2019-10-13 05:21:48.101,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.9,1008.7,False,32.8,285,5.3
0 days 00:01:35.567000,10.0,RIC,3,0 days 00:43:35.607000,7.0,1.0,,,0 days 00:00:34.084000,0 days 00:00:43.001000,0 days 00:00:18.482000,0 days 00:43:57.969000,0 days 00:44:40.970000,0 days 00:44:59.452000,,305.0,258.0,305.0,True,MEDIUM,7.0,True,Renault,0 days 00:43:23.901000,2019-10-13 05:23:24.224,1,False,,False,True,Japanese Grand Prix,18,49.0,21.3,58.0,1008.7,False,32.6,285,7.2
0 days 00:01:36.083000,10.0,RIC,3,0 days 00:45:35.591000,8.0,1.0,,,0 days 00:00:34.560000,0 days 00:00:43.041000,0 days 00:00:18.482000,0 days 00:45:34.012000,0 days 00:46:17.053000,0 days 00:46:35.535000,265.0,305.0,258.0,300.0,False,MEDIUM,8.0,True,Renault,0 days 00:44:59.468000,2019-10-13 05:24:59.791,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,58.4,1008.8,False,32.3,287,4.9
0 days 00:01:36.034000,10.0,RIC,3,0 days 00:46:35.752000,9.0,1.0,,,0 days 00:00:34.544000,0 days 00:00:42.984000,0 days 00:00:18.506000,0 days 00:47:10.079000,0 days 00:47:53.063000,0 days 00:48:11.569000,266.0,305.0,258.0,301.0,False,MEDIUM,9.0,True,Renault,0 days 00:46:35.551000,2019-10-13 05:26:35.874,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.5,1008.7,False,32.3,286,6.2
0 days 00:01:36.061000,10.0,RIC,3,0 days 00:48:35.592000,10.0,1.0,,,0 days 00:00:34.467000,0 days 00:00:43.050000,0 days 00:00:18.544000,0 days 00:48:46.036000,0 days 00:49:29.086000,0 days 00:49:47.630000,265.0,303.0,257.0,301.0,False,MEDIUM,10.0,True,Renault,0 days 00:48:11.585000,2019-10-13 05:28:11.908,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.8,False,31.8,297,7.1
0 days 00:01:36.165000,10.0,RIC,3,0 days 00:50:35.687000,11.0,1.0,,,0 days 00:00:34.509000,0 days 00:00:43.157000,0 days 00:00:18.499000,0 days 00:50:22.139000,0 days 00:51:05.296000,0 days 00:51:23.795000,266.0,305.0,257.0,302.0,False,MEDIUM,11.0,True,Renault,0 days 00:49:47.646000,2019-10-13 05:29:47.969,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.9,False,31.8,279,5.6
0 days 00:01:36.548000,10.0,RIC,3,0 days 00:51:35.813000,12.0,1.0,,,0 days 00:00:34.653000,0 days 00:00:43.359000,0 days 00:00:18.536000,0 days 00:51:58.448000,0 days 00:52:41.807000,0 days 00:53:00.343000,,307.0,260.0,302.0,False,MEDIUM,12.0,True,Renault,0 days 00:51:23.811000,2019-10-13 05:31:24.134,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.7,1008.9,False,31.7,284,7.5
0 days 00:01:36.459000,10.0,RIC,3,0 days 00:53:35.854000,13.0,1.0,,,0 days 00:00:34.553000,0 days 00:00:43.293000,0 days 00:00:18.613000,0 days 00:53:34.896000,0 days 00:54:18.189000,0 days 00:54:36.802000,269.0,306.0,261.0,303.0,False,MEDIUM,13.0,True,Renault,0 days 00:53:00.359000,2019-10-13 05:33:00.682,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.9,False,31.6,289,6.5
0 days 00:01:36.236000,10.0,RIC,3,0 days 00:55:35.871000,14.0,1.0,,,0 days 00:00:34.512000,0 days 00:00:43.308000,0 days 00:00:18.416000,0 days 00:55:11.314000,0 days 00:55:54.622000,0 days 00:56:13.038000,266.0,306.0,266.0,303.0,False,MEDIUM,14.0,True,Renault,0 days 00:54:36.818000,2019-10-13 05:34:37.141,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.5,1009.0,False,31.3,283,5.3
0 days 00:01:36.168000,9.0,RIC,3,0 days 00:56:35.592000,15.0,1.0,,,0 days 00:00:34.159000,0 days 00:00:43.359000,0 days 00:00:18.650000,0 days 00:56:47.197000,0 days 00:57:30.556000,0 days 00:57:49.206000,,304.0,258.0,300.0,False,MEDIUM,15.0,True,Renault,0 days 00:56:13.054000,2019-10-13 05:36:13.377,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.1,1009.0,False,31.3,283,6.2
0 days 00:01:36.544000,8.0,RIC,3,0 days 00:58:35.601000,16.0,1.0,,,0 days 00:00:34.811000,0 days 00:00:43.181000,0 days 00:00:18.552000,0 days 00:58:24.017000,0 days 00:59:07.198000,0 days 00:59:25.750000,,302.0,258.0,300.0,False,MEDIUM,16.0,True,Renault,0 days 00:57:49.222000,2019-10-13 05:37:49.545,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.2,1008.9,False,31.3,283,4.6
0 days 00:01:36.536000,8.0,RIC,3,0 days 00:59:35.591000,17.0,1.0,,,0 days 00:00:34.749000,0 days 00:00:43.176000,0 days 00:00:18.611000,0 days 01:00:00.499000,0 days 01:00:43.675000,0 days 01:01:02.286000,267.0,304.0,259.0,301.0,False,MEDIUM,17.0,True,Renault,0 days 00:59:25.766000,2019-10-13 05:39:26.089,1,False,,False,True,Japanese Grand Prix,18,49.0,21.6,57.1,1008.9,False,31.3,296,5.5
