LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.200000,5.0,SAI,55,0 days 00:33:35.545000,1.0,1.0,,,,0 days 00:00:43.116000,0 days 00:00:18.418000,,0 days 00:34:54.805000,0 days 00:35:12.984000,267.0,304.0,260.0,296.0,False,SOFT,4.0,False,McLaren,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,False,,False,False,Japanese Grand Prix,18,49.0,21.8,57.8,1009.0,False,34.6,287,6.5
0 days 00:01:36.089000,5.0,SAI,55,0 days 00:35:35.562000,2.0,1.0,,,0 days 00:00:34.410000,0 days 00:00:43.123000,0 days 00:00:18.556000,0 days 00:35:47.250000,0 days 00:36:30.373000,0 days 00:36:48.929000,262.0,302.0,258.0,294.0,True,SOFT,5.0,False,McLaren,0 days 00:35:12.822000,2019-10-13 05:15:13.145,1,False,,False,True,Japanese Grand Prix,18,49.0,21.7,57.8,1008.9,False,34.3,289,5.6
0 days 00:01:36.075000,5.0,SAI,55,0 days 00:37:35.684000,3.0,1.0,,,0 days 00:00:34.439000,0 days 00:00:43.121000,0 days 00:00:18.515000,0 days 00:37:23.368000,0 days 00:38:06.489000,0 days 00:38:25.004000,,302.0,259.0,291.0,True,SOFT,6.0,False,McLaren,0 days 00:36:48.911000,2019-10-13 05:16:49.234,1,False,,False,True,Japanese Grand Prix,18,49.0,21.9,57.6,1008.7,False,33.7,285,5.5
0 days 00:01:35.988000,4.0,SAI,55,0 days 00:38:36.124000,4.0,1.0,,,0 days 00:00:34.229000,0 days 00:00:43.067000,0 days 00:00:18.692000,0 days 00:38:59.233000,0 days 00:39:42.300000,0 days 00:40:00.992000,264.0,300.0,256.0,292.0,True,SOFT,7.0,False,McLaren,0 days 00:38:24.986000,2019-10-13 05:18:25.309,2,False,,False,True,Japanese Grand Prix,18,49.0,21.6,57.2,1008.7,False,33.3,283,6.8
0 days 00:01:35.933000,4.0,SAI,55,0 days 00:40:35.568000,5.0,1.0,,,0 days 00:00:34.345000,0 days 00:00:42.887000,0 days 00:00:18.701000,0 days 00:40:35.337000,0 days 00:41:18.224000,0 days 00:41:36.925000,263.0,301.0,257.0,292.0,True,SOFT,8.0,False,McLaren,0 days 00:40:00.974000,2019-10-13 05:20:01.297,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.4,1008.7,False,33.2,286,7.9
0 days 00:01:35.855000,4.0,SAI,55,0 days 00:42:35.576000,6.0,1.0,,,0 days 00:00:34.279000,0 days 00:00:43.092000,0 days 00:00:18.484000,0 days 00:42:11.204000,0 days 00:42:54.296000,0 days 00:43:12.780000,264.0,301.0,258.0,294.0,True,SOFT,9.0,False,McLaren,0 days 00:41:36.907000,2019-10-13 05:21:37.230,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.9,1008.7,False,32.8,285,5.3
0 days 00:01:35.597000,4.0,SAI,55,0 days 00:43:35.607000,7.0,1.0,,,0 days 00:00:34.171000,0 days 00:00:42.875000,0 days 00:00:18.551000,0 days 00:43:46.951000,0 days 00:44:29.826000,0 days 00:44:48.377000,,302.0,260.0,295.0,True,SOFT,10.0,False,McLaren,0 days 00:43:12.762000,2019-10-13 05:23:13.085,1,False,,False,True,Japanese Grand Prix,18,49.0,21.3,58.0,1008.7,False,32.6,285,7.2
0 days 00:01:35.962000,4.0,SAI,55,0 days 00:45:35.591000,8.0,1.0,,,0 days 00:00:34.149000,0 days 00:00:43.095000,0 days 00:00:18.718000,0 days 00:45:22.526000,0 days 00:46:05.621000,0 days 00:46:24.339000,263.0,300.0,258.0,294.0,False,SOFT,11.0,False,McLaren,0 days 00:44:48.359000,2019-10-13 05:24:48.682,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,58.4,1008.8,False,32.3,287,4.9
0 days 00:01:35.879000,4.0,SAI,55,0 days 00:46:35.752000,9.0,1.0,,,0 days 00:00:34.270000,0 days 00:00:42.917000,0 days 00:00:18.692000,0 days 00:46:58.609000,0 days 00:47:41.526000,0 days 00:48:00.218000,264.0,301.0,258.0,295.0,False,SOFT,12.0,False,McLaren,0 days 00:46:24.321000,2019-10-13 05:26:24.644,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.5,1008.7,False,32.3,286,6.2
0 days 00:01:36.094000,4.0,SAI,55,0 days 00:48:35.592000,10.0,1.0,,,0 days 00:00:34.342000,0 days 00:00:43.079000,0 days 00:00:18.673000,0 days 00:48:34.560000,0 days 00:49:17.639000,0 days 00:49:36.312000,258.0,299.0,257.0,300.0,False,SOFT,13.0,False,McLaren,0 days 00:48:00.200000,2019-10-13 05:28:00.523,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.8,False,31.8,297,7.1
0 days 00:01:36.037000,4.0,SAI,55,0 days 00:50:35.687000,11.0,1.0,,,0 days 00:00:34.266000,0 days 00:00:43.025000,0 days 00:00:18.746000,0 days 00:50:10.578000,0 days 00:50:53.603000,0 days 00:51:12.349000,261.0,301.0,257.0,302.0,False,SOFT,14.0,False,McLaren,0 days 00:49:36.294000,2019-10-13 05:29:36.617,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.9,False,31.8,279,5.6
0 days 00:01:36.063000,4.0,SAI,55,0 days 00:51:35.813000,12.0,1.0,,,0 days 00:00:34.289000,0 days 00:00:43.088000,0 days 00:00:18.686000,0 days 00:51:46.638000,0 days 00:52:29.726000,0 days 00:52:48.412000,260.0,300.0,258.0,298.0,False,SOFT,15.0,False,McLaren,0 days 00:51:12.331000,2019-10-13 05:31:12.654,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.7,1008.9,False,31.7,284,7.5
0 days 00:01:35.888000,4.0,SAI,55,0 days 00:53:35.854000,13.0,1.0,,,0 days 00:00:34.089000,0 days 00:00:43.180000,0 days 00:00:18.619000,0 days 00:53:22.501000,0 days 00:54:05.681000,0 days 00:54:24.300000,261.0,300.0,260.0,299.0,False,SOFT,16.0,False,McLaren,0 days 00:52:48.394000,2019-10-13 05:32:48.717,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.9,False,31.6,289,6.5
