LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:55.037000,19.0,RUS,63,0 days 00:33:33.827000,1.0,1.0,,,,0 days 00:00:37.580000,0 days 00:00:41.912000,,0 days 00:34:14.499000,0 days 00:34:56.990000,227.0,278.0,112.0,306.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,False,,False,False,Mexican Grand Prix,17,36.0,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:01:45.044000,19.0,RUS,63,0 days 00:35:33.201000,2.0,1.0,,,0 days 00:00:40.803000,0 days 00:00:37.929000,0 days 00:00:26.312000,0 days 00:35:37.135000,0 days 00:36:15.064000,0 days 00:36:41.376000,189.0,151.0,244.0,252.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:56.360000,2019-10-27 19:14:56.680,67,False,,False,False,Mexican Grand Prix,17,36.0,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:01:25.452000,19.0,RUS,63,0 days 00:37:43.879000,3.0,1.0,,,0 days 00:00:29.637000,0 days 00:00:33.656000,0 days 00:00:22.159000,0 days 00:37:11.013000,0 days 00:37:44.669000,0 days 00:38:06.828000,266.0,287.0,244.0,332.0,True,MEDIUM,3.0,True,Williams,0 days 00:36:41.404000,2019-10-27 19:16:41.724,7,False,,False,False,Mexican Grand Prix,17,36.0,22.9,46.2,780.9,False,42.2,94,2.2
0 days 00:01:24.679000,19.0,RUS,63,0 days 00:38:45.881000,4.0,1.0,,,0 days 00:00:29.432000,0 days 00:00:33.332000,0 days 00:00:21.915000,0 days 00:38:36.260000,0 days 00:39:09.592000,0 days 00:39:31.507000,285.0,283.0,245.0,333.0,True,MEDIUM,4.0,True,Williams,0 days 00:38:06.856000,2019-10-27 19:18:07.176,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:01:25.993000,18.0,RUS,63,0 days 00:39:40.565000,5.0,1.0,,,0 days 00:00:29.498000,0 days 00:00:34.303000,0 days 00:00:22.192000,0 days 00:40:01.005000,0 days 00:40:35.308000,0 days 00:40:57.500000,287.0,276.0,246.0,332.0,False,MEDIUM,5.0,True,Williams,0 days 00:39:31.535000,2019-10-27 19:19:31.855,2,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:01:24.069000,18.0,RUS,63,0 days 00:41:33.202000,6.0,1.0,,,0 days 00:00:29.277000,0 days 00:00:33.073000,0 days 00:00:21.719000,0 days 00:41:26.777000,0 days 00:41:59.850000,0 days 00:42:21.569000,293.0,276.0,243.0,,True,MEDIUM,6.0,True,Williams,0 days 00:40:57.528000,2019-10-27 19:20:57.848,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:01:24.487000,18.0,RUS,63,0 days 00:42:33.286000,7.0,1.0,,,0 days 00:00:29.336000,0 days 00:00:33.186000,0 days 00:00:21.965000,0 days 00:42:50.905000,0 days 00:43:24.091000,0 days 00:43:46.056000,287.0,279.0,242.0,326.0,False,MEDIUM,7.0,True,Williams,0 days 00:42:21.597000,2019-10-27 19:22:21.917,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:01:24.278000,18.0,RUS,63,0 days 00:44:33.367000,8.0,1.0,,,0 days 00:00:29.211000,0 days 00:00:33.054000,0 days 00:00:22.013000,0 days 00:44:15.267000,0 days 00:44:48.321000,0 days 00:45:10.334000,273.0,278.0,241.0,333.0,False,MEDIUM,8.0,True,Williams,0 days 00:43:46.084000,2019-10-27 19:23:46.404,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.5,780.7,False,43.5,88,0.7
0 days 00:01:24.100000,18.0,RUS,63,0 days 00:45:33.199000,9.0,1.0,,,0 days 00:00:29.229000,0 days 00:00:32.947000,0 days 00:00:21.924000,0 days 00:45:39.563000,0 days 00:46:12.510000,0 days 00:46:34.434000,281.0,279.0,243.0,331.0,False,MEDIUM,9.0,True,Williams,0 days 00:45:10.362000,2019-10-27 19:25:10.682,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:01:24.208000,17.0,RUS,63,0 days 00:47:33.204000,10.0,1.0,,,0 days 00:00:29.411000,0 days 00:00:33.034000,0 days 00:00:21.763000,0 days 00:47:03.845000,0 days 00:47:36.879000,0 days 00:47:58.642000,280.0,279.0,243.0,330.0,False,MEDIUM,10.0,True,Williams,0 days 00:46:34.462000,2019-10-27 19:26:34.782,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,46.3,780.7,False,43.7,109,0.9
0 days 00:01:24.241000,16.0,RUS,63,0 days 00:48:33.221000,11.0,1.0,,,0 days 00:00:29.290000,0 days 00:00:33.035000,0 days 00:00:21.916000,0 days 00:48:27.932000,0 days 00:49:00.967000,0 days 00:49:22.883000,279.0,279.0,243.0,329.0,False,MEDIUM,11.0,True,Williams,0 days 00:47:58.670000,2019-10-27 19:27:58.990,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,45.6,780.7,False,44.7,164,1.1
0 days 00:01:24.388000,16.0,RUS,63,0 days 00:49:33.906000,12.0,1.0,,,0 days 00:00:29.265000,0 days 00:00:33.187000,0 days 00:00:21.936000,0 days 00:49:52.148000,0 days 00:50:25.335000,0 days 00:50:47.271000,,277.0,244.0,328.0,False,MEDIUM,12.0,True,Williams,0 days 00:49:22.911000,2019-10-27 19:29:23.231,1,False,,False,True,Mexican Grand Prix,17,36.0,23.6,45.0,780.7,False,44.7,91,1.3
0 days 00:01:24.220000,15.0,RUS,63,0 days 00:51:33.606000,13.0,1.0,,,0 days 00:00:29.199000,0 days 00:00:33.186000,0 days 00:00:21.835000,0 days 00:51:16.470000,0 days 00:51:49.656000,0 days 00:52:11.491000,287.0,280.0,243.0,326.0,False,MEDIUM,13.0,True,Williams,0 days 00:50:47.299000,2019-10-27 19:30:47.619,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.6,False,44.0,95,1.2
0 days 00:01:24.175000,15.0,RUS,63,0 days 00:52:33.511000,14.0,1.0,,,0 days 00:00:29.229000,0 days 00:00:33.048000,0 days 00:00:21.898000,0 days 00:52:40.720000,0 days 00:53:13.768000,0 days 00:53:35.666000,284.0,279.0,243.0,328.0,False,MEDIUM,14.0,True,Williams,0 days 00:52:11.519000,2019-10-27 19:32:11.839,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,45.4,780.5,False,44.0,173,1.5
0 days 00:01:25.064000,16.0,RUS,63,0 days 00:54:33.199000,15.0,1.0,,,0 days 00:00:29.873000,0 days 00:00:33.252000,0 days 00:00:21.939000,0 days 00:54:05.539000,0 days 00:54:38.791000,0 days 00:55:00.730000,261.0,280.0,243.0,329.0,False,MEDIUM,15.0,True,Williams,0 days 00:53:35.694000,2019-10-27 19:33:36.014,1,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.7,780.5,False,44.7,52,1.4
0 days 00:01:25.115000,15.0,RUS,63,0 days 00:55:33.430000,16.0,1.0,,,0 days 00:00:29.330000,0 days 00:00:33.584000,0 days 00:00:22.201000,0 days 00:55:30.060000,0 days 00:56:03.644000,0 days 00:56:25.845000,278.0,281.0,243.0,331.0,False,MEDIUM,16.0,True,Williams,0 days 00:55:00.758000,2019-10-27 19:35:01.078,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,44.8,780.6,False,44.8,331,0.9
0 days 00:01:26.429000,17.0,RUS,63,0 days 00:56:33.581000,17.0,1.0,,,0 days 00:00:29.956000,0 days 00:00:33.665000,0 days 00:00:22.808000,0 days 00:56:55.801000,0 days 00:57:29.466000,0 days 00:57:52.274000,267.0,286.0,242.0,335.0,False,MEDIUM,17.0,True,Williams,0 days 00:56:25.873000,2019-10-27 19:36:26.193,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.8,780.4,False,44.9,325,1.0
0 days 00:01:24.703000,17.0,RUS,63,0 days 00:58:33.448000,18.0,1.0,,,0 days 00:00:29.293000,0 days 00:00:33.292000,0 days 00:00:22.118000,0 days 00:58:21.567000,0 days 00:58:54.859000,0 days 00:59:16.977000,272.0,281.0,244.0,348.0,False,MEDIUM,18.0,True,Williams,0 days 00:57:52.302000,2019-10-27 19:37:52.622,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.3,780.5,False,44.4,83,1.1
0 days 00:01:25.501000,18.0,RUS,63,0 days 00:59:33.283000,19.0,1.0,,,0 days 00:00:29.799000,0 days 00:00:33.546000,0 days 00:00:22.156000,0 days 00:59:46.776000,0 days 01:00:20.322000,0 days 01:00:42.478000,261.0,281.0,243.0,349.0,False,MEDIUM,19.0,True,Williams,0 days 00:59:17.005000,2019-10-27 19:39:17.325,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.5,780.4,False,44.9,88,1.6
0 days 00:01:24.358000,18.0,RUS,63,0 days 01:01:33.762000,20.0,1.0,,,0 days 00:00:29.336000,0 days 00:00:33.130000,0 days 00:00:21.892000,0 days 01:01:11.814000,0 days 01:01:44.944000,0 days 01:02:06.836000,276.0,287.0,244.0,336.0,False,MEDIUM,20.0,True,Williams,0 days 01:00:42.506000,2019-10-27 19:40:42.826,1,False,,False,True,Mexican Grand Prix,17,36.0,23.9,44.8,780.5,False,45.7,95,2.0
0 days 00:01:24.233000,17.0,RUS,63,0 days 01:02:33.375000,21.0,1.0,,,0 days 00:00:29.033000,0 days 00:00:33.236000,0 days 00:00:21.964000,0 days 01:02:35.869000,0 days 01:03:09.105000,0 days 01:03:31.069000,277.0,285.0,242.0,352.0,False,MEDIUM,21.0,True,Williams,0 days 01:02:06.864000,2019-10-27 19:42:07.184,1,False,,False,True,Mexican Grand Prix,17,36.0,23.9,43.9,780.3,False,45.7,57,2.4
0 days 00:01:27.063000,17.0,RUS,63,0 days 01:03:33.344000,22.0,1.0,,0 days 01:04:56.563000,0 days 00:00:28.858000,0 days 00:00:33.062000,0 days 00:00:25.143000,0 days 01:03:59.927000,0 days 01:04:32.989000,0 days 01:04:58.132000,293.0,278.0,,344.0,False,MEDIUM,22.0,True,Williams,0 days 01:03:31.097000,2019-10-27 19:43:31.417,1,False,,False,False,Mexican Grand Prix,17,36.0,24.0,43.8,780.4,False,45.8,78,1.8
0 days 00:01:44.636000,19.0,RUS,63,0 days 01:05:33.200000,23.0,2.0,0 days 01:05:18.559000,,0 days 00:00:48.658000,0 days 00:00:34.417000,0 days 00:00:21.561000,0 days 01:05:46.790000,0 days 01:06:21.207000,0 days 01:06:42.768000,288.0,286.0,247.0,305.0,False,HARD,1.0,True,Williams,0 days 01:04:58.160000,2019-10-27 19:44:58.480,1,False,,False,False,Mexican Grand Prix,17,36.0,23.7,44.9,780.4,False,45.8,94,1.4
