LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:50.337000,14.0,STR,18,0 days 00:33:33.827000,1.0,1.0,,,,0 days 00:00:36.521000,0 days 00:00:38.927000,,0 days 00:34:13.214000,0 days 00:34:51.803000,257.0,280.0,142.0,331.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,False,,False,False,Mexican Grand Prix,17,36.0,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:01:44.970000,14.0,STR,18,0 days 00:35:33.201000,2.0,1.0,,,0 days 00:00:39.016000,0 days 00:00:40.132000,0 days 00:00:25.822000,0 days 00:35:30.667000,0 days 00:36:10.799000,0 days 00:36:36.621000,223.0,162.0,243.0,261.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:51.660000,2019-10-27 19:14:51.980,67,False,,False,False,Mexican Grand Prix,17,36.0,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:01:23.980000,14.0,STR,18,0 days 00:37:43.879000,3.0,1.0,,,0 days 00:00:29.102000,0 days 00:00:33.065000,0 days 00:00:21.813000,0 days 00:37:05.723000,0 days 00:37:38.788000,0 days 00:38:00.601000,283.0,287.0,246.0,335.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:36.630000,2019-10-27 19:16:36.950,7,False,,False,False,Mexican Grand Prix,17,36.0,22.9,46.2,780.9,False,42.2,94,2.2
0 days 00:01:23.665000,14.0,STR,18,0 days 00:38:45.881000,4.0,1.0,,,0 days 00:00:28.778000,0 days 00:00:33.056000,0 days 00:00:21.831000,0 days 00:38:29.379000,0 days 00:39:02.435000,0 days 00:39:24.266000,270.0,291.0,245.0,356.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:38:00.610000,2019-10-27 19:18:00.930,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:01:24.690000,13.0,STR,18,0 days 00:39:40.565000,5.0,1.0,,,0 days 00:00:28.775000,0 days 00:00:33.896000,0 days 00:00:22.019000,0 days 00:39:53.041000,0 days 00:40:26.937000,0 days 00:40:48.956000,287.0,283.0,242.0,354.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:39:24.275000,2019-10-27 19:19:24.595,2,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:01:23.657000,13.0,STR,18,0 days 00:41:33.202000,6.0,1.0,,,0 days 00:00:28.971000,0 days 00:00:33.128000,0 days 00:00:21.558000,0 days 00:41:17.927000,0 days 00:41:51.055000,0 days 00:42:12.613000,273.0,283.0,242.0,350.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:40:48.965000,2019-10-27 19:20:49.285,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:01:23.545000,13.0,STR,18,0 days 00:42:33.286000,7.0,1.0,,,0 days 00:00:29.157000,0 days 00:00:32.593000,0 days 00:00:21.795000,0 days 00:42:41.770000,0 days 00:43:14.363000,0 days 00:43:36.158000,283.0,283.0,244.0,335.0,True,MEDIUM,7.0,True,Racing Point,0 days 00:42:12.622000,2019-10-27 19:22:12.942,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:01:23.888000,13.0,STR,18,0 days 00:44:33.367000,8.0,1.0,,,0 days 00:00:28.952000,0 days 00:00:33.085000,0 days 00:00:21.851000,0 days 00:44:05.110000,0 days 00:44:38.195000,0 days 00:45:00.046000,287.0,288.0,242.0,338.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:43:36.167000,2019-10-27 19:23:36.487,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.5,780.7,False,43.5,88,0.7
0 days 00:01:23.585000,12.0,STR,18,0 days 00:45:33.199000,9.0,1.0,,,0 days 00:00:28.739000,0 days 00:00:33.027000,0 days 00:00:21.819000,0 days 00:45:28.785000,0 days 00:46:01.812000,0 days 00:46:23.631000,284.0,289.0,242.0,354.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:45:00.055000,2019-10-27 19:25:00.375,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:01:23.071000,12.0,STR,18,0 days 00:46:33.352000,10.0,1.0,,,0 days 00:00:28.828000,0 days 00:00:32.589000,0 days 00:00:21.654000,0 days 00:46:52.459000,0 days 00:47:25.048000,0 days 00:47:46.702000,283.0,283.0,243.0,349.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:46:23.640000,2019-10-27 19:26:23.960,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,46.0,780.7,False,43.7,163,1.2
