LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:37.495000,18.0,KUB,88,0 days 00:33:00.825000,1.0,1.0,,,,0 days 00:00:42.590000,0 days 00:00:22.700000,,0 days 00:34:00.593000,0 days 00:34:23.345000,148.0,173.0,259.0,279.0,False,MEDIUM,1.0,True,Williams,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,False,,False,False,Monaco Grand Prix,19,315.0,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:01:22.039000,18.0,KUB,88,0 days 00:35:00.855000,2.0,1.0,,,0 days 00:00:21.873000,0 days 00:00:38.302000,0 days 00:00:21.864000,0 days 00:34:45.077000,0 days 00:35:23.379000,0 days 00:35:45.243000,179.0,170.0,256.0,287.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:23.210000,2019-05-26 13:14:23.670,1,False,,False,True,Monaco Grand Prix,19,315.0,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:01:20.355000,18.0,KUB,88,0 days 00:36:00.866000,3.0,1.0,,,0 days 00:00:21.442000,0 days 00:00:37.214000,0 days 00:00:21.699000,0 days 00:36:06.685000,0 days 00:36:43.899000,0 days 00:37:05.598000,184.0,184.0,259.0,286.0,True,MEDIUM,3.0,True,Williams,0 days 00:35:45.249000,2019-05-26 13:15:45.709,1,False,,False,True,Monaco Grand Prix,19,315.0,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:01:19.785000,18.0,KUB,88,0 days 00:38:00.899000,4.0,1.0,,,0 days 00:00:21.095000,0 days 00:00:37.308000,0 days 00:00:21.382000,0 days 00:37:26.693000,0 days 00:38:04.001000,0 days 00:38:25.383000,180.0,181.0,260.0,285.0,True,MEDIUM,4.0,True,Williams,0 days 00:37:05.604000,2019-05-26 13:17:06.064,1,False,,False,True,Monaco Grand Prix,19,315.0,22.3,52.8,1011.0,True,34.0,358,0.5
0 days 00:01:19.562000,18.0,KUB,88,0 days 00:39:01.015000,5.0,1.0,,,0 days 00:00:21.120000,0 days 00:00:37.033000,0 days 00:00:21.409000,0 days 00:38:46.503000,0 days 00:39:23.536000,0 days 00:39:44.945000,193.0,182.0,259.0,282.0,True,MEDIUM,5.0,True,Williams,0 days 00:38:25.389000,2019-05-26 13:18:25.849,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:01:19.777000,18.0,KUB,88,0 days 00:40:00.926000,6.0,1.0,,,0 days 00:00:20.982000,0 days 00:00:37.209000,0 days 00:00:21.586000,0 days 00:40:05.927000,0 days 00:40:43.136000,0 days 00:41:04.722000,185.0,176.0,261.0,282.0,False,MEDIUM,6.0,True,Williams,0 days 00:39:44.951000,2019-05-26 13:19:45.411,2,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:01:19.970000,18.0,KUB,88,0 days 00:42:00.953000,7.0,1.0,,,0 days 00:00:21.546000,0 days 00:00:37.137000,0 days 00:00:21.287000,0 days 00:41:26.268000,0 days 00:42:03.405000,0 days 00:42:24.692000,186.0,180.0,259.0,282.0,False,MEDIUM,7.0,True,Williams,0 days 00:41:04.728000,2019-05-26 13:21:05.188,1,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.7,1011.1,True,34.3,195,0.7
0 days 00:01:19.985000,18.0,KUB,88,0 days 00:43:00.969000,8.0,1.0,,,0 days 00:00:21.063000,0 days 00:00:37.084000,0 days 00:00:21.838000,0 days 00:42:45.755000,0 days 00:43:22.839000,0 days 00:43:44.677000,192.0,179.0,258.0,281.0,False,MEDIUM,8.0,True,Williams,0 days 00:42:24.698000,2019-05-26 13:22:25.158,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:01:23.336000,16.0,KUB,88,0 days 00:44:00.983000,9.0,1.0,,,0 days 00:00:21.299000,0 days 00:00:40.024000,0 days 00:00:22.013000,0 days 00:44:05.976000,0 days 00:44:46,0 days 00:45:08.013000,160.0,178.0,261.0,271.0,False,MEDIUM,9.0,True,Williams,0 days 00:43:44.683000,2019-05-26 13:23:45.143,2,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:01:29.434000,16.0,KUB,88,0 days 00:46:01.014000,10.0,1.0,,,0 days 00:00:21.592000,0 days 00:00:37.942000,0 days 00:00:29.900000,0 days 00:45:29.605000,0 days 00:46:07.547000,0 days 00:46:37.447000,182.0,179.0,198.0,281.0,False,MEDIUM,10.0,True,Williams,0 days 00:45:08.019000,2019-05-26 13:25:08.479,24,False,,False,False,Monaco Grand Prix,19,315.0,22.6,52.4,1010.9,True,34.0,72,0.4
