LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.485000,14.0,LEC,16,0 days 00:33:00.825000,1.0,1.0,,,,0 days 00:00:40.737000,0 days 00:00:22.183000,,0 days 00:33:57.095000,0 days 00:34:19.321000,169.0,164.0,264.0,287.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,False,,False,False,Monaco Grand Prix,19,315.0,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:01:20.032000,13.0,LEC,16,0 days 00:35:00.855000,2.0,1.0,,,0 days 00:00:21.600000,0 days 00:00:36.994000,0 days 00:00:21.438000,0 days 00:34:40.857000,0 days 00:35:17.851000,0 days 00:35:39.289000,187.0,180.0,263.0,284.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:19.200000,2019-05-26 13:14:19.660,1,False,,False,True,Monaco Grand Prix,19,315.0,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:01:19.438000,13.0,LEC,16,0 days 00:36:00.866000,3.0,1.0,,,0 days 00:00:21.003000,0 days 00:00:37.260000,0 days 00:00:21.175000,0 days 00:36:00.292000,0 days 00:36:37.552000,0 days 00:36:58.727000,188.0,181.0,269.0,287.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:35:39.232000,2019-05-26 13:15:39.692,1,False,,False,True,Monaco Grand Prix,19,315.0,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:01:19.350000,13.0,LEC,16,0 days 00:37:00.881000,4.0,1.0,,,0 days 00:00:21.094000,0 days 00:00:37.004000,0 days 00:00:21.252000,0 days 00:37:19.821000,0 days 00:37:56.825000,0 days 00:38:18.077000,,186.0,266.0,287.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:36:58.670000,2019-05-26 13:16:59.130,1,False,,False,True,Monaco Grand Prix,19,315.0,22.3,53.1,1011.1,False,34.3,268,1.2
0 days 00:01:19.916000,13.0,LEC,16,0 days 00:39:01.015000,5.0,1.0,,,0 days 00:00:21.108000,0 days 00:00:37.504000,0 days 00:00:21.304000,0 days 00:38:39.185000,0 days 00:39:16.689000,0 days 00:39:37.993000,181.0,182.0,266.0,290.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:38:18.020000,2019-05-26 13:18:18.480,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:01:19.151000,13.0,LEC,16,0 days 00:40:00.926000,6.0,1.0,,,0 days 00:00:20.875000,0 days 00:00:36.932000,0 days 00:00:21.344000,0 days 00:39:58.868000,0 days 00:40:35.800000,0 days 00:40:57.144000,192.0,183.0,266.0,286.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:39:37.936000,2019-05-26 13:19:38.396,2,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:01:20.218000,12.0,LEC,16,0 days 00:41:00.941000,7.0,1.0,,,0 days 00:00:21.205000,0 days 00:00:37.524000,0 days 00:00:21.489000,0 days 00:41:18.349000,0 days 00:41:55.873000,0 days 00:42:17.362000,183.0,185.0,265.0,286.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:40:57.087000,2019-05-26 13:20:57.547,1,False,,False,True,Monaco Grand Prix,19,315.0,22.9,52.2,1011.0,True,34.6,0,0.4
0 days 00:01:22.280000,13.0,LEC,16,0 days 00:43:00.969000,8.0,1.0,,,0 days 00:00:20.565000,0 days 00:00:37.195000,0 days 00:00:24.520000,0 days 00:42:37.927000,0 days 00:43:15.122000,0 days 00:43:39.642000,197.0,179.0,252.0,285.0,False,MEDIUM,8.0,True,Ferrari,0 days 00:42:17.305000,2019-05-26 13:22:17.765,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:01:57.179000,20.0,LEC,16,0 days 00:44:00.983000,9.0,1.0,,0 days 00:45:11.520000,0 days 00:00:23.384000,0 days 00:00:47.390000,0 days 00:00:46.405000,0 days 00:44:03.026000,0 days 00:44:50.416000,0 days 00:45:36.821000,174.0,98.0,,206.0,False,MEDIUM,9.0,True,Ferrari,0 days 00:43:39.585000,2019-05-26 13:23:40.045,2,False,,False,False,Monaco Grand Prix,19,315.0,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:01:45.588000,20.0,LEC,16,0 days 00:46:01.014000,10.0,2.0,0 days 00:45:37.474000,,0 days 00:00:27.340000,0 days 00:00:54.257000,0 days 00:00:23.991000,0 days 00:46:04.161000,0 days 00:46:58.418000,0 days 00:47:22.409000,174.0,135.0,253.0,129.0,False,HARD,1.0,True,Ferrari,0 days 00:45:36.764000,2019-05-26 13:25:37.224,24,False,,False,False,Monaco Grand Prix,19,315.0,22.6,52.4,1010.9,True,34.0,72,0.4
